"dt_posix";"puissance";"reality";"mape";"Month";"Weekday";"rose_vt";"temp";"pression";"hr";"p_ros";"visi";"vt_raf";"rr_3h";"Hour"
2016-09-16 13:00:00;540,616058349609;564,5;4,23099054922775;;;;;;;;;;;
2016-09-16 14:00:00;508,17777633667;572,666666667;11,2611566350918;;;;;;;;;;;
2016-09-16 15:00:00;483,291320800781;520,833333333;7,20806640619062;"September";"Friday";"North";16,7;1021,1;70;11,2;19;50,4;0;15
2016-09-16 16:00:00;460,47421836853;442,166666667;4,14041877908401;;;;;;;;;;;
2016-09-16 17:00:00;466,859878063202;386,666666667;20,7396236369309;;;;;;;;;;;
2016-09-16 18:00:00;473,259216308594;447,833333333;5,67753248431992;"September";"Friday";"North";14,5;1022,6;80;11,1;55;39,6;0;18
2016-09-16 19:00:00;514,956233978271;488,166666667;5,48779118700987;;;;;;;;;;;
2016-09-16 20:00:00;519,872576236725;493,5;5,34398707937687;;;;;;;;;;;
2016-09-16 21:00:00;553,14501953125;511,333333333;8,17699208571264;"September";"Friday";"North";13,3;1024,3;87;11,2;45;21,6;0;21
2016-09-16 22:00:00;693,084808349609;616,5;12,4225155473819;;;;;;;;;;;
2016-09-16 23:00:00;697,269070625305;560,5;24,4012614853354;;;;;;;;;;;
2016-09-17 00:00:00;590,489624023438;461,333333333;27,9963057855197;"September";"Saturday";"North";12,2;1024,3;94;11,3;19;14,4;;0
2016-09-17 01:00:00;518,674652099609;397,666666667;30,4295017852074;;;;;;;;;;;
2016-09-17 02:00:00;441,205657958984;363,333333333;21,4327498970796;;;;;;;;;;;
2016-09-17 03:00:00;395,318969726562;398,666666667;0,839723312818073;"September";"Saturday";"West";12,6;1024,5;95;11,8;19;18;0;3
2016-09-17 04:00:00;386,301657676697;398,666666667;3,10159088385273;;;;;;;;;;;
2016-09-17 05:00:00;309,057898521423;332,166666667;6,95697987322232;;;;;;;;;;;
2016-09-17 06:00:00;347,442413330078;316;9,95013080065763;"September";"Saturday";"North";12,3;1024,7;96;11,7;18;18;0;6
2016-09-17 07:00:00;397,126483917236;369,166666667;7,57376539509103;;;;;;;;;;;
2016-09-17 08:00:00;476,664730072021;452,166666667;5,41792777110286;;;;;;;;;;;
2016-09-17 09:00:00;522,767883300781;515,166666667;1,47548689105979;"September";"Saturday";"North";15,9;1025,3;79;12,3;35;28,8;0;9
2016-09-17 10:00:00;551,434968948364;510,833333333;7,94811790187095;;;;;;;;;;;
2016-09-17 11:00:00;589,12299156189;534,833333333;10,1507619000792;;;;;;;;;;;
2016-09-17 12:00:00;563,040161132812;524,5;7,34798115020257;"September";"Saturday";"North";17,3;1025;67;11,1;25;28,8;0;12
2016-09-17 13:00:00;521,258583068848;567,333333333;8,1212838303489;;;;;;;;;;;
2016-09-17 14:00:00;474,347389221191;606,166666667;21,7463751628929;;;;;;;;;;;
2016-09-17 15:00:00;519,287780761719;556,666666667;6,71476992310039;"September";"Saturday";"North";16,2;1024,1;71;10,9;40;32,4;0;15
2016-09-17 16:00:00;495,149108886719;449;10,278197970316;;;;;;;;;;;
2016-09-17 17:00:00;493,743302345276;401,666666667;22,9236437373111;;;;;;;;;;;
2016-09-17 18:00:00;504,412353515625;454;11,104042624587;"September";"Saturday";"North";14,5;1024,2;82;11,5;55;21,6;0;18
2016-09-17 19:00:00;546,768619537354;489,666666667;11,661392689649;;;;;;;;;;;
2016-09-17 20:00:00;544,070317029953;499,833333333;8,85034685501484;;;;;;;;;;;
2016-09-17 21:00:00;534,309875488281;517,666666667;3,21504355851975;"September";"Saturday";"West";12;1024,4;94;11,1;17;10,8;0;21
2016-09-17 22:00:00;679,536712646484;628,666666667;8,09173583978644;;;;;;;;;;;
2016-09-17 23:00:00;676,046332120895;571,333333333;18,3278294261301;;;;;;;;;;;
2016-09-18 00:00:00;595,328186035156;473,666666667;25,6850498314013;"September";"Sunday";"West";9,8;1024,2;97;9,3;6;7,2;0;0
2016-09-18 01:00:00;501,140281677246;430,833333333;16,3188274686964;;;;;;;;;;;
2016-09-18 02:00:00;423,765426635742;390,166666667;8,6113865789099;;;;;;;;;;;
2016-09-18 03:00:00;405,723449707031;418,5;3,05293913810484;"September";"Sunday";"West";10,1;1023,7;98;9,8;0,6;10,8;0;3
2016-09-18 04:00:00;401,029744148254;412,666666667;2,81993275898293;;;;;;;;;;;
2016-09-18 05:00:00;321,875569343567;348;7,50702030357273;;;;;;;;;;;
2016-09-18 06:00:00;331,431213378906;311,5;6,39846336401485;"September";"Sunday";"North";10,4;1023,4;99;10,2;0,3;10,8;0;6
2016-09-18 07:00:00;354,440729141235;359,833333333;1,49863942337275;;;;;;;;;;;
2016-09-18 08:00:00;414,020910263062;434,333333333;4,67668988563792;;;;;;;;;;;
2016-09-18 09:00:00;528,458862304688;515;2,61337132129854;"September";"Sunday";"North";15,2;1023,5;79;11,6;18;18;0;9
2016-09-18 10:00:00;598,921829223633;553;8,30412825020485;;;;;;;;;;;
2016-09-18 11:00:00;618,734651565552;582,333333333;6,25094188309775;;;;;;;;;;;
2016-09-18 12:00:00;600,683227539062;581,333333333;3,32853684737504;"September";"Sunday";"West";18;1023,2;63;10,8;35;25,2;0;12
2016-09-18 13:00:00;533,748115539551;582;8,29070179732804;;;;;;;;;;;
2016-09-18 14:00:00;483,474586486816;572,166666667;15,5010917879636;;;;;;;;;;;
2016-09-18 15:00:00;469,927734375;547,333333333;14,1423140605445;"September";"Sunday";"West";17,7;1023,2;62;10,3;50;25,2;0;15
2016-09-18 16:00:00;441,13906288147;451,333333333;2,25870098630822;;;;;;;;;;;
2016-09-18 17:00:00;432,825879096985;378,166666667;14,4537362088859;;;;;;;;;;;
2016-09-18 18:00:00;415,430938720703;400,166666667;3,81447864731955;"September";"Sunday";"North";15,7;1023,5;75;11,3;55;14,4;0;18
2016-09-18 19:00:00;452,846225738525;445,166666667;1,725097507642;;;;;;;;;;;
2016-09-18 20:00:00;477,06761932373;453,833333333;5,11956356755363;;;;;;;;;;;
2016-09-18 21:00:00;513,320495605469;450,5;13,9446161166412;"September";"Sunday";"North";14,2;1023,5;86;11,9;35;3,6;0;21
2016-09-18 22:00:00;660,219360351562;580,166666667;13,798223559526;;;;;;;;;;;
2016-09-18 23:00:00;650,521447181702;527;23,4386047783115;;;;;;;;;;;
2016-09-19 00:00:00;538,837341308594;453,833333333;18,7302257750252;"September";"Monday";"West";13,3;1023,3;93;12,2;14;7,2;0;0
2016-09-19 01:00:00;458,540016174316;406,166666667;12,8945464523447;;;;;;;;;;;
2016-09-19 02:00:00;385,8701171875;370,166666667;4,2422648862186;;;;;;;;;;;
2016-09-19 03:00:00;364,641326904297;391,166666667;6,78108387627112;"September";"Monday";"South";13,6;1023;96;13;22;3,6;0;3
2016-09-19 04:00:00;348,344532012939;402,333333333;13,4189232775738;;;;;;;;;;;
2016-09-19 05:00:00;267,691082000732;317,5;15,6878481887457;;;;;;;;;;;
2016-09-19 06:00:00;312,182586669922;304,166666667;2,63537095986183;"September";"Monday";"South";14,4;1022,9;95;13,6;16;10,8;0;6
2016-09-19 07:00:00;371,035884857178;350,333333333;5,90938673383372;;;;;;;;;;;
2016-09-19 08:00:00;453,953380584717;407,5;11,3996025974765;;;;;;;;;;;
2016-09-19 09:00:00;543,8525390625;476,166666667;14,2147439402421;"September";"Monday";"South";15,7;1023,1;93;14,6;19;14,4;;9
2016-09-19 10:00:00;580,855651855469;529,166666667;9,76799720096433;;;;;;;;;;;
2016-09-19 11:00:00;577,438102006912;561,5;2,83848655510458;;;;;;;;;;;
2016-09-19 12:00:00;545,599426269531;581,833333333;6,22754060100078;"September";"Monday";"West";16,2;1022,8;92;14,9;6;14,4;0;12
2016-09-19 13:00:00;511,986476898193;579,166666667;11,5994572262621;;;;;;;;;;;
2016-09-19 14:00:00;516,436418533325;567,166666667;8,94450451959652;;;;;;;;;;;
2016-09-19 15:00:00;513,146301269531;564,5;9,09720083799269;"September";"Monday";"North";17;1022;86;14,6;40;21,6;0;15
2016-09-19 16:00:00;436,013290405273;485,833333333;10,2545542904482;;;;;;;;;;;
2016-09-19 17:00:00;364,987648010254;393;7,12782493377763;;;;;;;;;;;
2016-09-19 18:00:00;456,781341552734;457,5;0,157083813609973;"September";"Monday";"North";15,2;1021,9;91;13,7;18;21,6;0;18
2016-09-19 19:00:00;507,244884490967;499,666666667;1,51665466790428;;;;;;;;;;;
2016-09-19 20:00:00;515,153357982635;473,666666667;8,75862589351294;;;;;;;;;;;
2016-09-19 21:00:00;544,302795410156;470;15,8091054064162;"September";"Monday";"West";14,3;1021,8;96;13,7;7;21,6;0;21
2016-09-19 22:00:00;671,593955993652;583,166666667;15,1632962549189;;;;;;;;;;;
2016-09-19 23:00:00;669,155354976654;527,833333333;26,7739857866264;;;;;;;;;;;
2016-09-20 00:00:00;465,013671875;440,166666667;5,64490841529296;"September";"Tuesday";"North";14,2;1021;97;13,7;4,8;7,2;0;0
2016-09-20 01:00:00;391,875160217285;404,333333333;3,08116400224034;;;;;;;;;;;
2016-09-20 02:00:00;359,316017150879;379,666666667;5,36013595683141;;;;;;;;;;;
2016-09-20 03:00:00;378,447692871094;399,833333333;5,34863871494558;"September";"Tuesday";"East";13,3;1020,1;98;13;0,3;3,6;0;3
2016-09-20 04:00:00;375,462952136993;412,166666667;8,90506620217798;;;;;;;;;;;
2016-09-20 05:00:00;285,748589038849;330;13,4095184730761;;;;;;;;;;;
2016-09-20 06:00:00;309,152252197266;313,833333333;1,49158188074541;"September";"Tuesday";"North";13,5;1020;99;13,3;7;10,8;0;6
2016-09-20 07:00:00;373,298240661621;372,833333333;0,124695751977164;;;;;;;;;;;
2016-09-20 08:00:00;454,487586975098;469,833333333;3,26621064730327;;;;;;;;;;;
2016-09-20 09:00:00;520,132873535156;491,666666667;5,78973699012955;"September";"Tuesday";"North";14,5;1020,5;97;14;4,9;14,4;0;9
2016-09-20 10:00:00;537,751337051392;533,5;0,796876673175558;;;;;;;;;;;
2016-09-20 11:00:00;564,686979293823;541,833333333;4,21783684297212;;;;;;;;;;;
2016-09-20 12:00:00;543,025146484375;589,833333333;7,93583275196126;"September";"Tuesday";"North";17;1019,9;86;14,6;50;14,4;0;12
2016-09-20 13:00:00;510,333515167236;614,166666667;16,9063475983241;;;;;;;;;;;
2016-09-20 14:00:00;516,049823284149;608,666666667;15,2163488580723;;;;;;;;;;;
2016-09-20 15:00:00;513,136901855469;568;9,65899615220621;"September";"Tuesday";"North";18,1;1018,5;81;14,8;19;25,2;0;15
2016-09-20 16:00:00;431,476448059082;482,5;10,5748294178068;;;;;;;;;;;
2016-09-20 17:00:00;362,564018249512;412,333333333;12,0701653395785;;;;;;;;;;;
2016-09-20 18:00:00;475,4345703125;445,333333333;6,75925980079099;"September";"Tuesday";"North";15,6;1018,6;91;14,1;12;21,6;0;18
2016-09-20 19:00:00;536,751953125;494,5;8,5443787917088;;;;;;;;;;;
2016-09-20 20:00:00;541,757771492004;507,666666667;6,71525374096822;;;;;;;;;;;
2016-09-20 21:00:00;522,099487304688;500,666666667;4,28085631910916;"September";"Tuesday";"North";14,3;1018,9;98;14;1,6;10,8;;21
2016-09-20 22:00:00;669,707534790039;601;11,4322021281263;;;;;;;;;;;
2016-09-20 23:00:00;631,186882019043;536,333333333;17,6855591086579;;;;;;;;;;;
