dt_posix;puissance;reality;8,415027674
19/09/2016 17:00;350,3624573;393;0,108492475
14/09/2016 19:00;532,4279022;480,5;0,108070556
14/09/2016 11:00;544,562398;492,3333333;0,106084762
18/09/2016 18:00;442,3482361;400,1666667;0,105410003
17/09/2016 12:00;579,4296265;524,5;0,104727601
14/09/2016 21:00;526,1856689;477,1666667;0,10272931
19/09/2016 15:00;506,785614;564,5;0,102239833
19/09/2016 01:00;447,3439865;406,1666667;0,101380353
16/09/2016 11:00;590,7908592;536,6666667;0,100852533
20/09/2016 15:00;510,7650452;568;0,100765766
20/09/2016 22:00;661,2405396;601;0,100233843
19/09/2016 13:00;521,304121;579,1666667;0,099906554
19/09/2016 09:00;523,1937256;476,1666667;0,098761762
14/09/2016 13:00;596,7542448;543,3333333;0,098320696
17/09/2016 06:00;346,7790833;316;0,097402162
14/09/2016 22:00;666,2855988;607,1666667;0,09736854
18/09/2016 10:00;605,8684235;553;0,095602936
16/09/2016 12:00;574,5275269;524,8333333;0,094685666
17/09/2016 11:00;585,4427795;534,8333333;0,094626574
14/09/2016 10:00;550,2831802;504;0,091831707
18/09/2016 15:00;498,4689636;547,3333333;0,089277168
13/09/2016 06:00;341,0348206;313,8333333;0,086674946
15/09/2016 03:00;416,8066711;383,8333333;0,085905353
20/09/2016 04:00;377,6777792;412,1666667;0,083677042
19/09/2016 02:00;400,6552658;370,1666667;0,082364518
16/09/2016 22:00;666,7993469;616,5;0,081588559
17/09/2016 05:00;305,1813126;332,1666667;0,081240404
18/09/2016 13:00;536,3202362;582;0,078487567
15/09/2016 02:00;386,6123505;358,5;0,078416598
19/09/2016 12:00;536,5163574;581,8333333;0,077886524
14/09/2016 01:00;437,4381447;405,8333333;0,077876332
19/09/2016 08:00;439,2266235;407,5;0,077856745
18/09/2016 11:00;627,3988113;582,3333333;0,07738777
20/09/2016 12:00;544,7973022;589,8333333;0,076353825
15/09/2016 15:00;566,3756104;613;0,076059363
18/09/2016 04:00;381,4350371;412,6666667;0,075682463
18/09/2016 06:00;335,0548706;311,5;0,075617562
14/09/2016 02:00;389,7794952;362,5;0,07525378
14/09/2016 06:00;340,892395;317,1666667;0,074805239
13/09/2016 10:00;552,1614151;513,8333333;0,074592439
17/09/2016 08:00;485,815155;452,1666667;0,074416119
19/09/2016 10:00;568,5350304;529,1666667;0,074396908
14/09/2016 14:00;615,2010908;573;0,073649373
19/09/2016 04:00;373,0767879;402,3333333;0,07271718
16/09/2016 04:00;377,6319818;407,1666667;0,072537089
13/09/2016 21:00;549,7801514;512,8333333;0,072044494
18/09/2016 03:00;388,3829346;418,5;0,071964314
15/09/2016 08:00;492,1663666;459,1666667;0,071868675
20/09/2016 18:00;477,2664795;445,3333333;0,071706167
17/09/2016 15:00;516,7636108;556,6666667;0,071682136
17/09/2016 16:00;480,9116058;449;0,071072619
16/09/2016 13:00;524,9510078;564,5;0,070060216
15/09/2016 18:00;519,4603882;485,5;0,069949306
19/09/2016 20:00;506,240509;473,6666667;0,068769548
16/09/2016 16:00;472,5059052;442,1666667;0,068614938
16/09/2016 10:00;540,3401108;506;0,067865832
13/09/2016 23:00;587,8741417;550,6666667;0,067568054
20/09/2016 19:00;527,3261452;494,5;0,066382498
19/09/2016 05:00;296,4621658;317,5;0,066260895
18/09/2016 19:00;473,6624832;445,1666667;0,064011568
19/09/2016 07:00;372,6046333;350,3333333;0,063571741
17/09/2016 09:00;547,2281494;515,1666667;0,062235165
15/09/2016 21:00;528,6171875;497,6666667;0,062191268
13/09/2016 16:00;465,7761536;496,5;0,061880859
17/09/2016 19:00;519,3367271;489,6666667;0,060592363
17/09/2016 07:00;391,4629707;369,1666667;0,060396309
14/09/2016 00:00;494,6727295;467,1666667;0,058878479
14/09/2016 07:00;406,8964844;384,8333333;0,057331705
18/09/2016 08:00;409,5514069;434,3333333;0,05705739
14/09/2016 03:00;419,2489319;396,6666667;0,05693008
17/09/2016 13:00;535,2042618;567,3333333;0,056631736
16/09/2016 09:00;526,8631592;499,1666667;0,055485461
15/09/2016 23:00;571,8729362;541,8333333;0,05544067
15/09/2016 22:00;650,5396423;616,5;0,055214343
13/09/2016 20:00;513,8755872;542,3333333;0,052472796
13/09/2016 05:00;328,3084793;346,3333333;0,052044814
17/09/2016 18:00;477,6237183;454;0,052034622
13/09/2016 04:00;419,9230015;399,5;0,051121406
20/09/2016 09:00;516,4038086;491,6666667;0,050312831
16/09/2016 03:00;391,6517944;412;0,049388848
13/09/2016 22:00;654,9560013;624,3333333;0,049048587
20/09/2016 20:00;482,8723726;507,6666667;0,048839712
16/09/2016 07:00;405,2053909;425,6666667;0,048068776
20/09/2016 21:00;524,7003174;500,6666667;0,048003297
20/09/2016 03:00;380,725708;399,8333333;0,047788975
20/09/2016 11:00;567,1267853;541,8333333;0,04668124
14/09/2016 15:00;514,4002075;539;0,045639689
18/09/2016 20:00;474,1905842;453,8333333;0,044856227
18/09/2016 16:00;470,924984;451,3333333;0,043408384
20/09/2016 07:00;388,4032173;372,8333333;0,041760976
16/09/2016 15:00;499,2088623;520,8333333;0,041518984
15/09/2016 13:00;599,4909105;625,3333333;0,041325836
20/09/2016 06:00;326,6899109;313,8333333;0,040966259
16/09/2016 05:00;355,6863747;341,8333333;0,040525718
17/09/2016 21:00;538,2524414;517,6666667;0,039766468
15/09/2016 20:00;554,1140862;533,1666667;0,039288689
14/09/2016 08:00;476,8535614;458,8333333;0,039274017
14/09/2016 16:00;421,8051147;438,8333333;0,038803385
16/09/2016 20:00;512,6192474;493,5;0,038742143
16/09/2016 01:00;427,8439713;412,5;0,037197506
16/09/2016 18:00;464,3039551;447,8333333;0,036778463
16/09/2016 19:00;505,8108826;488,1666667;0,036143836
13/09/2016 12:00;575,135376;555,6666667;0,035036669
16/09/2016 02:00;384,0097427;371,1666667;0,034601911
16/09/2016 21:00;528,835022;511,3333333;0,034227553
14/09/2016 17:00;367,9015503;380,5;0,033110249
17/09/2016 04:00;385,8047466;398,6666667;0,032262341
20/09/2016 01:00;417,2055817;404,3333333;0,031835734
15/09/2016 11:00;612,2342758;593,6666667;0,031276152
18/09/2016 09:00;531,0736084;515;0,03121089
17/09/2016 20:00;514,8586044;499,8333333;0,030060562
19/09/2016 06:00;313,0744019;304,1666667;0,029285705
13/09/2016 03:00;419,6601257;407,8333333;0,028999082
19/09/2016 19:00;514,0301819;499,6666667;0,028746195
15/09/2016 16:00;507,8608131;522;0,027086565
16/09/2016 06:00;336,7098999;328;0,026554573
13/09/2016 09:00;516,7438965;503,8333333;0,02562467
20/09/2016 02:00;370,946106;379,6666667;0,022968992
18/09/2016 02:00;398,4757843;390,1666667;0,021296329
18/09/2016 12:00;593,2979736;581,3333333;0,020581377
19/09/2016 18:00;466,8406372;457,5;0,020416693
16/09/2016 08:00;470,5992432;461,8333333;0,018980678
13/09/2016 19:00;551,5315781;561,1666667;0,017169745
13/09/2016 18:00;514,0109253;505,8333333;0,016166574
13/09/2016 15:00;554,7774048;563;0,014604965
14/09/2016 05:00;326,7817688;330,8333333;0,012246543
20/09/2016 10:00;538,9927673;533,5;0,010295721
18/09/2016 07:00;356,2917023;359,8333333;0,009842421
13/09/2016 11:00;550,6758575;545,5;0,009488281
14/09/2016 04:00;404,771843;407,8333333;0,007506719
15/09/2016 17:00;439,3799591;437;0,005446131
13/09/2016 14:00;591,5088577;588,5;0,005112757
19/09/2016 03:00;393,1367493;391,1666667;0,005036428
13/09/2016 13:00;573,6444937;576,5;0,004953177
15/09/2016 19:00;554,361763;557;0,004736512
15/09/2016 05:00;317,3866119;316;0,004388012
15/09/2016 04:00;398,5327015;396,8333333;0,004282322
17/09/2016 03:00;397,3259888;398,6666667;0,003362904
19/09/2016 11:00;560,1311913;561,5;0,002437772
20/09/2016 08:00;469,883194;469,8333333;0,000106124
15/09/2016 12:00;615,4871826;615,5;2,08243E-05
