"dt_posix";"puissance";"reality";"mape";"Month";"f_weekend";"f_evening";"temp";"pression";"hr";"p_ros";"visi";"vt_moy";"vt_raf";"vt_dir";"rr_3h";"Hour"
2016-09-14 03:00:00;437,23388671875;396,666666667;10,2270302651385;"September";0;0;16,2;1004;97;15,7;2,9;7,408;12,964;80;0;3
2016-09-14 04:00:00;425,016193389893;407,833333333;4,21320638910665;;;;;;;;;;;;;
2016-09-14 05:00:00;352,085792541504;330,833333333;6,42391714111597;;;;;;;;;;;;;
2016-09-14 06:00:00;358,594451904297;317,166666667;13,0618345466905;"September";0;0;15,5;1004,6;94;14,5;45;18;36;100;0;6
2016-09-14 07:00:00;395,864231109619;384,833333333;2,86640912342019;;;;;;;;;;;;;
2016-09-14 08:00:00;476,515953063965;458,833333333;3,85382195371835;;;;;;;;;;;;;
2016-09-14 09:00:00;525,129150390625;478,333333333;9,78309764271588;"September";0;0;18;1005,9;82;14,9;29;28,8;46,8;130;0;9
2016-09-14 10:00:00;567,415981292725;504;12,5825359707787;;;;;;;;;;;;;
2016-09-14 11:00:00;557,069396972656;492,333333333;13,1488280920176;;;;;;;;;;;;;
2016-09-14 12:00:00;578,374755859375;519,5;11,3329655167228;"September";0;0;20,2;1007,2;65;13,4;7;32,4;54;140;0;12
2016-09-14 13:00:00;563,803634643555;543,333333333;3,7675401185093;;;;;;;;;;;;;
2016-09-14 14:00:00;589,410190582275;573;2,86390760598174;;;;;;;;;;;;;
2016-09-14 15:00:00;504,932952880859;539;6,3204169052209;"September";0;0;20,4;1007,9;62;12,9;28;25,2;46,8;150;0;15
2016-09-14 16:00:00;409,996505737305;438,833333333;6,57124821778592;;;;;;;;;;;;;
2016-09-14 17:00:00;394,894111633301;380,5;3,78294655277287;;;;;;;;;;;;;
2016-09-14 18:00:00;495,133422851562;426;16,2285030167987;"September";0;1;18,6;1009,3;63;11,4;45;25,2;43,2;130;0;18
2016-09-14 19:00:00;544,457641601562;480,5;13,3106434134365;;;;;;;;;;;;;
2016-09-14 20:00:00;536,952415466309;471,833333333;13,8012890427456;;;;;;;;;;;;;
2016-09-14 21:00:00;538,398132324219;477,166666667;12,8323015697889;"September";0;1;13,8;1010,5;89;12;60;3,6;10,8;50;0;21
2016-09-14 22:00:00;675,179290771484;607,166666667;11,2016399842625;;;;;;;;;;;;;
2016-09-14 23:00:00;709,500335693359;539,833333333;31,4295157197525;;;;;;;;;;;;;
2016-09-15 00:00:00;560,053039550781;445,333333333;25,7604130728744;"September";0;0;13,4;1010,4;89;11,6;60;10,8;14,4;40;0;0
2016-09-15 01:00:00;489,297546386719;393,166666667;24,4504145111413;;;;;;;;;;;;;
2016-09-15 02:00:00;420,496765136719;358,5;17,2933793965743;;;;;;;;;;;;;
2016-09-15 03:00:00;420,922698974609;383,833333333;9,66288292878201;"September";0;0;12,7;1009,8;94;11,8;60;7,2;7,2;100;0;3
2016-09-15 04:00:00;392,048322677612;396,833333333;1,20579856918732;;;;;;;;;;;;;
2016-09-15 05:00:00;324,503379821777;316;2,69094298157511;;;;;;;;;;;;;
2016-09-15 06:00:00;375,994079589844;294;27,8891427176339;"September";0;0;13,8;1010,1;92;12,5;4,6;7,2;18;20;;6
2016-09-15 07:00:00;422,544319152832;357,5;18,1942151476453;;;;;;;;;;;;;
2016-09-15 08:00:00;515,788391113281;459,166666667;12,3314100427383;;;;;;;;;;;;;
2016-09-15 09:00:00;606,32080078125;503;20,5409146682406;"September";0;0;14;1010,8;98;13,7;2,9;7,2;14,4;310;9;9
2016-09-15 10:00:00;617,706274032593;525,5;17,5463889690947;;;;;;;;;;;;;
2016-09-15 11:00:00;632,762508392334;593,666666667;6,5854870957853;;;;;;;;;;;;;
2016-09-15 12:00:00;634,860412597656;615,5;3,14547727013099;"September";0;0;16,4;1011,4;95;15,6;2;10,8;14,4;290;0;12
2016-09-15 13:00:00;618,843803405762;625,333333333;1,03777131032651;;;;;;;;;;;;;
2016-09-15 14:00:00;603,949253082275;658;8,21439922761772;;;;;;;;;;;;;
2016-09-15 15:00:00;563,588012695312;613;8,06068308396207;"September";0;0;16,3;1011,8;91;14,8;19;10,8;18;330;1;15
2016-09-15 16:00:00;519,70235824585;522;0,440161255584366;;;;;;;;;;;;;
2016-09-15 17:00:00;420,417724609375;437;3,79457102760297;;;;;;;;;;;;;
2016-09-15 18:00:00;540,405456542969;485,5;11,3090538708484;"September";0;1;16,1;1012,8;94;15,1;18;7,2;10,8;300;;18
2016-09-15 19:00:00;584,232883453369;557;4,88920708319015;;;;;;;;;;;;;
2016-09-15 20:00:00;646,711265563965;533,166666667;21,2962673767228;;;;;;;;;;;;;
2016-09-15 21:00:00;532,790344238281;497,666666667;7,05767131371555;"September";0;1;16,2;1014;96;15,6;10;14,4;25,2;320;0;21
2016-09-15 22:00:00;658,330627441406;616,5;6,78517882261253;;;;;;;;;;;;;
2016-09-15 23:00:00;605,351455688477;541,833333333;11,7228155685356;;;;;;;;;;;;;
2016-09-16 00:00:00;509,972351074219;442,5;15,2479889433263;"September";0;0;15,9;1014,7;95;15,1;16;18;28,8;310;0;0
2016-09-16 01:00:00;434,430557250977;412,5;5,31649872750947;;;;;;;;;;;;;
2016-09-16 02:00:00;378,055160522461;371,166666667;1,85590314920199;;;;;;;;;;;;;
2016-09-16 03:00:00;406,530975341797;412;1,32743316946678;"September";0;0;15,2;1015,4;92;13,9;40;21,6;32,4;320;0;3
2016-09-16 04:00:00;386,950645446777;407,166666667;4,96504819161837;;;;;;;;;;;;;
2016-09-16 05:00:00;374,631893157959;341,833333333;9,59489804729137;;;;;;;;;;;;;
2016-09-16 06:00:00;338,810638427734;328;3,29592634991902;"September";0;0;15,1;1016,8;92;13,8;15;18;36;320;;6
2016-09-16 07:00:00;377,876571655273;425,666666667;11,2271170740068;;;;;;;;;;;;;
2016-09-16 08:00:00;486,775863647461;461,833333333;5,40076441309541;;;;;;;;;;;;;
2016-09-16 09:00:00;548,365783691406;499,166666667;9,85625048902305;"September";0;0;16,4;1019;76;12,2;13;28,8;39,6;350;;9
2016-09-16 10:00:00;580,489364624023;506;14,721218305143;;;;;;;;;;;;;
2016-09-16 11:00:00;556,960050582886;536,666666667;3,78137588494531;;;;;;;;;;;;;
2016-09-16 12:00:00;574,908386230469;524,833333333;9,54113424531607;"September";0;0;16,6;1020,4;68;10,7;16;25,2;46,8;340;0;12
2016-09-16 13:00:00;531,701175689697;564,5;5,81024345620952;;;;;;;;;;;;;
2016-09-16 14:00:00;491,305099487305;572,666666667;14,207491358495;;;;;;;;;;;;;
2016-09-16 15:00:00;506,690948486328;520,833333333;2,71533789056275;"September";0;0;16,7;1021,1;70;11,2;19;28,8;50,4;330;0;15
2016-09-16 16:00:00;483,750663757324;442,166666667;9,40459790960261;;;;;;;;;;;;;
2016-09-16 17:00:00;482,300470352173;386,666666667;24,7328802633854;;;;;;;;;;;;;
2016-09-16 18:00:00;472,081390380859;447,833333333;5,41452706688741;"September";0;1;14,5;1022,6;80;11,1;55;18;39,6;330;0;18
2016-09-16 19:00:00;514,334011077881;488,166666667;5,3603300261242;;;;;;;;;;;;;
2016-09-16 20:00:00;517,054294586182;493,5;4,77290670439344;;;;;;;;;;;;;
2016-09-16 21:00:00;546,442993164062;511,333333333;6,86629592524486;"September";0;1;13,3;1024,3;87;11,2;45;14,4;21,6;330;0;21
2016-09-16 22:00:00;690,677139282227;616,5;12,0319771747326;;;;;;;;;;;;;
2016-09-16 23:00:00;685,73095703125;560,5;22,3427220394737;;;;;;;;;;;;;
2016-09-17 00:00:00;545,905029296875;461,333333333;18,3320150210844;"September";1;0;12,2;1024,3;94;11,3;19;7,2;14,4;320;;0
2016-09-17 01:00:00;474,0556640625;397,666666667;19,2093036199755;;;;;;;;;;;;;
2016-09-17 02:00:00;397,177825927734;363,333333333;9,31499796186205;;;;;;;;;;;;;
2016-09-17 03:00:00;394,092193603516;398,666666667;1,14744307612389;"September";1;0;12,6;1024,5;95;11,8;19;10,8;18;310;0;3
2016-09-17 04:00:00;385,314373016357;398,666666667;3,3492375377838;;;;;;;;;;;;;
2016-09-17 05:00:00;316,48949432373;332,166666667;4,7196705499008;;;;;;;;;;;;;
2016-09-17 06:00:00;340,314208984375;316;7,69436993176424;"September";1;0;12,3;1024,7;96;11,7;18;3,6;18;350;0;6
2016-09-17 07:00:00;390,565235137939;369,166666667;5,79645195600545;;;;;;;;;;;;;
2016-09-17 08:00:00;470,271194458008;452,166666667;4,00395011964492;;;;;;;;;;;;;
2016-09-17 09:00:00;525,948669433594;515,166666667;2,09291545129476;"September";1;0;15,9;1025,3;79;12,3;35;18;28,8;340;0;9
2016-09-17 10:00:00;562,861030578613;510,833333333;10,1848673237809;;;;;;;;;;;;;
2016-09-17 11:00:00;546,115840911865;534,833333333;2,10953709795056;;;;;;;;;;;;;
2016-09-17 12:00:00;569,724914550781;524,5;8,62248132522045;"September";1;0;17,3;1025;67;11,1;25;18;28,8;340;0;12
2016-09-17 13:00:00;542,173234939575;567,333333333;4,43479995184012;;;;;;;;;;;;;
2016-09-17 14:00:00;492,043472290039;606,166666667;18,8270323415284;;;;;;;;;;;;;
2016-09-17 15:00:00;498,861083984375;556,666666667;10,3842364100462;"September";1;0;16,2;1024,1;71;10,9;40;18;32,4;330;0;15
2016-09-17 16:00:00;466,197483062744;449;3,83017440150204;;;;;;;;;;;;;
2016-09-17 17:00:00;470,90912437439;401,666666667;17,238786151203;;;;;;;;;;;;;
2016-09-17 18:00:00;457,093536376953;454;0,681395677742979;"September";1;1;14,5;1024,2;82;11,5;55;7,2;21,6;340;0;18
2016-09-17 19:00:00;491,787845611572;489,666666667;0,433188348108402;;;;;;;;;;;;;
2016-09-17 20:00:00;496,33837890625;499,833333333;0,699223960003798;;;;;;;;;;;;;
2016-09-17 21:00:00;548,485778808594;517,666666667;5,95346660815981;"September";1;1;12;1024,4;94;11,1;17;7,2;10,8;310;0;21
2016-09-17 22:00:00;694,777557373047;628,666666667;10,5160483625682;;;;;;;;;;;;;
2016-09-17 23:00:00;689,938735961914;571,333333333;20,7594053609656;;;;;;;;;;;;;
2016-09-18 00:00:00;555,896667480469;473,666666667;17,3603098128243;"September";1;0;9,8;1024,2;97;9,3;6;7,2;7,2;310;0;0
2016-09-18 01:00:00;472,356742858887;430,833333333;9,63792871007788;;;;;;;;;;;;;
2016-09-18 02:00:00;405,966400146484;390,166666667;4,04948316432401;;;;;;;;;;;;;
2016-09-18 03:00:00;398,604766845703;418,5;4,75393862707213;"September";1;0;10,1;1023,7;98;9,8;0,6;3,6;10,8;300;0;3
2016-09-18 04:00:00;399,357708096504;412,666666667;3,22511112370397;;;;;;;;;;;;;
2016-09-18 05:00:00;309,130020141602;348;11,1695344420685;;;;;;;;;;;;;
2016-09-18 06:00:00;340,191802978516;311,5;9,21085167849619;"September";1;0;10,4;1023,4;99;10,2;0,3;3,6;10,8;340;0;6
2016-09-18 07:00:00;409,738578796387;359,833333333;13,8689890125335;;;;;;;;;;;;;
2016-09-18 08:00:00;473,868438720703;434,333333333;9,10248013531853;;;;;;;;;;;;;
2016-09-18 09:00:00;533,528137207031;515;3,59769654505461;"September";1;0;15,2;1023,5;79;11,6;18;7,2;18;360;0;9
2016-09-18 10:00:00;555,42338180542;553;0,43822455794212;;;;;;;;;;;;;
2016-09-18 11:00:00;527,825315475464;582,333333333;9,36027782328003;;;;;;;;;;;;;
2016-09-18 12:00:00;560,640625;581,333333333;3,55952551599975;"September";1;0;18;1023,2;63;10,8;35;10,8;25,2;300;0;12
2016-09-18 13:00:00;528,828512191772;582;9,13599446876762;;;;;;;;;;;;;
2016-09-18 14:00:00;500,243682861328;572,166666667;12,5702855471535;;;;;;;;;;;;;
2016-09-18 15:00:00;489,930084228516;547,333333333;10,4878043430912;"September";1;0;17,7;1023,2;62;10,3;50;10,8;25,2;310;0;15
2016-09-18 16:00:00;454,234474182129;451,333333333;0,642793393455923;;;;;;;;;;;;;
2016-09-18 17:00:00;450,210205078125;378,166666667;19,0507373497739;;;;;;;;;;;;;
2016-09-18 18:00:00;459,723388671875;400,166666667;14,8829792598481;"September";1;1;15,7;1023,5;75;11,3;55;3,6;14,4;350;0;18
2016-09-18 19:00:00;505,919975280762;445,166666667;13,6473175470722;;;;;;;;;;;;;
2016-09-18 20:00:00;491,658369064331;453,833333333;8,33456534660863;;;;;;;;;;;;;
2016-09-18 21:00:00;510,153747558594;450,5;13,2416753737167;"September";1;1;14,2;1023,5;86;11,9;35;0;3,6;0;0;21
2016-09-18 22:00:00;653,196868896484;580,166666667;12,5877969944457;;;;;;;;;;;;;
2016-09-18 23:00:00;639,308227539062;527;21,3108591155716;;;;;;;;;;;;;
2016-09-19 00:00:00;541,025024414062;453,833333333;19,2122712628263;"September";0;0;13,3;1023,3;93;12,2;14;3,6;7,2;230;0;0
2016-09-19 01:00:00;468,909950256348;406,166666667;15,4476693285095;;;;;;;;;;;;;
2016-09-19 02:00:00;397,064529418945;370,166666667;7,26641947372924;;;;;;;;;;;;;
2016-09-19 03:00:00;377,428894042969;391,166666667;3,51199981866712;"September";0;0;13,6;1023;96;13;22;3,6;3,6;160;0;3
2016-09-19 04:00:00;370,284252643585;402,333333333;7,96580298826214;;;;;;;;;;;;;
2016-09-19 05:00:00;283,495620727539;317,5;10,7100407157357;;;;;;;;;;;;;
2016-09-19 06:00:00;319,028564453125;304,166666667;4,88610338173437;"September";0;0;14,4;1022,9;95;13,6;16;7,2;10,8;190;0;6
2016-09-19 07:00:00;384,17578125;350,333333333;9,66007076604155;;;;;;;;;;;;;
2016-09-19 08:00:00;457,881210327148;407,5;12,3634871968462;;;;;;;;;;;;;
2016-09-19 09:00:00;547,283020019531;476,166666667;14,9351809630693;"September";0;0;15,7;1023,1;93;14,6;19;10,8;14,4;180;;9
2016-09-19 10:00:00;565,407981872559;529,166666667;6,8487524797863;;;;;;;;;;;;;
2016-09-19 11:00:00;580,446434020996;561,5;3,37425361015069;;;;;;;;;;;;;
2016-09-19 12:00:00;579,621765136719;581,833333333;0,380103385210408;"September";0;0;16,2;1022,8;92;14,9;6;7,2;14,4;230;0;12
2016-09-19 13:00:00;539,884700775146;579,166666667;6,78249770794202;;;;;;;;;;;;;
2016-09-19 14:00:00;515,899559020996;567,166666667;9,03916091318961;;;;;;;;;;;;;
2016-09-19 15:00:00;580,095153808594;564,5;2,76264903606621;"September";0;0;17;1022;86;14,6;40;14,4;21,6;340;0;15
2016-09-19 16:00:00;524,443592071533;485,833333333;7,94722306797112;;;;;;;;;;;;;
2016-09-19 17:00:00;450,985595703125;393;14,754604504612;;;;;;;;;;;;;
2016-09-19 18:00:00;476,429351806641;457,5;4,13756323642418;"September";0;1;15,2;1021,9;91;13,7;18;14,4;21,6;340;0;18
2016-09-19 19:00:00;517,288650512695;499,666666667;3,52674793442633;;;;;;;;;;;;;
2016-09-19 20:00:00;531,58846282959;473,666666667;12,2283876486733;;;;;;;;;;;;;
2016-09-19 21:00:00;518,228454589844;470;10,261373316988;"September";0;1;14,3;1021,8;96;13,7;7;10,8;21,6;310;0;21
2016-09-19 22:00:00;651,111465454102;583,166666667;11,6510086516827;;;;;;;;;;;;;
2016-09-19 23:00:00;528,244623184204;527,833333333;0,0779204012385829;;;;;;;;;;;;;
2016-09-20 00:00:00;496,748382568359;440,166666667;12,8546117155585;"September";0;0;14,2;1021;97;13,7;4,8;0;7,2;0;0;0
2016-09-20 01:00:00;421,201217651367;404,333333333;4,17177683059714;;;;;;;;;;;;;
2016-09-20 02:00:00;371,333946228027;379,666666667;2,19474638427533;;;;;;;;;;;;;
2016-09-20 03:00:00;401,082702636719;399,833333333;0,312472522814458;"September";0;0;13,3;1020,1;98;13;0,3;3,6;3,6;60;0;3
2016-09-20 04:00:00;398,660883903503;412,166666667;3,27677705543526;;;;;;;;;;;;;
2016-09-20 05:00:00;326,945022583008;330;0,925750732421875;;;;;;;;;;;;;
2016-09-20 06:00:00;336,83203125;313,833333333;7,32831585247725;"September";0;0;13,5;1020;99;13,3;7;7,2;10,8;40;0;6
2016-09-20 07:00:00;397,294158935547;372,833333333;6,56079363502068;;;;;;;;;;;;;
2016-09-20 08:00:00;460,574371337891;469,833333333;1,97069074035813;;;;;;;;;;;;;
2016-09-20 09:00:00;544,732421875;491,666666667;10,793034957552;"September";0;0;14,5;1020,5;97;14;4,9;7,2;14,4;10;0;9
2016-09-20 10:00:00;575,133819580078;533,5;7,80390245174848;;;;;;;;;;;;;
2016-09-20 11:00:00;584,924663543701;541,833333333;7,95287546183838;;;;;;;;;;;;;
2016-09-20 12:00:00;533,301513671875;589,833333333;9,58437179900938;"September";0;0;17;1019,9;86;14,6;50;7,2;14,4;10;0;12
2016-09-20 13:00:00;500,654090881348;614,166666667;18,48237326224;;;;;;;;;;;;;
2016-09-20 14:00:00;468,853340148926;608,666666667;22,9704260434826;;;;;;;;;;;;;
2016-09-20 15:00:00;506,276611328125;568;10,8667937802597;"September";0;0;18,1;1018,5;81;14,8;19;14,4;25,2;360;0;15
2016-09-20 16:00:00;455,53231048584;482,5;5,5891584485306;;;;;;;;;;;;;
2016-09-20 17:00:00;344,076217651367;412,333333333;16,5538679907085;;;;;;;;;;;;;
2016-09-20 18:00:00;471,233215332031;445,333333333;5,81584176625389;"September";0;1;15,6;1018,6;91;14,1;12;14,4;21,6;350;0;18
2016-09-20 19:00:00;520,065322875977;494,5;5,16993384751801;;;;;;;;;;;;;
2016-09-20 20:00:00;525,969966888428;507,666666667;3,60537758793481;;;;;;;;;;;;;
2016-09-20 21:00:00;486,755706787109;500,666666667;2,778487326208;"September";0;1;14,3;1018,9;98;14;1,6;7,2;10,8;350;;21
2016-09-20 22:00:00;632,272033691406;601;5,20333339291285;;;;;;;;;;;;;
2016-09-20 23:00:00;461,134481430054;536,333333333;14,020917073274;;;;;;;;;;;;;
