"dt_posix";"puissance";"reality";"mape";"Month";"Weekday";"temp";"pression";"hr";"p_ros";"visi";"vt_moy";"vt_raf";"vt_dir";"rr_3h";"nebul";"Hour"
2016-09-14 08:00:00;492,695831298828;458,833333333;7,3801303231063;;;;;;;;;;;;;
2016-09-14 09:00:00;611,550415039062;478,333333333;27,8502609838652;"September";"Wednesday";18;1005,9;82;14,9;29;28,8;46,8;130;0;;9
2016-09-14 10:00:00;609,6476572752;504;20,9618367609524;;;;;;;;;;;;;
2016-09-14 11:00:00;634,15184211731;492,333333333;28,8053843163992;;;;;;;;;;;;;
2016-09-14 12:00:00;582,609436035156;519,5;12,1481108826095;"September";"Wednesday";20,2;1007,2;65;13,4;7;32,4;54;140;0;7;12
2016-09-14 13:00:00;538,743659973145;543,333333333;0,844725158256133;;;;;;;;;;;;;
2016-09-14 14:00:00;513,490692138672;573;10,3855685621864;;;;;;;;;;;;;
2016-09-14 15:00:00;572,225952148438;539;6,16436960082328;"September";"Wednesday";20,4;1007,9;62;12,9;28;25,2;46,8;150;0;;15
2016-09-14 16:00:00;510,697261810303;438,833333333;16,3761325812436;;;;;;;;;;;;;
2016-09-14 17:00:00;473,763511657715;380,5;24,510778359452;;;;;;;;;;;;;
2016-09-14 18:00:00;514,862731933594;426;20,8597962285431;"September";"Wednesday";18,6;1009,3;63;11,4;45;25,2;43,2;130;0;;18
2016-09-14 19:00:00;549,648971557617;480,5;14,3910450692231;;;;;;;;;;;;;
2016-09-14 20:00:00;547,448276519775;471,833333333;16,0257739004229;;;;;;;;;;;;;
2016-09-14 21:00:00;491,359130859375;477,166666667;2,97432012414217;"September";"Wednesday";13,8;1010,5;89;12;60;3,6;10,8;50;0;;21
2016-09-14 22:00:00;644,377166748047;607,166666667;6,12854791342737;;;;;;;;;;;;;
2016-09-14 23:00:00;615,269668579102;539,833333333;13,974004676656;;;;;;;;;;;;;
2016-09-15 00:00:00;506,993774414062;445,333333333;13,8459074283927;"September";"Thursday";13,4;1010,4;89;11,6;60;10,8;14,4;40;0;8;0
2016-09-15 01:00:00;422,679153442383;393,166666667;7,50635526291423;;;;;;;;;;;;;
2016-09-15 02:00:00;348,112380981445;358,5;2,89752273878792;;;;;;;;;;;;;
2016-09-15 03:00:00;389,361358642578;383,833333333;1,44021501769421;"September";"Thursday";12,7;1009,8;94;11,8;60;7,2;7,2;100;0;7;3
2016-09-15 04:00:00;374,468718528748;396,833333333;5,63577021527204;;;;;;;;;;;;;
2016-09-15 05:00:00;296,403366088867;316;6,20146642757368;;;;;;;;;;;;;
2016-09-15 06:00:00;334,84716796875;294;13,8935945471939;"September";"Thursday";13,8;1010,1;92;12,5;4,6;7,2;18;20;;8;6
2016-09-15 07:00:00;391,903835296631;357,5;9,62345043262402;;;;;;;;;;;;;
2016-09-15 08:00:00;486,543121337891;459,166666667;5,96220428403718;;;;;;;;;;;;;
2016-09-15 09:00:00;573,813842773438;503;14,0782987621148;"September";"Thursday";14;1010,8;98;13,7;2,9;7,2;14,4;310;9;8;9
2016-09-15 10:00:00;619,659694671631;525,5;17,9181150659621;;;;;;;;;;;;;
2016-09-15 11:00:00;619,452136993408;593,666666667;4,34342565857279;;;;;;;;;;;;;
2016-09-15 12:00:00;585,453552246094;615,5;4,88163245392465;"September";"Thursday";16,4;1011,4;95;15,6;2;10,8;14,4;290;0;8;12
2016-09-15 13:00:00;580,88257932663;625,333333333;7,10832953193935;;;;;;;;;;;;;
2016-09-15 14:00:00;549,563365936279;658;16,4797316206262;;;;;;;;;;;;;
2016-09-15 15:00:00;565,108581542969;613;7,81262943834115;"September";"Thursday";16,3;1011,8;91;14,8;19;10,8;18;330;1;8;15
2016-09-15 16:00:00;512,741222381592;522;1,77371218743452;;;;;;;;;;;;;
2016-09-15 17:00:00;486,055320739746;437;11,2254738534888;;;;;;;;;;;;;
2016-09-15 18:00:00;509,070648193359;485,5;4,8549223879216;"September";"Thursday";16,1;1012,8;94;15,1;18;7,2;10,8;300;;8;18
2016-09-15 19:00:00;545,594917297363;557;2,04759114948595;;;;;;;;;;;;;
2016-09-15 20:00:00;578,927780151367;533,166666667;8,58289093172966;;;;;;;;;;;;;
2016-09-15 21:00:00;528,252258300781;497,666666667;6,14579872078247;"September";"Thursday";16,2;1014;96;15,6;10;14,4;25,2;320;0;8;21
2016-09-15 22:00:00;663,402282714844;616,5;7,60783174612226;;;;;;;;;;;;;
2016-09-15 23:00:00;637,084609985352;541,833333333;17,5794420152095;;;;;;;;;;;;;
2016-09-16 00:00:00;505,684814453125;442,5;14,2790541137006;"September";"Friday";15,9;1014,7;95;15,1;16;18;28,8;310;0;8;0
2016-09-16 01:00:00;429,354911804199;412,5;4,08603922526042;;;;;;;;;;;;;
2016-09-16 02:00:00;406,118537902832;371,166666667;9,41675920138319;;;;;;;;;;;;;
2016-09-16 03:00:00;401,262268066406;412;2,60624561494994;"September";"Friday";15,2;1015,4;92;13,9;40;21,6;32,4;320;0;8;3
2016-09-16 04:00:00;390,234799385071;407,166666667;4,15846105982366;;;;;;;;;;;;;
2016-09-16 05:00:00;347,121276855469;341,833333333;1,54693618404893;;;;;;;;;;;;;
2016-09-16 06:00:00;327,146728515625;328;0,26014374523628;"September";"Friday";15,1;1016,8;92;13,8;15;18;36;320;;8;6
2016-09-16 07:00:00;383,504806518555;425,666666667;9,9049005830256;;;;;;;;;;;;;
2016-09-16 08:00:00;466,037872314453;461,833333333;0,910401800387479;;;;;;;;;;;;;
2016-09-16 09:00:00;533,202758789062;499,166666667;6,81858272895621;"September";"Friday";16,4;1019;76;12,2;13;28,8;39,6;350;;6;9
2016-09-16 10:00:00;540,801829338074;506;6,87783188499481;;;;;;;;;;;;;
2016-09-16 11:00:00;589,317512512207;536,666666667;9,81071661711324;;;;;;;;;;;;;
2016-09-16 12:00:00;551,839172363281;524,833333333;5,14560286382312;"September";"Friday";16,6;1020,4;68;10,7;16;25,2;46,8;340;0;7;12
2016-09-16 13:00:00;509,080944061279;564,5;9,81737040544211;;;;;;;;;;;;;
2016-09-16 14:00:00;465,975738525391;572,666666667;18,6305462412481;;;;;;;;;;;;;
2016-09-16 15:00:00;489,5703125;520,833333333;6,00249999993985;"September";"Friday";16,7;1021,1;70;11,2;19;28,8;50,4;330;0;8;15
2016-09-16 16:00:00;475,523034095764;442,166666667;7,54384487645812;;;;;;;;;;;;;
2016-09-16 17:00:00;413,112380981445;386,666666667;6,83940887441961;;;;;;;;;;;;;
2016-09-16 18:00:00;453,071716308594;447,833333333;1,16971707679888;"September";"Friday";14,5;1022,6;80;11,1;55;18;39,6;330;0;;18
2016-09-16 19:00:00;494,246379852295;488,166666667;1,24541751832518;;;;;;;;;;;;;
2016-09-16 20:00:00;504,672355651855;493,5;2,26390185447932;;;;;;;;;;;;;
2016-09-16 21:00:00;514,282592773438;511,333333333;0,576778247804323;"September";"Friday";13,3;1024,3;87;11,2;45;14,4;21,6;330;0;;21
2016-09-16 22:00:00;648,143081665039;616,5;5,1326977558863;;;;;;;;;;;;;
2016-09-16 23:00:00;613,225250244141;560,5;9,4068243076076;;;;;;;;;;;;;
2016-09-17 00:00:00;547,009399414062;461,333333333;18,5714016071801;"September";"Saturday";12,2;1024,3;94;11,3;19;7,2;14,4;320;;;0
2016-09-17 01:00:00;460,136581420898;397,666666667;15,7091151937584;;;;;;;;;;;;;
2016-09-17 02:00:00;387,962738037109;363,333333333;6,77873523966935;;;;;;;;;;;;;
2016-09-17 03:00:00;383,483093261719;398,666666667;3,8085886468065;"September";"Saturday";12,6;1024,5;95;11,8;19;10,8;18;310;0;;3
2016-09-17 04:00:00;364,500204086304;398,666666667;8,57018292157217;;;;;;;;;;;;;
2016-09-17 05:00:00;310,916877746582;332,166666667;6,39732732174511;;;;;;;;;;;;;
2016-09-17 06:00:00;329,377807617188;316;4,2334834231606;"September";"Saturday";12,3;1024,7;96;11,7;18;3,6;18;350;0;8;6
2016-09-17 07:00:00;377,370338439941;369,166666667;2,22221357280379;;;;;;;;;;;;;
2016-09-17 08:00:00;450,295120239258;452,166666667;0,413906323864539;;;;;;;;;;;;;
2016-09-17 09:00:00;497,130279541016;515,166666667;3,50107805745183;"September";"Saturday";15,9;1025,3;79;12,3;35;18;28,8;340;0;7;9
2016-09-17 10:00:00;521,200944900513;510,833333333;2,02954875710006;;;;;;;;;;;;;
2016-09-17 11:00:00;545,840362548828;534,833333333;2,05802976924306;;;;;;;;;;;;;
2016-09-17 12:00:00;561,094299316406;524,5;6,97698747691254;"September";"Saturday";17,3;1025;67;11,1;25;18;28,8;340;0;7;12
2016-09-17 13:00:00;519,571277618408;567,333333333;8,41869372173089;;;;;;;;;;;;;
2016-09-17 14:00:00;479,57511138916;606,166666667;20,8839519292445;;;;;;;;;;;;;
2016-09-17 15:00:00;465,039825439453;556,666666667;16,459911597753;"September";"Saturday";16,2;1024,1;71;10,9;40;18;32,4;330;0;;15
2016-09-17 16:00:00;435,806678771973;449;2,93837889265642;;;;;;;;;;;;;
2016-09-17 17:00:00;455,547799110413;401,666666667;13,4143898199256;;;;;;;;;;;;;
2016-09-17 18:00:00;466,113250732422;454;2,66811690141451;"September";"Saturday";14,5;1024,2;82;11,5;55;7,2;21,6;340;0;;18
2016-09-17 19:00:00;489,648813247681;489,666666667;0,00364603525922516;;;;;;;;;;;;;
2016-09-17 20:00:00;506,468364715576;499,833333333;1,32744875943593;;;;;;;;;;;;;
2016-09-17 21:00:00;608,654357910156;517,666666667;17,5765018499223;"September";"Saturday";12;1024,4;94;11,1;17;7,2;10,8;310;0;;21
2016-09-17 22:00:00;761,52409362793;628,666666667;21,1332068336468;;;;;;;;;;;;;
2016-09-17 23:00:00;722,810501098633;571,333333333;26,5129231795311;;;;;;;;;;;;;
2016-09-18 00:00:00;548,663269042969;473,666666667;15,8332024720442;"September";"Sunday";9,8;1024,2;97;9,3;6;7,2;7,2;310;0;;0
2016-09-18 01:00:00;476,303314208984;430,833333333;10,5539607449175;;;;;;;;;;;;;
2016-09-18 02:00:00;394,518096923828;390,166666667;1,11527473476917;;;;;;;;;;;;;
2016-09-18 03:00:00;374,655242919922;418,5;10,476644463579;"September";"Sunday";10,1;1023,7;98;9,8;0,6;3,6;10,8;300;0;;3
2016-09-18 04:00:00;361,89879322052;412,666666667;12,3023925960676;;;;;;;;;;;;;
2016-09-18 05:00:00;291,514808654785;348;16,2313768233376;;;;;;;;;;;;;
2016-09-18 06:00:00;385,477874755859;311,5;23,7489164545295;"September";"Sunday";10,4;1023,4;99;10,2;0,3;3,6;10,8;340;0;;6
2016-09-18 07:00:00;407,599178314209;359,833333333;13,2744358447207;;;;;;;;;;;;;
2016-09-18 08:00:00;464,71159362793;434,333333333;6,99422723598304;;;;;;;;;;;;;
2016-09-18 09:00:00;529,620544433594;515;2,83894066671723;"September";"Sunday";15,2;1023,5;79;11,6;18;7,2;18;360;0;;9
2016-09-18 10:00:00;580,086059570312;553;4,89802162211799;;;;;;;;;;;;;
2016-09-18 11:00:00;583,545867919922;582,333333333;0,208220020650692;;;;;;;;;;;;;
2016-09-18 12:00:00;596,362976074219;581,333333333;2,58537432475241;"September";"Sunday";18;1023,2;63;10,8;35;10,8;25,2;300;0;7;12
2016-09-18 13:00:00;562,294334411621;582;3,38585319387954;;;;;;;;;;;;;
2016-09-18 14:00:00;529,818572998047;572,166666667;7,40135630683281;;;;;;;;;;;;;
2016-09-18 15:00:00;448,200347900391;547,333333333;18,1119949024366;"September";"Sunday";17,7;1023,2;62;10,3;50;10,8;25,2;310;0;8;15
2016-09-18 16:00:00;404,007923126221;451,333333333;10,4856891152469;;;;;;;;;;;;;
2016-09-18 17:00:00;352,801750183105;378,166666667;6,70733798603936;;;;;;;;;;;;;
2016-09-18 18:00:00;437,822357177734;400,166666667;9,41000179359508;"September";"Sunday";15,7;1023,5;75;11,3;55;3,6;14,4;350;0;8;18
2016-09-18 19:00:00;472,172981262207;445,166666667;6,06656261966008;;;;;;;;;;;;;
2016-09-18 20:00:00;483,609966278076;453,833333333;6,56113836469293;;;;;;;;;;;;;
2016-09-18 21:00:00;504,310668945312;450,5;11,9446545938541;"September";"Sunday";14,2;1023,5;86;11,9;35;0;3,6;0;0;8;21
2016-09-18 22:00:00;645,053726196289;580,166666667;11,1842102032609;;;;;;;;;;;;;
2016-09-18 23:00:00;619,648338317871;527;17,5803298515884;;;;;;;;;;;;;
2016-09-19 00:00:00;528,226867675781;453,833333333;16,3922587608158;"September";"Monday";13,3;1023,3;93;12,2;14;3,6;7,2;230;0;8;0
2016-09-19 01:00:00;449,777633666992;406,166666667;10,7372097660951;;;;;;;;;;;;;
2016-09-19 02:00:00;383,050582885742;370,166666667;3,48057169348867;;;;;;;;;;;;;
2016-09-19 03:00:00;384,974212646484;391,166666667;1,58307303464262;"September";"Monday";13,6;1023;96;13;22;3,6;3,6;160;0;8;3
2016-09-19 04:00:00;370,083187103271;402,333333333;8,01577785329459;;;;;;;;;;;;;
2016-09-19 05:00:00;293,32731628418;317,5;7,61344369002215;;;;;;;;;;;;;
2016-09-19 06:00:00;317,3203125;304,166666667;4,32448630125553;"September";"Monday";14,4;1022,9;95;13,6;16;7,2;10,8;190;0;8;6
2016-09-19 07:00:00;375,449199676514;350,333333333;7,16913406571006;;;;;;;;;;;;;
2016-09-19 08:00:00;449,706558227539;407,5;10,3574376018501;;;;;;;;;;;;;
2016-09-19 09:00:00;484,832153320312;476,166666667;1,81984318935382;"September";"Monday";15,7;1023,1;93;14,6;19;10,8;14,4;180;;8;9
2016-09-19 10:00:00;507,06893157959;529,166666667;4,17594993777566;;;;;;;;;;;;;
2016-09-19 11:00:00;508,712316513062;561,5;9,40119029152956;;;;;;;;;;;;;
2016-09-19 12:00:00;572,786315917969;581,833333333;1,55491562561498;"September";"Monday";16,2;1022,8;92;14,9;6;7,2;14,4;230;0;8;12
2016-09-19 13:00:00;543,070781707764;579,166666667;6,23238301454081;;;;;;;;;;;;;
2016-09-19 14:00:00;504,550338745117;567,166666667;11,0401988695585;;;;;;;;;;;;;
2016-09-19 15:00:00;526,5986328125;564,5;6,71414830602303;"September";"Monday";17;1022;86;14,6;40;14,4;21,6;340;0;8;15
2016-09-19 16:00:00;479,122379302979;485,833333333;1,38132844528839;;;;;;;;;;;;;
2016-09-19 17:00:00;405,865379333496;393;3,27363341819239;;;;;;;;;;;;;
2016-09-19 18:00:00;502,639465332031;457,5;9,86654979935109;"September";"Monday";15,2;1021,9;91;13,7;18;14,4;21,6;340;0;8;18
2016-09-19 19:00:00;558,884899139404;499,666666667;11,8515475261571;;;;;;;;;;;;;
2016-09-19 20:00:00;554,913276672363;473,666666667;17,1526973973201;;;;;;;;;;;;;
2016-09-19 21:00:00;518,379211425781;470;10,2934492395279;"September";"Monday";14,3;1021,8;96;13,7;7;10,8;21,6;310;0;8;21
2016-09-19 22:00:00;642,740196228027;583,166666667;10,2155237886813;;;;;;;;;;;;;
2016-09-19 23:00:00;645,800453186035;527,833333333;22,3493122550887;;;;;;;;;;;;;
2016-09-20 00:00:00;524,922180175781;440,166666667;19,2553230235631;"September";"Tuesday";14,2;1021;97;13,7;4,8;0;7,2;0;0;8;0
2016-09-20 01:00:00;440,219207763672;404,333333333;8,87531931509517;;;;;;;;;;;;;
2016-09-20 02:00:00;373,090484619141;379,666666667;1,7320936034733;;;;;;;;;;;;;
2016-09-20 03:00:00;379,89013671875;399,833333333;4,98787743583158;"September";"Tuesday";13,3;1020,1;98;13;0,3;3,6;3,6;60;0;7;3
2016-09-20 04:00:00;377,132277727127;412,166666667;8,50005392798494;;;;;;;;;;;;;
2016-09-20 05:00:00;289,918869018555;330;12,1457972671046;;;;;;;;;;;;;
2016-09-20 06:00:00;319,924346923828;313,833333333;1,94084341715389;"September";"Tuesday";13,5;1020;99;13,3;7;7,2;10,8;40;0;8;6
2016-09-20 07:00:00;382,905479431152;372,833333333;2,70151437590381;;;;;;;;;;;;;
2016-09-20 08:00:00;465,42350769043;469,833333333;0,938593609628966;;;;;;;;;;;;;
2016-09-20 09:00:00;561,865234375;491,666666667;14,2776747880581;"September";"Tuesday";14,5;1020,5;97;14;4,9;7,2;14,4;10;0;8;9
2016-09-20 10:00:00;567,77434015274;533,5;6,42443114390637;;;;;;;;;;;;;
2016-09-20 11:00:00;587,332124710083;541,833333333;8,3971931178919;;;;;;;;;;;;;
2016-09-20 12:00:00;548,463562011719;589,833333333;7,0138069490768;"September";"Tuesday";17;1019,9;86;14,6;50;7,2;14,4;10;0;8;12
2016-09-20 13:00:00;530,125690460205;614,166666667;13,6837410377339;;;;;;;;;;;;;
2016-09-20 14:00:00;502,793453216553;608,666666667;17,394284794697;;;;;;;;;;;;;
2016-09-20 15:00:00;545,542663574219;568;3,95375641298966;"September";"Tuesday";18,1;1018,5;81;14,8;19;14,4;25,2;360;0;7;15
2016-09-20 16:00:00;471,25333404541;482,5;2,33091522374919;;;;;;;;;;;;;
2016-09-20 17:00:00;425,798271179199;412,333333333;3,26554676949316;;;;;;;;;;;;;
2016-09-20 18:00:00;514,381713867188;445,333333333;15,5048758684669;"September";"Tuesday";15,6;1018,6;91;14,1;12;14,4;21,6;350;0;8;18
2016-09-20 19:00:00;561,782287597656;494,5;13,6061248933582;;;;;;;;;;;;;
2016-09-20 20:00:00;565,026741027832;507,666666667;11,2987671098085;;;;;;;;;;;;;
2016-09-20 21:00:00;516,3857421875;500,666666667;3,13962893218832;"September";"Tuesday";14,3;1018,9;98;14;1,6;7,2;10,8;350;;8;21
2016-09-20 22:00:00;673,704620361328;601;12,0972746025504;;;;;;;;;;;;;
2016-09-20 23:00:00;632,563903808594;536,333333333;17,9423064901778;;;;;;;;;;;;;
