"dt_posix";"puissance";"reality";"mape";"Month";"rose_vt";"f_weekend";"f_evening";"temp";"pression";"hr";"p_ros";"visi";"vt_moy";"vt_raf";"rr_3h";"Hour"
2016-09-15 23:00:00;596,496028900146;541,833333333;10,0884704215035;;;;;;;;;;;;;
2016-09-16 00:00:00;508,447235107422;442,5;14,903329967779;"September";"West";0;0;15,9;1014,7;95;15,1;16;18;28,8;0;0
2016-09-16 01:00:00;438,645454406738;412,5;6,3382919773911;;;;;;;;;;;;;
2016-09-16 02:00:00;402,001495361328;371,166666667;8,30754253101942;;;;;;;;;;;;;
2016-09-16 03:00:00;401,677764892578;412;2,50539687073347;"September";"North";0;0;15,2;1015,4;92;13,9;40;21,6;32,4;0;3
2016-09-16 04:00:00;376,616512298584;407,166666667;7,50310790873296;;;;;;;;;;;;;
2016-09-16 05:00:00;336,103881835938;341,833333333;1,67609502595848;;;;;;;;;;;;;
2016-09-16 06:00:00;333,144165039062;328;1,56834299971418;"September";"North";0;0;15,1;1016,8;92;13,8;15;18;36;;6
2016-09-16 07:00:00;376,288562774658;425,666666667;11,6001810240336;;;;;;;;;;;;;
2016-09-16 08:00:00;459,48371887207;461,833333333;0,508758093308849;;;;;;;;;;;;;
2016-09-16 09:00:00;549,710266113281;499,166666667;10,1255958823868;"September";"North";0;0;16,4;1019;76;12,2;13;28,8;39,6;;9
2016-09-16 10:00:00;563,239674568176;506;11,3121886498372;;;;;;;;;;;;;
2016-09-16 11:00:00;581,826862335205;536,666666667;8,41494329220691;;;;;;;;;;;;;
2016-09-16 12:00:00;573,537841796875;524,833333333;9,2799952614619;"September";"North";0;0;16,6;1020,4;68;10,7;16;25,2;46,8;0;12
2016-09-16 13:00:00;522,867172241211;564,5;7,37516877923633;;;;;;;;;;;;;
2016-09-16 14:00:00;478,735412597656;572,666666667;16,4024308619247;;;;;;;;;;;;;
2016-09-16 15:00:00;506,053863525391;520,833333333;2,83765820306282;"September";"North";0;0;16,7;1021,1;70;11,2;19;28,8;50,4;0;15
2016-09-16 16:00:00;488,487350463867;442,166666667;10,4758425473424;;;;;;;;;;;;;
2016-09-16 17:00:00;497,553484916687;386,666666667;28,6776254093771;;;;;;;;;;;;;
2016-09-16 18:00:00;470,959320068359;447,833333333;5,16397173101078;"September";"North";0;1;14,5;1022,6;80;11,1;55;18;39,6;0;18
2016-09-16 19:00:00;511,3662109375;488,166666667;4,75238189221252;;;;;;;;;;;;;
2016-09-16 20:00:00;508,934593200684;493,5;3,12757714299566;;;;;;;;;;;;;
2016-09-16 21:00:00;569,432434082031;511,333333333;11,3622752442769;"September";"North";0;1;13,3;1024,3;87;11,2;45;14,4;21,6;0;21
2016-09-16 22:00:00;709,511337280273;616,5;15,086997125754;;;;;;;;;;;;;
2016-09-16 23:00:00;728,156829833984;560,5;29,91201245923;;;;;;;;;;;;;
2016-09-17 00:00:00;538,973205566406;461,333333333;16,8294520737274;"September";"North";1;0;12,2;1024,3;94;11,3;19;7,2;14,4;;0
2016-09-17 01:00:00;460,618705749512;397,666666667;15,830353499361;;;;;;;;;;;;;
2016-09-17 02:00:00;383,110488891602;363,333333333;5,44325382347332;;;;;;;;;;;;;
2016-09-17 03:00:00;384,978485107422;398,666666667;3,43349035775084;"September";"West";1;0;12,6;1024,5;95;11,8;19;10,8;18;0;3
2016-09-17 04:00:00;376,695860862732;398,666666667;5,51107169002919;;;;;;;;;;;;;
2016-09-17 05:00:00;312,160736083984;332,166666667;6,02285918203579;;;;;;;;;;;;;
2016-09-17 06:00:00;320,783630371094;316;1,51380707946005;"September";"North";1;0;12,3;1024,7;96;11,7;18;3,6;18;0;6
2016-09-17 07:00:00;379,347763061523;369,166666667;2,75785906849144;;;;;;;;;;;;;
2016-09-17 08:00:00;452,031158447266;452,166666667;0,0299686442464336;;;;;;;;;;;;;
2016-09-17 09:00:00;526,039367675781;515,166666667;2,11052106284845;"September";"North";1;0;15,9;1025,3;79;12,3;35;18;28,8;0;9
2016-09-17 10:00:00;546,781732559204;510,833333333;7,03720702634145;;;;;;;;;;;;;
2016-09-17 11:00:00;573,157051086426;534,833333333;7,16554398631031;;;;;;;;;;;;;
2016-09-17 12:00:00;571,693664550781;524,5;8,99783880853789;"September";"North";1;0;17,3;1025;67;11,1;25;18;28,8;0;12
2016-09-17 13:00:00;531,068264007568;567,333333333;6,39219788345235;;;;;;;;;;;;;
2016-09-17 14:00:00;481,89867401123;606,166666667;20,5006311777346;;;;;;;;;;;;;
2016-09-17 15:00:00;503,450561523438;556,666666667;9,5597793671013;"September";"North";1;0;16,2;1024,1;71;10,9;40;18;32,4;0;15
2016-09-17 16:00:00;475,241010665894;449;5,84432308817228;;;;;;;;;;;;;
2016-09-17 17:00:00;471,418491363525;401,666666667;17,365599509494;;;;;;;;;;;;;
2016-09-17 18:00:00;441,577575683594;454;2,73621680978111;"September";"North";1;1;14,5;1024,2;82;11,5;55;7,2;21,6;0;18
2016-09-17 19:00:00;476,848926544189;489,666666667;2,61764604277777;;;;;;;;;;;;;
2016-09-17 20:00:00;481,325290679932;499,833333333;3,70284281155332;;;;;;;;;;;;;
2016-09-17 21:00:00;531,473937988281;517,666666667;2,6672127471872;"September";"West";1;1;12;1024,4;94;11,1;17;7,2;10,8;0;21
2016-09-17 22:00:00;675,77555847168;628,666666667;7,49346105058135;;;;;;;;;;;;;
2016-09-17 23:00:00;670,2939453125;571,333333333;17,3209939287441;;;;;;;;;;;;;
2016-09-18 00:00:00;567,360412597656;473,666666667;19,7805234195476;"September";"West";1;0;9,8;1024,2;97;9,3;6;7,2;7,2;0;0
2016-09-18 01:00:00;480,002174377441;430,833333333;11,4124969542312;;;;;;;;;;;;;
2016-09-18 02:00:00;413,665725708008;390,166666667;6,02282589687853;;;;;;;;;;;;;
2016-09-18 03:00:00;413,664184570312;418,5;1,15551145273297;"September";"West";1;0;10,1;1023,7;98;9,8;0,6;3,6;10,8;0;3
2016-09-18 04:00:00;412,157907247543;412,666666667;0,123285804391665;;;;;;;;;;;;;
2016-09-18 05:00:00;337,907188415527;348;2,90023321392892;;;;;;;;;;;;;
2016-09-18 06:00:00;326,763610839844;311,5;4,90003558261437;"September";"North";1;0;10,4;1023,4;99;10,2;0,3;3,6;10,8;0;6
2016-09-18 07:00:00;388,722141265869;359,833333333;8,02838571548752;;;;;;;;;;;;;
2016-09-18 08:00:00;459,964935302734;434,333333333;5,90136653179295;;;;;;;;;;;;;
2016-09-18 09:00:00;523,822143554688;515;1,71303758343447;"September";"North";1;0;15,2;1023,5;79;11,6;18;7,2;18;0;9
2016-09-18 10:00:00;534,688862800598;553;3,31123638325531;;;;;;;;;;;;;
2016-09-18 11:00:00;545,378768920898;582,333333333;6,34594695113728;;;;;;;;;;;;;
2016-09-18 12:00:00;559,822937011719;581,333333333;3,70018285343354;"September";"West";1;0;18;1023,2;63;10,8;35;10,8;25,2;0;12
2016-09-18 13:00:00;531,033067703247;582;8,75720486198504;;;;;;;;;;;;;
2016-09-18 14:00:00;499,402648925781;572,166666667;12,7172766224019;;;;;;;;;;;;;
2016-09-18 15:00:00;491,071960449219;547,333333333;10,2791789678104;"September";"West";1;0;17,7;1023,2;62;10,3;50;10,8;25,2;0;15
2016-09-18 16:00:00;459,911636352539;451,333333333;1,90065798069692;;;;;;;;;;;;;
2016-09-18 17:00:00;445,663555145264;378,166666667;17,8484500162726;;;;;;;;;;;;;
2016-09-18 18:00:00;443,639373779297;400,166666667;10,8636502571247;"September";"North";1;1;15,7;1023,5;75;11,3;55;3,6;14,4;0;18
2016-09-18 19:00:00;489,441303253174;445,166666667;9,94563158056323;;;;;;;;;;;;;
2016-09-18 20:00:00;472,491027832031;453,833333333;4,1111335657095;;;;;;;;;;;;;
2016-09-18 21:00:00;527,494873046875;450,5;17,0909818084073;"September";"North";1;1;14,2;1023,5;86;11,9;35;0;3,6;0;21
2016-09-18 22:00:00;684,765960693359;580,166666667;18,0291802400976;;;;;;;;;;;;;
2016-09-18 23:00:00;686,018249511719;527;30,1742408940643;;;;;;;;;;;;;
2016-09-19 00:00:00;550,414916992188;453,833333333;21,2812890912799;"September";"West";0;0;13,3;1023,3;93;12,2;14;3,6;7,2;0;0
2016-09-19 01:00:00;481,830978393555;406,166666667;18,6288826573228;;;;;;;;;;;;;
2016-09-19 02:00:00;403,066482543945;370,166666667;8,88783859799613;;;;;;;;;;;;;
2016-09-19 03:00:00;391,681671142578;391,166666667;0,131658579184747;"September";"South";0;0;13,6;1023;96;13;22;3,6;3,6;0;3
2016-09-19 04:00:00;383,974495410919;402,333333333;4,56309144708269;;;;;;;;;;;;;
2016-09-19 05:00:00;295,078491210938;317,5;7,06189253198819;;;;;;;;;;;;;
2016-09-19 06:00:00;323,796691894531;304,166666667;6,45370692411279;"September";"South";0;0;14,4;1022,9;95;13,6;16;7,2;10,8;0;6
2016-09-19 07:00:00;395,006164550781;350,333333333;12,7515217558013;;;;;;;;;;;;;
2016-09-19 08:00:00;462,188232421875;407,5;13,4204251342025;;;;;;;;;;;;;
2016-09-19 09:00:00;562,896545410156;476,166666667;18,2141852453123;"September";"South";0;0;15,7;1023,1;93;14,6;19;10,8;14,4;;9
2016-09-19 10:00:00;578,464493751526;529,166666667;9,31612480336911;;;;;;;;;;;;;
2016-09-19 11:00:00;585,863788604736;561,5;4,33905407030033;;;;;;;;;;;;;
2016-09-19 12:00:00;585,267456054688;581,833333333;0,590224472361402;"September";"West";0;0;16,2;1022,8;92;14,9;6;7,2;14,4;0;12
2016-09-19 13:00:00;552,677280426025;579,166666667;4,57370697685629;;;;;;;;;;;;;
2016-09-19 14:00:00;531,463390350342;567,166666667;6,29502374081173;;;;;;;;;;;;;
2016-09-19 15:00:00;583,492126464844;564,5;3,36441567136293;"September";"North";0;0;17;1022;86;14,6;40;14,4;21,6;0;15
2016-09-19 16:00:00;518,691467285156;485,833333333;6,76325227146048;;;;;;;;;;;;;
2016-09-19 17:00:00;437,209625244141;393;11,2492685099594;;;;;;;;;;;;;
2016-09-19 18:00:00;465,821990966797;457,5;1,81901441897199;"September";"North";0;1;15,2;1021,9;91;13,7;18;14,4;21,6;0;18
2016-09-19 19:00:00;495,394239425659;499,666666667;0,855055485257769;;;;;;;;;;;;;
2016-09-19 20:00:00;512,77059173584;473,666666667;8,25557883226157;;;;;;;;;;;;;
2016-09-19 21:00:00;527,690612792969;470;12,2745984665891;"September";"West";0;1;14,3;1021,8;96;13,7;7;10,8;21,6;0;21
2016-09-19 22:00:00;651,608497619629;583,166666667;11,7362385171632;;;;;;;;;;;;;
2016-09-19 23:00:00;653,378875732422;527,833333333;23,7850727627726;;;;;;;;;;;;;
2016-09-20 00:00:00;502,677978515625;440,166666667;14,201736883433;"September";"North";0;0;14,2;1021;97;13,7;4,8;0;7,2;0;0
2016-09-20 01:00:00;427,017074584961;404,333333333;5,61015859488367;;;;;;;;;;;;;
2016-09-20 02:00:00;369,778137207031;379,666666667;2,60452926952417;;;;;;;;;;;;;
2016-09-20 03:00:00;397,123809814453;399,833333333;0,67766323932033;"September";"East";0;0;13,3;1020,1;98;13;0,3;3,6;3,6;0;3
2016-09-20 04:00:00;393,894153118134;412,166666667;4,43328270493773;;;;;;;;;;;;;
2016-09-20 05:00:00;308,836311340332;330;6,41323898777817;;;;;;;;;;;;;
2016-09-20 06:00:00;317,482391357422;313,833333333;1,16273755425144;"September";"North";0;0;13,5;1020;99;13,3;7;7,2;10,8;0;6
2016-09-20 07:00:00;381,255084991455;372,833333333;2,25885158474635;;;;;;;;;;;;;
2016-09-20 08:00:00;453,896362304688;469,833333333;3,39204775345664;;;;;;;;;;;;;
2016-09-20 09:00:00;534,470458984375;491,666666667;8,70585606454494;"September";"North";0;0;14,5;1020,5;97;14;4,9;7,2;14,4;0;9
2016-09-20 10:00:00;552,669435501099;533,5;3,59314629823779;;;;;;;;;;;;;
2016-09-20 11:00:00;571,755565643311;541,833333333;5,52240522491459;;;;;;;;;;;;;
2016-09-20 12:00:00;553,929748535156;589,833333333;6,0870728676797;"September";"North";0;0;17;1019,9;86;14,6;50;7,2;14,4;0;12
2016-09-20 13:00:00;527,130611419678;614,166666667;14,171406553152;;;;;;;;;;;;;
2016-09-20 14:00:00;491,859973907471;608,666666667;19,1905847907117;;;;;;;;;;;;;
2016-09-20 15:00:00;499,856048583984;568;11,9971745450732;"September";"North";0;0;18,1;1018,5;81;14,8;19;14,4;25,2;0;15
2016-09-20 16:00:00;417,743774414062;482,5;13,4209793960492;;;;;;;;;;;;;
2016-09-20 17:00:00;337,736419677734;412,333333333;18,0914099406611;;;;;;;;;;;;;
2016-09-20 18:00:00;459,744201660156;445,333333333;3,23597342675907;"September";"North";0;1;15,6;1018,6;91;14,1;12;14,4;21,6;0;18
2016-09-20 19:00:00;508,688610076904;494,5;2,8692841409311;;;;;;;;;;;;;
2016-09-20 20:00:00;506,394283294678;507,666666667;0,250633625539352;;;;;;;;;;;;;
2016-09-20 21:00:00;518,258666992188;500,666666667;3,51371511155308;"September";"North";0;1;14,3;1018,9;98;14;1,6;7,2;10,8;;21
2016-09-20 22:00:00;663,094802856445;601;10,3319139528195;;;;;;;;;;;;;
2016-09-20 23:00:00;595,520698547363;536,333333333;11,0355559753387;;;;;;;;;;;;;
