"dt_posix";"puissance";"reality";"mape";"Month";"Weekday";"rose_vt";"temp";"pression";"hr";"p_ros";"visi";"vt_raf";"vt_moy";"nebul";"Hour";"f_evening"
2016-09-13 19:00:00;573,258708953857;561,166666667;2,15480409032081;;;;;;;;;;;;;
2016-09-13 20:00:00;566,447147369385;542,333333333;4,44630867296857;;;;;;;;;;;;;
2016-09-13 21:00:00;554,846557617188;512,833333333;8,19237392607373;"September";"Tuesday";"East";17,2;1005,1;98;16,9;3;25,928;12,964;8;21;1
2016-09-13 22:00:00;679,983238220215;624,333333333;8,91349250730024;;;;;;;;;;;;;
2016-09-13 23:00:00;577,740886688232;550,666666667;4,91662591184311;;;;;;;;;;;;;
2016-09-14 00:00:00;501,964935302734;467,166666667;7,44879100300596;"September";"Wednesday";"East";17,5;1005,5;97;17;9;24,076;12,964;8;0;0
2016-09-14 01:00:00;446,125156402588;405,833333333;9,92816995555343;;;;;;;;;;;;;
2016-09-14 02:00:00;386,613479614258;362,5;6,65199437634698;;;;;;;;;;;;;
2016-09-14 03:00:00;403,433441162109;396,666666667;1,70590953658076;"September";"Wednesday";"East";16,2;1004;97;15,7;2,9;12,964;7,408;;3;0
2016-09-14 04:00:00;390,762887954712;407,833333333;4,1856425120479;;;;;;;;;;;;;
2016-09-14 05:00:00;309,072685241699;330,833333333;6,57752587143255;;;;;;;;;;;;;
2016-09-14 06:00:00;337,141296386719;317,166666667;6,29783385802346;"September";"Wednesday";"East";15,5;1004,6;94;14,5;45;36;18;7;6;0
2016-09-14 07:00:00;398,01647567749;384,833333333;3,42567579328757;;;;;;;;;;;;;
2016-09-14 08:00:00;488,63166809082;458,833333333;6,49437008888674;;;;;;;;;;;;;
2016-09-14 09:00:00;545,551025390625;478,333333333;14,0524791758199;"September";"Wednesday";"East";18;1005,9;82;14,9;29;46,8;28,8;;9;0
2016-09-14 10:00:00;560,00834274292;504;11,112766417246;;;;;;;;;;;;;
2016-09-14 11:00:00;536,606064796448;492,333333333;8,99243022277815;;;;;;;;;;;;;
2016-09-14 12:00:00;598,600158691406;519,5;15,226209565237;"September";"Wednesday";"South";20,2;1007,2;65;13,4;7;54;32,4;7;12;0
2016-09-14 13:00:00;604,749774932861;543,333333333;11,3036395582636;;;;;;;;;;;;;
2016-09-14 14:00:00;615,380344390869;573;7,39622066158275;;;;;;;;;;;;;
2016-09-14 15:00:00;515,803161621094;539;4,30368058977853;"September";"Wednesday";"South";20,4;1007,9;62;12,9;28;46,8;25,2;;15;0
2016-09-14 16:00:00;420,914207458496;438,833333333;4,08335568731884;;;;;;;;;;;;;
2016-09-14 17:00:00;380,10693359375;380,5;0,10330260348226;;;;;;;;;;;;;
2016-09-14 18:00:00;480,605407714844;426;12,8181708250807;"September";"Wednesday";"East";18,6;1009,3;63;11,4;45;43,2;25,2;;18;1
2016-09-14 19:00:00;534,226036071777;480,5;11,1812770180598;;;;;;;;;;;;;
2016-09-14 20:00:00;521,93994140625;471,833333333;10,6195566386334;;;;;;;;;;;;;
2016-09-14 21:00:00;539,535095214844;477,166666667;13,070575315641;"September";"Wednesday";"East";13,8;1010,5;89;12;60;10,8;3,6;;21;1
2016-09-14 22:00:00;673,461868286133;607,166666667;10,91878149093;;;;;;;;;;;;;
2016-09-14 23:00:00;688,146423339844;539,833333333;27,4738666267864;;;;;;;;;;;;;
2016-09-15 00:00:00;515,215454101562;445,333333333;15,6920929869644;"September";"Thursday";"North";13,4;1010,4;89;11,6;60;14,4;10,8;8;0;0
2016-09-15 01:00:00;464,430027008057;393,166666667;18,1254837662559;;;;;;;;;;;;;
2016-09-15 02:00:00;384,70182800293;358,5;7,30873863401107;;;;;;;;;;;;;
2016-09-15 03:00:00;405,486419677734;383,833333333;5,64127303814673;"September";"Thursday";"East";12,7;1009,8;94;11,8;60;7,2;7,2;7;3;0
2016-09-15 04:00:00;386,966537475586;396,833333333;2,48638282841386;;;;;;;;;;;;;
2016-09-15 05:00:00;307,217864990234;316;2,77915664866001;;;;;;;;;;;;;
2016-09-15 06:00:00;341,063873291016;294;16,0081201670121;"September";"Thursday";"North";13,8;1010,1;92;12,5;4,6;18;7,2;8;6;0
2016-09-15 07:00:00;399,442035675049;357,5;11,7320379510626;;;;;;;;;;;;;
2016-09-15 08:00:00;483,140472412109;459,166666667;5,22115551617248;;;;;;;;;;;;;
2016-09-15 09:00:00;585,383666992188;503;16,3784626227013;"September";"Thursday";"West";14;1010,8;98;13,7;2,9;14,4;7,2;8;9;0
2016-09-15 10:00:00;603,981594085693;525,5;14,9346515862404;;;;;;;;;;;;;
2016-09-15 11:00:00;636,726070404053;593,666666667;7,25312808596776;;;;;;;;;;;;;
2016-09-15 12:00:00;642,417907714844;615,5;4,37334000241166;"September";"Thursday";"West";16,4;1011,4;95;15,6;2;14,4;10,8;8;12;0
2016-09-15 13:00:00;618,854677200317;625,333333333;1,03603243060012;;;;;;;;;;;;;
2016-09-15 14:00:00;580,922176361084;658;11,7139549603216;;;;;;;;;;;;;
2016-09-15 15:00:00;565,396789550781;613;7,76561345011725;"September";"Thursday";"North";16,3;1011,8;91;14,8;19;18;10,8;8;15;0
2016-09-15 16:00:00;506,533378601074;522;2,96295429098195;;;;;;;;;;;;;
2016-09-15 17:00:00;439,397010803223;437;0,548515057945688;;;;;;;;;;;;;
2016-09-15 18:00:00;531,175231933594;485,5;9,40787475460222;"September";"Thursday";"West";16,1;1012,8;94;15,1;18;10,8;7,2;8;18;1
2016-09-15 19:00:00;560,657775878906;557;0,656692258331463;;;;;;;;;;;;;
2016-09-15 20:00:00;570,904918670654;533,166666667;7,07813416760814;;;;;;;;;;;;;
2016-09-15 21:00:00;540,443359375;497,666666667;8,59545064460241;"September";"Thursday";"North";16,2;1014;96;15,6;10;25,2;14,4;8;21;1
2016-09-15 22:00:00;671,518402099609;616,5;8,92431502021239;;;;;;;;;;;;;
2016-09-15 23:00:00;593,768104553223;541,833333333;9,58500853034535;;;;;;;;;;;;;
2016-09-16 00:00:00;493,48876953125;442,5;11,522885769774;"September";"Friday";"West";15,9;1014,7;95;15,1;16;28,8;18;8;0;0
2016-09-16 01:00:00;426,428421020508;412,5;3,3765869140625;;;;;;;;;;;;;
2016-09-16 02:00:00;372,745079040527;371,166666667;0,425257038219823;;;;;;;;;;;;;
2016-09-16 03:00:00;402,885559082031;412;2,21224294125455;"September";"Friday";"North";15,2;1015,4;92;13,9;40;32,4;21,6;8;3;0
2016-09-16 04:00:00;383,120756149292;407,166666667;5,90566774892059;;;;;;;;;;;;;
2016-09-16 05:00:00;336,463172912598;341,833333333;1,57098793381011;;;;;;;;;;;;;
2016-09-16 06:00:00;334,697570800781;328;2,04194231731136;"September";"Friday";"North";15,1;1016,8;92;13,8;15;36;18;8;6;0
2016-09-16 07:00:00;403,526260375977;425,666666667;5,20134838473127;;;;;;;;;;;;;
2016-09-16 08:00:00;472,705657958984;461,833333333;2,3541662849496;;;;;;;;;;;;;
2016-09-16 09:00:00;500,844207763672;499,166666667;0,336068333222853;"September";"Friday";"North";16,4;1019;76;12,2;13;39,6;28,8;6;9;0
2016-09-16 10:00:00;524,52766418457;506;3,66159371236567;;;;;;;;;;;;;
2016-09-16 11:00:00;540,078727722168;536,666666667;0,635787774254514;;;;;;;;;;;;;
2016-09-16 12:00:00;566,489318847656;524,833333333;7,93699311172105;"September";"Friday";"North";16,6;1020,4;68;10,7;16;46,8;25,2;7;12;0
2016-09-16 13:00:00;522,64359664917;564,5;7,41477472999647;;;;;;;;;;;;;
2016-09-16 14:00:00;497,340919494629;572,666666667;13,1535064910932;;;;;;;;;;;;;
2016-09-16 15:00:00;505,971984863281;520,833333333;2,85337890618783;"September";"Friday";"North";16,7;1021,1;70;11,2;19;50,4;28,8;8;15;0
2016-09-16 16:00:00;478,834676742554;442,166666667;8,29280288176239;;;;;;;;;;;;;
2016-09-16 17:00:00;486,110824584961;386,666666667;25,7183167028988;;;;;;;;;;;;;
2016-09-16 18:00:00;458,881530761719;447,833333333;2,46703329260744;"September";"Friday";"North";14,5;1022,6;80;11,1;55;39,6;18;;18;1
2016-09-16 19:00:00;503,139484405518;488,166666667;3,0671528313774;;;;;;;;;;;;;
2016-09-16 20:00:00;497,503936767578;493,5;0,811334704676418;;;;;;;;;;;;;
2016-09-16 21:00:00;538,595153808594;511,333333333;5,33151639027605;"September";"Friday";"North";13,3;1024,3;87;11,2;45;21,6;14,4;;21;1
2016-09-16 22:00:00;683,222381591797;616,5;10,8227707367067;;;;;;;;;;;;;
2016-09-16 23:00:00;689,108169555664;560,5;22,9452577262559;;;;;;;;;;;;;
2016-09-17 00:00:00;581,801208496094;461,333333333;26,1129787203427;"September";"Saturday";"North";12,2;1024,3;94;11,3;19;14,4;7,2;;0;0
2016-09-17 01:00:00;506,677787780762;397,666666667;27,4126876228844;;;;;;;;;;;;;
2016-09-17 02:00:00;417,502502441406;363,333333333;14,9089456261805;;;;;;;;;;;;;
2016-09-17 03:00:00;395,124908447266;398,666666667;0,888400891236981;"September";"Saturday";"West";12,6;1024,5;95;11,8;19;18;10,8;;3;0
2016-09-17 04:00:00;386,207403182983;398,666666667;3,12523331538617;;;;;;;;;;;;;
2016-09-17 05:00:00;325,961631774902;332,166666667;1,86804863785994;;;;;;;;;;;;;
2016-09-17 06:00:00;349,610778808594;316;10,6363224077828;"September";"Saturday";"North";12,3;1024,7;96;11,7;18;18;3,6;8;6;0
2016-09-17 07:00:00;396,487766265869;369,166666667;7,40074932700075;;;;;;;;;;;;;
2016-09-17 08:00:00;486,140853881836;452,166666667;7,51364258344509;;;;;;;;;;;;;
2016-09-17 09:00:00;529,115417480469;515,166666667;2,70761905146421;"September";"Saturday";"North";15,9;1025,3;79;12,3;35;28,8;18;7;9;0
2016-09-17 10:00:00;569,67956161499;510,833333333;11,5196531710333;;;;;;;;;;;;;
2016-09-17 11:00:00;583,67493057251;534,833333333;9,13211540782926;;;;;;;;;;;;;
2016-09-17 12:00:00;564,914733886719;524,5;7,70538300986058;"September";"Saturday";"North";17,3;1025;67;11,1;25;28,8;18;7;12;0
2016-09-17 13:00:00;523,017349243164;567,333333333;7,81127804169131;;;;;;;;;;;;;
2016-09-17 14:00:00;496,461318969727;606,166666667;18,0982151823832;;;;;;;;;;;;;
2016-09-17 15:00:00;521,48876953125;556,666666667;6,31938271899321;"September";"Saturday";"North";16,2;1024,1;71;10,9;40;32,4;18;;15;0
2016-09-17 16:00:00;493,482080459595;449;9,9069221513574;;;;;;;;;;;;;
2016-09-17 17:00:00;503,614261627197;401,666666667;25,381143973472;;;;;;;;;;;;;
2016-09-17 18:00:00;477,010284423828;454;5,06834458674628;"September";"Saturday";"North";14,5;1024,2;82;11,5;55;21,6;7,2;;18;1
2016-09-17 19:00:00;503,174146652222;489,666666667;2,75850510249404;;;;;;;;;;;;;
2016-09-17 20:00:00;506,066980361938;499,833333333;1,24714512082881;;;;;;;;;;;;;
2016-09-17 21:00:00;539,625305175781;517,666666667;4,24184903582109;"September";"Saturday";"West";12;1024,4;94;11,1;17;10,8;7,2;;21;1
2016-09-17 22:00:00;683,668090820312;628,666666667;8,74890097878315;;;;;;;;;;;;;
2016-09-17 23:00:00;667,890914916992;571,333333333;16,9003935094601;;;;;;;;;;;;;
2016-09-18 00:00:00;592,781555175781;473,666666667;25,1474078484231;"September";"Sunday";"West";9,8;1024,2;97;9,3;6;7,2;7,2;;0;0
2016-09-18 01:00:00;497,422569274902;430,833333333;15,4559154990995;;;;;;;;;;;;;
2016-09-18 02:00:00;414,867477416992;390,166666667;6,33083573258549;;;;;;;;;;;;;
2016-09-18 03:00:00;392,626190185547;418,5;6,18251130572357;"September";"Sunday";"West";10,1;1023,7;98;9,8;0,6;10,8;3,6;;3;0
2016-09-18 04:00:00;384,365197181702;412,666666667;6,85819131307161;;;;;;;;;;;;;
2016-09-18 05:00:00;324,491188049316;348;6,75540573295506;;;;;;;;;;;;;
2016-09-18 06:00:00;334,249542236328;311,5;7,30322383188704;"September";"Sunday";"North";10,4;1023,4;99;10,2;0,3;10,8;3,6;;6;0
2016-09-18 07:00:00;356,450593948364;359,833333333;0,940085053628215;;;;;;;;;;;;;
2016-09-18 08:00:00;420,122657775879;434,333333333;3,27183627562517;;;;;;;;;;;;;
2016-09-18 09:00:00;533,174499511719;515;3,5290290314017;"September";"Sunday";"North";15,2;1023,5;79;11,6;18;18;7,2;;9;0
2016-09-18 10:00:00;603,371765136719;553;9,10881828873757;;;;;;;;;;;;;
2016-09-18 11:00:00;616,509902954102;582,333333333;5,86890148044438;;;;;;;;;;;;;
2016-09-18 12:00:00;586,267456054688;581,333333333;0,848759642492595;"September";"Sunday";"West";18;1023,2;63;10,8;35;25,2;10,8;7;12;0
2016-09-18 13:00:00;513,73023223877;582;11,7302006462595;;;;;;;;;;;;;
2016-09-18 14:00:00;494,013374328613;572,166666667;13,659183047773;;;;;;;;;;;;;
2016-09-18 15:00:00;498,250946044922;547,333333333;8,9675494436251;"September";"Sunday";"West";17,7;1023,2;62;10,3;50;25,2;10,8;8;15;0
2016-09-18 16:00:00;473,384368896484;451,333333333;4,88575381761463;;;;;;;;;;;;;
2016-09-18 17:00:00;462,162628173828;378,166666667;22,2113604689522;;;;;;;;;;;;;
2016-09-18 18:00:00;451,105804443359;400,166666667;12,7294804938735;"September";"Sunday";"North";15,7;1023,5;75;11,3;55;14,4;3,6;8;18;1
2016-09-18 19:00:00;491,370483398438;445,166666667;10,3789929011014;;;;;;;;;;;;;
2016-09-18 20:00:00;513,287662506104;453,833333333;13,1004764979392;;;;;;;;;;;;;
2016-09-18 21:00:00;498,315368652344;450,5;10,6138443179453;"September";"Sunday";"North";14,2;1023,5;86;11,9;35;3,6;0;8;21;1
2016-09-18 22:00:00;650,326675415039;580,166666667;12,0930782099395;;;;;;;;;;;;;
2016-09-18 23:00:00;617,068603515625;527;17,0908166063805;;;;;;;;;;;;;
2016-09-19 00:00:00;537,517517089844;453,833333333;18,4394088336919;"September";"Monday";"West";13,3;1023,3;93;12,2;14;7,2;3,6;8;0;0
2016-09-19 01:00:00;466,365707397461;406,166666667;14,8212656701875;;;;;;;;;;;;;
2016-09-19 02:00:00;400,251403808594;370,166666667;8,12734907021161;;;;;;;;;;;;;
2016-09-19 03:00:00;384,965576171875;391,166666667;1,58528091055468;"September";"Monday";"South";13,6;1023;96;13;22;3,6;3,6;8;3;0
2016-09-19 04:00:00;373,109791755676;402,333333333;7,26351489080727;;;;;;;;;;;;;
2016-09-19 05:00:00;289,123817443848;317,5;8,93738033264641;;;;;;;;;;;;;
2016-09-19 06:00:00;311,233245849609;304,166666667;2,32325890934848;"September";"Monday";"South";14,4;1022,9;95;13,6;16;10,8;7,2;8;6;0
2016-09-19 07:00:00;370,292644500732;350,333333333;5,69723439612315;;;;;;;;;;;;;
2016-09-19 08:00:00;450,271484375;407,5;10,4960697852761;;;;;;;;;;;;;
2016-09-19 09:00:00;505,809997558594;476,166666667;6,22541075776821;"September";"Monday";"South";15,7;1023,1;93;14,6;19;14,4;10,8;8;9;0
2016-09-19 10:00:00;536,100828170776;529,166666667;1,31039272512228;;;;;;;;;;;;;
2016-09-19 11:00:00;523,085889816284;561,5;6,84133752158786;;;;;;;;;;;;;
2016-09-19 12:00:00;562,223876953125;581,833333333;3,37028754738807;"September";"Monday";"West";16,2;1022,8;92;14,9;6;14,4;7,2;8;12;0
2016-09-19 13:00:00;532,830713272095;579,166666667;8,00045238472723;;;;;;;;;;;;;
2016-09-19 14:00:00;497,27165222168;567,166666667;12,3235406015773;;;;;;;;;;;;;
2016-09-19 15:00:00;504,073944091797;564,5;10,7043500280254;"September";"Monday";"North";17;1022;86;14,6;40;21,6;14,4;8;15;0
2016-09-19 16:00:00;425,753067016602;485,833333333;12,3664356054421;;;;;;;;;;;;;
2016-09-19 17:00:00;348,427001953125;393;11,3417297829198;;;;;;;;;;;;;
2016-09-19 18:00:00;476,512145996094;457,5;4,15566032701503;"September";"Monday";"North";15,2;1021,9;91;13,7;18;21,6;14,4;8;18;1
2016-09-19 19:00:00;527,202991485596;499,666666667;5,51093892299746;;;;;;;;;;;;;
2016-09-19 20:00:00;531,3141746521;473,666666667;12,1704802220392;;;;;;;;;;;;;
2016-09-19 21:00:00;540,367492675781;470;14,9718069522939;"September";"Monday";"West";14,3;1021,8;96;13,7;7;21,6;10,8;8;21;1
2016-09-19 22:00:00;661,45548248291;583,166666667;13,4247755042924;;;;;;;;;;;;;
2016-09-19 23:00:00;662,58277130127;527,833333333;25,5287852166128;;;;;;;;;;;;;
2016-09-20 00:00:00;461,308868408203;440,166666667;4,80322644631286;"September";"Tuesday";"North";14,2;1021;97;13,7;4,8;7,2;0;8;0;0
2016-09-20 01:00:00;411,393245697021;404,333333333;1,746062414846;;;;;;;;;;;;;
2016-09-20 02:00:00;333,472038269043;379,666666667;12,167154099539;;;;;;;;;;;;;
2016-09-20 03:00:00;374,761138916016;399,833333333;6,27066137982624;"September";"Tuesday";"East";13,3;1020,1;98;13;0,3;3,6;3,6;7;3;0
2016-09-20 04:00:00;372,343636035919;412,166666667;9,66187560801827;;;;;;;;;;;;;
2016-09-20 05:00:00;283,088981628418;330;14,2154601126006;;;;;;;;;;;;;
2016-09-20 06:00:00;331,353485107422;313,833333333;5,5826293492641;"September";"Tuesday";"North";13,5;1020;99;13,3;7;10,8;7,2;8;6;0
2016-09-20 07:00:00;393,505107879639;372,833333333;5,54450814841051;;;;;;;;;;;;;
2016-09-20 08:00:00;478,265350341797;469,833333333;1,79468258434967;;;;;;;;;;;;;
2016-09-20 09:00:00;530,690490722656;491,666666667;7,93704896046707;"September";"Tuesday";"North";14,5;1020,5;97;14;4,9;14,4;7,2;8;9;0
2016-09-20 10:00:00;548,428176879883;533,5;2,79815874037166;;;;;;;;;;;;;
2016-09-20 11:00:00;576,367637634277;541,833333333;6,37360276246666;;;;;;;;;;;;;
2016-09-20 12:00:00;549,406555175781;589,833333333;6,85393243694405;"September";"Tuesday";"North";17;1019,9;86;14,6;50;14,4;7,2;8;12;0
2016-09-20 13:00:00;532,711187362671;614,166666667;13,2627646085674;;;;;;;;;;;;;
2016-09-20 14:00:00;494,89958190918;608,666666667;18,691196838624;;;;;;;;;;;;;
2016-09-20 15:00:00;499,193542480469;568;12,1138129435794;"September";"Tuesday";"North";18,1;1018,5;81;14,8;19;25,2;14,4;7;15;0
2016-09-20 16:00:00;417,822296142578;482,5;13,4047054626781;;;;;;;;;;;;;
2016-09-20 17:00:00;345,680908203125;412,333333333;16,164694857703;;;;;;;;;;;;;
2016-09-20 18:00:00;484,088226318359;445,333333333;8,70244602965308;"September";"Tuesday";"North";15,6;1018,6;91;14,1;12;21,6;14,4;8;18;1
2016-09-20 19:00:00;523,880207061768;494,5;5,94139677689941;;;;;;;;;;;;;
2016-09-20 20:00:00;539,844547271729;507,666666667;6,33838751241774;;;;;;;;;;;;;
2016-09-20 21:00:00;528,388122558594;500,666666667;5,53690863347043;"September";"Tuesday";"North";14,3;1018,9;98;14;1,6;10,8;7,2;8;21;1
2016-09-20 22:00:00;675,081695556641;601;12,326405250689;;;;;;;;;;;;;
2016-09-20 23:00:00;625,200866699219;536,333333333;16,5694592976272;;;;;;;;;;;;;
