"dt_posix";"puissance";"reality";"mape";"Month";"Weekday";"rose_vt";"temp";"pression";"hr";"p_ros";"visi";"vt_raf";"Hour";"f_evening"
2016-09-14 08:00:00;467,57544708252;458,833333333;1,90529177250837;;;;;;;;;;;
2016-09-14 09:00:00;544,282287597656;478,333333333;13,7872378253733;"September";"Wednesday";"East";18;1005,9;82;14,9;29;46,8;9;0
2016-09-14 10:00:00;558,959789276123;504;10,9047200944689;;;;;;;;;;;
2016-09-14 11:00:00;590,179862976074;492,333333333;19,874041227449;;;;;;;;;;;
2016-09-14 12:00:00;609,695373535156;519,5;17,3619583320801;"September";"Wednesday";"South";20,2;1007,2;65;13,4;7;54;12;0
2016-09-14 13:00:00;613,229530096054;543,333333333;12,8643306925945;;;;;;;;;;;
2016-09-14 14:00:00;625,318036079407;573;9,13054730879699;;;;;;;;;;;
2016-09-14 15:00:00;500,807220458984;539;7,08585891298991;"September";"Wednesday";"South";20,4;1007,9;62;12,9;28;46,8;15;0
2016-09-14 16:00:00;409,776878356934;438,833333333;6,6212962345815;;;;;;;;;;;
2016-09-14 17:00:00;371,436126708984;380,5;2,38209547727086;;;;;;;;;;;
2016-09-14 18:00:00;500,390625;426;17,462588028169;"September";"Wednesday";"East";18,6;1009,3;63;11,4;45;43,2;18;1
2016-09-14 19:00:00;554,955875396729;480,5;15,4954995622744;;;;;;;;;;;
2016-09-14 20:00:00;546,84591293335;471,833333333;15,8981094172524;;;;;;;;;;;
2016-09-14 21:00:00;542,797729492188;477,166666667;13,754326823292;"September";"Wednesday";"East";13,8;1010,5;89;12;60;10,8;21;1
2016-09-14 22:00:00;680,783157348633;607,166666667;12,1245935791807;;;;;;;;;;;
2016-09-14 23:00:00;682,947204589844;539,833333333;26,5107510818645;;;;;;;;;;;
2016-09-15 00:00:00;559,003845214844;445,333333333;25,5248155423493;"September";"Thursday";"North";13,4;1010,4;89;11,6;60;14,4;0;0
2016-09-15 01:00:00;500,967216491699;393,166666667;27,4185374712864;;;;;;;;;;;
2016-09-15 02:00:00;424,306335449219;358,5;18,3560210458072;;;;;;;;;;;
2016-09-15 03:00:00;404,692230224609;383,833333333;5,43436306338537;"September";"Thursday";"East";12,7;1009,8;94;11,8;60;7,2;3;0
2016-09-15 04:00:00;385,05379486084;396,833333333;2,9683843273003;;;;;;;;;;;
2016-09-15 05:00:00;320,101112365723;316;1,29782036889957;;;;;;;;;;;
2016-09-15 06:00:00;351,483489990234;294;19,5522074796716;"September";"Thursday";"North";13,8;1010,1;92;12,5;4,6;18;6;0
2016-09-15 07:00:00;412,1018409729;357,5;15,2732422301819;;;;;;;;;;;
2016-09-15 08:00:00;495,464492797852;459,166666667;7,90515269636846;;;;;;;;;;;
2016-09-15 09:00:00;585,769287109375;503;16,4551266619036;"September";"Thursday";"West";14;1010,8;98;13,7;2,9;14,4;9;0
2016-09-15 10:00:00;593,05725479126;525,5;12,8558049079467;;;;;;;;;;;
2016-09-15 11:00:00;628,408290863037;593,666666667;5,85204225648809;;;;;;;;;;;
2016-09-15 12:00:00;642,083923339844;615,5;4,31907771565292;"September";"Thursday";"West";16,4;1011,4;95;15,6;2;14,4;12;0
2016-09-15 13:00:00;608,034523010254;625,333333333;2,76633427336173;;;;;;;;;;;
2016-09-15 14:00:00;584,564002990723;658;11,1604858676713;;;;;;;;;;;
2016-09-15 15:00:00;578,18017578125;613;5,68023233584829;"September";"Thursday";"North";16,3;1011,8;91;14,8;19;18;15;0
2016-09-15 16:00:00;520,330989837646;522;0,319733747577302;;;;;;;;;;;
2016-09-15 17:00:00;455,600234985352;437;4,25634667857015;;;;;;;;;;;
2016-09-15 18:00:00;549,234191894531;485,5;13,1275369504699;"September";"Thursday";"West";16,1;1012,8;94;15,1;18;10,8;18;1
2016-09-15 19:00:00;582,425712585449;557;4,56475988966772;;;;;;;;;;;
2016-09-15 20:00:00;594,724739074707;533,166666667;11,5457466222573;;;;;;;;;;;
2016-09-15 21:00:00;525,274169921875;497,666666667;5,54738846380238;"September";"Thursday";"North";16,2;1014;96;15,6;10;25,2;21;1
2016-09-15 22:00:00;657,196136474609;616,5;6,60115757901206;;;;;;;;;;;
2016-09-15 23:00:00;560,0032081604;541,833333333;3,35340661225682;;;;;;;;;;;
2016-09-16 00:00:00;497,325164794922;442,5;12,3898677502648;"September";"Friday";"West";15,9;1014,7;95;15,1;16;28,8;0;0
2016-09-16 01:00:00;431,19393157959;412,5;4,53186220111269;;;;;;;;;;;
2016-09-16 02:00:00;382,522361755371;371,166666667;3,05945983521173;;;;;;;;;;;
2016-09-16 03:00:00;398,161499023438;412;3,3588594603307;"September";"Friday";"North";15,2;1015,4;92;13,9;40;32,4;3;0
2016-09-16 04:00:00;382,733646392822;407,166666667;6,00074177834411;;;;;;;;;;;
2016-09-16 05:00:00;330,083000183105;341,833333333;3,43744509504807;;;;;;;;;;;
2016-09-16 06:00:00;328,589935302734;328;0,179858324004383;"September";"Friday";"North";15,1;1016,8;92;13,8;15;36;6;0
2016-09-16 07:00:00;397,790710449219;425,666666667;6,54877593212829;;;;;;;;;;;
2016-09-16 08:00:00;453,508270263672;461,833333333;1,80261199624701;;;;;;;;;;;
2016-09-16 09:00:00;504,313873291016;499,166666667;1,0311599246769;"September";"Friday";"North";16,4;1019;76;12,2;13;39,6;9;0
2016-09-16 10:00:00;529,02370262146;506;4,55013885799604;;;;;;;;;;;
2016-09-16 11:00:00;527,589824676514;536,666666667;1,69133701685975;;;;;;;;;;;
2016-09-16 12:00:00;576,402893066406;524,833333333;9,82589261354823;"September";"Friday";"North";16,6;1020,4;68;10,7;16;46,8;12;0
2016-09-16 13:00:00;530,381797790527;564,5;6,04396850477815;;;;;;;;;;;
2016-09-16 14:00:00;503,059761047363;572,666666667;12,1548729254242;;;;;;;;;;;
2016-09-16 15:00:00;488,032073974609;520,833333333;6,29784179681504;"September";"Friday";"North";16,7;1021,1;70;11,2;19;50,4;15;0
2016-09-16 16:00:00;458,688457489014;442,166666667;3,73655276788568;;;;;;;;;;;
2016-09-16 17:00:00;465,498250961304;386,666666667;20,3874786967851;;;;;;;;;;;
2016-09-16 18:00:00;488,501251220703;447,833333333;9,08103860537404;"September";"Friday";"North";14,5;1022,6;80;11,1;55;39,6;18;1
2016-09-16 19:00:00;530,921577453613;488,166666667;8,75826100100732;;;;;;;;;;;
2016-09-16 20:00:00;526,114009857178;493,5;6,60871526994483;;;;;;;;;;;
2016-09-16 21:00:00;560,010437011719;511,333333333;9,51964217967741;"September";"Friday";"North";13,3;1024,3;87;11,2;45;21,6;21;1
2016-09-16 22:00:00;689,567108154297;616,5;11,8519234637951;;;;;;;;;;;
2016-09-16 23:00:00;700,536193847656;560,5;24,9841559050234;;;;;;;;;;;
2016-09-17 00:00:00;554,257751464844;461,333333333;20,1425761846628;"September";"Saturday";"North";12,2;1024,3;94;11,3;19;14,4;0;0
2016-09-17 01:00:00;477,851249694824;397,666666667;20,1637677353957;;;;;;;;;;;
2016-09-17 02:00:00;409,914291381836;363,333333333;12,8204471694162;;;;;;;;;;;
2016-09-17 03:00:00;393,379699707031;398,666666667;1,32616228092751;"September";"Saturday";"West";12,6;1024,5;95;11,8;19;18;3;0
2016-09-17 04:00:00;383,543511390686;398,666666667;3,79343359773445;;;;;;;;;;;
2016-09-17 05:00:00;355,541904449463;332,166666667;7,03720154012225;;;;;;;;;;;
2016-09-17 06:00:00;342,760864257812;316;8,4686279296875;"September";"Saturday";"North";12,3;1024,7;96;11,7;18;18;6;0
2016-09-17 07:00:00;388,216926574707;369,166666667;5,16034128425006;;;;;;;;;;;
2016-09-17 08:00:00;464,975166320801;452,166666667;2,83269435763907;;;;;;;;;;;
2016-09-17 09:00:00;526,924987792969;515,166666667;2,28243050002482;"September";"Saturday";"North";15,9;1025,3;79;12,3;35;28,8;9;0
2016-09-17 10:00:00;555,424999237061;510,833333333;8,72920050324757;;;;;;;;;;;
2016-09-17 11:00:00;520,691543579102;534,833333333;2,64414891004811;;;;;;;;;;;
2016-09-17 12:00:00;555,916259765625;524,5;5,98975400679218;"September";"Saturday";"North";17,3;1025;67;11,1;25;28,8;12;0
2016-09-17 13:00:00;513,280750274658;567,333333333;9,52748232521274;;;;;;;;;;;
2016-09-17 14:00:00;485,962699890137;606,166666667;19,8301842359302;;;;;;;;;;;
2016-09-17 15:00:00;524,679870605469;556,666666667;5,74613102901414;"September";"Saturday";"North";16,2;1024,1;71;10,9;40;32,4;15;0
2016-09-17 16:00:00;498,422290802002;449;11,0071917153679;;;;;;;;;;;
2016-09-17 17:00:00;509,58728313446;401,666666667;26,8682032698849;;;;;;;;;;;
2016-09-17 18:00:00;477,048950195312;454;5,07686127650055;"September";"Saturday";"North";14,5;1024,2;82;11,5;55;21,6;18;1
2016-09-17 19:00:00;518,169105529785;489,666666667;5,82078397469688;;;;;;;;;;;
2016-09-17 20:00:00;511,491436004639;499,833333333;2,3323980003294;;;;;;;;;;;
2016-09-17 21:00:00;540,985046386719;517,666666667;4,5045163656865;"September";"Saturday";"West";12;1024,4;94;11,1;17;10,8;21;1
2016-09-17 22:00:00;690,200622558594;628,666666667;9,78800995093762;;;;;;;;;;;
2016-09-17 23:00:00;673,068099975586;571,333333333;17,8065519211164;;;;;;;;;;;
2016-09-18 00:00:00;591,306030273438;473,666666667;24,8358966093641;"September";"Sunday";"West";9,8;1024,2;97;9,3;6;7,2;0;0
2016-09-18 01:00:00;498,714981079102;430,833333333;15,7558950281209;;;;;;;;;;;
2016-09-18 02:00:00;415,672637939453;390,166666667;6,53719895918787;;;;;;;;;;;
2016-09-18 03:00:00;394,471588134766;418,5;5,74155600125075;"September";"Sunday";"West";10,1;1023,7;98;9,8;0,6;10,8;3;0
2016-09-18 04:00:00;389,295795440674;412,666666667;5,66337751849127;;;;;;;;;;;
2016-09-18 05:00:00;337,592346191406;348;2,990705117412;;;;;;;;;;;
2016-09-18 06:00:00;334,2734375;311,5;7,3108948635634;"September";"Sunday";"North";10,4;1023,4;99;10,2;0,3;10,8;6;0
2016-09-18 07:00:00;357,100395202637;359,833333333;0,759501101537507;;;;;;;;;;;
2016-09-18 08:00:00;416,79273223877;434,333333333;4,03851138010221;;;;;;;;;;;
2016-09-18 09:00:00;536,502990722656;515;4,17533800439927;"September";"Sunday";"North";15,2;1023,5;79;11,6;18;18;9;0
2016-09-18 10:00:00;599,57991027832;553;8,42313024924418;;;;;;;;;;;
2016-09-18 11:00:00;644,029502868652;582,333333333;10,5946484606218;;;;;;;;;;;
2016-09-18 12:00:00;598,2177734375;581,333333333;2,90443350421611;"September";"Sunday";"West";18;1023,2;63;10,8;35;25,2;12;0
2016-09-18 13:00:00;536,424777984619;582;7,83079416071836;;;;;;;;;;;
2016-09-18 14:00:00;511,434295654297;572,166666667;10,6144545900381;;;;;;;;;;;
2016-09-18 15:00:00;474,293975830078;547,333333333;13,3445841966443;"September";"Sunday";"West";17,7;1023,2;62;10,3;50;25,2;15;0
2016-09-18 16:00:00;451,858636856079;451,333333333;0,116389259175666;;;;;;;;;;;
2016-09-18 17:00:00;440,396404266357;378,166666667;16,4556379724908;;;;;;;;;;;
2016-09-18 18:00:00;443,066162109375;400,166666667;10,7204070243247;"September";"Sunday";"North";15,7;1023,5;75;11,3;55;14,4;18;1
2016-09-18 19:00:00;482,34888458252;445,166666667;8,35242633818607;;;;;;;;;;;
2016-09-18 20:00:00;485,289958953857;453,833333333;6,93131669942282;;;;;;;;;;;
2016-09-18 21:00:00;500,870880126953;450,5;11,1811054665823;"September";"Sunday";"North";14,2;1023,5;86;11,9;35;3,6;21;1
2016-09-18 22:00:00;663,645904541016;580,166666667;14,3888373238669;;;;;;;;;;;
2016-09-18 23:00:00;643,544662475586;527;22,1147367126349;;;;;;;;;;;
2016-09-19 00:00:00;553,571899414062;453,833333333;21,9769150380762;"September";"Monday";"West";13,3;1023,3;93;12,2;14;7,2;0;0
2016-09-19 01:00:00;472,813743591309;406,166666667;16,4088002275553;;;;;;;;;;;
2016-09-19 02:00:00;407,690765380859;370,166666667;10,1370820478592;;;;;;;;;;;
2016-09-19 03:00:00;359,303588867188;391,166666667;8,14565261179004;"September";"Monday";"South";13,6;1023;96;13;22;3,6;3;0
2016-09-19 04:00:00;345,458738327026;402,333333333;14,1361876568403;;;;;;;;;;;
2016-09-19 05:00:00;253,494895935059;317,5;20,1590878944697;;;;;;;;;;;
2016-09-19 06:00:00;313,847778320312;304,166666667;3,18283122848281;"September";"Monday";"South";14,4;1022,9;95;13,6;16;10,8;6;0
2016-09-19 07:00:00;370,71898651123;350,333333333;5,81893049807323;;;;;;;;;;;
2016-09-19 08:00:00;448,162185668945;407,5;9,97845047090683;;;;;;;;;;;
2016-09-19 09:00:00;517,332885742188;476,166666667;8,64533827269696;"September";"Monday";"South";15,7;1023,1;93;14,6;19;14,4;9;0
2016-09-19 10:00:00;550,050704956055;529,166666667;3,94658991288975;;;;;;;;;;;
2016-09-19 11:00:00;558,287250518799;561,5;0,572172659163165;;;;;;;;;;;
2016-09-19 12:00:00;550,750671386719;581,833333333;5,3421934024003;"September";"Monday";"West";16,2;1022,8;92;14,9;6;14,4;12;0
2016-09-19 13:00:00;514,634677886963;579,166666667;11,1422138900719;;;;;;;;;;;
2016-09-19 14:00:00;488,214981079102;567,166666667;13,9203677204558;;;;;;;;;;;
2016-09-19 15:00:00;517,679382324219;564,5;8,29417496470881;"September";"Monday";"North";17;1022;86;14,6;40;21,6;15;0
2016-09-19 16:00:00;442,590705871582;485,833333333;8,90071234197893;;;;;;;;;;;
2016-09-19 17:00:00;363,815902709961;393;7,42597895420841;;;;;;;;;;;
2016-09-19 18:00:00;460,034820556641;457,5;0,554059138063525;"September";"Monday";"North";15,2;1021,9;91;13,7;18;21,6;18;1
2016-09-19 19:00:00;504,340602874756;499,666666667;0,935410848783067;;;;;;;;;;;
2016-09-19 20:00:00;502,675540924072;473,666666667;6,1243225032481;;;;;;;;;;;
2016-09-19 21:00:00;524,034362792969;470;11,4966729346742;"September";"Monday";"West";14,3;1021,8;96;13,7;7;21,6;21;1
2016-09-19 22:00:00;647,365966796875;583,166666667;11,0087396621615;;;;;;;;;;;
2016-09-19 23:00:00;649,714027404785;527,833333333;23,0907535342966;;;;;;;;;;;
2016-09-20 00:00:00;467,402801513672;440,166666667;6,18768682619869;"September";"Tuesday";"North";14,2;1021;97;13,7;4,8;7,2;0;0
2016-09-20 01:00:00;395,873077392578;404,333333333;2,09239635789666;;;;;;;;;;;
2016-09-20 02:00:00;353,157997131348;379,666666667;6,98209030789177;;;;;;;;;;;
2016-09-20 03:00:00;360,151794433594;399,833333333;9,92451994150212;"September";"Tuesday";"East";13,3;1020,1;98;13;0,3;3,6;3;0
2016-09-20 04:00:00;359,658437848091;412,166666667;12,7395621881601;;;;;;;;;;;
2016-09-20 05:00:00;264,061325073242;330;19,9814166444721;;;;;;;;;;;
2016-09-20 06:00:00;322,840942382812;313,833333333;2,87018875724549;"September";"Tuesday";"North";13,5;1020;99;13,3;7;10,8;6;0
2016-09-20 07:00:00;383,397102355957;372,833333333;2,83337568787657;;;;;;;;;;;
2016-09-20 08:00:00;471,14518737793;469,833333333;0,279216894983462;;;;;;;;;;;
2016-09-20 09:00:00;536,204650878906;491,666666667;9,05857306004258;"September";"Tuesday";"North";14,5;1020,5;97;14;4,9;14,4;9;0
2016-09-20 10:00:00;550,929335594177;533,5;3,26697949281673;;;;;;;;;;;
2016-09-20 11:00:00;551,602877616882;541,833333333;1,80305338982866;;;;;;;;;;;
2016-09-20 12:00:00;536,754028320312;589,833333333;8,9990344751711;"September";"Tuesday";"North";17;1019,9;86;14,6;50;14,4;12;0
2016-09-20 13:00:00;502,902694702148;614,166666667;18,1162505234395;;;;;;;;;;;
2016-09-20 14:00:00;488,382976531982;608,666666667;19,7618329904083;;;;;;;;;;;
2016-09-20 15:00:00;515,272216796875;568;9,28306042308539;"September";"Tuesday";"North";18,1;1018,5;81;14,8;19;25,2;15;0
2016-09-20 16:00:00;437,820709228516;482,5;9,25995663657707;;;;;;;;;;;
2016-09-20 17:00:00;362,235961914062;412,333333333;12,1497262940124;;;;;;;;;;;
2016-09-20 18:00:00;471,73388671875;445,333333333;5,92826797584651;"September";"Tuesday";"North";15,6;1018,6;91;14,1;12;21,6;18;1
2016-09-20 19:00:00;524,165172576904;494,5;5,99902377692706;;;;;;;;;;;
2016-09-20 20:00:00;511,28352355957;507,666666667;0,71244718829309;;;;;;;;;;;
2016-09-20 21:00:00;517,635437011719;500,666666667;3,38923508882306;"September";"Tuesday";"North";14,3;1018,9;98;14;1,6;10,8;21;1
2016-09-20 22:00:00;662,624954223633;601;10,2537361436993;;;;;;;;;;;
2016-09-20 23:00:00;612,966400146484;536,333333333;14,2883281815162;;;;;;;;;;;
