"dt_posix";"puissance";"reality";"mape";"Month";"Weekday";"rose_vt";"temp";"pression";"hr";"p_ros";"visi";"vt_moy";"vt_raf";"rr_3h";"Hour";"f_weekend";"f_evening"
2016-09-13 21:00:00;555,213684082031;512,833333333;8,26396179702153;"September";"Tuesday";"East";17,2;1005,1;98;16,9;3;12,964;25,928;0;21;0;1
2016-09-13 22:00:00;664,465637207031;624,333333333;6,42802518004046;;;;;;;;;;;;;;
2016-09-13 23:00:00;599,961296081543;550,666666667;8,95180921571063;;;;;;;;;;;;;;
2016-09-14 00:00:00;505,474914550781;467,166666667;8,20012441321881;"September";"Wednesday";"East";17,5;1005,5;97;17;9;12,964;24,076;3;0;0;0
2016-09-14 01:00:00;432,045997619629;405,833333333;6,45897271950319;;;;;;;;;;;;;;
2016-09-14 02:00:00;402,576820373535;362,5;11,0556745858028;;;;;;;;;;;;;;
2016-09-14 03:00:00;407,104187011719;396,666666667;2,63130764992688;"September";"Wednesday";"East";16,2;1004;97;15,7;2,9;7,408;12,964;0;3;0;0
2016-09-14 04:00:00;386,786626815796;407,833333333;5,16061459351564;;;;;;;;;;;;;;
2016-09-14 05:00:00;325,371208190918;330,833333333;1,65102019408187;;;;;;;;;;;;;;
2016-09-14 06:00:00;334,790954589844;317,166666667;5,55679072711252;"September";"Wednesday";"East";15,5;1004,6;94;14,5;45;18;36;0;6;0;0
2016-09-14 07:00:00;400,574676513672;384,833333333;4,09043131589923;;;;;;;;;;;;;;
2016-09-14 08:00:00;487,679565429688;458,833333333;6,28686496840722;;;;;;;;;;;;;;
2016-09-14 09:00:00;527,119079589844;478,333333333;10,1991107157236;"September";"Wednesday";"East";18;1005,9;82;14,9;29;28,8;46,8;0;9;0;0
2016-09-14 10:00:00;552,558717727661;504;9,63466621580578;;;;;;;;;;;;;;
2016-09-14 11:00:00;556,883544921875;492,333333333;13,1110788603085;;;;;;;;;;;;;;
2016-09-14 12:00:00;593,606628417969;519,5;14,2649910332952;"September";"Wednesday";"South";20,2;1007,2;65;13,4;7;32,4;54;0;12;0;0
2016-09-14 13:00:00;592,114993214607;543,333333333;8,97821961011726;;;;;;;;;;;;;;
2016-09-14 14:00:00;609,22891330719;573;6,32267247943978;;;;;;;;;;;;;;
2016-09-14 15:00:00;504,047637939453;539;6,48466828581575;"September";"Wednesday";"South";20,4;1007,9;62;12,9;28;25,2;46,8;0;15;0;0
2016-09-14 16:00:00;420,355453491211;438,833333333;4,2106828352001;;;;;;;;;;;;;;
2016-09-14 17:00:00;369,909225463867;380,5;2,78338358374056;;;;;;;;;;;;;;
2016-09-14 18:00:00;504,979553222656;426;18,5398012259756;"September";"Wednesday";"East";18,6;1009,3;63;11,4;45;25,2;43,2;0;18;0;1
2016-09-14 19:00:00;564,780265808105;480,5;17,5401177540282;;;;;;;;;;;;;;
2016-09-14 20:00:00;568,327693939209;471,833333333;20,4509418452018;;;;;;;;;;;;;;
2016-09-14 21:00:00;555,521606445312;477,166666667;16,4208745605849;"September";"Wednesday";"East";13,8;1010,5;89;12;60;3,6;10,8;0;21;0;1
2016-09-14 22:00:00;689,974807739258;607,166666667;13,6384531000075;;;;;;;;;;;;;;
2016-09-14 23:00:00;682,969985961914;539,833333333;26,5149711569625;;;;;;;;;;;;;;
2016-09-15 00:00:00;566,1923828125;445,333333333;27,1390081166745;"September";"Thursday";"North";13,4;1010,4;89;11,6;60;10,8;14,4;0;0;0;0
2016-09-15 01:00:00;499,614852905273;393,166666667;27,0745704717719;;;;;;;;;;;;;;
2016-09-15 02:00:00;424,156539916992;358,5;18,3142370758695;;;;;;;;;;;;;;
2016-09-15 03:00:00;392,720916748047;383,833333333;2,31547983023568;"September";"Thursday";"East";12,7;1009,8;94;11,8;60;7,2;7,2;0;3;0;0
2016-09-15 04:00:00;359,020057678223;396,833333333;9,52875488991409;;;;;;;;;;;;;;
2016-09-15 05:00:00;306,798385620117;316;2,91190328477304;;;;;;;;;;;;;;
2016-09-15 06:00:00;342,791809082031;294;16,5958534292623;"September";"Thursday";"North";13,8;1010,1;92;12,5;4,6;7,2;18;;6;0;0
2016-09-15 07:00:00;404,204471588135;357,5;13,0641878568209;;;;;;;;;;;;;;
2016-09-15 08:00:00;486,327377319336;459,166666667;5,91521829088556;;;;;;;;;;;;;;
2016-09-15 09:00:00;595,583190917969;503;18,4062009777274;"September";"Thursday";"West";14;1010,8;98;13,7;2,9;7,2;14,4;9;9;0;0
2016-09-15 10:00:00;613,468616485596;525,5;16,73998410763;;;;;;;;;;;;;;
2016-09-15 11:00:00;639,402961730957;593,666666667;7,70403622637811;;;;;;;;;;;;;;
2016-09-15 12:00:00;632,265747070312;615,5;2,72392316333266;"September";"Thursday";"West";16,4;1011,4;95;15,6;2;10,8;14,4;0;12;0;0
2016-09-15 13:00:00;615,707010269165;625,333333333;1,53939068185077;;;;;;;;;;;;;;
2016-09-15 14:00:00;608,159114837646;658;7,57460260826041;;;;;;;;;;;;;;
2016-09-15 15:00:00;595,715637207031;613;2,81963503963601;"September";"Thursday";"North";16,3;1011,8;91;14,8;19;10,8;18;1;15;0;0
2016-09-15 16:00:00;535,506462097168;522;2,58744484620076;;;;;;;;;;;;;;
2016-09-15 17:00:00;459,487716674805;437;5,14593058920016;;;;;;;;;;;;;;
2016-09-15 18:00:00;560,393188476562;485,5;15,4259914472837;"September";"Thursday";"West";16,1;1012,8;94;15,1;18;7,2;10,8;;18;0;1
2016-09-15 19:00:00;596,021991729736;557;7,00574357804961;;;;;;;;;;;;;;
2016-09-15 20:00:00;590,130270004272;533,166666667;10,6840143802257;;;;;;;;;;;;;;
2016-09-15 21:00:00;545,493469238281;497,666666667;9,61020815229388;"September";"Thursday";"North";16,2;1014;96;15,6;10;14,4;25,2;0;21;0;1
2016-09-15 22:00:00;666,928855895996;616,5;8,17986308126457;;;;;;;;;;;;;;
2016-09-15 23:00:00;606,38260269165;541,833333333;11,913122613108;;;;;;;;;;;;;;
2016-09-16 00:00:00;491,259307861328;442,5;11,019052624029;"September";"Friday";"West";15,9;1014,7;95;15,1;16;18;28,8;0;0;0;0
2016-09-16 01:00:00;423,65567779541;412,5;2,70440673828125;;;;;;;;;;;;;;
2016-09-16 02:00:00;380,091812133789;371,166666667;2,40461934444033;;;;;;;;;;;;;;
2016-09-16 03:00:00;404,992797851562;412;1,70077722049454;"September";"Friday";"North";15,2;1015,4;92;13,9;40;21,6;32,4;0;3;0;0
2016-09-16 04:00:00;378,188856124878;407,166666667;7,11694077988498;;;;;;;;;;;;;;
2016-09-16 05:00:00;348,127613067627;341,833333333;1,84133000525591;;;;;;;;;;;;;;
2016-09-16 06:00:00;333,811187744141;328;1,77170358053068;"September";"Friday";"North";15,1;1016,8;92;13,8;15;18;36;;6;0;0
2016-09-16 07:00:00;410,858993530273;425,666666667;3,47870159828856;;;;;;;;;;;;;;
2016-09-16 08:00:00;469,253509521484;461,833333333;1,6066783518924;;;;;;;;;;;;;;
2016-09-16 09:00:00;521,61083984375;499,166666667;4,49632851620735;"September";"Friday";"North";16,4;1019;76;12,2;13;28,8;39,6;;9;0;0
2016-09-16 10:00:00;536,905277252197;506;6,10776230280578;;;;;;;;;;;;;;
2016-09-16 11:00:00;543,73263168335;536,666666667;1,31663944403949;;;;;;;;;;;;;;
2016-09-16 12:00:00;588,147583007812;524,833333333;12,0636868227728;"September";"Friday";"North";16,6;1020,4;68;10,7;16;25,2;46,8;0;12;0;0
2016-09-16 13:00:00;546,030448913574;564,5;3,27184253081059;;;;;;;;;;;;;;
2016-09-16 14:00:00;518,213119506836;572,666666667;9,50876842144336;;;;;;;;;;;;;;
2016-09-16 15:00:00;498,819061279297;520,833333333;4,22674023431371;"September";"Friday";"North";16,7;1021,1;70;11,2;19;28,8;50,4;0;15;0;0
2016-09-16 16:00:00;476,303398132324;442,166666667;7,72033127748929;;;;;;;;;;;;;;
2016-09-16 17:00:00;480,333391189575;386,666666667;24,2241528937486;;;;;;;;;;;;;;
2016-09-16 18:00:00;472,977661132812;447,833333333;5,61466195753582;"September";"Friday";"North";14,5;1022,6;80;11,1;55;18;39,6;0;18;0;1
2016-09-16 19:00:00;515,118572235107;488,166666667;5,52104586577446;;;;;;;;;;;;;;
2016-09-16 20:00:00;516,066299438477;493,5;4,57270505338937;;;;;;;;;;;;;;
2016-09-16 21:00:00;558,250671386719;511,333333333;9,17548984102008;"September";"Friday";"North";13,3;1024,3;87;11,2;45;14,4;21,6;0;21;0;1
2016-09-16 22:00:00;696,192596435547;616,5;12,9266174266905;;;;;;;;;;;;;;
2016-09-16 23:00:00;724,255615234375;560,5;29,2159884450268;;;;;;;;;;;;;;
2016-09-17 00:00:00;600,396179199219;461,333333333;30,1436804623524;"September";"Saturday";"North";12,2;1024,3;94;11,3;19;7,2;14,4;;0;1;0
2016-09-17 01:00:00;524,017753601074;397,666666667;31,773114903764;;;;;;;;;;;;;;
2016-09-17 02:00:00;443,268188476562;363,333333333;22,0004188468723;;;;;;;;;;;;;;
2016-09-17 03:00:00;396,093933105469;398,666666667;0,645334505400279;"September";"Saturday";"West";12,6;1024,5;95;11,8;19;10,8;18;0;3;1;0
2016-09-17 04:00:00;381,271017074585;398,666666667;4,36345725561886;;;;;;;;;;;;;;
2016-09-17 05:00:00;343,441814422607;332,166666667;3,39442481352617;;;;;;;;;;;;;;
2016-09-17 06:00:00;328,108001708984;316;3,83164611043809;"September";"Saturday";"North";12,3;1024,7;96;11,7;18;3,6;18;0;6;1;0
2016-09-17 07:00:00;379,088188171387;369,166666667;2,68754532849961;;;;;;;;;;;;;;
2016-09-17 08:00:00;449,630653381348;452,166666667;0,560858080129117;;;;;;;;;;;;;;
2016-09-17 09:00:00;538,34765625;515,166666667;4,49970681002621;"September";"Saturday";"North";15,9;1025,3;79;12,3;35;18;28,8;0;9;1;0
2016-09-17 10:00:00;574,420455932617;510,833333333;12,447723836801;;;;;;;;;;;;;;
2016-09-17 11:00:00;577,020126342773;534,833333333;7,88783914175127;;;;;;;;;;;;;;
2016-09-17 12:00:00;581,441650390625;524,5;10,8563680439704;"September";"Saturday";"North";17,3;1025;67;11,1;25;18;28,8;0;12;1;0
2016-09-17 13:00:00;537,66833114624;567,333333333;5,22884879907942;;;;;;;;;;;;;;
2016-09-17 14:00:00;512,800476074219;606,166666667;15,4027259707555;;;;;;;;;;;;;;
2016-09-17 15:00:00;522,22705078125;556,666666667;6,1867573447418;"September";"Saturday";"North";16,2;1024,1;71;10,9;40;18;32,4;0;15;1;0
2016-09-17 16:00:00;495,552389144897;449;10,3680153997544;;;;;;;;;;;;;;
2016-09-17 17:00:00;504,18607711792;401,666666667;25,5235046765564;;;;;;;;;;;;;;
2016-09-17 18:00:00;477,940338134766;454;5,27320223232723;"September";"Saturday";"North";14,5;1024,2;82;11,5;55;7,2;21,6;0;18;1;1
2016-09-17 19:00:00;511,596313476562;489,666666667;4,47848471263735;;;;;;;;;;;;;;
2016-09-17 20:00:00;513,87047958374;499,833333333;2,80836537194057;;;;;;;;;;;;;;
2016-09-17 21:00:00;554,791137695312;517,666666667;7,17150116451165;"September";"Saturday";"West";12;1024,4;94;11,1;17;7,2;10,8;0;21;1;1
2016-09-17 22:00:00;700,565399169922;628,666666667;11,4367018827493;;;;;;;;;;;;;;
2016-09-17 23:00:00;686,65104675293;571,333333333;20,1839638424732;;;;;;;;;;;;;;
2016-09-18 00:00:00;600,141784667969;473,666666667;26,7012916258015;"September";"Sunday";"West";9,8;1024,2;97;9,3;6;7,2;7,2;0;0;1;0
2016-09-18 01:00:00;505,766815185547;430,833333333;17,3926843758464;;;;;;;;;;;;;;
2016-09-18 02:00:00;423,861129760742;390,166666667;8,63591535934559;;;;;;;;;;;;;;
2016-09-18 03:00:00;397,380859375;418,5;5,04638963560335;"September";"Sunday";"West";10,1;1023,7;98;9,8;0,6;3,6;10,8;0;3;1;0
2016-09-18 04:00:00;392,276164054871;412,666666667;4,94115572183674;;;;;;;;;;;;;;
2016-09-18 05:00:00;323,215301513672;348;7,12203979492188;;;;;;;;;;;;;;
2016-09-18 06:00:00;330,890808105469;311,5;6,2249785250301;"September";"Sunday";"North";10,4;1023,4;99;10,2;0,3;3,6;10,8;0;6;1;0
2016-09-18 07:00:00;356,539480209351;359,833333333;0,915382989435604;;;;;;;;;;;;;;
2016-09-18 08:00:00;423,522003173828;434,333333333;2,48917808730165;;;;;;;;;;;;;;
2016-09-18 09:00:00;523,685791015625;515;1,68656136225728;"September";"Sunday";"North";15,2;1023,5;79;11,6;18;7,2;18;0;9;1;0
2016-09-18 10:00:00;586,964004516602;553;6,14177296864404;;;;;;;;;;;;;;
2016-09-18 11:00:00;589,239097595215;582,333333333;1,18587823621387;;;;;;;;;;;;;;
2016-09-18 12:00:00;589,362854003906;581,333333333;1,38122488605117;"September";"Sunday";"West";18;1023,2;63;10,8;35;10,8;25,2;0;12;1;0
2016-09-18 13:00:00;525,259880065918;582;9,74916150070138;;;;;;;;;;;;;;
2016-09-18 14:00:00;473,505462646484;572,166666667;17,2434379295878;;;;;;;;;;;;;;
2016-09-18 15:00:00;473,835205078125;547,333333333;13,4284034570499;"September";"Sunday";"West";17,7;1023,2;62;10,3;50;10,8;25,2;0;15;1;0
2016-09-18 16:00:00;441,764209747314;451,333333333;2,12018986389053;;;;;;;;;;;;;;
2016-09-18 17:00:00;434,212146759033;378,166666667;14,8203120560557;;;;;;;;;;;;;;
2016-09-18 18:00:00;433,861785888672;400,166666667;8,42027135901136;"September";"Sunday";"North";15,7;1023,5;75;11,3;55;3,6;14,4;0;18;1;1
2016-09-18 19:00:00;475,982147216797;445,166666667;6,92223449264855;;;;;;;;;;;;;;
2016-09-18 20:00:00;467,781196594238;453,833333333;3,07334482436619;;;;;;;;;;;;;;
2016-09-18 21:00:00;510,460693359375;450,5;13,3098098466981;"September";"Sunday";"North";14,2;1023,5;86;11,9;35;0;3,6;0;21;1;1
2016-09-18 22:00:00;667,404205322266;580,166666667;15,0366340686956;;;;;;;;;;;;;;
2016-09-18 23:00:00;659,782608032227;527;25,195940803079;;;;;;;;;;;;;;
2016-09-19 00:00:00;537,341247558594;453,833333333;18,4005686872542;"September";"Monday";"West";13,3;1023,3;93;12,2;14;3,6;7,2;0;0;0;0
2016-09-19 01:00:00;460,928756713867;406,166666667;13,4826647632718;;;;;;;;;;;;;;
2016-09-19 02:00:00;397,603225708008;370,166666667;7,41194751219714;;;;;;;;;;;;;;
2016-09-19 03:00:00;374,366333007812;391,166666667;4,29492978078565;"September";"Monday";"South";13,6;1023;96;13;22;3,6;3,6;0;3;0;0
2016-09-19 04:00:00;367,653865337372;402,333333333;8,61958608011356;;;;;;;;;;;;;;
2016-09-19 05:00:00;288,973945617676;317,5;8,98458405742495;;;;;;;;;;;;;;
2016-09-19 06:00:00;314,546020507812;304,166666667;3,41239030382502;"September";"Monday";"South";14,4;1022,9;95;13,6;16;7,2;10,8;0;6;0;0
2016-09-19 07:00:00;374,204120635986;350,333333333;6,81373567164864;;;;;;;;;;;;;;
2016-09-19 08:00:00;457,916763305664;407,5;12,3722118541507;;;;;;;;;;;;;;
2016-09-19 09:00:00;540,720092773438;476,166666667;13,5568973272087;"September";"Monday";"South";15,7;1023,1;93;14,6;19;10,8;14,4;;9;0;0
2016-09-19 10:00:00;575,533687591553;529,166666667;8,76227167077611;;;;;;;;;;;;;;
2016-09-19 11:00:00;588,467727661133;561,5;4,80280100821599;;;;;;;;;;;;;;
2016-09-19 12:00:00;555,461181640625;581,833333333;4,53259553578748;"September";"Monday";"West";16,2;1022,8;92;14,9;6;7,2;14,4;0;12;0;0
2016-09-19 13:00:00;537,313486099243;579,166666667;7,22644844334953;;;;;;;;;;;;;;
2016-09-19 14:00:00;533,426092147827;567,166666667;5,9489699416667;;;;;;;;;;;;;;
2016-09-19 15:00:00;522,554931640625;564,5;7,43048155170505;"September";"Monday";"North";17;1022;86;14,6;40;14,4;21,6;0;15;0;0
2016-09-19 16:00:00;462,205585479736;485,833333333;4,86334432657562;;;;;;;;;;;;;;
2016-09-19 17:00:00;376,496475219727;393;4,19937017309757;;;;;;;;;;;;;;
2016-09-19 18:00:00;468,893249511719;457,5;2,49032776212432;"September";"Monday";"North";15,2;1021,9;91;13,7;18;14,4;21,6;0;18;0;1
2016-09-19 19:00:00;511,285705566406;499,666666667;2,32535801855874;;;;;;;;;;;;;;
2016-09-19 20:00:00;526,699066162109;473,666666667;11,1961434542728;;;;;;;;;;;;;;
2016-09-19 21:00:00;532,955993652344;470;13,3948922664561;"September";"Monday";"West";14,3;1021,8;96;13,7;7;10,8;21,6;0;21;0;1
2016-09-19 22:00:00;655,035369873047;583,166666667;12,3238702268087;;;;;;;;;;;;;;
2016-09-19 23:00:00;663,335205078125;527,833333333;25,6713366110282;;;;;;;;;;;;;;
2016-09-20 00:00:00;483,854797363281;440,166666667;9,92536100634187;"September";"Tuesday";"North";14,2;1021;97;13,7;4,8;0;7,2;0;0;0;0
2016-09-20 01:00:00;391,376197814941;404,333333333;3,20456772911853;;;;;;;;;;;;;;
2016-09-20 02:00:00;357,309257507324;379,666666667;5,88869424749504;;;;;;;;;;;;;;
2016-09-20 03:00:00;371,529296875;399,833333333;7,07895868062282;"September";"Tuesday";"East";13,3;1020,1;98;13;0,3;3,6;3,6;0;3;0;0
2016-09-20 04:00:00;365,932241916656;412,166666667;11,2174099677249;;;;;;;;;;;;;;
2016-09-20 05:00:00;276,348083496094;330;16,2581565163352;;;;;;;;;;;;;;
2016-09-20 06:00:00;314,083862304688;313,833333333;0,079828668620642;"September";"Tuesday";"North";13,5;1020;99;13,3;7;7,2;10,8;0;6;0;0
2016-09-20 07:00:00;374,721965789795;372,833333333;0,506562125202492;;;;;;;;;;;;;;
2016-09-20 08:00:00;449,789993286133;469,833333333;4,26605322033659;;;;;;;;;;;;;;
2016-09-20 09:00:00;520,237121582031;491,666666667;5,81093998271428;"September";"Tuesday";"North";14,5;1020,5;97;14;4,9;7,2;14,4;0;9;0;0
2016-09-20 10:00:00;534,721357345581;533,5;0,228932960746215;;;;;;;;;;;;;;
2016-09-20 11:00:00;533,60705947876;541,833333333;1,51822956399483;;;;;;;;;;;;;;
2016-09-20 12:00:00;539,30908203125;589,833333333;8,56585215627781;"September";"Tuesday";"North";17;1019,9;86;14,6;50;7,2;14,4;0;12;0;0
2016-09-20 13:00:00;501,645038604736;614,166666667;18,3210249219326;;;;;;;;;;;;;;
2016-09-20 14:00:00;495,15124130249;608,666666667;18,6498508265796;;;;;;;;;;;;;;
2016-09-20 15:00:00;498,229553222656;568;12,2835293622084;"September";"Tuesday";"North";18,1;1018,5;81;14,8;19;14,4;25,2;0;15;0;0
2016-09-20 16:00:00;412,818336486816;482,5;14,4417955467738;;;;;;;;;;;;;;
2016-09-20 17:00:00;333,012359619141;412,333333333;19,2370995264164;;;;;;;;;;;;;;
2016-09-20 18:00:00;487,15283203125;445,333333333;9,39060599512305;"September";"Tuesday";"North";15,6;1018,6;91;14,1;12;14,4;21,6;0;18;0;1
2016-09-20 19:00:00;533,784332275391;494,5;7,94425324072611;;;;;;;;;;;;;;
2016-09-20 20:00:00;541,877738952637;507,666666667;6,73888488882749;;;;;;;;;;;;;;
2016-09-20 21:00:00;531,43994140625;500,666666667;6,14645966828818;"September";"Tuesday";"North";14,3;1018,9;98;14;1,6;7,2;10,8;;21;0;1
2016-09-20 22:00:00;682,528625488281;601;13,5654950895643;;;;;;;;;;;;;;
2016-09-20 23:00:00;591,705539703369;536,333333333;10,3242149851591;;;;;;;;;;;;;;
