"dt_posix";"puissance";"reality";"mape";"Month";"Weekday";"rose_vt";"temp";"pression";"hr";"p_ros";"visi";"vt_raf";"Hour";"f_evening";"f_weekend"
2016-09-17 12:00:00;570,950012207031;524,5;8,85605571154075;"September";"Saturday";"North";17,3;1025;67;11,1;25;28,8;12;0;1
2016-09-17 13:00:00;528,973987579346;567,333333333;6,76134178971978;;;;;;;;;;;;
2016-09-17 14:00:00;500,784934997559;606,166666667;17,3849433603602;;;;;;;;;;;;
2016-09-17 15:00:00;500,81298828125;556,666666667;10,0335949195898;"September";"Saturday";"North";16,2;1024,1;71;10,9;40;32,4;15;0;1
2016-09-17 16:00:00;475,078769683838;449;5,80818923916211;;;;;;;;;;;;
2016-09-17 17:00:00;482,888250350952;401,666666667;20,2211411661124;;;;;;;;;;;;
2016-09-17 18:00:00;476,315643310547;454;4,91533993624381;"September";"Saturday";"North";14,5;1024,2;82;11,5;55;21,6;18;1;1
2016-09-17 19:00:00;519,757522583008;489,666666667;6,14517139196473;;;;;;;;;;;;
2016-09-17 20:00:00;511,163505554199;499,833333333;2,26679004092167;;;;;;;;;;;;
2016-09-17 21:00:00;525,464111328125;517,666666667;1,50626748122087;"September";"Saturday";"West";12;1024,4;94;11,1;17;10,8;21;1;1
2016-09-17 22:00:00;670,768264770508;628,666666667;6,6969668245205;;;;;;;;;;;;
2016-09-17 23:00:00;649,282005310059;571,333333333;13,6432914779062;;;;;;;;;;;;
2016-09-18 00:00:00;601,439758300781;473,666666667;26,9753184307582;"September";"Sunday";"West";9,8;1024,2;97;9,3;6;7,2;0;0;1
2016-09-18 01:00:00;506,867324829102;430,833333333;17,6481218172906;;;;;;;;;;;;
2016-09-18 02:00:00;410,600692749023;390,166666667;5,23725572370935;;;;;;;;;;;;
2016-09-18 03:00:00;396,73095703125;418,5;5,20168290770609;"September";"Sunday";"West";10,1;1023,7;98;9,8;0,6;10,8;3;0;1
2016-09-18 04:00:00;392,083173274994;412,666666667;4,98792246978744;;;;;;;;;;;;
2016-09-18 05:00:00;320,110412597656;348;8,01424925354705;;;;;;;;;;;;
2016-09-18 06:00:00;337,981201171875;311,5;8,50118817716693;"September";"Sunday";"North";10,4;1023,4;99;10,2;0,3;10,8;6;0;1
2016-09-18 07:00:00;360,54118347168;359,833333333;0,196716110795838;;;;;;;;;;;;
2016-09-18 08:00:00;422,473434448242;434,333333333;2,73059836180358;;;;;;;;;;;;
2016-09-18 09:00:00;535,553283691406;515;3,99092887211772;"September";"Sunday";"North";15,2;1023,5;79;11,6;18;18;9;0;1
2016-09-18 10:00:00;599,315399169922;553;8,37529822240902;;;;;;;;;;;;
2016-09-18 11:00:00;623,037574768066;582,333333333;6,98985256469771;;;;;;;;;;;;
2016-09-18 12:00:00;593,765563964844;581,333333333;2,13857178300186;"September";"Sunday";"West";18;1023,2;63;10,8;35;25,2;12;0;1
2016-09-18 13:00:00;531,761093139648;582;8,63211458081642;;;;;;;;;;;;
2016-09-18 14:00:00;506,564414978027;572,166666667;11,4655843324674;;;;;;;;;;;;
2016-09-18 15:00:00;475,981262207031;547,333333333;13,0363101935467;"September";"Sunday";"West";17,7;1023,2;62;10,3;50;25,2;15;0;1
2016-09-18 16:00:00;445,363639831543;451,333333333;1,32267950549367;;;;;;;;;;;;
2016-09-18 17:00:00;445,413581848145;378,166666667;17,7823486596083;;;;;;;;;;;;
2016-09-18 18:00:00;455,938568115234;400,166666667;13,9371682086267;"September";"Sunday";"North";15,7;1023,5;75;11,3;55;14,4;18;1;1
2016-09-18 19:00:00;491,603298187256;445,166666667;10,4312912437786;;;;;;;;;;;;
2016-09-18 20:00:00;498,034000396729;453,833333333;9,73940515543761;;;;;;;;;;;;
2016-09-18 21:00:00;512,624755859375;450,5;13,7901788811043;"September";"Sunday";"North";14,2;1023,5;86;11,9;35;3,6;21;1;1
2016-09-18 22:00:00;670,688781738281;580,166666667;15,6027776623779;;;;;;;;;;;;
2016-09-18 23:00:00;650,055603027344;527;23,3502093031013;;;;;;;;;;;;
2016-09-19 00:00:00;549,593566894531;453,833333333;21,1003085335883;"September";"Monday";"West";13,3;1023,3;93;12,2;14;7,2;0;0;0
2016-09-19 01:00:00;463,419784545898;406,166666667;14,0959666505174;;;;;;;;;;;;
2016-09-19 02:00:00;415,498382568359;370,166666667;12,2462987576727;;;;;;;;;;;;
2016-09-19 03:00:00;367,094573974609;391,166666667;6,15392229033748;"September";"Monday";"South";13,6;1023;96;13;22;3,6;3;0;0
2016-09-19 04:00:00;362,239440917969;402,333333333;9,96534194243524;;;;;;;;;;;;
2016-09-19 05:00:00;270,824089050293;317,5;14,7010743148684;;;;;;;;;;;;
2016-09-19 06:00:00;316,435028076172;304,166666667;4,03343388794249;"September";"Monday";"South";14,4;1022,9;95;13,6;16;10,8;6;0;0
2016-09-19 07:00:00;374,270015716553;350,333333333;6,83254492395115;;;;;;;;;;;;
2016-09-19 08:00:00;452,952377319336;407,5;11,1539576243769;;;;;;;;;;;;
2016-09-19 09:00:00;526,002563476562;476,166666667;10,4660616330824;"September";"Monday";"South";15,7;1023,1;93;14,6;19;14,4;9;0;0
2016-09-19 10:00:00;552,174715042114;529,166666667;4,34797764568815;;;;;;;;;;;;
2016-09-19 11:00:00;571,427978515625;561,5;1,76811727793856;;;;;;;;;;;;
2016-09-19 12:00:00;556,91748046875;581,833333333;4,28230069279822;"September";"Monday";"West";16,2;1022,8;92;14,9;6;14,4;12;0;0
2016-09-19 13:00:00;538,682760238647;579,166666667;6,99002700920792;;;;;;;;;;;;
2016-09-19 14:00:00;530,977912902832;567,166666667;6,38062070481575;;;;;;;;;;;;
2016-09-19 15:00:00;529,350036621094;564,5;6,22674284834477;"September";"Monday";"North";17;1022;86;14,6;40;21,6;15;0;0
2016-09-19 16:00:00;463,539527893066;485,833333333;4,58877641988656;;;;;;;;;;;;
2016-09-19 17:00:00;384,22509765625;393;2,23279957856234;;;;;;;;;;;;
2016-09-19 18:00:00;469,534790039062;457,5;2,63055519979508;"September";"Monday";"North";15,2;1021,9;91;13,7;18;21,6;18;1;0
2016-09-19 19:00:00;512,541297912598;499,666666667;2,57664401179234;;;;;;;;;;;;
2016-09-19 20:00:00;519,382244110107;473,666666667;9,65142380923474;;;;;;;;;;;;
2016-09-19 21:00:00;535,936401367188;470;14,0290215674867;"September";"Monday";"West";14,3;1021,8;96;13,7;7;21,6;21;1;0
2016-09-19 22:00:00;660,004776000977;583,166666667;13,176011889214;;;;;;;;;;;;
2016-09-19 23:00:00;654,196342468262;527,833333333;23,9399448946021;;;;;;;;;;;;
2016-09-20 00:00:00;470,486541748047;440,166666667;6,88827150648025;"September";"Tuesday";"North";14,2;1021;97;13,7;4,8;7,2;0;0;0
2016-09-20 01:00:00;400,392761230469;404,333333333;0,974585021236888;;;;;;;;;;;;
2016-09-20 02:00:00;362,552032470703;379,666666667;4,50780531947722;;;;;;;;;;;;
2016-09-20 03:00:00;374,752807617188;399,833333333;6,27274507273866;"September";"Tuesday";"East";13,3;1020,1;98;13;0,3;3,6;3;0;0
2016-09-20 04:00:00;373,247696280479;412,166666667;9,44253224095975;;;;;;;;;;;;
2016-09-20 05:00:00;288,119728088379;330;12,69099148837;;;;;;;;;;;;
2016-09-20 06:00:00;318,058135986328;313,833333333;1,34619309187444;"September";"Tuesday";"North";13,5;1020;99;13,3;7;10,8;6;0;0
2016-09-20 07:00:00;377,877471923828;372,833333333;1,35292049821171;;;;;;;;;;;;
2016-09-20 08:00:00;461,914093017578;469,833333333;1,6855424580548;;;;;;;;;;;;
2016-09-20 09:00:00;540,990356445312;491,666666667;10,0319369040568;"September";"Tuesday";"North";14,5;1020,5;97;14;4,9;14,4;9;0;0
2016-09-20 10:00:00;550,576031684875;533,5;3,20075570475642;;;;;;;;;;;;
2016-09-20 11:00:00;554,717608451843;541,833333333;2,37790374386671;;;;;;;;;;;;
2016-09-20 12:00:00;540,093933105469;589,833333333;8,43278896200498;"September";"Tuesday";"North";17;1019,9;86;14,6;50;14,4;12;0;0
2016-09-20 13:00:00;512,32625579834;614,166666667;16,5818850803699;;;;;;;;;;;;
2016-09-20 14:00:00;485,832332611084;608,666666667;20,1808873038087;;;;;;;;;;;;
2016-09-20 15:00:00;498,639282226562;568;12,2113939741967;"September";"Tuesday";"North";18,1;1018,5;81;14,8;19;25,2;15;0;0
2016-09-20 16:00:00;420,837799072266;482,5;12,7797307622247;;;;;;;;;;;;
2016-09-20 17:00:00;340,189559936523;412,333333333;17,4964688916414;;;;;;;;;;;;
2016-09-20 18:00:00;474,147247314453;445,333333333;6,47019026530121;"September";"Tuesday";"North";15,6;1018,6;91;14,1;12;21,6;18;1;0
2016-09-20 19:00:00;527,183116912842;494,5;6,60932596821877;;;;;;;;;;;;
2016-09-20 20:00:00;519,80252456665;507,666666667;2,39051698614099;;;;;;;;;;;;
2016-09-20 21:00:00;529,861511230469;500,666666667;5,83119398737336;"September";"Tuesday";"North";14,3;1018,9;98;14;1,6;10,8;21;1;0
2016-09-20 22:00:00;676,711608886719;601;12,5976054719998;;;;;;;;;;;;
2016-09-20 23:00:00;635,337112426758;536,333333333;18,4593745979775;;;;;;;;;;;;
