"dt_posix";"puissance";"reality";"mape";"Month";"Weekday";"rose_vt";"temp";"pression";"hr";"p_ros";"visi";"vt_moy";"vt_raf";"rr_3h";"Hour";"f_evening"
2016-09-17 01:00:00;495,097602844238;397,666666667;24,5006545290419;;;;;;;;;;;;;
2016-09-17 02:00:00;417,868041992188;363,333333333;15,009552841992;;;;;;;;;;;;;
2016-09-17 03:00:00;389,924530029297;398,666666667;2,19284363821802;"September";"Saturday";"West";12,6;1024,5;95;11,8;19;10,8;18;0;3;0
2016-09-17 04:00:00;379,26170539856;398,666666667;4,86746520110975;;;;;;;;;;;;;
2016-09-17 05:00:00;345,204071044922;332,166666667;3,92495866871313;;;;;;;;;;;;;
2016-09-17 06:00:00;329,531127929688;316;4,28200250939478;"September";"Saturday";"North";12,3;1024,7;96;11,7;18;3,6;18;0;6;0
2016-09-17 07:00:00;378,817771911621;369,166666667;2,6142948743871;;;;;;;;;;;;;
2016-09-17 08:00:00;458,331481933594;452,166666667;1,36339445630428;;;;;;;;;;;;;
2016-09-17 09:00:00;529,519592285156;515,166666667;2,78607420604601;"September";"Saturday";"North";15,9;1025,3;79;12,3;35;18;28,8;0;9;0
2016-09-17 10:00:00;561,763526916504;510,833333333;9,97002158242163;;;;;;;;;;;;;
2016-09-17 11:00:00;553,198741912842;534,833333333;3,43385638763226;;;;;;;;;;;;;
2016-09-17 12:00:00;566,609191894531;524,5;8,02844459380958;"September";"Saturday";"North";17,3;1025;67;11,1;25;18;28,8;0;12;0
2016-09-17 13:00:00;524,242191314697;567,333333333;7,59538343448791;;;;;;;;;;;;;
2016-09-17 14:00:00;497,32056427002;606,166666667;17,9564645142019;;;;;;;;;;;;;
2016-09-17 15:00:00;521,750366210938;556,666666667;6,27238930348052;"September";"Saturday";"North";16,2;1024,1;71;10,9;40;18;32,4;0;15;0
2016-09-17 16:00:00;496,471042633057;449;10,5726152857587;;;;;;;;;;;;;
2016-09-17 17:00:00;503,446424484253;401,666666667;25,339358792656;;;;;;;;;;;;;
2016-09-17 18:00:00;480,310607910156;454;5,7952880859375;"September";"Saturday";"North";14,5;1024,2;82;11,5;55;7,2;21,6;0;18;1
2016-09-17 19:00:00;513,327892303467;489,666666667;4,83210870723976;;;;;;;;;;;;;
2016-09-17 20:00:00;515,033889770508;499,833333333;3,04112499583554;;;;;;;;;;;;;
2016-09-17 21:00:00;537,506408691406;517,666666667;3,83253226485387;"September";"Saturday";"West";12;1024,4;94;11,1;17;7,2;10,8;0;21;1
2016-09-17 22:00:00;681,664901733398;628,666666667;8,4302600847885;;;;;;;;;;;;;
2016-09-17 23:00:00;664,599334716797;571,333333333;16,3242709539996;;;;;;;;;;;;;
2016-09-18 00:00:00;606,244567871094;473,666666667;27,9897046876848;"September";"Sunday";"West";9,8;1024,2;97;9,3;6;7,2;7,2;0;0;0
2016-09-18 01:00:00;514,988159179688;430,833333333;19,5330350127859;;;;;;;;;;;;;
2016-09-18 02:00:00;434,154022216797;390,166666667;11,2739911703783;;;;;;;;;;;;;
2016-09-18 03:00:00;400,441070556641;418,5;4,31515637834155;"September";"Sunday";"West";10,1;1023,7;98;9,8;0,6;3,6;10,8;0;3;0
2016-09-18 04:00:00;395,655675411224;412,666666667;4,12221112821371;;;;;;;;;;;;;
2016-09-18 05:00:00;351,477359771729;348;0,999241313715091;;;;;;;;;;;;;
2016-09-18 06:00:00;328,263885498047;311,5;5,38166468637139;"September";"Sunday";"North";10,4;1023,4;99;10,2;0,3;3,6;10,8;0;6;0
2016-09-18 07:00:00;350,055166244507;359,833333333;2,71741558735587;;;;;;;;;;;;;
2016-09-18 08:00:00;406,251022338867;434,333333333;6,4656126617393;;;;;;;;;;;;;
2016-09-18 09:00:00;525,21826171875;515;1,98412848907767;"September";"Sunday";"North";15,2;1023,5;79;11,6;18;7,2;18;0;9;0
2016-09-18 10:00:00;596,682304382324;553;7,89915088287961;;;;;;;;;;;;;
2016-09-18 11:00:00;590,464363098145;582,333333333;1,39628444736391;;;;;;;;;;;;;
2016-09-18 12:00:00;581,60888671875;581,333333333;0,0474002383744467;"September";"Sunday";"West";18;1023,2;63;10,8;35;10,8;25,2;0;12;0
2016-09-18 13:00:00;512,889991760254;582;11,8745718624993;;;;;;;;;;;;;
2016-09-18 14:00:00;488,004127502441;572,166666667;14,7094446544438;;;;;;;;;;;;;
2016-09-18 15:00:00;466,420837402344;547,333333333;14,783038233381;"September";"Sunday";"West";17,7;1023,2;62;10,3;50;10,8;25,2;0;15;0
2016-09-18 16:00:00;438,539478302002;451,333333333;2,83467984438866;;;;;;;;;;;;;
2016-09-18 17:00:00;429,620719909668;378,166666667;13,6061841981373;;;;;;;;;;;;;
2016-09-18 18:00:00;416,620239257812;400,166666667;4,11167994772148;"September";"Sunday";"North";15,7;1023,5;75;11,3;55;3,6;14,4;0;18;1
2016-09-18 19:00:00;455,24938583374;445,166666667;2,26493129915373;;;;;;;;;;;;;
2016-09-18 20:00:00;463,45454788208;453,833333333;2,11998851614113;;;;;;;;;;;;;
2016-09-18 21:00:00;513,212158203125;450,5;13,9205678586293;"September";"Sunday";"North";14,2;1023,5;86;11,9;35;0;3,6;0;21;1
2016-09-18 22:00:00;675,414031982422;580,166666667;16,417241938874;;;;;;;;;;;;;
2016-09-18 23:00:00;662,033996582031;527;25,6231492565524;;;;;;;;;;;;;
2016-09-19 00:00:00;537,008972167969;453,833333333;18,3273533973624;"September";"Monday";"West";13,3;1023,3;93;12,2;14;3,6;7,2;0;0;0
2016-09-19 01:00:00;459,535018920898;406,166666667;13,1395204564271;;;;;;;;;;;;;
2016-09-19 02:00:00;389,264251708984;370,166666667;5,15918551336348;;;;;;;;;;;;;
2016-09-19 03:00:00;376,793975830078;391,166666667;3,67431380577153;"September";"Monday";"South";13,6;1023;96;13;22;3,6;3,6;0;3;0
2016-09-19 04:00:00;358,196943283081;402,333333333;10,9701052319691;;;;;;;;;;;;;
2016-09-19 05:00:00;281,479217529297;317,5;11,3451283372293;;;;;;;;;;;;;
2016-09-19 06:00:00;313,115203857422;304,166666667;2,94198482972451;"September";"Monday";"South";14,4;1022,9;95;13,6;16;7,2;10,8;0;6;0
2016-09-19 07:00:00;371,31441116333;350,333333333;5,98888996108946;;;;;;;;;;;;;
2016-09-19 08:00:00;453,270614624023;407,5;11,232052668472;;;;;;;;;;;;;
2016-09-19 09:00:00;549,625244140625;476,166666667;15,4270726230816;"September";"Monday";"South";15,7;1023,1;93;14,6;19;10,8;14,4;;9;0
2016-09-19 10:00:00;583,97327041626;529,166666667;10,3571534644205;;;;;;;;;;;;;
2016-09-19 11:00:00;591,321849822998;561,5;5,31110415369511;;;;;;;;;;;;;
2016-09-19 12:00:00;557,091735839844;581,833333333;4,25235133082277;"September";"Monday";"West";16,2;1022,8;92;14,9;6;7,2;14,4;0;12;0
2016-09-19 13:00:00;518,855945587158;579,166666667;10,4133619130602;;;;;;;;;;;;;
2016-09-19 14:00:00;492,832946777344;567,166666667;13,1061510237342;;;;;;;;;;;;;
2016-09-19 15:00:00;507,906982421875;564,5;10,0253352662755;"September";"Monday";"North";17;1022;86;14,6;40;14,4;21,6;0;15;0
2016-09-19 16:00:00;432,763282775879;485,833333333;10,9235095486431;;;;;;;;;;;;;
2016-09-19 17:00:00;347,28092956543;393;11,6333512556159;;;;;;;;;;;;;
2016-09-19 18:00:00;471,3056640625;457,5;3,01763148907104;"September";"Monday";"North";15,2;1021,9;91;13,7;18;14,4;21,6;0;18;1
2016-09-19 19:00:00;531,701141357422;499,666666667;6,41116905078062;;;;;;;;;;;;;
2016-09-19 20:00:00;523,846912384033;473,666666667;10,5939997995069;;;;;;;;;;;;;
2016-09-19 21:00:00;519,176452636719;470;10,4630750290891;"September";"Monday";"West";14,3;1021,8;96;13,7;7;10,8;21,6;0;21;1
2016-09-19 22:00:00;653,26513671875;583,166666667;12,0203149559949;;;;;;;;;;;;;
2016-09-19 23:00:00;643,399353027344;527,833333333;21,8944148458004;;;;;;;;;;;;;
2016-09-20 00:00:00;475,33056640625;440,166666667;7,98876934628323;"September";"Tuesday";"North";14,2;1021;97;13,7;4,8;0;7,2;0;0;0
2016-09-20 01:00:00;404,24974822998;404,333333333;0,0206723255613153;;;;;;;;;;;;;
2016-09-20 02:00:00;354,972549438477;379,666666667;6,50415730338062;;;;;;;;;;;;;
2016-09-20 03:00:00;373,331665039062;399,833333333;6,62817881466267;"September";"Tuesday";"East";13,3;1020,1;98;13;0,3;3,6;3,6;0;3;0
2016-09-20 04:00:00;371,268322467804;412,166666667;9,92276850768208;;;;;;;;;;;;;
2016-09-20 05:00:00;280,529930114746;330;14,9909302682588;;;;;;;;;;;;;
2016-09-20 06:00:00;328,687805175781;313,833333333;4,7332358500681;"September";"Tuesday";"North";13,5;1020;99;13,3;7;7,2;10,8;0;6;0
2016-09-20 07:00:00;390,227012634277;372,833333333;4,66526937003833;;;;;;;;;;;;;
2016-09-20 08:00:00;474,979461669922;469,833333333;1,09530933031406;;;;;;;;;;;;;
2016-09-20 09:00:00;516,434875488281;491,666666667;5,03760179415548;"September";"Tuesday";"North";14,5;1020,5;97;14;4,9;7,2;14,4;0;9;0
2016-09-20 10:00:00;529,923141479492;533,5;0,670451456515054;;;;;;;;;;;;;
2016-09-20 11:00:00;543,470264434814;541,833333333;0,302109708117272;;;;;;;;;;;;;
2016-09-20 12:00:00;541,488525390625;589,833333333;8,19635059775118;"September";"Tuesday";"North";17;1019,9;86;14,6;50;7,2;14,4;0;12;0
2016-09-20 13:00:00;504,620666503906;614,166666667;17,8365264851616;;;;;;;;;;;;;
2016-09-20 14:00:00;493,433853149414;608,666666667;18,9320066020026;;;;;;;;;;;;;
2016-09-20 15:00:00;504,948760986328;568;11,1005702488859;"September";"Tuesday";"North";18,1;1018,5;81;14,8;19;14,4;25,2;0;15;0
2016-09-20 16:00:00;424,90055847168;482,5;11,937708088771;;;;;;;;;;;;;
2016-09-20 17:00:00;348,254089355469;412,333333333;15,5406412233427;;;;;;;;;;;;;
2016-09-20 18:00:00;478,185333251953;445,333333333;7,37694608959081;"September";"Tuesday";"North";15,6;1018,6;91;14,1;12;14,4;21,6;0;18;1
2016-09-20 19:00:00;533,053718566895;494,5;7,79650527136391;;;;;;;;;;;;;
2016-09-20 20:00:00;526,404605865479;507,666666667;3,69099261952716;;;;;;;;;;;;;
2016-09-20 21:00:00;513,209777832031;500,666666667;2,50528185719498;"September";"Tuesday";"North";14,3;1018,9;98;14;1,6;7,2;10,8;;21;1
2016-09-20 22:00:00;659,799911499023;601;9,78367911797395;;;;;;;;;;;;;
2016-09-20 23:00:00;565,134662628174;536,333333333;5,37004275236638;;;;;;;;;;;;;
