"dt_posix";"puissance";"reality";"mape";"Month";"rose_vt";"temp";"pression";"hr";"p_ros";"visi";"vt_raf";"vt_moy";"Hour";"f_evening";"f_weekend"
2016-09-14 12:00:00;595,566528320312;519,5;14,6422576169995;"September";"South";20,2;1007,2;65;13,4;7;54;32,4;12;0;0
2016-09-14 13:00:00;585,158980369568;543,333333333;7,69797184722579;;;;;;;;;;;;
2016-09-14 14:00:00;615,830968856812;573;7,47486367483622;;;;;;;;;;;;
2016-09-14 15:00:00;507,125030517578;539;5,91372346612651;"September";"South";20,4;1007,9;62;12,9;28;46,8;25,2;15;0;0
2016-09-14 16:00:00;413,454696655273;438,833333333;5,78320623116122;;;;;;;;;;;;
2016-09-14 17:00:00;362,092376708984;380,5;4,83774593719202;;;;;;;;;;;;
2016-09-14 18:00:00;501,009704589844;426;17,6079118755502;"September";"East";18,6;1009,3;63;11,4;45;43,2;25,2;18;1;0
2016-09-14 19:00:00;554,990070343018;480,5;15,5026160963616;;;;;;;;;;;;
2016-09-14 20:00:00;539,972671508789;471,833333333;14,4413998253276;;;;;;;;;;;;
2016-09-14 21:00:00;551,275634765625;477,166666667;15,5310446591491;"September";"East";13,8;1010,5;89;12;60;10,8;3,6;21;1;0
2016-09-14 22:00:00;697,909286499023;607,166666667;14,9452571779259;;;;;;;;;;;;
2016-09-14 23:00:00;683,489227294922;539,833333333;26,6111566462508;;;;;;;;;;;;
2016-09-15 00:00:00;530,09716796875;445,333333333;19,0337952026527;"September";"North";13,4;1010,4;89;11,6;60;14,4;10,8;0;0;0
2016-09-15 01:00:00;471,120162963867;393,166666667;19,8270868071559;;;;;;;;;;;;
2016-09-15 02:00:00;404,132102966309;358,5;12,7286200742841;;;;;;;;;;;;
2016-09-15 03:00:00;405,589172363281;383,833333333;5,66804316898832;"September";"East";12,7;1009,8;94;11,8;60;7,2;7,2;3;0;0
2016-09-15 04:00:00;372,777931213379;396,833333333;6,06184009734766;;;;;;;;;;;;
2016-09-15 05:00:00;306,067260742188;316;3,14327191702927;;;;;;;;;;;;
2016-09-15 06:00:00;346,942535400391;294;18,0076651021737;"September";"North";13,8;1010,1;92;12,5;4,6;18;7,2;6;0;0
2016-09-15 07:00:00;394,473583221436;357,5;10,342261040961;;;;;;;;;;;;
2016-09-15 08:00:00;471,03076171875;459,166666667;2,58383195319231;;;;;;;;;;;;
2016-09-15 09:00:00;593,925048828125;503;18,0765504628479;"September";"West";14;1010,8;98;13,7;2,9;14,4;7,2;9;0;0
2016-09-15 10:00:00;596,303142786026;525,5;13,4734810249336;;;;;;;;;;;;
2016-09-15 11:00:00;634,020347595215;593,666666667;6,79736343540577;;;;;;;;;;;;
2016-09-15 12:00:00;631,113464355469;615,5;2,53671232420288;"September";"West";16,4;1011,4;95;15,6;2;14,4;10,8;12;0;0
2016-09-15 13:00:00;614,137382507324;625,333333333;1,79039725357385;;;;;;;;;;;;
2016-09-15 14:00:00;586,474166870117;658;10,8701874057573;;;;;;;;;;;;
2016-09-15 15:00:00;602,70947265625;613;1,67871571676183;"September";"North";16,3;1011,8;91;14,8;19;18;10,8;15;0;0
2016-09-15 16:00:00;542,124984741211;522;3,85536106153466;;;;;;;;;;;;
2016-09-15 17:00:00;469,688903808594;437;7,48029835436928;;;;;;;;;;;;
2016-09-15 18:00:00;556,86865234375;485,5;14,7000313787333;"September";"West";16,1;1012,8;94;15,1;18;10,8;7,2;18;1;0
2016-09-15 19:00:00;577,411336898804;557;3,66451290822329;;;;;;;;;;;;
2016-09-15 20:00:00;592,385429382324;533,166666667;11,1069889431611;;;;;;;;;;;;
2016-09-15 21:00:00;565,478698730469;497,666666667;13,6259943864883;"September";"North";16,2;1014;96;15,6;10;25,2;14,4;21;1;0
2016-09-15 22:00:00;685,149955749512;616,5;11,1354348336596;;;;;;;;;;;;
2016-09-15 23:00:00;620,024089813232;541,833333333;14,4307763421004;;;;;;;;;;;;
2016-09-16 00:00:00;494,553070068359;442,5;11,763405665166;"September";"West";15,9;1014,7;95;15,1;16;28,8;18;0;0;0
2016-09-16 01:00:00;412,517402648926;412,5;0,00421882398200758;;;;;;;;;;;;
2016-09-16 02:00:00;385,374351501465;371,166666667;3,82784503846935;;;;;;;;;;;;
2016-09-16 03:00:00;398,207794189453;412;3,34762276955021;"September";"North";15,2;1015,4;92;13,9;40;32,4;21,6;3;0;0
2016-09-16 04:00:00;374,296977996826;407,166666667;8,07278477367506;;;;;;;;;;;;
2016-09-16 05:00:00;313,675765991211;341,833333333;8,23722106537782;;;;;;;;;;;;
2016-09-16 06:00:00;327,507080078125;328;0,15028046398628;"September";"North";15,1;1016,8;92;13,8;15;36;18;6;0;0
2016-09-16 07:00:00;394,996147155762;425,666666667;7,20529040983891;;;;;;;;;;;;
2016-09-16 08:00:00;453,929336547852;461,833333333;1,71143921728346;;;;;;;;;;;;
2016-09-16 09:00:00;516,540588378906;499,166666667;3,48058531790877;"September";"North";16,4;1019;76;12,2;13;39,6;28,8;9;0;0
2016-09-16 10:00:00;531,960169792175;506;5,13046833837456;;;;;;;;;;;;
2016-09-16 11:00:00;555,014709472656;536,666666667;3,41888996378476;;;;;;;;;;;;
2016-09-16 12:00:00;573,753540039062;524,833333333;9,32109368804577;"September";"North";16,6;1020,4;68;10,7;16;46,8;25,2;12;0;0
2016-09-16 13:00:00;523,01985168457;564,5;7,34812193364565;;;;;;;;;;;;
2016-09-16 14:00:00;483,049766540527;572,666666667;15,6490512444273;;;;;;;;;;;;
2016-09-16 15:00:00;496,5908203125;520,833333333;4,65456249993899;"September";"North";16,7;1021,1;70;11,2;19;50,4;28,8;15;0;0
2016-09-16 16:00:00;475,44507598877;442,166666667;7,52621394385475;;;;;;;;;;;;
2016-09-16 17:00:00;477,200124740601;386,666666667;23,413825363842;;;;;;;;;;;;
2016-09-16 18:00:00;454,820373535156;447,833333333;1,56018761492255;"September";"North";14,5;1022,6;80;11,1;55;39,6;18;18;1;0
2016-09-16 19:00:00;495,409034729004;488,166666667;1,48358512707387;;;;;;;;;;;;
2016-09-16 20:00:00;494,437843322754;493,5;0,190039173810315;;;;;;;;;;;;
2016-09-16 21:00:00;547,641662597656;511,333333333;7,10071628383571;"September";"North";13,3;1024,3;87;11,2;45;21,6;14,4;21;1;0
2016-09-16 22:00:00;684,781829833984;616,5;11,0757226008085;;;;;;;;;;;;
2016-09-16 23:00:00;683,470825195312;560,5;21,9394870999665;;;;;;;;;;;;
2016-09-17 00:00:00;592,565551757812;461,333333333;28,4462901210059;"September";"North";12,2;1024,3;94;11,3;19;14,4;7,2;0;0;1
2016-09-17 01:00:00;514,755531311035;397,666666667;29,4439726682155;;;;;;;;;;;;
2016-09-17 02:00:00;433,165756225586;363,333333333;19,219932906234;;;;;;;;;;;;
2016-09-17 03:00:00;395,362915039062;398,666666667;0,828700241120757;"September";"West";12,6;1024,5;95;11,8;19;18;10,8;3;0;1
2016-09-17 04:00:00;385,193568229675;398,666666667;3,37953974180103;;;;;;;;;;;;
2016-09-17 05:00:00;343,212177276611;332,166666667;3,32529170384352;;;;;;;;;;;;
2016-09-17 06:00:00;320,597839355469;316;1,45501245426226;"September";"North";12,3;1024,7;96;11,7;18;18;3,6;6;0;1
2016-09-17 07:00:00;350,207778930664;369,166666667;5,13559035746786;;;;;;;;;;;;
2016-09-17 08:00:00;430,242210388184;452,166666667;4,84875553530415;;;;;;;;;;;;
2016-09-17 09:00:00;534,746032714844;515,166666667;3,80058868608822;"September";"North";15,9;1025,3;79;12,3;35;28,8;18;9;0;1
2016-09-17 10:00:00;607,914993286133;510,833333333;19,0045663856175;;;;;;;;;;;;
2016-09-17 11:00:00;536,067568182945;534,833333333;0,230769993757428;;;;;;;;;;;;
2016-09-17 12:00:00;576,141235351562;524,5;9,84580273623689;"September";"North";17,3;1025;67;11,1;25;28,8;18;12;0;1
2016-09-17 13:00:00;536,247520446777;567,333333333;5,47928546761004;;;;;;;;;;;;
2016-09-17 14:00:00;485,299034118652;606,166666667;19,939669928229;;;;;;;;;;;;
2016-09-17 15:00:00;516,735900878906;556,666666667;7,1731914589347;"September";"North";16,2;1024,1;71;10,9;40;32,4;18;15;0;1
2016-09-17 16:00:00;490,394985198975;449;9,21937309554;;;;;;;;;;;;
2016-09-17 17:00:00;486,031480789185;401,666666667;21,003688163182;;;;;;;;;;;;
2016-09-17 18:00:00;449,914672851562;454;0,899851794810022;"September";"North";14,5;1024,2;82;11,5;55;21,6;7,2;18;1;1
2016-09-17 19:00:00;492,494846343994;489,666666667;0,577572432333329;;;;;;;;;;;;
2016-09-17 20:00:00;482,50736618042;499,833333333;3,46634888014504;;;;;;;;;;;;
2016-09-17 21:00:00;527,25;517,666666667;1,8512556341907;"September";"West";12;1024,4;94;11,1;17;10,8;7,2;21;1;1
2016-09-17 22:00:00;676,715301513672;628,666666667;7,64294297666698;;;;;;;;;;;;
2016-09-17 23:00:00;667,18376159668;571,333333333;16,776621049662;;;;;;;;;;;;
2016-09-18 00:00:00;579,821533203125;473,666666667;22,4113018724948;"September";"West";9,8;1024,2;97;9,3;6;7,2;7,2;0;0;1
2016-09-18 01:00:00;488,482093811035;430,833333333;13,3807567840804;;;;;;;;;;;;
2016-09-18 02:00:00;417,136672973633;390,166666667;6,91243220160865;;;;;;;;;;;;
2016-09-18 03:00:00;385,258483886719;418,5;7,94301460293459;"September";"West";10,1;1023,7;98;9,8;0,6;10,8;3,6;3;0;1
2016-09-18 04:00:00;379,605244159698;412,666666667;8,01165327316837;;;;;;;;;;;;
2016-09-18 05:00:00;333,451122283936;348;4,18071198737484;;;;;;;;;;;;
2016-09-18 06:00:00;329,917327880859;311,5;5,91246480926465;"September";"North";10,4;1023,4;99;10,2;0,3;10,8;3,6;6;0;1
2016-09-18 07:00:00;369,385555267334;359,833333333;2,65462397434262;;;;;;;;;;;;
2016-09-18 08:00:00;431,796592712402;434,333333333;0,584053865065139;;;;;;;;;;;;
2016-09-18 09:00:00;541,7197265625;515;5,18829641990291;"September";"North";15,2;1023,5;79;11,6;18;18;7,2;9;0;1
2016-09-18 10:00:00;569,642391204834;553;3,0094739972575;;;;;;;;;;;;
2016-09-18 11:00:00;532,869374275208;582,333333333;8,49409714787994;;;;;;;;;;;;
2016-09-18 12:00:00;584,016235351562;581,333333333;0,461508374752981;"September";"West";18;1023,2;63;10,8;35;25,2;10,8;12;0;1
2016-09-18 13:00:00;546,842140197754;582;6,04086938182923;;;;;;;;;;;;
2016-09-18 14:00:00;516,951637268066;572,166666667;9,65016534790004;;;;;;;;;;;;
2016-09-18 15:00:00;468,855224609375;547,333333333;14,338265905665;"September";"West";17,7;1023,2;62;10,3;50;25,2;10,8;15;0;1
2016-09-18 16:00:00;446,439506530762;451,333333333;1,08430431364296;;;;;;;;;;;;
2016-09-18 17:00:00;440,236534118652;378,166666667;16,4133629224145;;;;;;;;;;;;
2016-09-18 18:00:00;455,240631103516;400,166666667;13,7627566271894;"September";"North";15,7;1023,5;75;11,3;55;14,4;3,6;18;1;1
2016-09-18 19:00:00;484,939338684082;445,166666667;8,93433291285337;;;;;;;;;;;;
2016-09-18 20:00:00;511,347915649414;453,833333333;12,6730625743202;;;;;;;;;;;;
2016-09-18 21:00:00;502,0478515625;450,5;11,4423643867925;"September";"North";14,2;1023,5;86;11,9;35;3,6;0;21;1;1
2016-09-18 22:00:00;671,630874633789;580,166666667;15,7651608101241;;;;;;;;;;;;
2016-09-18 23:00:00;612,013214111328;527;16,1315396795689;;;;;;;;;;;;
2016-09-19 00:00:00;545,825134277344;453,833333333;20,2699524666349;"September";"West";13,3;1023,3;93;12,2;14;7,2;3,6;0;0;0
2016-09-19 01:00:00;473,875885009766;406,166666667;16,6703040646804;;;;;;;;;;;;
2016-09-19 02:00:00;409,115493774414;370,166666667;10,5219704027138;;;;;;;;;;;;
2016-09-19 03:00:00;375,487915039062;391,166666667;4,00820237612036;"September";"South";13,6;1023;96;13;22;3,6;3,6;3;0;0
2016-09-19 04:00:00;363,014225006104;402,333333333;9,77276926104284;;;;;;;;;;;;
2016-09-19 05:00:00;273,531860351562;317,5;13,8482329601378;;;;;;;;;;;;
2016-09-19 06:00:00;329,284118652344;304,166666667;8,25779243352862;"September";"South";14,4;1022,9;95;13,6;16;10,8;7,2;6;0;0
2016-09-19 07:00:00;407,991165161133;350,333333333;16,4579919585693;;;;;;;;;;;;
2016-09-19 08:00:00;472,382202148438;407,5;15,9220127971626;;;;;;;;;;;;
2016-09-19 09:00:00;535,679260253906;476,166666667;12,4982695667199;"September";"South";15,7;1023,1;93;14,6;19;14,4;10,8;9;0;0
2016-09-19 10:00:00;560,030765533447;529,166666667;5,8325856125533;;;;;;;;;;;;
2016-09-19 11:00:00;554,435749053955;561,5;1,25810346323151;;;;;;;;;;;;
2016-09-19 12:00:00;588,620910644531;581,833333333;1,16658447061617;"September";"West";16,2;1022,8;92;14,9;6;14,4;7,2;12;0;0
2016-09-19 13:00:00;550,74817276001;579,166666667;4,90679031487318;;;;;;;;;;;;
2016-09-19 14:00:00;529,185321807861;567,166666667;6,69668143269756;;;;;;;;;;;;
2016-09-19 15:00:00;578,659484863281;564,5;2,50832327073184;"September";"North";17;1022;86;14,6;40;21,6;14,4;15;0;0
2016-09-19 16:00:00;501,689437866211;485,833333333;3,26369218522576;;;;;;;;;;;;
2016-09-19 17:00:00;429,78840637207;393;9,36091765192629;;;;;;;;;;;;
2016-09-19 18:00:00;477,948822021484;457,5;4,4696878735485;"September";"North";15,2;1021,9;91;13,7;18;21,6;14,4;18;1;0
2016-09-19 19:00:00;505,327457427979;499,666666667;1,13291342781349;;;;;;;;;;;;
2016-09-19 20:00:00;528,379512786865;473,666666667;11,5509175481689;;;;;;;;;;;;
2016-09-19 21:00:00;543,758361816406;470;15,6932684715758;"September";"West";14,3;1021,8;96;13,7;7;21,6;10,8;21;1;0
2016-09-19 22:00:00;674,867584228516;583,166666667;15,724650053409;;;;;;;;;;;;
2016-09-19 23:00:00;666,093276977539;527,833333333;26,1938636522816;;;;;;;;;;;;
2016-09-20 00:00:00;457,998657226562;440,166666667;4,05119058528186;"September";"North";14,2;1021;97;13,7;4,8;7,2;0;0;0;0
2016-09-20 01:00:00;389,286354064941;404,333333333;3,72142933258145;;;;;;;;;;;;
2016-09-20 02:00:00;326,254531860352;379,666666667;14,0681654451102;;;;;;;;;;;;
2016-09-20 03:00:00;376,533386230469;399,833333333;5,82741486516482;"September";"East";13,3;1020,1;98;13;0,3;3,6;3,6;3;0;0
2016-09-20 04:00:00;371,47357416153;412,166666667;9,87297028033261;;;;;;;;;;;;
2016-09-20 05:00:00;283,117469787598;330;14,2068273370916;;;;;;;;;;;;
2016-09-20 06:00:00;316,506378173828;313,833333333;0,851740257301427;"September";"North";13,5;1020;99;13,3;7;10,8;7,2;6;0;0
2016-09-20 07:00:00;378,244388580322;372,833333333;1,4513335486796;;;;;;;;;;;;
2016-09-20 08:00:00;461,603225708008;469,833333333;1,75170790173778;;;;;;;;;;;;
2016-09-20 09:00:00;525,147277832031;491,666666667;6,80961583017123;"September";"North";14,5;1020,5;97;14;4,9;14,4;7,2;9;0;0
2016-09-20 10:00:00;530,62352848053;533,5;0,539169919300884;;;;;;;;;;;;
2016-09-20 11:00:00;549,211082458496;541,833333333;1,36162703023696;;;;;;;;;;;;
2016-09-20 12:00:00;537,4892578125;589,833333333;8,87438409503186;"September";"North";17;1019,9;86;14,6;50;14,4;7,2;12;0;0
2016-09-20 13:00:00;507,597797393799;614,166666667;17,3517833280559;;;;;;;;;;;;
2016-09-20 14:00:00;474,20739364624;608,666666667;22,0907896529057;;;;;;;;;;;;
2016-09-20 15:00:00;500,891387939453;568;11,8148964895329;"September";"North";18,1;1018,5;81;14,8;19;25,2;14,4;15;0;0
2016-09-20 16:00:00;417,158027648926;482,5;13,5423776893418;;;;;;;;;;;;
2016-09-20 17:00:00;337,64225769043;412,333333333;18,1142463159169;;;;;;;;;;;;
2016-09-20 18:00:00;466,489105224609;445,333333333;4,75054758045477;"September";"North";15,6;1018,6;91;14,1;12;21,6;14,4;18;1;0
2016-09-20 19:00:00;517,698921203613;494,5;4,69138952550319;;;;;;;;;;;;
2016-09-20 20:00:00;516,82096862793;507,666666667;1,80321115448266;;;;;;;;;;;;
2016-09-20 21:00:00;518,492492675781;500,666666667;3,56041797778349;"September";"North";14,3;1018,9;98;14;1,6;10,8;7,2;21;1;0
2016-09-20 22:00:00;663,931518554688;601;10,4711345348898;;;;;;;;;;;;
2016-09-20 23:00:00;626,286270141602;536,333333333;16,7718340848957;;;;;;;;;;;;
