"dt_posix";"puissance";"reality";"mape";"Month";"temp";"pression";"hr";"p_ros";"visi";"vt_moy";"vt_raf";"vt_dir";"rr_3h";"Hour";"f_weekend"
2016-09-15 02:00:00;362,359100341797;358,5;1,07645755698658;;;;;;;;;;;;
2016-09-15 03:00:00;388,832946777344;383,833333333;1,30254800981714;"September";12,7;1009,8;94;11,8;60;7,2;7,2;100;0;3;0
2016-09-15 04:00:00;359,399501800537;396,833333333;9,4331368834509;;;;;;;;;;;;
2016-09-15 05:00:00;291,509712219238;316;7,7500910698613;;;;;;;;;;;;
2016-09-15 06:00:00;354,043640136719;294;20,4230068492241;"September";13,8;1010,1;92;12,5;4,6;7,2;18;20;;6;0
2016-09-15 07:00:00;409,104309082031;357,5;14,4347717711976;;;;;;;;;;;;
2016-09-15 08:00:00;507,199569702148;459,166666667;10,4608863234367;;;;;;;;;;;;
2016-09-15 09:00:00;546,488342285156;503;8,64579369486208;"September";14;1010,8;98;13,7;2,9;7,2;14,4;310;9;9;0
2016-09-15 10:00:00;567,051643371582;525,5;7,90706819630486;;;;;;;;;;;;
2016-09-15 11:00:00;592,893074035645;593,666666667;0,130307574063166;;;;;;;;;;;;
2016-09-15 12:00:00;565,702758789062;615,5;8,09053472151706;"September";16,4;1011,4;95;15,6;2;10,8;14,4;290;0;12;0
2016-09-15 13:00:00;556,152910232544;625,333333333;11,0629674467739;;;;;;;;;;;;
2016-09-15 14:00:00;523,154979705811;658;20,4931641784482;;;;;;;;;;;;
2016-09-15 15:00:00;527,175842285156;613;14,0006782569076;"September";16,3;1011,8;91;14,8;19;10,8;18;330;1;15;0
2016-09-15 16:00:00;448,485374450684;522;14,0832615994859;;;;;;;;;;;;
2016-09-15 17:00:00;433,33821105957;437;0,837937972638373;;;;;;;;;;;;
2016-09-15 18:00:00;506,874298095703;485,5;4,40253307841465;"September";16,1;1012,8;94;15,1;18;7,2;10,8;300;;18;0
2016-09-15 19:00:00;550,728466033936;557;1,12594864740834;;;;;;;;;;;;
2016-09-15 20:00:00;576,213623046875;533,166666667;8,07382739228161;;;;;;;;;;;;
2016-09-15 21:00:00;537,445983886719;497,666666667;7,9931648800453;"September";16,2;1014;96;15,6;10;14,4;25,2;320;0;21;0
2016-09-15 22:00:00;667,325622558594;616,5;8,24422101518147;;;;;;;;;;;;
2016-09-15 23:00:00;627,756851196289;541,833333333;15,8579239366365;;;;;;;;;;;;
2016-09-16 00:00:00;500,297180175781;442,5;13,0615096442444;"September";15,9;1014,7;95;15,1;16;18;28,8;310;0;0;0
2016-09-16 01:00:00;425,213790893555;412,5;3,08213112571023;;;;;;;;;;;;
2016-09-16 02:00:00;391,257987976074;371,166666667;5,41301876310449;;;;;;;;;;;;
2016-09-16 03:00:00;396,500274658203;412;3,76206925771769;"September";15,2;1015,4;92;13,9;40;21,6;32,4;320;0;3;0
2016-09-16 04:00:00;376,416469573975;407,166666667;7,55223833638974;;;;;;;;;;;;
2016-09-16 05:00:00;362,287086486816;341,833333333;5,9835455350082;;;;;;;;;;;;
2016-09-16 06:00:00;323,996429443359;328;1,22060077946361;"September";15,1;1016,8;92;13,8;15;18;36;320;;6;0
2016-09-16 07:00:00;377,125759124756;425,666666667;11,4035021634;;;;;;;;;;;;
2016-09-16 08:00:00;456,618942260742;461,833333333;1,129063386271;;;;;;;;;;;;
2016-09-16 09:00:00;536,896728515625;499,166666667;7,55861005314186;"September";16,4;1019;76;12,2;13;28,8;39,6;350;;9;0
2016-09-16 10:00:00;548,620691299438;506;8,42306152162816;;;;;;;;;;;;
2016-09-16 11:00:00;569,329162597656;536,666666667;6,08617936595702;;;;;;;;;;;;
2016-09-16 12:00:00;541,022277832031;524,833333333;3,08458771020162;"September";16,6;1020,4;68;10,7;16;25,2;46,8;340;0;12;0
2016-09-16 13:00:00;495,518856048584;564,5;12,2198660675671;;;;;;;;;;;;
2016-09-16 14:00:00;461,822463989258;572,666666667;19,3557979064629;;;;;;;;;;;;
2016-09-16 15:00:00;475,922576904297;520,833333333;8,62286523431653;"September";16,7;1021,1;70;11,2;19;28,8;50,4;330;0;15;0
2016-09-16 16:00:00;464,058668136597;442,166666667;4,95107458791862;;;;;;;;;;;;
2016-09-16 17:00:00;396,544952392578;386,666666667;2,55472906695765;;;;;;;;;;;;
2016-09-16 18:00:00;468,1103515625;447,833333333;4,52780459162972;"September";14,5;1022,6;80;11,1;55;18;39,6;330;0;18;0
2016-09-16 19:00:00;520,913158416748;488,166666667;6,7080556674071;;;;;;;;;;;;
2016-09-16 20:00:00;513,245380401611;493,5;4,00109025361932;;;;;;;;;;;;
2016-09-16 21:00:00;528,5166015625;511,333333333;3,36048270459802;"September";13,3;1024,3;87;11,2;45;14,4;21,6;330;0;21;0
2016-09-16 22:00:00;655,483772277832;616,5;6,32340182933204;;;;;;;;;;;;
2016-09-16 23:00:00;633,592758178711;560,5;13,0406348222499;;;;;;;;;;;;
2016-09-17 00:00:00;542,984924316406;461,333333333;17,6990442883234;"September";12,2;1024,3;94;11,3;19;7,2;14,4;320;;0;1
2016-09-17 01:00:00;456,968460083008;397,666666667;14,9124375731663;;;;;;;;;;;;
2016-09-17 02:00:00;368,35188293457;363,333333333;1,38125218391971;;;;;;;;;;;;
2016-09-17 03:00:00;388,233489990234;398,666666667;2,61701756105943;"September";12,6;1024,5;95;11,8;19;10,8;18;310;0;3;1
2016-09-17 04:00:00;364,490119934082;398,666666667;8,572712391193;;;;;;;;;;;;
2016-09-17 05:00:00;327,399963378906;332,166666667;1,43503360404084;;;;;;;;;;;;
2016-09-17 06:00:00;318,514007568359;316;0,7955720153036;"September";12,3;1024,7;96;11,7;18;3,6;18;350;0;6;1
2016-09-17 07:00:00;351,58780670166;369,166666667;4,76176793643088;;;;;;;;;;;;
2016-09-17 08:00:00;437,901832580566;452,166666667;3,15477348022626;;;;;;;;;;;;
2016-09-17 09:00:00;512,189025878906;515,166666667;0,577995623699472;"September";15,9;1025,3;79;12,3;35;18;28,8;340;0;9;1
2016-09-17 10:00:00;582,945762634277;510,833333333;14,1166256381059;;;;;;;;;;;;
2016-09-17 11:00:00;598,82413482666;534,833333333;11,964624772895;;;;;;;;;;;;
2016-09-17 12:00:00;567,160766601562;524,5;8,13360659705672;"September";17,3;1025;67;11,1;25;18;28,8;340;0;12;1
2016-09-17 13:00:00;515,858577728271;567,333333333;9,07310615830061;;;;;;;;;;;;
2016-09-17 14:00:00;471,714340209961;606,166666667;22,1807522337583;;;;;;;;;;;;
2016-09-17 15:00:00;466,296417236328;556,666666667;16,2341765444223;"September";16,2;1024,1;71;10,9;40;18;32,4;330;0;15;1
2016-09-17 16:00:00;437,181602478027;449;2,63215980444825;;;;;;;;;;;;
2016-09-17 17:00:00;440,09545135498;401,666666667;9,56733228745607;;;;;;;;;;;;
2016-09-17 18:00:00;460,328460693359;454;1,39393407342718;"September";14,5;1024,2;82;11,5;55;7,2;21,6;340;0;18;1
2016-09-17 19:00:00;485,805242538452;489,666666667;0,788582190989497;;;;;;;;;;;;
2016-09-17 20:00:00;485,020486831665;499,833333333;2,96355715265318;;;;;;;;;;;;
2016-09-17 21:00:00;557,141723632812;517,666666667;7,62557442996532;"September";12;1024,4;94;11,1;17;7,2;10,8;310;0;21;1
2016-09-17 22:00:00;704,973068237305;628,666666667;12,1378157322796;;;;;;;;;;;;
2016-09-17 23:00:00;674,724571228027;571,333333333;18,0964827120923;;;;;;;;;;;;
2016-09-18 00:00:00;566,664611816406;473,666666667;19,6336267028869;"September";9,8;1024,2;97;9,3;6;7,2;7,2;310;0;0;1
2016-09-18 01:00:00;486,573669433594;430,833333333;12,9377956133006;;;;;;;;;;;;
2016-09-18 02:00:00;403,754608154297;390,166666667;3,48259927055581;;;;;;;;;;;;
2016-09-18 03:00:00;378,868499755859;418,5;9,46989253145535;"September";10,1;1023,7;98;9,8;0,6;3,6;10,8;300;0;3;1
2016-09-18 04:00:00;372,27693271637;412,666666667;9,78749611080721;;;;;;;;;;;;
2016-09-18 05:00:00;300,61865234375;348;13,6153297862787;;;;;;;;;;;;
2016-09-18 06:00:00;380,565643310547;311,5;22,1719561189557;"September";10,4;1023,4;99;10,2;0,3;3,6;10,8;340;0;6;1
2016-09-18 07:00:00;416,73946762085;359,833333333;15,8145810897366;;;;;;;;;;;;
2016-09-18 08:00:00;481,64022064209;434,333333333;10,8918389813798;;;;;;;;;;;;
2016-09-18 09:00:00;508,596923828125;515;1,24331576152913;"September";15,2;1023,5;79;11,6;18;7,2;18;360;0;9;1
2016-09-18 10:00:00;568,225231170654;553;2,75320635997365;;;;;;;;;;;;
2016-09-18 11:00:00;546,83317565918;582,333333333;6,09619193025312;;;;;;;;;;;;
2016-09-18 12:00:00;564,576904296875;581,333333333;2,88241325162867;"September";18;1023,2;63;10,8;35;10,8;25,2;300;0;12;1
2016-09-18 13:00:00;517,166542053223;582;11,1397694066628;;;;;;;;;;;;
2016-09-18 14:00:00;501,633419036865;572,166666667;12,3273954494775;;;;;;;;;;;;
2016-09-18 15:00:00;453,801544189453;547,333333333;17,0886338264806;"September";17,7;1023,2;62;10,3;50;10,8;25,2;310;0;15;1
2016-09-18 16:00:00;407,310741424561;451,333333333;9,75389776406321;;;;;;;;;;;;
2016-09-18 17:00:00;347,980827331543;378,166666667;7,98215231434917;;;;;;;;;;;;
2016-09-18 18:00:00;432,9765625;400,166666667;8,19905768420808;"September";15,7;1023,5;75;11,3;55;3,6;14,4;350;0;18;1
2016-09-18 19:00:00;456,739622116089;445,166666667;2,59969047901464;;;;;;;;;;;;
2016-09-18 20:00:00;466,136981964111;453,833333333;2,71105001052965;;;;;;;;;;;;
2016-09-18 21:00:00;474,464202880859;450,5;5,31946789808199;"September";14,2;1023,5;86;11,9;35;0;3,6;0;0;21;1
2016-09-18 22:00:00;612,079254150391;580,166666667;5,50058962655082;;;;;;;;;;;;
2016-09-18 23:00:00;593,242111206055;527;12,5696605704089;;;;;;;;;;;;
2016-09-19 00:00:00;508,875518798828;453,833333333;12,1282817772755;"September";13,3;1023,3;93;12,2;14;3,6;7,2;230;0;0;0
2016-09-19 01:00:00;436,094451904297;406,166666667;7,36835089961567;;;;;;;;;;;;
2016-09-19 02:00:00;364,03678894043;370,166666667;1,65597777394817;;;;;;;;;;;;
2016-09-19 03:00:00;383,334259033203;391,166666667;2,00231980412191;"September";13,6;1023;96;13;22;3,6;3,6;160;0;3;0
2016-09-19 04:00:00;366,723062515259;402,333333333;8,85093723722553;;;;;;;;;;;;
2016-09-19 05:00:00;285,410987854004;317,5;10,1067754790539;;;;;;;;;;;;
2016-09-19 06:00:00;317,3583984375;304,166666667;4,3370077053651;"September";14,4;1022,9;95;13,6;16;7,2;10,8;190;0;6;0
2016-09-19 07:00:00;387,735946655273;350,333333333;10,6762930510873;;;;;;;;;;;;
2016-09-19 08:00:00;446,787979125977;407,5;9,64122187140529;;;;;;;;;;;;
2016-09-19 09:00:00;512,258117675781;476,166666667;7,5795836910233;"September";15,7;1023,1;93;14,6;19;10,8;14,4;180;;9;0
2016-09-19 10:00:00;528,191709518433;529,166666667;0,184243870595287;;;;;;;;;;;;
2016-09-19 11:00:00;511,760257512331;561,5;8,85836909842725;;;;;;;;;;;;
2016-09-19 12:00:00;547,331909179688;581,833333333;5,92977785505568;"September";16,2;1022,8;92;14,9;6;7,2;14,4;230;0;12;0
2016-09-19 13:00:00;502,638446807861;579,166666667;13,2135055871818;;;;;;;;;;;;
2016-09-19 14:00:00;475,455741882324;567,166666667;16,1700131856518;;;;;;;;;;;;
2016-09-19 15:00:00;556,420715332031;564,5;1,43122846199624;"September";17;1022;86;14,6;40;14,4;21,6;340;0;15;0
2016-09-19 16:00:00;503,623077392578;485,833333333;3,66169689048172;;;;;;;;;;;;
2016-09-19 17:00:00;409,399291992188;393;4,17284783516221;;;;;;;;;;;;
2016-09-19 18:00:00;532,567993164062;457,5;16,408304516735;"September";15,2;1021,9;91;13,7;18;14,4;21,6;340;0;18;0
2016-09-19 19:00:00;558,025587081909;499,666666667;11,6795704632829;;;;;;;;;;;;
2016-09-19 20:00:00;585,76273727417;473,666666667;23,6656025208496;;;;;;;;;;;;
2016-09-19 21:00:00;518,557067871094;470;10,3312910364029;"September";14,3;1021,8;96;13,7;7;10,8;21,6;310;0;21;0
2016-09-19 22:00:00;645,712135314941;583,166666667;10,7251446666886;;;;;;;;;;;;
2016-09-19 23:00:00;632,590522766113;527,833333333;19,8466415092856;;;;;;;;;;;;
2016-09-20 00:00:00;516,579895019531;440,166666667;17,3600670244165;"September";14,2;1021;97;13,7;4,8;0;7,2;0;0;0;0
2016-09-20 01:00:00;429,150177001953;404,333333333;6,13771896182364;;;;;;;;;;;;
2016-09-20 02:00:00;405,71321105957;379,666666667;6,86037165738738;;;;;;;;;;;;
2016-09-20 03:00:00;390,832550048828;399,833333333;2,25113379345878;"September";13,3;1020,1;98;13;0,3;3,6;3,6;60;0;3;0
2016-09-20 04:00:00;385,499979496002;412,166666667;6,46987962094046;;;;;;;;;;;;
2016-09-20 05:00:00;297,037696838379;330;9,98857671564276;;;;;;;;;;;;
2016-09-20 06:00:00;321,979614257812;313,833333333;2,59573476096267;"September";13,5;1020;99;13,3;7;7,2;10,8;40;0;6;0
2016-09-20 07:00:00;363,5452003479;372,833333333;2,49122923158907;;;;;;;;;;;;
2016-09-20 08:00:00;462,286102294922;469,833333333;1,60636347032638;;;;;;;;;;;;
2016-09-20 09:00:00;523,579711914062;491,666666667;6,49078886380492;"September";14,5;1020,5;97;14;4,9;7,2;14,4;10;0;9;0
2016-09-20 10:00:00;533,477361679077;533,5;0,00424335912330863;;;;;;;;;;;;
2016-09-20 11:00:00;520,822932004929;541,833333333;3,87765019896974;;;;;;;;;;;;
2016-09-20 12:00:00;554,932373046875;589,833333333;5,91708849157583;"September";17;1019,9;86;14,6;50;7,2;14,4;10;0;12;0
2016-09-20 13:00:00;521,061283111572;614,166666667;15,1596282586774;;;;;;;;;;;;
2016-09-20 14:00:00;480,346183776855;608,666666667;21,0822261046124;;;;;;;;;;;;
2016-09-20 15:00:00;508,512359619141;568;10,4731761233907;"September";18,1;1018,5;81;14,8;19;14,4;25,2;360;0;15;0
2016-09-20 16:00:00;447,760734558105;482,5;7,19984775997814;;;;;;;;;;;;
2016-09-20 17:00:00;417,354911804199;412,333333333;1,21784441500484;;;;;;;;;;;;
2016-09-20 18:00:00;528,148132324219;445,333333333;18,5961374980421;"September";15,6;1018,6;91;14,1;12;14,4;21,6;350;0;18;0
2016-09-20 19:00:00;565,871910095215;494,5;14,4331466319949;;;;;;;;;;;;
2016-09-20 20:00:00;574,008487701416;507,666666667;13,0679883849716;;;;;;;;;;;;
2016-09-20 21:00:00;527,358215332031;500,666666667;5,33120146438351;"September";14,3;1018,9;98;14;1,6;7,2;10,8;350;;21;0
2016-09-20 22:00:00;678,524047851562;601;12,899176015235;;;;;;;;;;;;
2016-09-20 23:00:00;635,34098815918;536,333333333;18,4600972329847;;;;;;;;;;;;
