"dt_posix";"puissance";"reality";"mape";"Month";"rose_vt";"f_weekend";"f_evening";"temp";"pression";"hr";"p_ros";"visi";"vt_moy";"vt_raf";"rr_3h";"nebul";"Hour"
2016-09-14 00:00:00;485,594177246094;467,166666667;3,94452598910038;"September";"East";0;0;17,5;1005,5;97;17;9;12,964;24,076;3;8;0
2016-09-14 01:00:00;431,491539001465;405,833333333;6,32235047272754;;;;;;;;;;;;;;
2016-09-14 02:00:00;386,926834106445;362,5;6,73843699488147;;;;;;;;;;;;;;
2016-09-14 03:00:00;388,628082275391;396,666666667;2,02653388023596;"September";"East";0;0;16,2;1004;97;15,7;2,9;7,408;12,964;0;;3
2016-09-14 04:00:00;366,554170608521;407,833333333;10,1215764751565;;;;;;;;;;;;;;
2016-09-14 05:00:00;303,106292724609;330,833333333;8,38096945342626;;;;;;;;;;;;;;
2016-09-14 06:00:00;315,083435058594;317,166666667;0,656825520253518;"September";"East";0;0;15,5;1004,6;94;14,5;45;18;36;0;7;6
2016-09-14 07:00:00;355,317844390869;384,833333333;7,66968097240963;;;;;;;;;;;;;;
2016-09-14 08:00:00;428,847267150879;458,833333333;6,53528503788075;;;;;;;;;;;;;;
2016-09-14 09:00:00;489,982757568359;478,333333333;2,4354197007737;"September";"East";0;0;18;1005,9;82;14,9;29;28,8;46,8;0;;9
2016-09-14 10:00:00;531,34338760376;504;5,4252753182063;;;;;;;;;;;;;;
2016-09-14 11:00:00;526,244293212891;492,333333333;6,88780498576444;;;;;;;;;;;;;;
2016-09-14 12:00:00;549,275939941406;519,5;5,73165350171439;"September";"South";0;0;20,2;1007,2;65;13,4;7;32,4;54;0;7;12
2016-09-14 13:00:00;528,455757141113;543,333333333;2,7382042070974;;;;;;;;;;;;;;
2016-09-14 14:00:00;571,658702850342;573;0,234083272191658;;;;;;;;;;;;;;
2016-09-14 15:00:00;487,595977783203;539;9,53692434448921;"September";"South";0;0;20,4;1007,9;62;12,9;28;25,2;46,8;0;;15
2016-09-14 16:00:00;403,619659423828;438,833333333;8,0243844836761;;;;;;;;;;;;;;
2016-09-14 17:00:00;360,639259338379;380,5;5,2196427494405;;;;;;;;;;;;;;
2016-09-14 18:00:00;444,629028320312;426;4,37301134279636;"September";"East";0;1;18,6;1009,3;63;11,4;45;25,2;43,2;0;;18
2016-09-14 19:00:00;489,016002655029;480,5;1,77232105203523;;;;;;;;;;;;;;
2016-09-14 20:00:00;490,422740936279;471,833333333;3,93982499539932;;;;;;;;;;;;;;
2016-09-14 21:00:00;502,235534667969;477,166666667;5,25369221116686;"September";"East";0;1;13,8;1010,5;89;12;60;3,6;10,8;0;;21
2016-09-14 22:00:00;636,53532409668;607,166666667;4,83700094916227;;;;;;;;;;;;;;
2016-09-14 23:00:00;626,169784545898;539,833333333;15,9931678690247;;;;;;;;;;;;;;
2016-09-15 00:00:00;524,813659667969;445,333333333;17,8473786680453;"September";"North";0;0;13,4;1010,4;89;11,6;60;10,8;14,4;0;8;0
2016-09-15 01:00:00;464,442081451416;393,166666667;18,1285497543931;;;;;;;;;;;;;;
2016-09-15 02:00:00;424,617515563965;358,5;18,4428216356945;;;;;;;;;;;;;;
2016-09-15 03:00:00;374,243682861328;383,833333333;2,49838918063748;"September";"East";0;0;12,7;1009,8;94;11,8;60;7,2;7,2;0;7;3
2016-09-15 04:00:00;352,075435638428;396,833333333;11,2787646437488;;;;;;;;;;;;;;
2016-09-15 05:00:00;300,448516845703;316;4,92135542857496;;;;;;;;;;;;;;
2016-09-15 06:00:00;327,740905761719;294;11,4764985584077;"September";"North";0;0;13,8;1010,1;92;12,5;4,6;7,2;18;;8;6
2016-09-15 07:00:00;384,986003875732;357,5;7,68839269251257;;;;;;;;;;;;;;
2016-09-15 08:00:00;452,501190185547;459,166666667;1,4516464206421;;;;;;;;;;;;;;
2016-09-15 09:00:00;541,025390625;503;7,55971980616302;"September";"West";0;0;14;1010,8;98;13,7;2,9;7,2;14,4;9;8;9
2016-09-15 10:00:00;565,00347328186;525,5;7,51731175677647;;;;;;;;;;;;;;
2016-09-15 11:00:00;585,350238800049;593,666666667;1,4008581471555;;;;;;;;;;;;;;
2016-09-15 12:00:00;577,298522949219;615,5;6,20657628769801;"September";"West";0;0;16,4;1011,4;95;15,6;2;10,8;14,4;0;8;12
2016-09-15 13:00:00;558,604249954224;625,333333333;10,6709621607908;;;;;;;;;;;;;;
2016-09-15 14:00:00;546,090503692627;658;17,0075222351631;;;;;;;;;;;;;;
2016-09-15 15:00:00;532,780212402344;613;13,0864253829782;"September";"North";0;0;16,3;1011,8;91;14,8;19;10,8;18;1;8;15
2016-09-15 16:00:00;471,839466094971;522;9,6092976829558;;;;;;;;;;;;;;
2016-09-15 17:00:00;422,601692199707;437;3,29480727695491;;;;;;;;;;;;;;
2016-09-15 18:00:00;477,926300048828;485,5;1,55997939262037;"September";"West";0;1;16,1;1012,8;94;15,1;18;7,2;10,8;;8;18
2016-09-15 19:00:00;524,302761077881;557;5,87024038099087;;;;;;;;;;;;;;
2016-09-15 20:00:00;511,707363128662;533,166666667;4,02487718755694;;;;;;;;;;;;;;
2016-09-15 21:00:00;508,751586914062;497,666666667;2,22737848232854;"September";"North";0;1;16,2;1014;96;15,6;10;14,4;25,2;0;8;21
2016-09-15 22:00:00;633,241493225098;616,5;2,7155706772259;;;;;;;;;;;;;;
2016-09-15 23:00:00;584,632743835449;541,833333333;7,89899916994319;;;;;;;;;;;;;;
2016-09-16 00:00:00;476,935302734375;442,5;7,78198931850282;"September";"West";0;0;15,9;1014,7;95;15,1;16;18;28,8;0;8;0
2016-09-16 01:00:00;408,881874084473;412,5;0,877121434067235;;;;;;;;;;;;;;
2016-09-16 02:00:00;369,788665771484;371,166666667;0,371262028427769;;;;;;;;;;;;;;
2016-09-16 03:00:00;386,036499023438;412;6,30182062537925;"September";"North";0;0;15,2;1015,4;92;13,9;40;21,6;32,4;0;8;3
2016-09-16 04:00:00;363,5436668396;407,166666667;10,7137944725415;;;;;;;;;;;;;;
2016-09-16 05:00:00;330,118083953857;341,833333333;3,42718168088366;;;;;;;;;;;;;;
2016-09-16 06:00:00;330,015625;328;0,614519817073171;"September";"North";0;0;15,1;1016,8;92;13,8;15;18;36;;8;6
2016-09-16 07:00:00;380,011344909668;425,666666667;10,7256041716436;;;;;;;;;;;;;;
2016-09-16 08:00:00;463,36833190918;461,833333333;0,332370676906708;;;;;;;;;;;;;;
2016-09-16 09:00:00;524,477966308594;499,166666667;5,07071111350454;"September";"North";0;0;16,4;1019;76;12,2;13;28,8;39,6;;6;9
2016-09-16 10:00:00;537,529640197754;506;6,23115418927943;;;;;;;;;;;;;;
2016-09-16 11:00:00;545,724498748779;536,666666667;1,68779479784603;;;;;;;;;;;;;;
2016-09-16 12:00:00;544,597595214844;524,833333333;3,7658168082292;"September";"North";0;0;16,6;1020,4;68;10,7;16;25,2;46,8;0;7;12
2016-09-16 13:00:00;510,516284942627;564,5;9,56310275595625;;;;;;;;;;;;;;
2016-09-16 14:00:00;469,091506958008;572,666666667;18,0864656069148;;;;;;;;;;;;;;
2016-09-16 15:00:00;481,812866210938;520,833333333;7,4919296874408;"September";"North";0;0;16,7;1021,1;70;11,2;19;28,8;50,4;0;8;15
2016-09-16 16:00:00;457,845840454102;442,166666667;3,54598728694076;;;;;;;;;;;;;;
2016-09-16 17:00:00;472,637552261353;386,666666667;22,2338497226582;;;;;;;;;;;;;;
2016-09-16 18:00:00;441,279174804688;447,833333333;1,46352628097894;"September";"North";0;1;14,5;1022,6;80;11,1;55;18;39,6;0;;18
2016-09-16 19:00:00;482,336807250977;488,166666667;1,19423545565438;;;;;;;;;;;;;;
2016-09-16 20:00:00;486,793151855469;493,5;1,35903711135385;;;;;;;;;;;;;;
2016-09-16 21:00:00;509,572357177734;511,333333333;0,344389078604972;"September";"North";0;1;13,3;1024,3;87;11,2;45;14,4;21,6;0;;21
2016-09-16 22:00:00;648,448486328125;616,5;5,18223622516221;;;;;;;;;;;;;;
2016-09-16 23:00:00;666,603454589844;560,5;18,9301435485894;;;;;;;;;;;;;;
2016-09-17 00:00:00;545,691223144531;461,333333333;18,285669756848;"September";"North";1;0;12,2;1024,3;94;11,3;19;7,2;14,4;;;0
2016-09-17 01:00:00;455,127555847168;397,666666667;14,4495111098373;;;;;;;;;;;;;;
2016-09-17 02:00:00;403,395523071289;363,333333333;11,0262907536677;;;;;;;;;;;;;;
2016-09-17 03:00:00;379,988708496094;398,666666667;4,68510656460468;"September";"West";1;0;12,6;1024,5;95;11,8;19;10,8;18;0;;3
2016-09-17 04:00:00;371,418546676636;398,666666667;6,8348127066074;;;;;;;;;;;;;;
2016-09-17 05:00:00;322,656032562256;332,166666667;2,86321147157088;;;;;;;;;;;;;;
2016-09-17 06:00:00;307,750549316406;316;2,61058565936511;"September";"North";1;0;12,3;1024,7;96;11,7;18;3,6;18;0;8;6
2016-09-17 07:00:00;369,155067443848;369,166666667;0,00314200175684389;;;;;;;;;;;;;;
2016-09-17 08:00:00;434,744827270508;452,166666667;3,85296853589665;;;;;;;;;;;;;;
2016-09-17 09:00:00;513,540649414062;515,166666667;0,315629360000597;"September";"North";1;0;15,9;1025,3;79;12,3;35;18;28,8;0;7;9
2016-09-17 10:00:00;531,089349746704;510,833333333;3,96528869436555;;;;;;;;;;;;;;
2016-09-17 11:00:00;590,80061340332;534,833333333;10,4644337931484;;;;;;;;;;;;;;
2016-09-17 12:00:00;546,778198242188;524,5;4,24751158096997;"September";"North";1;0;17,3;1025;67;11,1;25;18;28,8;0;7;12
2016-09-17 13:00:00;510,303253173828;567,333333333;10,0523055509763;;;;;;;;;;;;;;
2016-09-17 14:00:00;476,318496704102;606,166666667;21,421199333983;;;;;;;;;;;;;;
2016-09-17 15:00:00;472,029510498047;556,666666667;15,2042795512998;"September";"North";1;0;16,2;1024,1;71;10,9;40;18;32,4;0;;15
2016-09-17 16:00:00;443,412254333496;449;1,2444867854129;;;;;;;;;;;;;;
2016-09-17 17:00:00;436,421794891357;401,666666667;8,65272901850504;;;;;;;;;;;;;;
2016-09-17 18:00:00;440,043090820312;454;3,07420907041575;"September";"North";1;1;14,5;1024,2;82;11,5;55;7,2;21,6;0;;18
2016-09-17 19:00:00;470,171640396118;489,666666667;3,98128514721618;;;;;;;;;;;;;;
2016-09-17 20:00:00;486,771369934082;499,833333333;2,6132637677079;;;;;;;;;;;;;;
2016-09-17 21:00:00;507,548797607422;517,666666667;1,95451430642078;"September";"West";1;1;12;1024,4;94;11,1;17;7,2;10,8;0;;21
2016-09-17 22:00:00;649,531982421875;628,666666667;3,31897917627741;;;;;;;;;;;;;;
2016-09-17 23:00:00;653,249237060547;571,333333333;14,3376727644565;;;;;;;;;;;;;;
2016-09-18 00:00:00;523,29638671875;473,666666667;10,4777734099328;"September";"West";1;0;9,8;1024,2;97;9,3;6;7,2;7,2;0;;0
2016-09-18 01:00:00;439,203681945801;430,833333333;1,9428275310191;;;;;;;;;;;;;;
2016-09-18 02:00:00;385,84228515625;390,166666667;1,10834212150696;;;;;;;;;;;;;;
2016-09-18 03:00:00;388,22705078125;418,5;7,23367962216249;"September";"West";1;0;10,1;1023,7;98;9,8;0,6;3,6;10,8;0;;3
2016-09-18 04:00:00;384,517441034317;412,666666667;6,8212986185768;;;;;;;;;;;;;;
2016-09-18 05:00:00;317,215255737305;348;8,84619088008486;;;;;;;;;;;;;;
2016-09-18 06:00:00;316,828979492188;311,5;1,71074783055779;"September";"North";1;0;10,4;1023,4;99;10,2;0,3;3,6;10,8;0;;6
2016-09-18 07:00:00;366,767387390137;359,833333333;1,92701826506989;;;;;;;;;;;;;;
2016-09-18 08:00:00;429,528114318848;434,333333333;1,10634359497069;;;;;;;;;;;;;;
2016-09-18 09:00:00;510,968933105469;515;0,782731435831311;"September";"North";1;0;15,2;1023,5;79;11,6;18;7,2;18;0;;9
2016-09-18 10:00:00;503,989062786102;553;8,86273729003575;;;;;;;;;;;;;;
2016-09-18 11:00:00;509,258558630943;582,333333333;12,5486161480421;;;;;;;;;;;;;;
2016-09-18 12:00:00;539,517822265625;581,333333333;7,19303516067644;"September";"West";1;0;18;1023,2;63;10,8;35;10,8;25,2;0;7;12
2016-09-18 13:00:00;498,236587524414;582;14,3923389133309;;;;;;;;;;;;;;
2016-09-18 14:00:00;498,359439849854;572,166666667;12,8996027061643;;;;;;;;;;;;;;
2016-09-18 15:00:00;479,191986083984;547,333333333;12,4496980357595;"September";"West";1;0;17,7;1023,2;62;10,3;50;10,8;25,2;0;8;15
2016-09-18 16:00:00;453,073432922363;451,333333333;0,385546437820808;;;;;;;;;;;;;;
2016-09-18 17:00:00;455,36088180542;378,166666667;20,4127497060428;;;;;;;;;;;;;;
2016-09-18 18:00:00;450,726348876953;400,166666667;12,6346561124309;"September";"North";1;1;15,7;1023,5;75;11,3;55;3,6;14,4;0;8;18
2016-09-18 19:00:00;490,670677185059;445,166666667;10,2217919546292;;;;;;;;;;;;;;
2016-09-18 20:00:00;486,393550872803;453,833333333;7,1744878897892;;;;;;;;;;;;;;
2016-09-18 21:00:00;480,25634765625;450,5;6,60518260960044;"September";"North";1;1;14,2;1023,5;86;11,9;35;0;3,6;0;8;21
2016-09-18 22:00:00;616,260162353516;580,166666667;6,22122878824963;;;;;;;;;;;;;;
2016-09-18 23:00:00;599,604965209961;527;13,7770332466719;;;;;;;;;;;;;;
2016-09-19 00:00:00;515,6650390625;453,833333333;13,6243200285447;"September";"West";0;0;13,3;1023,3;93;12,2;14;3,6;7,2;0;8;0
2016-09-19 01:00:00;454,669631958008;406,166666667;11,9416410236277;;;;;;;;;;;;;;
2016-09-19 02:00:00;380,61181640625;370,166666667;2,82174238790831;;;;;;;;;;;;;;
2016-09-19 03:00:00;381,866607666016;391,166666667;2,37751827890323;"September";"South";0;0;13,6;1023;96;13;22;3,6;3,6;0;8;3
2016-09-19 04:00:00;373,050669670105;402,333333333;7,27820969252343;;;;;;;;;;;;;;
2016-09-19 05:00:00;302,090408325195;317,5;4,85341470072589;;;;;;;;;;;;;;
2016-09-19 06:00:00;313,193420410156;304,166666667;2,96769986076044;"September";"South";0;0;14,4;1022,9;95;13,6;16;7,2;10,8;0;8;6
2016-09-19 07:00:00;372,781539916992;350,333333333;6,40767076613137;;;;;;;;;;;;;;
2016-09-19 08:00:00;446,123794555664;407,5;9,478231792801;;;;;;;;;;;;;;
2016-09-19 09:00:00;512,622314453125;476,166666667;7,65606883852281;"September";"South";0;0;15,7;1023,1;93;14,6;19;10,8;14,4;;8;9
2016-09-19 10:00:00;540,231948852539;529,166666667;2,09107694844702;;;;;;;;;;;;;;
2016-09-19 11:00:00;530,764976501465;561,5;5,47373526242834;;;;;;;;;;;;;;
2016-09-19 12:00:00;545,025390625;581,833333333;6,32620040813883;"September";"West";0;0;16,2;1022,8;92;14,9;6;7,2;14,4;0;8;12
2016-09-19 13:00:00;531,501219749451;579,166666667;8,23000522316924;;;;;;;;;;;;;;
2016-09-19 14:00:00;521,143253326416;567,166666667;8,11461886698035;;;;;;;;;;;;;;
2016-09-19 15:00:00;523,688598632812;564,5;7,22965480375332;"September";"North";0;0;17;1022;86;14,6;40;14,4;21,6;0;8;15
2016-09-19 16:00:00;463,380641937256;485,833333333;4,62148021868121;;;;;;;;;;;;;;
2016-09-19 17:00:00;413,635063171387;393;5,25065220645973;;;;;;;;;;;;;;
2016-09-19 18:00:00;465,819305419922;457,5;1,81842741419057;"September";"North";0;1;15,2;1021,9;91;13,7;18;14,4;21,6;0;8;18
2016-09-19 19:00:00;509,404247283936;499,666666667;1,94881533360821;;;;;;;;;;;;;;
2016-09-19 20:00:00;512,34676361084;473,666666667;8,16610069186754;;;;;;;;;;;;;;
2016-09-19 21:00:00;504,414306640625;470;7,32219290226064;"September";"West";0;1;14,3;1021,8;96;13,7;7;10,8;21,6;0;8;21
2016-09-19 22:00:00;621,751289367676;583,166666667;6,61639714786861;;;;;;;;;;;;;;
2016-09-19 23:00:00;645,516983032227;527,833333333;22,2956077737861;;;;;;;;;;;;;;
2016-09-20 00:00:00;449,298919677734;440,166666667;2,07472616676882;"September";"North";0;0;14,2;1021;97;13,7;4,8;0;7,2;0;8;0
2016-09-20 01:00:00;383,681793212891;404,333333333;5,10755320365863;;;;;;;;;;;;;;
2016-09-20 02:00:00;296,92317199707;379,666666667;21,7937211597516;;;;;;;;;;;;;;
2016-09-20 03:00:00;374,047729492188;399,833333333;6,44908808024193;"September";"East";0;0;13,3;1020,1;98;13;0,3;3,6;3,6;0;7;3
2016-09-20 04:00:00;367,661893367767;412,166666667;10,7977614150902;;;;;;;;;;;;;;
2016-09-20 05:00:00;298,150535583496;330;9,65135285348603;;;;;;;;;;;;;;
2016-09-20 06:00:00;308,438201904297;313,833333333;1,71910719980101;"September";"North";0;0;13,5;1020;99;13,3;7;7,2;10,8;0;8;6
2016-09-20 07:00:00;362,427452087402;372,833333333;2,79102760275555;;;;;;;;;;;;;;
2016-09-20 08:00:00;428,636978149414;469,833333333;8,76829127710858;;;;;;;;;;;;;;
2016-09-20 09:00:00;495,380310058594;491,666666667;0,755317299984654;"September";"North";0;0;14,5;1020,5;97;14;4,9;7,2;14,4;0;8;9
2016-09-20 10:00:00;514,830446243286;533,5;3,49944775196136;;;;;;;;;;;;;;
2016-09-20 11:00:00;524,222871780396;541,833333333;3,25016208291886;;;;;;;;;;;;;;
2016-09-20 12:00:00;523,697814941406;589,833333333;11,2125772916018;"September";"North";0;0;17;1019,9;86;14,6;50;7,2;14,4;0;8;12
2016-09-20 13:00:00;525,256616950035;614,166666667;14,4765345536364;;;;;;;;;;;;;;
2016-09-20 14:00:00;507,685745239258;608,666666667;16,5905128303976;;;;;;;;;;;;;;
2016-09-20 15:00:00;487,676086425781;568;14,1415340799681;"September";"North";0;0;18,1;1018,5;81;14,8;19;14,4;25,2;0;7;15
2016-09-20 16:00:00;405,931571960449;482,5;15,8691042569017;;;;;;;;;;;;;;
2016-09-20 17:00:00;335,178848266602;412,333333333;18,7116778657544;;;;;;;;;;;;;;
2016-09-20 18:00:00;462,69921875;445,333333333;3,89952516849095;"September";"North";0;1;15,6;1018,6;91;14,1;12;14,4;21,6;0;8;18
2016-09-20 19:00:00;510,425174713135;494,5;3,22046000265617;;;;;;;;;;;;;;
2016-09-20 20:00:00;504,49356842041;507,666666667;0,625035767548478;;;;;;;;;;;;;;
2016-09-20 21:00:00;504,127899169922;500,666666667;0,691324734271549;"September";"North";0;1;14,3;1018,9;98;14;1,6;7,2;10,8;;8;21
2016-09-20 22:00:00;630,686859130859;601;4,93957722643251;;;;;;;;;;;;;;
2016-09-20 23:00:00;527,955165863037;536,333333333;1,56211947855217;;;;;;;;;;;;;;
