"dt_posix";"puissance";"reality";"mape";"Month";"temp";"pression";"hr";"visi";"p_ros";"vt_moy";"vt_raf";"rr_3h";"Hour";"f_weekend"
2016-09-19 21:00:00;523,606384277344;470;11,4056136760306;"September";14,3;1021,8;96;7;13,7;10,8;21,6;0;21;0
2016-09-19 22:00:00;654,316619873047;583,166666667;12,2006207269516;;;;;;;;;;;
2016-09-19 23:00:00;645,812843322754;527,833333333;22,3516596128503;;;;;;;;;;;
2016-09-20 00:00:00;468,577453613281;440,166666667;6,45455212713208;"September";14,2;1021;97;4,8;13,7;0;7,2;0;0;0
2016-09-20 01:00:00;400,895965576172;404,333333333;0,850132173989516;;;;;;;;;;;
2016-09-20 02:00:00;345,403465270996;379,666666667;9,02454821667441;;;;;;;;;;;
2016-09-20 03:00:00;383,102722167969;399,833333333;4,18439628971534;"September";13,3;1020,1;98;0,3;13;3,6;3,6;0;3;0
2016-09-20 04:00:00;378,074718952179;412,166666667;8,27139855595475;;;;;;;;;;;
2016-09-20 05:00:00;287,310188293457;330;12,9363065777403;;;;;;;;;;;
2016-09-20 06:00:00;314,526336669922;313,833333333;0,220818907144756;"September";13,5;1020;99;7;13,3;7,2;10,8;0;6;0
2016-09-20 07:00:00;381,791618347168;372,833333333;2,40275860907716;;;;;;;;;;;
2016-09-20 08:00:00;449,125137329102;469,833333333;4,40756211505778;;;;;;;;;;;
2016-09-20 09:00:00;527,613708496094;491,666666667;7,31126274489546;"September";14,5;1020,5;97;4,9;14;7,2;14,4;0;9;0
2016-09-20 10:00:00;533,884449005127;533,5;0,0720616691896819;;;;;;;;;;;
2016-09-20 11:00:00;552,807201385498;541,833333333;2,02532169532539;;;;;;;;;;;
2016-09-20 12:00:00;545,666320800781;589,833333333;7,48804959574633;"September";17;1019,9;86;50;14,6;7,2;14,4;0;12;0
2016-09-20 13:00:00;516,73090171814;614,166666667;15,8647107107963;;;;;;;;;;;
2016-09-20 14:00:00;487,507453918457;608,666666667;19,9056756979972;;;;;;;;;;;
2016-09-20 15:00:00;498,902252197266;568;12,1650964441434;"September";18,1;1018,5;81;19;14,8;14,4;25,2;0;15;0
2016-09-20 16:00:00;426,454010009766;482,5;11,615749220774;;;;;;;;;;;
2016-09-20 17:00:00;338,452392578125;412,333333333;17,9177705953762;;;;;;;;;;;
2016-09-20 18:00:00;472,756774902344;445,333333333;6,1579584362345;"September";15,6;1018,6;91;12;14,1;14,4;21,6;0;18;0
2016-09-20 19:00:00;528,617763519287;494,5;6,89944661664047;;;;;;;;;;;
2016-09-20 20:00:00;518,461780548096;507,666666667;2,12641770474496;;;;;;;;;;;
2016-09-20 21:00:00;500,232269287109;500,666666667;0,0867637909235056;"September";14,3;1018,9;98;1,6;14;7,2;10,8;;21;0
2016-09-20 22:00:00;647,96321105957;601;7,81417821290687;;;;;;;;;;;
2016-09-20 23:00:00;552,172992706299;536,333333333;2,95332368675736;;;;;;;;;;;
