"dt_posix";"puissance";"reality";"mape";"Month";"rose_vt";"temp";"pression";"hr";"p_ros";"visi";"vt_raf";"rr_3h";"nebul";"Hour";"f_weekend"
2016-09-16 21:00:00;508,200347900391;511,333333333;0,612709015504186;"September";"North";13,3;1024,3;87;11,2;45;21,6;0;;21;0
2016-09-16 22:00:00;640,464874267578;616,5;3,88724643431924;;;;;;;;;;;;
2016-09-16 23:00:00;661,766967773438;560,5;18,0672556241637;;;;;;;;;;;;
2016-09-17 00:00:00;550,791870117188;461,333333333;19,3913013260662;"September";"North";12,2;1024,3;94;11,3;19;14,4;;;0;1
2016-09-17 01:00:00;454,193290710449;397,666666667;14,2145743612913;;;;;;;;;;;;
2016-09-17 02:00:00;393,228652954102;363,333333333;8,22806962049422;;;;;;;;;;;;
2016-09-17 03:00:00;376,540191650391;398,666666667;5,55011915131879;"September";"West";12,6;1024,5;95;11,8;19;18;0;;3;1
2016-09-17 04:00:00;365,98065662384;398,666666667;8,19883195061848;;;;;;;;;;;;
2016-09-17 05:00:00;329,12907409668;332,166666667;0,914478445654976;;;;;;;;;;;;
2016-09-17 06:00:00;314,993743896484;316;0,318435475796084;"September";"North";12,3;1024,7;96;11,7;18;18;0;8;6;1
2016-09-17 07:00:00;339,101545333862;369,166666667;8,14405092544756;;;;;;;;;;;;
2016-09-17 08:00:00;424,878921508789;452,166666667;6,0348865075247;;;;;;;;;;;;
2016-09-17 09:00:00;502,618438720703;515,166666667;2,43576084366653;"September";"North";15,9;1025,3;79;12,3;35;28,8;0;7;9;1
2016-09-17 10:00:00;558,478336334229;510,833333333;9,32691739013239;;;;;;;;;;;;
2016-09-17 11:00:00;562,761367797852;534,833333333;5,22182009315094;;;;;;;;;;;;
2016-09-17 12:00:00;545,778137207031;524,5;4,05684217483913;"September";"North";17,3;1025;67;11,1;25;28,8;0;7;12;1
2016-09-17 13:00:00;502,386512756348;567,333333333;11,4477357068197;;;;;;;;;;;;
2016-09-17 14:00:00;475,294586181641;606,166666667;21,5901150099457;;;;;;;;;;;;
2016-09-17 15:00:00;460,931335449219;556,666666667;17,1979636918067;"September";"North";16,2;1024,1;71;10,9;40;32,4;0;;15;1
2016-09-17 16:00:00;431,651782989502;449;3,86374543663654;;;;;;;;;;;;
2016-09-17 17:00:00;420,905338287354;401,666666667;4,78971077684752;;;;;;;;;;;;
2016-09-17 18:00:00;443,597839355469;454;2,29122481157076;"September";"North";14,5;1024,2;82;11,5;55;21,6;0;;18;1
2016-09-17 19:00:00;481,881801605225;489,666666667;1,58982948844863;;;;;;;;;;;;
2016-09-17 20:00:00;489,077095031738;499,833333333;2,15196498191441;;;;;;;;;;;;
2016-09-17 21:00:00;503,46728515625;517,666666667;2,74295843736139;"September";"West";12;1024,4;94;11,1;17;10,8;0;;21;1
2016-09-17 22:00:00;641,10627746582;628,666666667;1,97872918326836;;;;;;;;;;;;
2016-09-17 23:00:00;642,775833129883;571,333333333;12,504521551387;;;;;;;;;;;;
2016-09-18 00:00:00;535,874389648438;473,666666667;13,1332279341436;"September";"West";9,8;1024,2;97;9,3;6;7,2;0;;0;1
2016-09-18 01:00:00;456,70654296875;430,833333333;6,00538714950175;;;;;;;;;;;;
2016-09-18 02:00:00;391,404083251953;390,166666667;0,317150769317057;;;;;;;;;;;;
2016-09-18 03:00:00;390,734130859375;418,5;6,63461628210872;"September";"West";10,1;1023,7;98;9,8;0,6;10,8;0;;3;1
2016-09-18 04:00:00;386,129529953003;412,666666667;6,43064702277277;;;;;;;;;;;;
2016-09-18 05:00:00;322,556442260742;348;7,31136716645339;;;;;;;;;;;;
2016-09-18 06:00:00;316,489654541016;311,5;1,60181526196328;"September";"North";10,4;1023,4;99;10,2;0,3;10,8;0;;6;1
2016-09-18 07:00:00;355,890125274658;359,833333333;1,09584290644153;;;;;;;;;;;;
2016-09-18 08:00:00;424,251106262207;434,333333333;2,32131091422886;;;;;;;;;;;;
2016-09-18 09:00:00;512,386291503906;515;0,507516212833738;"September";"North";15,2;1023,5;79;11,6;18;18;0;;9;1
2016-09-18 10:00:00;538,715406417847;553;2,58310914686317;;;;;;;;;;;;
2016-09-18 11:00:00;548,583728790283;582,333333333;5,7955817760852;;;;;;;;;;;;
2016-09-18 12:00:00;549,107666015625;581,333333333;5,54340607523971;"September";"West";18;1023,2;63;10,8;35;25,2;0;7;12;1
2016-09-18 13:00:00;505,744178771973;582;13,102374781448;;;;;;;;;;;;
2016-09-18 14:00:00;479,528938293457;572,166666667;16,1906894914341;;;;;;;;;;;;
2016-09-18 15:00:00;481,409790039062;547,333333333;12,0444963387292;"September";"West";17,7;1023,2;62;10,3;50;25,2;0;8;15;1
2016-09-18 16:00:00;456,152275085449;451,333333333;1,06771235283297;;;;;;;;;;;;
2016-09-18 17:00:00;454,181602478027;378,166666667;20,1009085441059;;;;;;;;;;;;
2016-09-18 18:00:00;463,903564453125;400,166666667;15,9275879515382;"September";"North";15,7;1023,5;75;11,3;55;14,4;0;8;18;1
2016-09-18 19:00:00;499,987312316895;445,166666667;12,3146339909817;;;;;;;;;;;;
2016-09-18 20:00:00;493,787073135376;453,833333333;8,80361508683188;;;;;;;;;;;;
2016-09-18 21:00:00;494,070556640625;450,5;9,67159969825194;"September";"North";14,2;1023,5;86;11,9;35;3,6;0;8;21;1
2016-09-18 22:00:00;628,350997924805;580,166666667;8,30525675227412;;;;;;;;;;;;
2016-09-18 23:00:00;615,611640930176;527;16,8143531176804;;;;;;;;;;;;
2016-09-19 00:00:00;516,566284179688;453,833333333;13,8229050708925;"September";"West";13,3;1023,3;93;12,2;14;7,2;0;8;0;0
2016-09-19 01:00:00;453,714714050293;406,166666667;11,7065360812279;;;;;;;;;;;;
2016-09-19 02:00:00;388,546936035156;370,166666667;4,9654037014335;;;;;;;;;;;;
2016-09-19 03:00:00;371,806457519531;391,166666667;4,94935044246756;"September";"South";13,6;1023;96;13;22;3,6;0;8;3;0
2016-09-19 04:00:00;361,844299316406;402,333333333;10,0635544366099;;;;;;;;;;;;
2016-09-19 05:00:00;302,04468536377;317,5;4,86781563345841;;;;;;;;;;;;
2016-09-19 06:00:00;306,027954101562;304,166666667;0,611930115471927;"September";"South";14,4;1022,9;95;13,6;16;10,8;0;8;6;0
2016-09-19 07:00:00;373,083183288574;350,333333333;6,49377258485135;;;;;;;;;;;;
2016-09-19 08:00:00;441,455718994141;407,5;8,33269177770322;;;;;;;;;;;;
2016-09-19 09:00:00;513,921325683594;476,166666667;7,928874837221;"September";"South";15,7;1023,1;93;14,6;19;14,4;;8;9;0
2016-09-19 10:00:00;550,775798797607;529,166666667;4,08361552074215;;;;;;;;;;;;
2016-09-19 11:00:00;520,932639598846;561,5;7,22481930563732;;;;;;;;;;;;
2016-09-19 12:00:00;543,797180175781;581,833333333;6,53729358188036;"September";"West";16,2;1022,8;92;14,9;6;14,4;0;8;12;0
2016-09-19 13:00:00;536,34974861145;579,166666667;7,39284916066621;;;;;;;;;;;;
2016-09-19 14:00:00;542,075773835182;567,166666667;4,42390117516362;;;;;;;;;;;;
2016-09-19 15:00:00;519,478576660156;564,5;7,97545143309898;"September";"North";17;1022;86;14,6;40;21,6;0;8;15;0
2016-09-19 16:00:00;459,963516235352;485,833333333;5,32483370792443;;;;;;;;;;;;
2016-09-19 17:00:00;401,522483825684;393;2,16857094801109;;;;;;;;;;;;
2016-09-19 18:00:00;457,140808105469;457,5;0,0785118895150273;"September";"North";15,2;1021,9;91;13,7;18;21,6;0;8;18;0
2016-09-19 19:00:00;500,793224334717;499,666666667;0,225461841437498;;;;;;;;;;;;
2016-09-19 20:00:00;497,110446929932;473,666666667;4,94942581201586;;;;;;;;;;;;
2016-09-19 21:00:00;505,90283203125;470;7,63890043218085;"September";"West";14,3;1021,8;96;13,7;7;21,6;0;8;21;0
2016-09-19 22:00:00;623,377098083496;583,166666667;6,8951868676433;;;;;;;;;;;;
2016-09-19 23:00:00;627,831855773926;527,833333333;18,9450942420566;;;;;;;;;;;;
2016-09-20 00:00:00;449,387176513672;440,166666667;2,09477694358157;"September";"North";14,2;1021;97;13,7;4,8;7,2;0;8;0;0
2016-09-20 01:00:00;387,876174926758;404,333333333;4,07019581358345;;;;;;;;;;;;
2016-09-20 02:00:00;349,156829833984;379,666666667;8,03595351176177;;;;;;;;;;;;
2016-09-20 03:00:00;373,641265869141;399,833333333;6,55074634361347;"September";"East";13,3;1020,1;98;13;0,3;3,6;0;7;3;0
2016-09-20 04:00:00;371,507349252701;412,166666667;9,86477575760606;;;;;;;;;;;;
2016-09-20 05:00:00;304,18766784668;330;7,82191883433949;;;;;;;;;;;;
2016-09-20 06:00:00;300,037048339844;313,833333333;4,39605469777086;"September";"North";13,5;1020;99;13,3;7;10,8;0;8;6;0
2016-09-20 07:00:00;361,349948883057;372,833333333;3,08003159140463;;;;;;;;;;;;
2016-09-20 08:00:00;428,899841308594;469,833333333;8,71234310559105;;;;;;;;;;;;
2016-09-20 09:00:00;495,181121826172;491,666666667;0,714804439153114;"September";"North";14,5;1020,5;97;14;4,9;14,4;0;8;9;0
2016-09-20 10:00:00;510,426001548767;533,5;4,32502313987496;;;;;;;;;;;;
2016-09-20 11:00:00;528,182586669922;541,833333333;2,51936265698306;;;;;;;;;;;;
2016-09-20 12:00:00;524,435546875;589,833333333;11,0875026490032;"September";"North";17;1019,9;86;14,6;50;14,4;0;8;12;0
2016-09-20 13:00:00;526,13104903698;614,166666667;14,3341575516916;;;;;;;;;;;;
2016-09-20 14:00:00;523,74246186018;608,666666667;13,9524980514962;;;;;;;;;;;;
2016-09-20 15:00:00;487,278594970703;568;14,2115149699466;"September";"North";18,1;1018,5;81;14,8;19;25,2;0;7;15;0
2016-09-20 16:00:00;403,567321777344;482,5;16,359104294851;;;;;;;;;;;;
2016-09-20 17:00:00;339,706939697266;412,333333333;17,6135150288908;;;;;;;;;;;;
2016-09-20 18:00:00;450,245666503906;445,333333333;1,10306882580313;"September";"North";15,6;1018,6;91;14,1;12;21,6;0;8;18;0
2016-09-20 19:00:00;498,249904632568;494,5;0,758322473724643;;;;;;;;;;;;
2016-09-20 20:00:00;487,19718170166;507,666666667;4,03207189074059;;;;;;;;;;;;
2016-09-20 21:00:00;512,602111816406;500,666666667;2,38391048256956;"September";"North";14,3;1018,9;98;14;1,6;10,8;;8;21;0
2016-09-20 22:00:00;644,989059448242;601;7,3193110562799;;;;;;;;;;;;
2016-09-20 23:00:00;541,238048553467;536,333333333;0,914490097042226;;;;;;;;;;;;
