"dt_posix";"puissance";"reality";"mape";"Month";"Weekday";"temp";"pression";"hr";"p_ros";"visi";"vt_moy";"vt_raf";"vt_dir";"rr_3h";"nebul";"Hour";"f_weekend";"f_evening"
2016-09-14 05:00:00;327,599380493164;330,833333333;0,977517231185646;;;;;;;;;;;;;;;
2016-09-14 06:00:00;328,70556640625;317,166666667;3,63811867763674;"September";"Wednesday";15,5;1004,6;94;14,5;45;18;36;100;0;7;6;0;0
2016-09-14 07:00:00;390,883522033691;384,833333333;1,57215817255002;;;;;;;;;;;;;;;
2016-09-14 08:00:00;468,551940917969;458,833333333;2,11811280457156;;;;;;;;;;;;;;;
2016-09-14 09:00:00;500,587280273438;478,333333333;4,65239308859645;"September";"Wednesday";18;1005,9;82;14,9;29;28,8;46,8;130;0;;9;0;0
2016-09-14 10:00:00;518,743328094482;504;2,92526351081;;;;;;;;;;;;;;;
2016-09-14 11:00:00;505,847523212433;492,333333333;2,74492685432133;;;;;;;;;;;;;;;
2016-09-14 12:00:00;547,185546875;519,5;5,32926792589028;"September";"Wednesday";20,2;1007,2;65;13,4;7;32,4;54;140;0;7;12;0;0
2016-09-14 13:00:00;543,199480772018;543,333333333;0,0246354406714769;;;;;;;;;;;;;;;
2016-09-14 14:00:00;544,8926653862;573;4,90529399891798;;;;;;;;;;;;;;;
2016-09-14 15:00:00;480,966094970703;539;10,7669582614651;"September";"Wednesday";20,4;1007,9;62;12,9;28;25,2;46,8;150;0;;15;0;0
2016-09-14 16:00:00;396,462745666504;438,833333333;9,65528013669463;;;;;;;;;;;;;;;
2016-09-14 17:00:00;357,076171875;380,5;6,15606521024967;;;;;;;;;;;;;;;
2016-09-14 18:00:00;458,611846923828;426;7,65536312765918;"September";"Wednesday";18,6;1009,3;63;11,4;45;25,2;43,2;130;0;;18;0;1
2016-09-14 19:00:00;494,357971191406;480,5;2,8840730887422;;;;;;;;;;;;;;;
2016-09-14 20:00:00;506,610332489014;471,833333333;7,37061091261849;;;;;;;;;;;;;;;
2016-09-14 21:00:00;505,992095947266;477,166666667;6,04095618866479;"September";"Wednesday";13,8;1010,5;89;12;60;3,6;10,8;50;0;;21;0;1
2016-09-14 22:00:00;641,631896972656;607,166666667;5,676403563926;;;;;;;;;;;;;;;
2016-09-14 23:00:00;635,971481323242;539,833333333;17,8088572998397;;;;;;;;;;;;;;;
2016-09-15 00:00:00;513,842468261719;445,333333333;15,3837877834064;"September";"Thursday";13,4;1010,4;89;11,6;60;10,8;14,4;40;0;8;0;0;0
2016-09-15 01:00:00;455,849689483643;393,166666667;15,9431172912054;;;;;;;;;;;;;;;
2016-09-15 02:00:00;408,024040222168;358,5;13,8142371609952;;;;;;;;;;;;;;;
2016-09-15 03:00:00;402,030975341797;383,833333333;4,74102701054608;"September";"Thursday";12,7;1009,8;94;11,8;60;7,2;7,2;100;0;7;3;0;0
2016-09-15 04:00:00;385,102958679199;396,833333333;2,95599529285442;;;;;;;;;;;;;;;
2016-09-15 05:00:00;320,72412109375;316;1,49497502966772;;;;;;;;;;;;;;;
2016-09-15 06:00:00;319,294830322266;294;8,60368378308355;"September";"Thursday";13,8;1010,1;92;12,5;4,6;7,2;18;20;;8;6;0;0
2016-09-15 07:00:00;376,624465942383;357,5;5,34950096290428;;;;;;;;;;;;;;;
2016-09-15 08:00:00;456,853591918945;459,166666667;0,503754936055105;;;;;;;;;;;;;;;
2016-09-15 09:00:00;543,182006835938;503;7,98847054392396;"September";"Thursday";14;1010,8;98;13,7;2,9;7,2;14,4;310;9;8;9;0;0
2016-09-15 10:00:00;562,744058609009;525,5;7,08735653834611;;;;;;;;;;;;;;;
2016-09-15 11:00:00;576,370792388916;593,666666667;2,91339825009673;;;;;;;;;;;;;;;
2016-09-15 12:00:00;563,694580078125;615,5;8,41680258681966;"September";"Thursday";16,4;1011,4;95;15,6;2;10,8;14,4;290;0;8;12;0;0
2016-09-15 13:00:00;540,556503295898;625,333333333;13,5570623726781;;;;;;;;;;;;;;;
2016-09-15 14:00:00;547,890284538269;658;16,7339993102935;;;;;;;;;;;;;;;
2016-09-15 15:00:00;521,253601074219;613;14,9667861216609;"September";"Thursday";16,3;1011,8;91;14,8;19;10,8;18;330;1;8;15;0;0
2016-09-15 16:00:00;457,196586608887;522;12,4144470097918;;;;;;;;;;;;;;;
2016-09-15 17:00:00;399,145217895508;437;8,66242153420874;;;;;;;;;;;;;;;
2016-09-15 18:00:00;490,134307861328;485,5;0,95454332880085;"September";"Thursday";16,1;1012,8;94;15,1;18;7,2;10,8;300;;8;18;0;1
2016-09-15 19:00:00;541,022186279297;557;2,8685482442914;;;;;;;;;;;;;;;
2016-09-15 20:00:00;509,914804458618;533,166666667;4,36108700375754;;;;;;;;;;;;;;;
2016-09-15 21:00:00;504,355285644531;497,666666667;1,34399577579238;"September";"Thursday";16,2;1014;96;15,6;10;14,4;25,2;320;0;8;21;0;1
2016-09-15 22:00:00;621,914375305176;616,5;0,878244169533784;;;;;;;;;;;;;;;
2016-09-15 23:00:00;581,06999206543;541,833333333;7,24146270054515;;;;;;;;;;;;;;;
2016-09-16 00:00:00;478,596313476562;442,5;8,15735897775424;"September";"Friday";15,9;1014,7;95;15,1;16;18;28,8;310;0;8;0;0;0
2016-09-16 01:00:00;408,383628845215;412,5;0,997908158735795;;;;;;;;;;;;;;;
2016-09-16 02:00:00;378,013473510742;371,166666667;1,84467180343135;;;;;;;;;;;;;;;
2016-09-16 03:00:00;375,088836669922;412;8,95902022574712;"September";"Friday";15,2;1015,4;92;13,9;40;21,6;32,4;320;0;8;3;0;0
2016-09-16 04:00:00;361,953256607056;407,166666667;11,1043987048483;;;;;;;;;;;;;;;
2016-09-16 05:00:00;326,839088439941;341,833333333;4,38641976394145;;;;;;;;;;;;;;;
2016-09-16 06:00:00;317,793395996094;328;3,11176951338605;"September";"Friday";15,1;1016,8;92;13,8;15;18;36;320;;8;6;0;0
2016-09-16 07:00:00;379,768547058105;425,666666667;10,7826436042738;;;;;;;;;;;;;;;
2016-09-16 08:00:00;435,815444946289;461,833333333;5,63360989968886;;;;;;;;;;;;;;;
2016-09-16 09:00:00;499,666473388672;499,166666667;0,10012822470882;"September";"Friday";16,4;1019;76;12,2;13;28,8;39,6;350;;6;9;0;0
2016-09-16 10:00:00;514,390553474426;506;1,6582121490961;;;;;;;;;;;;;;;
2016-09-16 11:00:00;535,387722015381;536,666666667;0,238312668003411;;;;;;;;;;;;;;;
2016-09-16 12:00:00;539,816284179688;524,833333333;2,85480168562026;"September";"Friday";16,6;1020,4;68;10,7;16;25,2;46,8;340;0;7;12;0;0
2016-09-16 13:00:00;500,214649200439;564,5;11,3880160849532;;;;;;;;;;;;;;;
2016-09-16 14:00:00;471,448135375977;572,666666667;17,6749472568623;;;;;;;;;;;;;;;
2016-09-16 15:00:00;484,279998779297;520,833333333;7,0182402343155;"September";"Friday";16,7;1021,1;70;11,2;19;28,8;50,4;330;0;8;15;0;0
2016-09-16 16:00:00;457,622774124146;442,166666667;3,49553881427829;;;;;;;;;;;;;;;
2016-09-16 17:00:00;465,924451828003;386,666666667;20,4977030588624;;;;;;;;;;;;;;;
2016-09-16 18:00:00;444,950805664062;447,833333333;0,64366081182128;"September";"Friday";14,5;1022,6;80;11,1;55;18;39,6;330;0;;18;0;1
2016-09-16 19:00:00;484,910091400146;488,166666667;0,667103161526386;;;;;;;;;;;;;;;
2016-09-16 20:00:00;490,885482788086;493,5;0,529790721765767;;;;;;;;;;;;;;;
2016-09-16 21:00:00;491,847778320312;511,333333333;3,81073435711216;"September";"Friday";13,3;1024,3;87;11,2;45;14,4;21,6;330;0;;21;0;1
2016-09-16 22:00:00;616,981468200684;616,5;0,0780970317410533;;;;;;;;;;;;;;;
2016-09-16 23:00:00;658,489715576172;560,5;17,482554072466;;;;;;;;;;;;;;;
2016-09-17 00:00:00;532,503051757812;461,333333333;15,4269620863144;"September";"Saturday";12,2;1024,3;94;11,3;19;7,2;14,4;320;;;0;1;0
2016-09-17 01:00:00;438,132171630859;397,666666667;10,1757346933341;;;;;;;;;;;;;;;
2016-09-17 02:00:00;384,075302124023;363,333333333;5,70879874982821;;;;;;;;;;;;;;;
2016-09-17 03:00:00;374,971252441406;398,666666667;5,94366577564564;"September";"Saturday";12,6;1024,5;95;11,8;19;10,8;18;310;0;;3;1;0
2016-09-17 04:00:00;365,376496315002;398,666666667;8,35037717858773;;;;;;;;;;;;;;;
2016-09-17 05:00:00;307,751342773438;332,166666667;7,35032329961004;;;;;;;;;;;;;;;
2016-09-17 06:00:00;314,384399414062;316;0,51126600820807;"September";"Saturday";12,3;1024,7;96;11,7;18;3,6;18;350;0;8;6;1;0
2016-09-17 07:00:00;361,017051696777;369,166666667;2,20757064655945;;;;;;;;;;;;;;;
2016-09-17 08:00:00;438,359283447266;452,166666667;3,05360484033709;;;;;;;;;;;;;;;
2016-09-17 09:00:00;501,942504882812;515,166666667;2,56696767082088;"September";"Saturday";15,9;1025,3;79;12,3;35;18;28,8;340;0;7;9;1;0
2016-09-17 10:00:00;530,347414016724;510,833333333;3,82004842095981;;;;;;;;;;;;;;;
2016-09-17 11:00:00;525,968399047852;534,833333333;1,65751342196709;;;;;;;;;;;;;;;
2016-09-17 12:00:00;543,399536132812;524,5;3,60334339996425;"September";"Saturday";17,3;1025;67;11,1;25;18;28,8;340;0;7;12;1;0
2016-09-17 13:00:00;502,920429229736;567,333333333;11,3536258701472;;;;;;;;;;;;;;;
2016-09-17 14:00:00;472,258926391602;606,166666667;22,0909112359623;;;;;;;;;;;;;;;
2016-09-17 15:00:00;489,524291992188;556,666666667;12,0615044325938;"September";"Saturday";16,2;1024,1;71;10,9;40;18;32,4;330;0;;15;1;0
2016-09-17 16:00:00;450,422824859619;449;0,316887496574419;;;;;;;;;;;;;;;
2016-09-17 17:00:00;446,899070739746;401,666666667;11,2611794371888;;;;;;;;;;;;;;;
2016-09-17 18:00:00;473,967590332031;454;4,39814765022715;"September";"Saturday";14,5;1024,2;82;11,5;55;7,2;21,6;340;0;;18;1;1
2016-09-17 19:00:00;500,828147888184;489,666666667;2,27940392535929;;;;;;;;;;;;;;;
2016-09-17 20:00:00;492,135137557983;499,833333333;1,54015253918407;;;;;;;;;;;;;;;
2016-09-17 21:00:00;515,407775878906;517,666666667;0,436360100726128;"September";"Saturday";12;1024,4;94;11,1;17;7,2;10,8;310;0;;21;1;1
2016-09-17 22:00:00;660,380218505859;628,666666667;5,04457346323053;;;;;;;;;;;;;;;
2016-09-17 23:00:00;653,624816894531;571,333333333;14,4034101916416;;;;;;;;;;;;;;;
2016-09-18 00:00:00;524,066162109375;473,666666667;10,6402875669964;"September";"Sunday";9,8;1024,2;97;9,3;6;7,2;7,2;310;0;;0;1;0
2016-09-18 01:00:00;444,333915710449;430,833333333;3,1335974570506;;;;;;;;;;;;;;;
2016-09-18 02:00:00;383,375839233398;390,166666667;1,74049400263027;;;;;;;;;;;;;;;
2016-09-18 03:00:00;381,716674804688;418,5;8,78932501680108;"September";"Sunday";10,1;1023,7;98;9,8;0,6;3,6;10,8;300;0;;3;1;0
2016-09-18 04:00:00;376,224600791931;412,666666667;8,83087218296594;;;;;;;;;;;;;;;
2016-09-18 05:00:00;306,976623535156;348;11,7883265703574;;;;;;;;;;;;;;;
2016-09-18 06:00:00;314,241973876953;311,5;0,880248435618981;"September";"Sunday";10,4;1023,4;99;10,2;0,3;3,6;10,8;340;0;;6;1;0
2016-09-18 07:00:00;333,451810836792;359,833333333;7,33159495031934;;;;;;;;;;;;;;;
2016-09-18 08:00:00;406,974899291992;434,333333333;6,29894874313787;;;;;;;;;;;;;;;
2016-09-18 09:00:00;506,687438964844;515;1,61408952138956;"September";"Sunday";15,2;1023,5;79;11,6;18;7,2;18;360;0;;9;1;0
2016-09-18 10:00:00;576,020385742188;553;4,16281839822559;;;;;;;;;;;;;;;
2016-09-18 11:00:00;613,933990478516;582,333333333;5,42655818183177;;;;;;;;;;;;;;;
2016-09-18 12:00:00;543,197875976562;581,333333333;6,55999839847352;"September";"Sunday";18;1023,2;63;10,8;35;10,8;25,2;300;0;7;12;1;0
2016-09-18 13:00:00;504,683238983154;582;13,2846668413824;;;;;;;;;;;;;;;
2016-09-18 14:00:00;460,235549926758;572,166666667;19,5626769717758;;;;;;;;;;;;;;;
2016-09-18 15:00:00;485,634124755859;547,333333333;11,2726934063054;"September";"Sunday";17,7;1023,2;62;10,3;50;10,8;25,2;310;0;8;15;1;0
2016-09-18 16:00:00;462,043003082275;451,333333333;2,37289580855613;;;;;;;;;;;;;;;
2016-09-18 17:00:00;448,720539093018;378,166666667;18,6568195044395;;;;;;;;;;;;;;;
2016-09-18 18:00:00;437,432739257812;400,166666667;9,31263788191123;"September";"Sunday";15,7;1023,5;75;11,3;55;3,6;14,4;350;0;8;18;1;1
2016-09-18 19:00:00;481,218353271484;445,166666667;8,09846947310911;;;;;;;;;;;;;;;
2016-09-18 20:00:00;467,077352523804;453,833333333;2,91825615662434;;;;;;;;;;;;;;;
2016-09-18 21:00:00;475,497436523438;450,5;5,54882053794395;"September";"Sunday";14,2;1023,5;86;11,9;35;0;3,6;0;0;8;21;1;1
2016-09-18 22:00:00;612,268829345703;580,166666667;5,53326561540099;;;;;;;;;;;;;;;
2016-09-18 23:00:00;580,172691345215;527;10,0896947524127;;;;;;;;;;;;;;;
2016-09-19 00:00:00;501,420745849609;453,833333333;10,4856582849749;"September";"Monday";13,3;1023,3;93;12,2;14;3,6;7,2;230;0;8;0;0;0
2016-09-19 01:00:00;437,412155151367;406,166666667;7,69277517053956;;;;;;;;;;;;;;;
2016-09-19 02:00:00;360,45539855957;370,166666667;2,62348530592192;;;;;;;;;;;;;;;
2016-09-19 03:00:00;380,406494140625;391,166666667;2,75078973831253;"September";"Monday";13,6;1023;96;13;22;3,6;3,6;160;0;8;3;0;0
2016-09-19 04:00:00;373,795786857605;402,333333333;7,09301072297067;;;;;;;;;;;;;;;
2016-09-19 05:00:00;290,710754394531;317,5;8,43755767101378;;;;;;;;;;;;;;;
2016-09-19 06:00:00;313,763824462891;304,166666667;3,15522996028934;"September";"Monday";14,4;1022,9;95;13,6;16;7,2;10,8;190;0;8;6;0;0
2016-09-19 07:00:00;366,375389099121;350,333333333;4,5790834727316;;;;;;;;;;;;;;;
2016-09-19 08:00:00;440,218971252441;407,5;8,02919539937212;;;;;;;;;;;;;;;
2016-09-19 09:00:00;498,965942382812;476,166666667;4,7880873046825;"September";"Monday";15,7;1023,1;93;14,6;19;10,8;14,4;180;;8;9;0;0
2016-09-19 10:00:00;532,926918029785;529,166666667;0,710598682730613;;;;;;;;;;;;;;;
2016-09-19 11:00:00;524,069759368896;561,5;6,66611587374951;;;;;;;;;;;;;;;
2016-09-19 12:00:00;526,077941894531;581,833333333;9,5827083537956;"September";"Monday";16,2;1022,8;92;14,9;6;7,2;14,4;230;0;8;12;0;0
2016-09-19 13:00:00;504,76780128479;579,166666667;12,8458472602303;;;;;;;;;;;;;;;
2016-09-19 14:00:00;518,649205684662;567,166666667;8,5543569172453;;;;;;;;;;;;;;;
2016-09-19 15:00:00;513,326782226562;564,5;9,06522901212356;"September";"Monday";17;1022;86;14,6;40;14,4;21,6;340;0;8;15;0;0
2016-09-19 16:00:00;458,090023040771;485,833333333;5,71045837919332;;;;;;;;;;;;;;;
2016-09-19 17:00:00;387,467758178711;393;1,40769511992088;;;;;;;;;;;;;;;
2016-09-19 18:00:00;459,555328369141;457,5;0,449252102544399;"September";"Monday";15,2;1021,9;91;13,7;18;14,4;21,6;340;0;8;18;0;1
2016-09-19 19:00:00;505,40454864502;499,666666667;1,14834195690774;;;;;;;;;;;;;;;
2016-09-19 20:00:00;491,665428161621;473,666666667;3,79987927402007;;;;;;;;;;;;;;;
2016-09-19 21:00:00;488,798431396484;470;3,99966625457114;"September";"Monday";14,3;1021,8;96;13,7;7;10,8;21,6;310;0;8;21;0;1
2016-09-19 22:00:00;606,316993713379;583,166666667;3,96976171129449;;;;;;;;;;;;;;;
2016-09-19 23:00:00;610,892097473145;527,833333333;15,7357936482849;;;;;;;;;;;;;;;
2016-09-20 00:00:00;459,310302734375;440,166666667;4,34917896267183;"September";"Tuesday";14,2;1021;97;13,7;4,8;0;7,2;0;0;8;0;0;0
2016-09-20 01:00:00;391,112915039062;404,333333333;3,26968300757174;;;;;;;;;;;;;;;
2016-09-20 02:00:00;325,275741577148;379,666666667;14,3259679779993;;;;;;;;;;;;;;;
2016-09-20 03:00:00;374,860473632812;399,833333333;6,24581734894747;"September";"Tuesday";13,3;1020,1;98;13;0,3;3,6;3,6;60;0;7;3;0;0
2016-09-20 04:00:00;375,572969675064;412,166666667;8,87837371417056;;;;;;;;;;;;;;;
2016-09-20 05:00:00;292,048431396484;330;11,5004753343987;;;;;;;;;;;;;;;
2016-09-20 06:00:00;319,607482910156;313,833333333;1,83987771975435;"September";"Tuesday";13,5;1020;99;13,3;7;7,2;10,8;40;0;8;6;0;0
2016-09-20 07:00:00;382,23929977417;372,833333333;2,52283409240367;;;;;;;;;;;;;;;
2016-09-20 08:00:00;455,609954833984;469,833333333;3,02732426371601;;;;;;;;;;;;;;;
2016-09-20 09:00:00;490,461608886719;491,666666667;0,245096497684159;"September";"Tuesday";14,5;1020,5;97;14;4,9;7,2;14,4;10;0;8;9;0;0
2016-09-20 10:00:00;511,843416213989;533,5;4,05934091584081;;;;;;;;;;;;;;;
2016-09-20 11:00:00;540,631397247314;541,833333333;0,221827638084219;;;;;;;;;;;;;;;
2016-09-20 12:00:00;519,090026855469;589,833333333;11,9937790015662;"September";"Tuesday";17;1019,9;86;14,6;50;7,2;14,4;10;0;8;12;0;0
2016-09-20 13:00:00;512,514768600464;614,166666667;16,5511910013266;;;;;;;;;;;;;;;
2016-09-20 14:00:00;512,294949531555;608,666666667;15,8332503508311;;;;;;;;;;;;;;;
2016-09-20 15:00:00;486,813140869141;568;14,2934611145879;"September";"Tuesday";18,1;1018,5;81;14,8;19;14,4;25,2;360;0;7;15;0;0
2016-09-20 16:00:00;407,560218811035;482,5;15,5315608681792;;;;;;;;;;;;;;;
2016-09-20 17:00:00;347,265838623047;412,333333333;15,7803139959594;;;;;;;;;;;;;;;
2016-09-20 18:00:00;467,229400634766;445,333333333;4,91678157974147;"September";"Tuesday";15,6;1018,6;91;14,1;12;14,4;21,6;350;0;8;18;0;1
2016-09-20 19:00:00;514,338115692139;494,5;4,01175241499265;;;;;;;;;;;;;;;
2016-09-20 20:00:00;493,35435295105;507,666666667;2,81923448114396;;;;;;;;;;;;;;;
2016-09-20 21:00:00;488,865875244141;500,666666667;2,3570155971075;"September";"Tuesday";14,3;1018,9;98;14;1,6;7,2;10,8;350;;8;21;0;1
2016-09-20 22:00:00;599,214782714844;601;0,297041145616681;;;;;;;;;;;;;;;
2016-09-20 23:00:00;532,020626068115;536,333333333;0,804109496249998;;;;;;;;;;;;;;;
