"datetime";"puissance";"reality";"mape";"Month";"rose_vt";"Weekday";"temp";"pression";"hr";"p_rosee";"visi";"vt_raf";"rr_3h";"nebul";"Hour";"f_evening";"f_ferie"
2016-09-13 15:00:00;527,977905273438;563;6,22062073295959;"September";"North";"Tuesday";18,8;1005,1;93;17,6;5;29,632;0;8;15;0;0
2016-09-13 16:00:00;447,979682922363;496,5;9,77247071050085;;;;;;;;;;;;;;
2016-09-13 17:00:00;375,305084228516;449,333333333;16,4751296226719;;;;;;;;;;;;;;
2016-09-13 18:00:00;490,719360351562;505,833333333;2,98793535053327;"September";"North";"Tuesday";17,2;1005,1;98;16,9;3,9;24,076;2;8;18;0;0
2016-09-13 19:00:00;539,976211547852;561,166666667;3,77614287837288;;;;;;;;;;;;;;
2016-09-13 20:00:00;537,283462524414;542,333333333;0,931137825800077;;;;;;;;;;;;;;
2016-09-13 21:00:00;510,698760986328;512,833333333;0,416231201821249;"September";"East";"Tuesday";17,2;1005,1;98;16,9;3;25,928;0;8;21;1;0
2016-09-13 22:00:00;614,575729370117;624,333333333;1,56288371001944;;;;;;;;;;;;;;
2016-09-13 23:00:00;534,109685897827;550,666666667;3,00671563604651;;;;;;;;;;;;;;
2016-09-14 00:00:00;474,176849365234;467,166666667;1,50057424863989;"September";"East";"Wednesday";17,5;1005,5;97;17;9;24,076;3;8;0;0;0
2016-09-14 01:00:00;412,223194122314;405,833333333;1,57450368525332;;;;;;;;;;;;;;
2016-09-14 02:00:00;373,011795043945;362,5;2,89980552936422;;;;;;;;;;;;;;
2016-09-14 03:00:00;383,503540039062;396,666666667;3,31843528435121;"September";"East";"Wednesday";16,2;1004;97;15,7;2,9;12,964;0;;3;0;0
2016-09-14 04:00:00;367,979307174683;407,833333333;9,77213555170003;;;;;;;;;;;;;;
2016-09-14 05:00:00;308,256439208984;330,833333333;6,82425011305945;;;;;;;;;;;;;;
2016-09-14 06:00:00;316,744659423828;317,166666667;0,133055357804975;"September";"East";"Wednesday";15,5;1004,6;94;14,5;45;36;0;7;6;0;0
2016-09-14 07:00:00;369,061645507812;384,833333333;4,09831645522767;;;;;;;;;;;;;;
2016-09-14 08:00:00;450,190124511719;458,833333333;1,88373603079277;;;;;;;;;;;;;;
2016-09-14 09:00:00;507,48583984375;478,333333333;6,09460066427254;"September";"East";"Wednesday";18;1005,9;82;14,9;29;46,8;0;;9;0;0
2016-09-14 10:00:00;525,238475799561;504;4,2139832935636;;;;;;;;;;;;;;
2016-09-14 11:00:00;505,243416309357;492,333333333;2,62222403040598;;;;;;;;;;;;;;
2016-09-14 12:00:00;556,667175292969;519,5;7,15441295341073;"September";"South";"Wednesday";20,2;1007,2;65;13,4;7;54;0;7;12;0;0
2016-09-14 13:00:00;556,491504132748;543,333333333;2,4217492269489;;;;;;;;;;;;;;
2016-09-14 14:00:00;564,260200977325;573;1,5252703355453;;;;;;;;;;;;;;
2016-09-14 15:00:00;472,946105957031;539;12,2548968539831;"September";"South";"Wednesday";20,4;1007,9;62;12,9;28;46,8;0;;15;0;0
2016-09-14 16:00:00;400,391716003418;438,833333333;8,7599583736296;;;;;;;;;;;;;;
2016-09-14 17:00:00;354,082542419434;380,5;6,94282722222507;;;;;;;;;;;;;;
2016-09-14 18:00:00;465,174743652344;426;9,1959492141652;"September";"East";"Wednesday";18,6;1009,3;63;11,4;45;43,2;0;;18;0;0
2016-09-14 19:00:00;511,372611999512;480,5;6,42510135265592;;;;;;;;;;;;;;
2016-09-14 20:00:00;503,910633087158;471,833333333;6,79843866213653;;;;;;;;;;;;;;
2016-09-14 21:00:00;517,81494140625;477,166666667;8,51867441269052;"September";"East";"Wednesday";13,8;1010,5;89;12;60;10,8;0;;21;1;0
2016-09-14 22:00:00;650,946029663086;607,166666667;7,21043584892593;;;;;;;;;;;;;;
2016-09-14 23:00:00;657,45393371582;539,833333333;21,788317452836;;;;;;;;;;;;;;
2016-09-15 00:00:00;535,733459472656;445,333333333;20,2994295223931;"September";"North";"Thursday";13,4;1010,4;89;11,6;60;14,4;0;8;0;0;0
2016-09-15 01:00:00;479,091800689697;393,166666667;21,8546334945208;;;;;;;;;;;;;;
2016-09-15 02:00:00;399,156616210938;358,5;11,3407576599547;;;;;;;;;;;;;;
2016-09-15 03:00:00;378,341430664062;383,833333333;1,43080399538226;"September";"East";"Thursday";12,7;1009,8;94;11,8;60;7,2;0;7;3;0;0
2016-09-15 04:00:00;366,633086204529;396,833333333;7,61031007017973;;;;;;;;;;;;;;
2016-09-15 05:00:00;311,315826416016;316;1,48233341265328;;;;;;;;;;;;;;
2016-09-15 06:00:00;338,338134765625;294;15,0809982196003;"September";"North";"Thursday";13,8;1010,1;92;12,5;4,6;18;;8;6;0;0
2016-09-15 07:00:00;389,531372070312;357,5;8,95982435533217;;;;;;;;;;;;;;
2016-09-15 08:00:00;478,328521728516;459,166666667;4,17318077564465;;;;;;;;;;;;;;
2016-09-15 09:00:00;538,876098632812;503;7,13242517550944;"September";"West";"Thursday";14;1010,8;98;13,7;2,9;14,4;9;8;9;0;0
2016-09-15 10:00:00;559,910907745361;525,5;6,54822221605354;;;;;;;;;;;;;;
2016-09-15 11:00:00;579,238254547119;593,666666667;2,43038946432443;;;;;;;;;;;;;;
2016-09-15 12:00:00;582,981628417969;615,5;5,28324477368501;"September";"West";"Thursday";16,4;1011,4;95;15,6;2;14,4;0;8;12;0;0
2016-09-15 13:00:00;566,492208480835;625,333333333;9,40956154352821;;;;;;;;;;;;;;
2016-09-15 14:00:00;546,761821746826;658;16,9054982147681;;;;;;;;;;;;;;
2016-09-15 15:00:00;558,142456054688;613;8,94902837607055;"September";"North";"Thursday";16,3;1011,8;91;14,8;19;18;1;8;15;0;0
2016-09-15 16:00:00;496,409236907959;522;4,90244503678947;;;;;;;;;;;;;;
2016-09-15 17:00:00;440,122093200684;437;0,71443780336009;;;;;;;;;;;;;;
2016-09-15 18:00:00;517,34765625;485,5;6,55976441812564;"September";"West";"Thursday";16,1;1012,8;94;15,1;18;10,8;;8;18;0;0
2016-09-15 19:00:00;567,034317016602;557;1,80149318071841;;;;;;;;;;;;;;
2016-09-15 20:00:00;552,899578094482;533,166666667;3,70107747936295;;;;;;;;;;;;;;
2016-09-15 21:00:00;505,791107177734;497,666666667;1,63250646565216;"September";"North";"Thursday";16,2;1014;96;15,6;10;25,2;0;8;21;1;0
2016-09-15 22:00:00;631,007881164551;616,5;2,35326539570978;;;;;;;;;;;;;;
2016-09-15 23:00:00;553,064167022705;541,833333333;2,0727469128967;;;;;;;;;;;;;;
2016-09-16 00:00:00;470,491333007812;442,5;6,32572497351695;"September";"West";"Friday";15,9;1014,7;95;15,1;16;28,8;0;8;0;0;0
2016-09-16 01:00:00;411,426414489746;412,5;0,260263154000947;;;;;;;;;;;;;;
2016-09-16 02:00:00;352,546188354492;371,166666667;5,01674314660739;;;;;;;;;;;;;;
2016-09-16 03:00:00;406,596740722656;412;1,31147069838441;"September";"North";"Friday";15,2;1015,4;92;13,9;40;32,4;0;8;3;0;0
2016-09-16 04:00:00;394,765542030334;407,166666667;3,04571214981303;;;;;;;;;;;;;;
2016-09-16 05:00:00;332,800201416016;341,833333333;2,64255443695558;;;;;;;;;;;;;;
2016-09-16 06:00:00;327,559631347656;328;0,134258735470655;"September";"North";"Friday";15,1;1016,8;92;13,8;15;36;;8;6;0;0
2016-09-16 07:00:00;390,489330291748;425,666666667;8,26405709676376;;;;;;;;;;;;;;
2016-09-16 08:00:00;451,989906311035;461,833333333;2,13138080591236;;;;;;;;;;;;;;
2016-09-16 09:00:00;509,728942871094;499,166666667;2,11598187727947;"September";"North";"Friday";16,4;1019;76;12,2;13;39,6;;6;9;0;0
2016-09-16 10:00:00;529,48268699646;506;4,64084723250197;;;;;;;;;;;;;;
2016-09-16 11:00:00;543,437145233154;536,666666667;1,26157985704661;;;;;;;;;;;;;;
2016-09-16 12:00:00;541,899719238281;524,833333333;3,25177248116076;"September";"North";"Friday";16,6;1020,4;68;10,7;16;46,8;0;7;12;0;0
2016-09-16 13:00:00;501,187873840332;564,5;11,2156113657516;;;;;;;;;;;;;;
2016-09-16 14:00:00;472,527931213379;572,666666667;17,4863915227409;;;;;;;;;;;;;;
2016-09-16 15:00:00;485,839660644531;520,833333333;6,71878515619031;"September";"North";"Friday";16,7;1021,1;70;11,2;19;50,4;0;8;15;0;0
2016-09-16 16:00:00;457,303380966187;442,166666667;3,42330515624013;;;;;;;;;;;;;;
2016-09-16 17:00:00;477,761253356934;386,666666667;23,5589448335832;;;;;;;;;;;;;;
2016-09-16 18:00:00;447,679504394531;447,833333333;0,0343495954898807;"September";"North";"Friday";14,5;1022,6;80;11,1;55;39,6;0;;18;0;0
2016-09-16 19:00:00;488,067867279053;488,166666667;0,0202388640383503;;;;;;;;;;;;;;
2016-09-16 20:00:00;496,223430633545;493,5;0,551860310748718;;;;;;;;;;;;;;
2016-09-16 21:00:00;511,994689941406;511,333333333;0,129339623547594;"September";"North";"Friday";13,3;1024,3;87;11,2;45;21,6;0;;21;1;0
2016-09-16 22:00:00;637,635429382324;616,5;3,42829349267222;;;;;;;;;;;;;;
2016-09-16 23:00:00;663,417572021484;560,5;18,3617434471872;;;;;;;;;;;;;;
2016-09-17 00:00:00;551,681579589844;461,333333333;19,5841574256306;"September";"North";"Saturday";12,2;1024,3;94;11,3;19;14,4;;;0;0;0
2016-09-17 01:00:00;456,722984313965;397,666666667;14,8507085449075;;;;;;;;;;;;;;
2016-09-17 02:00:00;403,793701171875;363,333333333;11,1358810565813;;;;;;;;;;;;;;
2016-09-17 03:00:00;388,342987060547;398,666666667;2,58955174074695;"September";"West";"Saturday";12,6;1024,5;95;11,8;19;18;0;;3;0;0
2016-09-17 04:00:00;380,136589050293;398,666666667;4,64801278010658;;;;;;;;;;;;;;
2016-09-17 05:00:00;333,985347747803;332,166666667;0,547520646503029;;;;;;;;;;;;;;
2016-09-17 06:00:00;321,982391357422;316;1,89316182196895;"September";"North";"Saturday";12,3;1024,7;96;11,7;18;18;0;8;6;0;0
2016-09-17 07:00:00;370,360294342041;369,166666667;0,323330295721875;;;;;;;;;;;;;;
2016-09-17 08:00:00;443,908653259277;452,166666667;1,8263206946664;;;;;;;;;;;;;;
2016-09-17 09:00:00;504,846405029297;515,166666667;2,00328598596501;"September";"North";"Saturday";15,9;1025,3;79;12,3;35;28,8;0;7;9;0;0
2016-09-17 10:00:00;533,461660385132;510,833333333;4,42968881934355;;;;;;;;;;;;;;
2016-09-17 11:00:00;551,661804199219;534,833333333;3,14648878770256;;;;;;;;;;;;;;
2016-09-17 12:00:00;546,558044433594;524,5;4,20553754691969;"September";"North";"Saturday";17,3;1025;67;11,1;25;28,8;0;7;12;0;0
2016-09-17 13:00:00;507,875621795654;567,333333333;10,4802076740389;;;;;;;;;;;;;;
2016-09-17 14:00:00;498,792953491211;606,166666667;17,7135628005054;;;;;;;;;;;;;;
2016-09-17 15:00:00;492,75732421875;556,666666667;11,4807202002775;"September";"North";"Saturday";16,2;1024,1;71;10,9;40;32,4;0;;15;0;0
2016-09-17 16:00:00;462,82341003418;449;3,07871047531842;;;;;;;;;;;;;;
2016-09-17 17:00:00;443,643665313721;401,666666667;10,4507050572662;;;;;;;;;;;;;;
2016-09-17 18:00:00;463,731323242188;454;2,1434632692043;"September";"North";"Saturday";14,5;1024,2;82;11,5;55;21,6;0;;18;0;0
2016-09-17 19:00:00;506,301555633545;489,666666667;3,39718631038807;;;;;;;;;;;;;;
2016-09-17 20:00:00;499,995063781738;499,833333333;0,0323568753728052;;;;;;;;;;;;;;
2016-09-17 21:00:00;526,033081054688;517,666666667;1,6161779242142;"September";"West";"Saturday";12;1024,4;94;11,1;17;10,8;0;;21;1;0
2016-09-17 22:00:00;666,124114990234;628,666666667;5,9582367428231;;;;;;;;;;;;;;
2016-09-17 23:00:00;674,07536315918;571,333333333;17,9828523616522;;;;;;;;;;;;;;
2016-09-18 00:00:00;520,0517578125;473,666666667;9,79277082592555;"September";"West";"Sunday";9,8;1024,2;97;9,3;6;7,2;0;;0;0;0
2016-09-18 01:00:00;441,140029907227;430,833333333;2,3922699978881;;;;;;;;;;;;;;
2016-09-18 02:00:00;361,421890258789;390,166666667;7,36730706745486;;;;;;;;;;;;;;
2016-09-18 03:00:00;378,902008056641;418,5;9,46188576902255;"September";"West";"Sunday";10,1;1023,7;98;9,8;0,6;10,8;0;;3;0;0
2016-09-18 04:00:00;371,741631507874;412,666666667;9,91721368960261;;;;;;;;;;;;;;
2016-09-18 05:00:00;301,170883178711;348;13,4566427647382;;;;;;;;;;;;;;
2016-09-18 06:00:00;315,199432373047;311,5;1,18761873934089;"September";"North";"Sunday";10,4;1023,4;99;10,2;0,3;10,8;0;;6;0;0
2016-09-18 07:00:00;341,308322906494;359,833333333;5,14821966461964;;;;;;;;;;;;;;
2016-09-18 08:00:00;405,232437133789;434,333333333;6,70012959306982;;;;;;;;;;;;;;
2016-09-18 09:00:00;510,538299560547;515;0,866349599893811;"September";"North";"Sunday";15,2;1023,5;79;11,6;18;18;0;;9;0;0
2016-09-18 10:00:00;587,106719970703;553;6,16758046486494;;;;;;;;;;;;;;
2016-09-18 11:00:00;591,157943725586;582,333333333;1,51538816129209;;;;;;;;;;;;;;
2016-09-18 12:00:00;551,160583496094;581,333333333;5,19026660038823;"September";"West";"Sunday";18;1023,2;63;10,8;35;25,2;0;7;12;0;0
2016-09-18 13:00:00;486,118110656738;582;16,4745514335501;;;;;;;;;;;;;;
2016-09-18 14:00:00;472,304130554199;572,166666667;17,4533998449302;;;;;;;;;;;;;;
2016-09-18 15:00:00;489,290649414062;547,333333333;10,6046316538927;"September";"West";"Sunday";17,7;1023,2;62;10,3;50;25,2;0;8;15;0;0
2016-09-18 16:00:00;456,676219940186;451,333333333;1,18380057766385;;;;;;;;;;;;;;
2016-09-18 17:00:00;467,767805099487;378,166666667;23,693557981245;;;;;;;;;;;;;;
2016-09-18 18:00:00;450,095764160156;400,166666667;12,4770755917821;"September";"North";"Sunday";15,7;1023,5;75;11,3;55;14,4;0;8;18;0;0
2016-09-18 19:00:00;499,316024780273;445,166666667;12,1638393365555;;;;;;;;;;;;;;
2016-09-18 20:00:00;482,638095855713;453,833333333;6,34699137482205;;;;;;;;;;;;;;
2016-09-18 21:00:00;487,003234863281;450,5;8,10282682869728;"September";"North";"Sunday";14,2;1023,5;86;11,9;35;3,6;0;8;21;1;0
2016-09-18 22:00:00;626,041015625;580,166666667;7,90709835529567;;;;;;;;;;;;;;
2016-09-18 23:00:00;633,339141845703;527;20,1782052838146;;;;;;;;;;;;;;
2016-09-19 00:00:00;522,470275878906;453,833333333;15,1238213468873;"September";"West";"Monday";13,3;1023,3;93;12,2;14;7,2;0;8;0;0;0
2016-09-19 01:00:00;449,896675109863;406,166666667;10,7665182871138;;;;;;;;;;;;;;
2016-09-19 02:00:00;383,752624511719;370,166666667;3,67022724305443;;;;;;;;;;;;;;
2016-09-19 03:00:00;376,862548828125;391,166666667;3,65678342706336;"September";"South";"Monday";13,6;1023;96;13;22;3,6;0;8;3;0;0
2016-09-19 04:00:00;367,363596916199;402,333333333;8,69173233226932;;;;;;;;;;;;;;
2016-09-19 05:00:00;310,088607788086;317,5;2,33429675965797;;;;;;;;;;;;;;
2016-09-19 06:00:00;307,349914550781;304,166666667;1,04654724946118;"September";"South";"Monday";14,4;1022,9;95;13,6;16;10,8;0;8;6;0;0
2016-09-19 07:00:00;358,58996963501;350,333333333;2,35679437735993;;;;;;;;;;;;;;
2016-09-19 08:00:00;438,724868774414;407,5;7,66254448451879;;;;;;;;;;;;;;
2016-09-19 09:00:00;499,509094238281;476,166666667;4,90215489771051;"September";"South";"Monday";15,7;1023,1;93;14,6;19;14,4;;8;9;0;0
2016-09-19 10:00:00;533,857772827148;529,166666667;0,886508250736162;;;;;;;;;;;;;;
2016-09-19 11:00:00;525,637861251831;561,5;6,38684572540854;;;;;;;;;;;;;;
2016-09-19 12:00:00;534,081848144531;581,833333333;8,20707279091884;"September";"West";"Monday";16,2;1022,8;92;14,9;6;14,4;0;8;12;0;0
2016-09-19 13:00:00;516,553056716919;579,166666667;10,8109830129574;;;;;;;;;;;;;;
2016-09-19 14:00:00;510,933856964111;567,166666667;9,91468875160545;;;;;;;;;;;;;;
2016-09-19 15:00:00;508,750335693359;564,5;9,87593698966176;"September";"North";"Monday";17;1022;86;14,6;40;21,6;0;8;15;0;0
2016-09-19 16:00:00;449,120014190674;485,833333333;7,55677237921469;;;;;;;;;;;;;;
2016-09-19 17:00:00;369,61311340332;393;5,95086172943503;;;;;;;;;;;;;;
2016-09-19 18:00:00;450,195373535156;457,5;1,59663966444672;"September";"North";"Monday";15,2;1021,9;91;13,7;18;21,6;0;8;18;0;0
2016-09-19 19:00:00;488,135593414307;499,666666667;2,3077531526389;;;;;;;;;;;;;;
2016-09-19 20:00:00;490,867275238037;473,666666667;3,63137408255278;;;;;;;;;;;;;;
2016-09-19 21:00:00;502,010803222656;470;6,81080919630984;"September";"West";"Monday";14,3;1021,8;96;13,7;7;21,6;0;8;21;1;0
2016-09-19 22:00:00;623,875526428223;583,166666667;6,9806561465332;;;;;;;;;;;;;;
2016-09-19 23:00:00;624,125556945801;527,833333333;18,2429220611673;;;;;;;;;;;;;;
2016-09-20 00:00:00;457,646392822266;440,166666667;3,97116080770595;"September";"North";"Tuesday";14,2;1021;97;13,7;4,8;7,2;0;8;0;0;0
2016-09-20 01:00:00;393,552619934082;404,333333333;2,6662935034444;;;;;;;;;;;;;;
2016-09-20 02:00:00;352,740097045898;379,666666667;7,0921605674481;;;;;;;;;;;;;;
2016-09-20 03:00:00;378,239410400391;399,833333333;5,40073103775591;"September";"East";"Tuesday";13,3;1020,1;98;13;0,3;3,6;0;7;3;0;0
2016-09-20 04:00:00;374,754365205765;412,166666667;9,07698377546421;;;;;;;;;;;;;;
2016-09-20 05:00:00;313,564666748047;330;4,98040401574337;;;;;;;;;;;;;;
2016-09-20 06:00:00;310,938903808594;313,833333333;0,922282376338601;"September";"North";"Tuesday";13,5;1020;99;13,3;7;10,8;0;8;6;0;0
2016-09-20 07:00:00;370,310905456543;372,833333333;0,676556426408387;;;;;;;;;;;;;;
2016-09-20 08:00:00;447,563095092773;469,833333333;4,7400294232513;;;;;;;;;;;;;;
2016-09-20 09:00:00;500,840240478516;491,666666667;1,86581162267988;"September";"North";"Tuesday";14,5;1020,5;97;14;4,9;14,4;0;8;9;0;0
2016-09-20 10:00:00;515,473251342773;533,5;3,37895944840235;;;;;;;;;;;;;;
2016-09-20 11:00:00;531,679304122925;541,833333333;1,87401338851089;;;;;;;;;;;;;;
2016-09-20 12:00:00;531,21240234375;589,833333333;9,93855851753882;"September";"North";"Tuesday";17;1019,9;86;14,6;50;14,4;0;8;12;0;0
2016-09-20 13:00:00;522,991882324219;614,166666667;14,8452837464421;;;;;;;;;;;;;;
2016-09-20 14:00:00;512,773838043213;608,666666667;15,7545720630451;;;;;;;;;;;;;;
2016-09-20 15:00:00;497,159332275391;568;12,471948543065;"September";"North";"Tuesday";18,1;1018,5;81;14,8;19;25,2;0;7;15;0;0
2016-09-20 16:00:00;416,481132507324;482,5;13,6826668378603;;;;;;;;;;;;;;
2016-09-20 17:00:00;365,817245483398;412,333333333;11,2811854122003;;;;;;;;;;;;;;
2016-09-20 18:00:00;460,779571533203;445,333333333;3,46846666172486;"September";"North";"Tuesday";15,6;1018,6;91;14,1;12;21,6;0;8;18;0;0
2016-09-20 19:00:00;503,406227111816;494,5;1,80105704991232;;;;;;;;;;;;;;
2016-09-20 20:00:00;500,550987243652;507,666666667;1,40164400985089;;;;;;;;;;;;;;
2016-09-20 21:00:00;521,927062988281;500,666666667;4,24641737442086;"September";"North";"Tuesday";14,3;1018,9;98;14;1,6;10,8;;8;21;1;0
2016-09-20 22:00:00;661,475463867188;601;10,0624731892159;;;;;;;;;;;;;;
2016-09-20 23:00:00;571,54174041748;536,333333333;6,56465017113157;;;;;;;;;;;;;;
