"datetime";"puissance";"reality";"mape";"Month";"rose_vt";"Weekday";"f_season";"temp";"pression";"hr";"p_rosee";"visi";"vt_moy";"rr_3h";"nebul";"Hour";"f_weekend"
2016-09-13 17:00:00;411,971740722656;449,333333333;8,31489449785715;;;;;;;;;;;;;;
2016-09-13 18:00:00;499,055450439453;505,833333333;1,33994389987835;"September";"North";"Tuesday";"summer";17,2;1005,1;98;16,9;3,9;9,26;2;8;18;FALSE
2016-09-13 19:00:00;557,293663024902;561,166666667;0,690169939191324;;;;;;;;;;;;;;
2016-09-13 20:00:00;535,282550811768;542,333333333;1,30008282505903;;;;;;;;;;;;;;
2016-09-13 21:00:00;531,145812988281;512,833333333;3,57084426167561;"September";"East";"Tuesday";"summer";17,2;1005,1;98;16,9;3;12,964;0;8;21;FALSE
2016-09-13 22:00:00;648,626708984375;624,333333333;3,89109060086299;;;;;;;;;;;;;;
2016-09-13 23:00:00;595,741333007812;550,666666667;8,18547209578425;;;;;;;;;;;;;;
2016-09-14 00:00:00;483,938232421875;467,166666667;3,59006045412694;"September";"East";"Wednesday";"summer";17,5;1005,5;97;17;9;12,964;3;8;0;FALSE
2016-09-14 01:00:00;425,613254547119;405,833333333;4,87390255789784;;;;;;;;;;;;;;
2016-09-14 02:00:00;389,389930725098;362,5;7,41791192416487;;;;;;;;;;;;;;
2016-09-14 03:00:00;382,830017089844;396,666666667;3,48823098583478;"September";"East";"Wednesday";"summer";16,2;1004;97;15,7;2,9;7,408;0;;3;FALSE
2016-09-14 04:00:00;371,699820518494;407,833333333;8,85987236972682;;;;;;;;;;;;;;
2016-09-14 05:00:00;322,27124786377;330,833333333;2,58803591009745;;;;;;;;;;;;;;
2016-09-14 06:00:00;313,696228027344;317,166666667;1,09420030677434;"September";"East";"Wednesday";"summer";15,5;1004,6;94;14,5;45;18;0;7;6;FALSE
2016-09-14 07:00:00;371,299095153809;384,833333333;3,5169090114863;;;;;;;;;;;;;;
2016-09-14 08:00:00;453,752334594727;458,833333333;1,10737349907965;;;;;;;;;;;;;;
2016-09-14 09:00:00;483,2919921875;478,333333333;1,03665341905996;"September";"East";"Wednesday";"summer";18;1005,9;82;14,9;29;28,8;0;;9;FALSE
2016-09-14 10:00:00;496,773699760437;504;1,43378973007202;;;;;;;;;;;;;;
2016-09-14 11:00:00;476,776680469513;492,333333333;3,15978054099477;;;;;;;;;;;;;;
2016-09-14 12:00:00;557,264831542969;519,5;7,26945746736646;"September";"South";"Wednesday";"summer";20,2;1007,2;65;13,4;7;32,4;0;7;12;FALSE
2016-09-14 13:00:00;553,46400976181;543,333333333;1,8645416740153;;;;;;;;;;;;;;
2016-09-14 14:00:00;563,706161975861;573;1,62196126075731;;;;;;;;;;;;;;
2016-09-14 15:00:00;512,1572265625;539;4,98010638914657;"September";"South";"Wednesday";"summer";20,4;1007,9;62;12,9;28;25,2;0;;15;FALSE
2016-09-14 16:00:00;454,299747467041;438,833333333;3,52443922538233;;;;;;;;;;;;;;
2016-09-14 17:00:00;446,007766723633;380,5;17,2162330416906;;;;;;;;;;;;;;
2016-09-14 18:00:00;453,122161865234;426;6,36670466320056;"September";"East";"Wednesday";"summer";18,6;1009,3;63;11,4;45;25,2;0;;18;FALSE
2016-09-14 19:00:00;507,328121185303;480,5;5,58337589704531;;;;;;;;;;;;;;
2016-09-14 20:00:00;482,191354751587;471,833333333;2,19527122965615;;;;;;;;;;;;;;
2016-09-14 21:00:00;504,257354736328;477,166666667;5,67740581263902;"September";"East";"Wednesday";"summer";13,8;1010,5;89;12;60;3,6;0;;21;FALSE
2016-09-14 22:00:00;635,667709350586;607,166666667;4,69410530061548;;;;;;;;;;;;;;
2016-09-14 23:00:00;619,00798034668;539,833333333;14,6664983662356;;;;;;;;;;;;;;
2016-09-15 00:00:00;525,597412109375;445,333333333;18,0233709827324;"September";"North";"Thursday";"summer";13,4;1010,4;89;11,6;60;10,8;0;8;0;FALSE
2016-09-15 01:00:00;461,15950012207;393,166666667;17,2936414044119;;;;;;;;;;;;;;
2016-09-15 02:00:00;398,593063354492;358,5;11,1835602104581;;;;;;;;;;;;;;
2016-09-15 03:00:00;380,824523925781;383,833333333;0,783884344043773;"September";"East";"Thursday";"summer";12,7;1009,8;94;11,8;60;7,2;0;7;3;FALSE
2016-09-15 04:00:00;365,58261013031;396,833333333;7,87502474658954;;;;;;;;;;;;;;
2016-09-15 05:00:00;311,764167785645;316;1,34045323239097;;;;;;;;;;;;;;
2016-09-15 06:00:00;316,414733886719;294;7,62405914514243;"September";"North";"Thursday";"summer";13,8;1010,1;92;12,5;4,6;7,2;;8;6;FALSE
2016-09-15 07:00:00;369,213008880615;357,5;3,27636612045181;;;;;;;;;;;;;;
2016-09-15 08:00:00;461,139709472656;459,166666667;0,429700792520102;;;;;;;;;;;;;;
2016-09-15 09:00:00;548,193054199219;503;8,98470262409915;"September";"West";"Thursday";"summer";14;1010,8;98;13,7;2,9;7,2;9;8;9;FALSE
2016-09-15 10:00:00;568,961227416992;525,5;8,27045241046474;;;;;;;;;;;;;;
2016-09-15 11:00:00;598,79305267334;593,666666667;0,863512522123022;;;;;;;;;;;;;;
2016-09-15 12:00:00;595,959167480469;615,5;3,17479001129671;"September";"West";"Thursday";"summer";16,4;1011,4;95;15,6;2;10,8;0;8;12;FALSE
2016-09-15 13:00:00;592,443058490753;625,333333333;5,25963883405081;;;;;;;;;;;;;;
2016-09-15 14:00:00;564,048711776733;658;14,2783112801317;;;;;;;;;;;;;;
2016-09-15 15:00:00;549,446899414062;613;10,3675531135298;"September";"North";"Thursday";"summer";16,3;1011,8;91;14,8;19;10,8;1;8;15;FALSE
2016-09-15 16:00:00;507,929256439209;522;2,69554474344655;;;;;;;;;;;;;;
2016-09-15 17:00:00;463,957893371582;437;6,16885431843982;;;;;;;;;;;;;;
2016-09-15 18:00:00;491,146789550781;485,5;1,16308744609295;"September";"West";"Thursday";"summer";16,1;1012,8;94;15,1;18;7,2;;8;18;FALSE
2016-09-15 19:00:00;540,356952667236;557;2,98797977248899;;;;;;;;;;;;;;
2016-09-15 20:00:00;525,160121917725;533,166666667;1,50169642061963;;;;;;;;;;;;;;
2016-09-15 21:00:00;527,267028808594;497,666666667;5,94782896347768;"September";"North";"Thursday";"summer";16,2;1014;96;15,6;10;14,4;0;8;21;FALSE
2016-09-15 22:00:00;646,566352844238;616,5;4,87694287822194;;;;;;;;;;;;;;
2016-09-15 23:00:00;602,031181335449;541,833333333;11,1100303911079;;;;;;;;;;;;;;
2016-09-16 00:00:00;470,190521240234;442,5;6,25774491304732;"September";"West";"Friday";"summer";15,9;1014,7;95;15,1;16;18;0;8;0;FALSE
2016-09-16 01:00:00;401,178405761719;412,5;2,74462890625;;;;;;;;;;;;;;
2016-09-16 02:00:00;358,133377075195;371,166666667;3,51143859680099;;;;;;;;;;;;;;
2016-09-16 03:00:00;379,228332519531;412;7,95428822341474;"September";"North";"Friday";"summer";15,2;1015,4;92;13,9;40;21,6;0;8;3;FALSE
2016-09-16 04:00:00;371,218789100647;407,166666667;8,82878695857313;;;;;;;;;;;;;;
2016-09-16 05:00:00;301,317611694336;341,833333333;11,8524782950864;;;;;;;;;;;;;;
2016-09-16 06:00:00;314,918426513672;328;3,98828459949028;"September";"North";"Friday";"summer";15,1;1016,8;92;13,8;15;18;;8;6;FALSE
2016-09-16 07:00:00;381,692451477051;425,666666667;10,3306691910528;;;;;;;;;;;;;;
2016-09-16 08:00:00;435,676651000977;461,833333333;5,66366272075979;;;;;;;;;;;;;;
2016-09-16 09:00:00;509,904754638672;499,166666667;2,15120293255386;"September";"North";"Friday";"summer";16,4;1019;76;12,2;13;28,8;;6;9;FALSE
2016-09-16 10:00:00;530,12512588501;506;4,76781143972525;;;;;;;;;;;;;;
2016-09-16 11:00:00;548,386322021484;536,666666667;2,18378671201437;;;;;;;;;;;;;;
2016-09-16 12:00:00;538,241821289062;524,833333333;2,55480875631711;"September";"North";"Friday";"summer";16,6;1020,4;68;10,7;16;25,2;0;7;12;FALSE
2016-09-16 13:00:00;506,960056304932;564,5;10,1930812568766;;;;;;;;;;;;;;
2016-09-16 14:00:00;467,902786254883;572,666666667;18,2940419811507;;;;;;;;;;;;;;
2016-09-16 15:00:00;491,310485839844;520,833333333;5,66838671868963;"September";"North";"Friday";"summer";16,7;1021,1;70;11,2;19;28,8;0;8;15;FALSE
2016-09-16 16:00:00;456,325176239014;442,166666667;3,20207528955966;;;;;;;;;;;;;;
2016-09-16 17:00:00;477,505822181702;386,666666667;23,4928850468853;;;;;;;;;;;;;;
2016-09-16 18:00:00;446,765869140625;447,833333333;0,238361933541298;"September";"North";"Friday";"summer";14,5;1022,6;80;11,1;55;18;0;;18;FALSE
2016-09-16 19:00:00;489,962032318115;488,166666667;0,367777190395492;;;;;;;;;;;;;;
2016-09-16 20:00:00;492,204566955566;493,5;0,262499097149664;;;;;;;;;;;;;;
2016-09-16 21:00:00;518,289733886719;511,333333333;1,36044339381812;"September";"North";"Friday";"summer";13,3;1024,3;87;11,2;45;14,4;0;;21;FALSE
2016-09-16 22:00:00;641,239356994629;616,5;4,0128721807995;;;;;;;;;;;;;;
2016-09-16 23:00:00;655,2939453125;560,5;16,9123898862623;;;;;;;;;;;;;;
2016-09-17 00:00:00;551,570251464844;461,333333333;19,5600256066277;"September";"North";"Saturday";"summer";12,2;1024,3;94;11,3;19;7,2;;;0;TRUE
2016-09-17 01:00:00;454,554008483887;397,666666667;14,3052829380148;;;;;;;;;;;;;;
2016-09-17 02:00:00;406,234008789062;363,333333333;11,8075253548904;;;;;;;;;;;;;;
2016-09-17 03:00:00;383,439025878906;398,666666667;3,81964233814742;"September";"West";"Saturday";"summer";12,6;1024,5;95;11,8;19;10,8;0;;3;TRUE
2016-09-17 04:00:00;367,475559234619;398,666666667;7,82385637935321;;;;;;;;;;;;;;
2016-09-17 05:00:00;319,928005218506;332,166666667;3,68449416411898;;;;;;;;;;;;;;
2016-09-17 06:00:00;316,485260009766;316;0,153563294229628;"September";"North";"Saturday";"summer";12,3;1024,7;96;11,7;18;3,6;0;8;6;TRUE
2016-09-17 07:00:00;364,13756942749;369,166666667;1,36228367661541;;;;;;;;;;;;;;
2016-09-17 08:00:00;438,814903259277;452,166666667;2,95284115172418;;;;;;;;;;;;;;
2016-09-17 09:00:00;514,382141113281;515,166666667;0,152285775551899;"September";"North";"Saturday";"summer";15,9;1025,3;79;12,3;35;18;0;7;9;TRUE
2016-09-17 10:00:00;557,07495880127;510,833333333;9,05219421891675;;;;;;;;;;;;;;
2016-09-17 11:00:00;544,628587722778;534,833333333;1,83145921903105;;;;;;;;;;;;;;
2016-09-17 12:00:00;547,520141601562;524,5;4,3889688468184;"September";"North";"Saturday";"summer";17,3;1025;67;11,1;25;18;0;7;12;TRUE
2016-09-17 13:00:00;510,590850830078;567,333333333;10,0016126620955;;;;;;;;;;;;;;
2016-09-17 14:00:00;498,696277618408;606,166666667;17,7295115284904;;;;;;;;;;;;;;
2016-09-17 15:00:00;494,492034912109;556,666666667;11,169095524824;"September";"North";"Saturday";"summer";16,2;1024,1;71;10,9;40;18;0;;15;TRUE
2016-09-17 16:00:00;454,968437194824;449;1,32927331733279;;;;;;;;;;;;;;
2016-09-17 17:00:00;442,694011688232;401,666666667;10,2142767687631;;;;;;;;;;;;;;
2016-09-17 18:00:00;459,648376464844;454;1,24413578520787;"September";"North";"Saturday";"summer";14,5;1024,2;82;11,5;55;7,2;0;;18;TRUE
2016-09-17 19:00:00;496,173362731934;489,666666667;1,32880110243618;;;;;;;;;;;;;;
2016-09-17 20:00:00;500,891166687012;499,833333333;0,211637216541335;;;;;;;;;;;;;;
2016-09-17 21:00:00;481,533294677734;517,666666667;6,98004610223612;"September";"West";"Saturday";"summer";12;1024,4;94;11,1;17;7,2;0;;21;TRUE
2016-09-17 22:00:00;617,416397094727;628,666666667;1,7895444706682;;;;;;;;;;;;;;
2016-09-17 23:00:00;599,322082519531;571,333333333;4,89884758224286;;;;;;;;;;;;;;
2016-09-18 00:00:00;545,858337402344;473,666666667;15,241028304425;"September";"West";"Sunday";"summer";9,8;1024,2;97;9,3;6;7,2;0;;0;TRUE
2016-09-18 01:00:00;463,460456848145;430,833333333;7,57302673466223;;;;;;;;;;;;;;
2016-09-18 02:00:00;386,186874389648;390,166666667;1,02002365075135;;;;;;;;;;;;;;
2016-09-18 03:00:00;383,544189453125;418,5;8,35264290247909;"September";"West";"Sunday";"summer";10,1;1023,7;98;9,8;0,6;3,6;0;;3;TRUE
2016-09-18 04:00:00;369,777098655701;412,666666667;10,3932717313242;;;;;;;;;;;;;;
2016-09-18 05:00:00;310,648139953613;348;10,7332931167778;;;;;;;;;;;;;;
2016-09-18 06:00:00;313,658721923828;311,5;0,693008643283507;"September";"North";"Sunday";"summer";10,4;1023,4;99;10,2;0,3;3,6;0;;6;TRUE
2016-09-18 07:00:00;336,290609359741;359,833333333;6,54267456413541;;;;;;;;;;;;;;
2016-09-18 08:00:00;396,497680664062;434,333333333;8,71120168894087;;;;;;;;;;;;;;
2016-09-18 09:00:00;511,302734375;515;0,717915655339806;"September";"North";"Sunday";"summer";15,2;1023,5;79;11,6;18;7,2;0;;9;TRUE
2016-09-18 10:00:00;573,075008392334;553;3,63020043261012;;;;;;;;;;;;;;
2016-09-18 11:00:00;588,436599731445;582,333333333;1,04807093276167;;;;;;;;;;;;;;
2016-09-18 12:00:00;553,206359863281;581,333333333;4,83835552805073;"September";"West";"Sunday";"summer";18;1023,2;63;10,8;35;10,8;0;7;12;TRUE
2016-09-18 13:00:00;495,058448791504;582;14,9384108605663;;;;;;;;;;;;;;
2016-09-18 14:00:00;472,180061340332;572,166666667;17,4750839487229;;;;;;;;;;;;;;
2016-09-18 15:00:00;466,574768066406;547,333333333;14,7549144823343;"September";"West";"Sunday";"summer";17,7;1023,2;62;10,3;50;10,8;0;8;15;TRUE
2016-09-18 16:00:00;430,738201141357;451,333333333;4,56317552252388;;;;;;;;;;;;;;
2016-09-18 17:00:00;417,420711517334;378,166666667;10,3800911900307;;;;;;;;;;;;;;
2016-09-18 18:00:00;428,908996582031;400,166666667;7,18258973302973;"September";"North";"Sunday";"summer";15,7;1023,5;75;11,3;55;3,6;0;8;18;TRUE
2016-09-18 19:00:00;473,030403137207;445,166666667;6,25916955526458;;;;;;;;;;;;;;
2016-09-18 20:00:00;457,999969482422;453,833333333;0,918098306887613;;;;;;;;;;;;;;
2016-09-18 21:00:00;488,007537841797;450,5;8,32575756754648;"September";"North";"Sunday";"summer";14,2;1023,5;86;11,9;35;0;0;8;21;TRUE
2016-09-18 22:00:00;621,785827636719;580,166666667;7,173656013162;;;;;;;;;;;;;;
2016-09-18 23:00:00;608,656433105469;527;15,4945793369011;;;;;;;;;;;;;;
2016-09-19 00:00:00;504,763549804688;453,833333333;11,2222291160613;"September";"West";"Monday";"summer";13,3;1023,3;93;12,2;14;3,6;0;8;0;FALSE
2016-09-19 01:00:00;433,026100158691;406,166666667;6,61290935371424;;;;;;;;;;;;;;
2016-09-19 02:00:00;360,412231445312;370,166666667;2,6351468406156;;;;;;;;;;;;;;
2016-09-19 03:00:00;372,171691894531;391,166666667;4,85597991626397;"September";"South";"Monday";"summer";13,6;1023;96;13;22;3,6;0;8;3;FALSE
2016-09-19 04:00:00;358,292394638062;402,333333333;10,9463807858264;;;;;;;;;;;;;;
2016-09-19 05:00:00;306,07300567627;317,5;3,59905333030881;;;;;;;;;;;;;;
2016-09-19 06:00:00;302,498596191406;304,166666667;0,548406731701459;"September";"South";"Monday";"summer";14,4;1022,9;95;13,6;16;7,2;0;8;6;FALSE
2016-09-19 07:00:00;357,919509887695;350,333333333;2,16541671399692;;;;;;;;;;;;;;
2016-09-19 08:00:00;428,717834472656;407,5;5,20683054543712;;;;;;;;;;;;;;
2016-09-19 09:00:00;496,292816162109;476,166666667;4,22670272910646;"September";"South";"Monday";"summer";15,7;1023,1;93;14,6;19;10,8;;8;9;FALSE
2016-09-19 10:00:00;530,939548492432;529,166666667;0,335032785908138;;;;;;;;;;;;;;
2016-09-19 11:00:00;533,568508148193;561,5;4,97444200388364;;;;;;;;;;;;;;
2016-09-19 12:00:00;520,099365234375;581,833333333;10,6102494583776;"September";"West";"Monday";"summer";16,2;1022,8;92;14,9;6;7,2;0;8;12;FALSE
2016-09-19 13:00:00;514,524610996246;579,166666667;11,1612182453036;;;;;;;;;;;;;;
2016-09-19 14:00:00;501,636249542236;567,166666667;11,5539965544623;;;;;;;;;;;;;;
2016-09-19 15:00:00;538,047668457031;564,5;4,68597547262511;"September";"North";"Monday";"summer";17;1022;86;14,6;40;14,4;0;8;15;FALSE
2016-09-19 16:00:00;484,850997924805;485,833333333;0,202195967381675;;;;;;;;;;;;;;
2016-09-19 17:00:00;419,37377166748;393;6,71088337594923;;;;;;;;;;;;;;
2016-09-19 18:00:00;450,276123046875;457,5;1,57898949795082;"September";"North";"Monday";"summer";15,2;1021,9;91;13,7;18;14,4;0;8;18;FALSE
2016-09-19 19:00:00;504,305255889893;499,666666667;0,92833673573505;;;;;;;;;;;;;;
2016-09-19 20:00:00;502,944850921631;473,666666667;6,18117894186001;;;;;;;;;;;;;;
2016-09-19 21:00:00;497,385192871094;470;5,82663678108378;"September";"West";"Monday";"summer";14,3;1021,8;96;13,7;7;10,8;0;8;21;FALSE
2016-09-19 22:00:00;615,492553710938;583,166666667;5,5431643973568;;;;;;;;;;;;;;
2016-09-19 23:00:00;608,512916564941;527,833333333;15,2850489230172;;;;;;;;;;;;;;
2016-09-20 00:00:00;455,144866943359;440,166666667;3,40284746906808;"September";"North";"Tuesday";"summer";14,2;1021;97;13,7;4,8;0;0;8;0;FALSE
2016-09-20 01:00:00;390,471481323242;404,333333333;3,42832283836007;;;;;;;;;;;;;;
2016-09-20 02:00:00;316,01318359375;379,666666667;16,7656232853014;;;;;;;;;;;;;;
2016-09-20 03:00:00;375,360656738281;399,833333333;6,12071944845497;"September";"East";"Tuesday";"summer";13,3;1020,1;98;13;0,3;3,6;0;7;3;FALSE
2016-09-20 04:00:00;375,547679185867;412,166666667;8,8845097002272;;;;;;;;;;;;;;
2016-09-20 05:00:00;306,710662841797;330;7,05737489642519;;;;;;;;;;;;;;
2016-09-20 06:00:00;305,266906738281;313,833333333;2,72961017357233;"September";"North";"Tuesday";"summer";13,5;1020;99;13,3;7;7,2;0;8;6;FALSE
2016-09-20 07:00:00;366,736934661865;372,833333333;1,63515386798575;;;;;;;;;;;;;;
2016-09-20 08:00:00;437,880661010742;469,833333333;6,80085256948148;;;;;;;;;;;;;;
2016-09-20 09:00:00;492,220672607422;491,666666667;0,112679174323014;"September";"North";"Tuesday";"summer";14,5;1020,5;97;14;4,9;7,2;0;8;9;FALSE
2016-09-20 10:00:00;506,36821269989;533,5;5,08562086225115;;;;;;;;;;;;;;
2016-09-20 11:00:00;529,646690368652;541,833333333;2,24914973196343;;;;;;;;;;;;;;
2016-09-20 12:00:00;521,422302246094;589,833333333;11,5983663894227;"September";"North";"Tuesday";"summer";17;1019,9;86;14,6;50;7,2;0;8;12;FALSE
2016-09-20 13:00:00;519,454344272614;614,166666667;15,4212736598646;;;;;;;;;;;;;;
2016-09-20 14:00:00;510,43719959259;608,666666667;16,138466660628;;;;;;;;;;;;;;
2016-09-20 15:00:00;494,867431640625;568;12,8754521759463;"September";"North";"Tuesday";"summer";18,1;1018,5;81;14,8;19;14,4;0;7;15;FALSE
2016-09-20 16:00:00;434,225742340088;482,5;10,0050274942823;;;;;;;;;;;;;;
2016-09-20 17:00:00;417,433883666992;412,333333333;1,23699684737178;;;;;;;;;;;;;;
2016-09-20 18:00:00;458,546173095703;445,333333333;2,96695503653736;"September";"North";"Tuesday";"summer";15,6;1018,6;91;14,1;12;14,4;0;8;18;FALSE
2016-09-20 19:00:00;511,99792098999;494,5;3,53850778361784;;;;;;;;;;;;;;
2016-09-20 20:00:00;506,679618835449;507,666666667;0,194428331887751;;;;;;;;;;;;;;
2016-09-20 21:00:00;499,73291015625;500,666666667;0,186502631973914;"September";"North";"Tuesday";"summer";14,3;1018,9;98;14;1,6;7,2;;8;21;FALSE
2016-09-20 22:00:00;635,357681274414;601;5,71675229191582;;;;;;;;;;;;;;
2016-09-20 23:00:00;602,731239318848;536,333333333;12,3799700408742;;;;;;;;;;;;;;
