"dt_posix";"puissance";"reality";"mape";"Month";"rose_vt";"temp";"pression";"hr";"p_ros";"visi";"vt_moy";"vt_raf";"rr_3h";"nebul";"Hour";"f_evening";"f_weekend"
2016-09-15 11:00:00;590,276691436768;593,666666667;0,571023340297105;;;;;;;;;;;;;;
2016-09-15 12:00:00;575,599365234375;615,5;6,48263765485378;"September";"West";16,4;1011,4;95;15,6;2;10,8;14,4;0;8;12;0;0
2016-09-15 13:00:00;566,749529838562;625,333333333;9,36841207267632;;;;;;;;;;;;;;
2016-09-15 14:00:00;562,945565223694;658;14,4459627319614;;;;;;;;;;;;;;
2016-09-15 15:00:00;525,110046386719;613;14,3376759564896;"September";"North";16,3;1011,8;91;14,8;19;10,8;18;1;8;15;0;0
2016-09-15 16:00:00;464,167098999023;522;11,0790998086162;;;;;;;;;;;;;;
2016-09-15 17:00:00;412,892448425293;437;5,51660219100847;;;;;;;;;;;;;;
2016-09-15 18:00:00;481,452575683594;485,5;0,833661033245366;"September";"West";16,1;1012,8;94;15,1;18;7,2;10,8;;8;18;1;0
2016-09-15 19:00:00;525,880760192871;557;5,58693712874846;;;;;;;;;;;;;;
2016-09-15 20:00:00;514,234706878662;533,166666667;3,55085210159288;;;;;;;;;;;;;;
2016-09-15 21:00:00;511,80712890625;497,666666667;2,84135209093915;"September";"North";16,2;1014;96;15,6;10;14,4;25,2;0;8;21;1;0
2016-09-15 22:00:00;636,989303588867;616,5;3,32348801117067;;;;;;;;;;;;;;
2016-09-15 23:00:00;585,876281738281;541,833333333;8,12850478104736;;;;;;;;;;;;;;
2016-09-16 00:00:00;478,869598388672;442,5;8,21911827992585;"September";"West";15,9;1014,7;95;15,1;16;18;28,8;0;8;0;0;0
2016-09-16 01:00:00;410,843276977539;412,5;0,401629823626894;;;;;;;;;;;;;;
2016-09-16 02:00:00;376,277137756348;371,166666667;1,37686693022265;;;;;;;;;;;;;;
2016-09-16 03:00:00;383,313171386719;412;6,96282247895176;"September";"North";15,2;1015,4;92;13,9;40;21,6;32,4;0;8;3;0;0
2016-09-16 04:00:00;367,643323898315;407,166666667;9,70692004142093;;;;;;;;;;;;;;
2016-09-16 05:00:00;327,955371856689;341,833333333;4,05986196284468;;;;;;;;;;;;;;
2016-09-16 06:00:00;318,346374511719;328;2,94317850252477;"September";"North";15,1;1016,8;92;13,8;15;18;36;;8;6;0;0
2016-09-16 07:00:00;380,196495056152;425,666666667;10,6821076611148;;;;;;;;;;;;;;
2016-09-16 08:00:00;447,82991027832;461,833333333;3,03213779603532;;;;;;;;;;;;;;
2016-09-16 09:00:00;514,80078125;499,166666667;3,13204298824498;"September";"North";16,4;1019;76;12,2;13;28,8;39,6;;6;9;0;0
2016-09-16 10:00:00;531,890153884888;506;5,11663120254698;;;;;;;;;;;;;;
2016-09-16 11:00:00;555,30025100708;536,666666667;3,47209646088234;;;;;;;;;;;;;;
2016-09-16 12:00:00;543,182250976562;524,833333333;3,49614181840091;"September";"North";16,6;1020,4;68;10,7;16;25,2;46,8;0;7;12;0;0
2016-09-16 13:00:00;507,886703491211;564,5;10,0289276366323;;;;;;;;;;;;;;
2016-09-16 14:00:00;472,580223083496;572,666666667;17,4772602299381;;;;;;;;;;;;;;
2016-09-16 15:00:00;480,82177734375;520,833333333;7,68221874994092;"September";"North";16,7;1021,1;70;11,2;19;28,8;50,4;0;8;15;0;0
2016-09-16 16:00:00;456,087577819824;442,166666667;3,14834025318063;;;;;;;;;;;;;;
2016-09-16 17:00:00;473,621364116669;386,666666667;22,4882838231708;;;;;;;;;;;;;;
2016-09-16 18:00:00;447,1279296875;447,833333333;0,157514770115484;"September";"North";14,5;1022,6;80;11,1;55;18;39,6;0;;18;1;0
2016-09-16 19:00:00;490,475311279297;488,166666667;0,472921395485548;;;;;;;;;;;;;;
2016-09-16 20:00:00;493,522731781006;493,5;0,00460623728588842;;;;;;;;;;;;;;
2016-09-16 21:00:00;505,223846435547;511,333333333;1,19481490823802;"September";"North";13,3;1024,3;87;11,2;45;14,4;21,6;0;;21;1;0
2016-09-16 22:00:00;644,257217407227;616,5;4,50238725178046;;;;;;;;;;;;;;
2016-09-16 23:00:00;676,618911743164;560,5;20,7170226125181;;;;;;;;;;;;;;
2016-09-17 00:00:00;570,719177246094;461,333333333;23,7108043164392;"September";"North";12,2;1024,3;94;11,3;19;7,2;14,4;;;0;0;1
2016-09-17 01:00:00;478,537124633789;397,666666667;20,3362425733582;;;;;;;;;;;;;;
2016-09-17 02:00:00;416,215774536133;363,333333333;14,5548003311508;;;;;;;;;;;;;;
2016-09-17 03:00:00;386,153167724609;398,666666667;3,13883752735289;"September";"West";12,6;1024,5;95;11,8;19;10,8;18;0;;3;0;1
2016-09-17 04:00:00;374,247547149658;398,666666667;6,12519720334149;;;;;;;;;;;;;;
2016-09-17 05:00:00;329,269397735596;332,166666667;0,872233496658727;;;;;;;;;;;;;;
2016-09-17 06:00:00;306,365142822266;316;3,04900543599189;"September";"North";12,3;1024,7;96;11,7;18;3,6;18;0;8;6;0;1
2016-09-17 07:00:00;337,892116546631;369,166666667;8,47166143214652;;;;;;;;;;;;;;
2016-09-17 08:00:00;423,296852111816;452,166666667;6,38477284670011;;;;;;;;;;;;;;
2016-09-17 09:00:00;507,304016113281;515,166666667;1,52623433588747;"September";"North";15,9;1025,3;79;12,3;35;18;28,8;0;7;9;0;1
2016-09-17 10:00:00;555,858695983887;510,833333333;8,8141003558074;;;;;;;;;;;;;;
2016-09-17 11:00:00;575,851196289062;534,833333333;7,66927945579708;;;;;;;;;;;;;;
2016-09-17 12:00:00;550,880859375;524,5;5,02971580076263;"September";"North";17,3;1025;67;11,1;25;18;28,8;0;7;12;0;1
2016-09-17 13:00:00;504,766716003418;567,333333333;11,0281934188517;;;;;;;;;;;;;;
2016-09-17 14:00:00;479,957748413086;606,166666667;20,8208278670076;;;;;;;;;;;;;;
2016-09-17 15:00:00;471,408050537109;556,666666667;15,3159190652406;"September";"North";16,2;1024,1;71;10,9;40;18;32,4;0;;15;0;1
2016-09-17 16:00:00;443,08526802063;449;1,31731224484858;;;;;;;;;;;;;;
2016-09-17 17:00:00;425,725921630859;401,666666667;5,98985600759487;;;;;;;;;;;;;;
2016-09-17 18:00:00;443,480590820312;454;2,31705048010738;"September";"North";14,5;1024,2;82;11,5;55;7,2;21,6;0;;18;1;1
2016-09-17 19:00:00;474,705379486084;489,666666667;3,05540241951787;;;;;;;;;;;;;;
2016-09-17 20:00:00;489,743576049805;499,833333333;2,01862433141754;;;;;;;;;;;;;;
2016-09-17 21:00:00;507,256713867188;517,666666667;2,01093743718076;"September";"West";12;1024,4;94;11,1;17;7,2;10,8;0;;21;1;1
2016-09-17 22:00:00;647,262832641602;628,666666667;2,95803276372085;;;;;;;;;;;;;;
2016-09-17 23:00:00;657,682525634766;571,333333333;15,1136275907496;;;;;;;;;;;;;;
2016-09-18 00:00:00;523,004943847656;473,666666667;10,416244302735;"September";"West";9,8;1024,2;97;9,3;6;7,2;7,2;0;;0;0;1
2016-09-18 01:00:00;438,851570129395;430,833333333;1,86109944984157;;;;;;;;;;;;;;
2016-09-18 02:00:00;377,850021362305;390,166666667;3,1567651357586;;;;;;;;;;;;;;
2016-09-18 03:00:00;385,920043945312;418,5;7,7849357358871;"September";"West";10,1;1023,7;98;9,8;0,6;3,6;10,8;0;;3;0;1
2016-09-18 04:00:00;382,086365222931;412,666666667;7,41041230469574;;;;;;;;;;;;;;
2016-09-18 05:00:00;316,339736938477;348;9,09777674181708;;;;;;;;;;;;;;
2016-09-18 06:00:00;322,994110107422;311,5;3,6899229879364;"September";"North";10,4;1023,4;99;10,2;0,3;3,6;10,8;0;;6;0;1
2016-09-18 07:00:00;362,136878967285;359,833333333;0,640170162377204;;;;;;;;;;;;;;
2016-09-18 08:00:00;433,530174255371;434,333333333;0,184917669446548;;;;;;;;;;;;;;
2016-09-18 09:00:00;507,618377685547;515;1,43332472125303;"September";"North";15,2;1023,5;79;11,6;18;7,2;18;0;;9;0;1
2016-09-18 10:00:00;539,111389160156;553;2,51150286434788;;;;;;;;;;;;;;
2016-09-18 11:00:00;540,461822509766;582,333333333;7,19029951172153;;;;;;;;;;;;;;
2016-09-18 12:00:00;541,247436523438;581,333333333;6,89550977229109;"September";"West";18;1023,2;63;10,8;35;10,8;25,2;0;7;12;0;1
2016-09-18 13:00:00;500,518531799316;582;14,0002522681587;;;;;;;;;;;;;;
2016-09-18 14:00:00;476,95841217041;572,166666667;16,6399512665076;;;;;;;;;;;;;;
2016-09-18 15:00:00;473,95751953125;547,333333333;13,4060561148224;"September";"West";17,7;1023,2;62;10,3;50;10,8;25,2;0;8;15;0;1
2016-09-18 16:00:00;447,39640045166;451,333333333;0,872289412409764;;;;;;;;;;;;;;
2016-09-18 17:00:00;454,394107818604;378,166666667;20,1571021114684;;;;;;;;;;;;;;
2016-09-18 18:00:00;460,558410644531;400,166666667;15,0916478077837;"September";"North";15,7;1023,5;75;11,3;55;3,6;14,4;0;8;18;1;1
2016-09-18 19:00:00;496,198677062988;445,166666667;11,4635740312879;;;;;;;;;;;;;;
2016-09-18 20:00:00;492,717273712158;453,833333333;8,56788991094824;;;;;;;;;;;;;;
2016-09-18 21:00:00;479,876586914062;450,5;6,52088499757214;"September";"North";14,2;1023,5;86;11,9;35;0;3,6;0;8;21;1;1
2016-09-18 22:00:00;616,672103881836;580,166666667;6,29223278623643;;;;;;;;;;;;;;
2016-09-18 23:00:00;595,110458374023;527;12,9241856497198;;;;;;;;;;;;;;
2016-09-19 00:00:00;491,377502441406;453,833333333;8,27267773230272;"September";"West";13,3;1023,3;93;12,2;14;3,6;7,2;0;8;0;0;0
2016-09-19 01:00:00;429,590316772461;406,166666667;5,76700453970661;;;;;;;;;;;;;;
2016-09-19 02:00:00;355,206512451172;370,166666667;4,041464443714;;;;;;;;;;;;;;
2016-09-19 03:00:00;377,81591796875;391,166666667;3,41305889175253;"September";"South";13,6;1023;96;13;22;3,6;3,6;0;8;3;0;0
2016-09-19 04:00:00;372,134476661682;402,333333333;7,50592957862706;;;;;;;;;;;;;;
2016-09-19 05:00:00;299,053520202637;317,5;5,80991489680733;;;;;;;;;;;;;;
2016-09-19 06:00:00;313,826538085938;304,166666667;3,17584813772939;"September";"South";14,4;1022,9;95;13,6;16;7,2;10,8;0;8;6;0;0
2016-09-19 07:00:00;379,566719055176;350,333333333;8,34444882650912;;;;;;;;;;;;;;
2016-09-19 08:00:00;446,825256347656;407,5;9,65036965586656;;;;;;;;;;;;;;
2016-09-19 09:00:00;512,591796875;476,166666667;7,64965982666597;"September";"South";15,7;1023,1;93;14,6;19;10,8;14,4;;8;9;0;0
2016-09-19 10:00:00;541,382333755493;529,166666667;2,30847252065868;;;;;;;;;;;;;;
2016-09-19 11:00:00;516,284246683121;561,5;8,05267200656799;;;;;;;;;;;;;;
2016-09-19 12:00:00;538,474548339844;581,833333333;7,45209710567421;"September";"West";16,2;1022,8;92;14,9;6;7,2;14,4;0;8;12;0;0
2016-09-19 13:00:00;535,895589351654;579,166666667;7,47126514796909;;;;;;;;;;;;;;
2016-09-19 14:00:00;535,825017929077;567,166666667;5,52600330377392;;;;;;;;;;;;;;
2016-09-19 15:00:00;528,462524414062;564,5;6,38396378847431;"September";"North";17;1022;86;14,6;40;14,4;21,6;0;8;15;0;0
2016-09-19 16:00:00;468,110145568848;485,833333333;3,64799748147468;;;;;;;;;;;;;;
2016-09-19 17:00:00;405,642784118652;393;3,21699341441535;;;;;;;;;;;;;;
2016-09-19 18:00:00;472,919494628906;457,5;3,37038133965164;"September";"North";15,2;1021,9;91;13,7;18;14,4;21,6;0;8;18;1;0
2016-09-19 19:00:00;521,181190490723;499,666666667;4,30577528159605;;;;;;;;;;;;;;
2016-09-19 20:00:00;514,704349517822;473,666666667;8,66383170671218;;;;;;;;;;;;;;
2016-09-19 21:00:00;509,355926513672;470;8,37360138588763;"September";"West";14,3;1021,8;96;13,7;7;10,8;21,6;0;8;21;1;0
2016-09-19 22:00:00;626,881591796875;583,166666667;7,49612891623608;;;;;;;;;;;;;;
2016-09-19 23:00:00;640,049514770508;527,833333333;21,2597754539145;;;;;;;;;;;;;;
2016-09-20 00:00:00;442,274261474609;440,166666667;0,47881744966477;"September";"North";14,2;1021;97;13,7;4,8;0;7,2;0;8;0;0;0
2016-09-20 01:00:00;372,596778869629;404,333333333;7,84910662738596;;;;;;;;;;;;;;
2016-09-20 02:00:00;297,567245483398;379,666666667;21,6240793284099;;;;;;;;;;;;;;
2016-09-20 03:00:00;376,416107177734;399,833333333;5,85674685000879;"September";"East";13,3;1020,1;98;13;0,3;3,6;3,6;0;7;3;0;0
2016-09-20 04:00:00;372,590455532074;412,166666667;9,60199218800502;;;;;;;;;;;;;;
2016-09-20 05:00:00;301,435501098633;330;8,65590875799006;;;;;;;;;;;;;;
2016-09-20 06:00:00;311,655181884766;313,833333333;0,69404719540202;"September";"North";13,5;1020;99;13,3;7;7,2;10,8;0;8;6;0;0
2016-09-20 07:00:00;371,687152862549;372,833333333;0,307424355060934;;;;;;;;;;;;;;
2016-09-20 08:00:00;437,06453704834;469,833333333;6,97455756325294;;;;;;;;;;;;;;
2016-09-20 09:00:00;500,160339355469;491,666666667;1,72752664850094;"September";"North";14,5;1020,5;97;14;4,9;7,2;14,4;0;8;9;0;0
2016-09-20 10:00:00;518,24772644043;533,5;2,85890788370578;;;;;;;;;;;;;;
2016-09-20 11:00:00;539,100429534912;541,833333333;0,504380891680642;;;;;;;;;;;;;;
2016-09-20 12:00:00;524,316101074219;589,833333333;11,10775342054;"September";"North";17;1019,9;86;14,6;50;7,2;14,4;0;8;12;0;0
2016-09-20 13:00:00;526,311042904854;614,166666667;14,3048505447107;;;;;;;;;;;;;;
2016-09-20 14:00:00;523,879235088825;608,666666667;13,9300270938875;;;;;;;;;;;;;;
2016-09-20 15:00:00;484,734039306641;568;14,6595001220703;"September";"North";18,1;1018,5;81;14,8;19;14,4;25,2;0;7;15;0;0
2016-09-20 16:00:00;401,606155395508;482,5;16,7655636485994;;;;;;;;;;;;;;
2016-09-20 17:00:00;362,519500732422;412,333333333;12,0809618271508;;;;;;;;;;;;;;
2016-09-20 18:00:00;464,066436767578;445,333333333;4,20653520237848;"September";"North";15,6;1018,6;91;14,1;12;14,4;21,6;0;8;18;1;0
2016-09-20 19:00:00;515,94066619873;494,5;4,3358273404915;;;;;;;;;;;;;;
2016-09-20 20:00:00;505,427261352539;507,666666667;0,441117264831152;;;;;;;;;;;;;;
2016-09-20 21:00:00;515,58642578125;500,666666667;2,97997851815713;"September";"North";14,3;1018,9;98;14;1,6;7,2;10,8;;8;21;1;0
2016-09-20 22:00:00;640,905975341797;601;6,63992934139715;;;;;;;;;;;;;;
2016-09-20 23:00:00;538,756469726562;536,333333333;0,451796717258663;;;;;;;;;;;;;;
