"datetime";"puissance";"reality";"mape";"Month";"rose_vt";"temp";"pression";"hr";"p_rosee";"visi";"vt_raf";"rr_3h";"nebul";"Hour";"f_evening";"f_weekend"
2016-09-14 10:00:00;521,687139511108;504;3,50935307760087;;;;;;;;;;;;;
2016-09-14 11:00:00;544,959293365479;492,333333333;10,6890914080936;;;;;;;;;;;;;
2016-09-14 12:00:00;554,356262207031;519,5;6,70957886564605;"September";"South";20,2;1007,2;65;13,4;7;54;0;7;12;0;FALSE
2016-09-14 13:00:00;538,374161720276;543,333333333;0,912730971667584;;;;;;;;;;;;;
2016-09-14 14:00:00;573,31524848938;573;0,0550171883734525;;;;;;;;;;;;;
2016-09-14 15:00:00;471,204071044922;539;12,578094425803;"September";"South";20,4;1007,9;62;12,9;28;46,8;0;;15;0;FALSE
2016-09-14 16:00:00;395,20166015625;438,833333333;9,94265245198248;;;;;;;;;;;;;
2016-09-14 17:00:00;359,567665100098;380,5;5,50127067014516;;;;;;;;;;;;;
2016-09-14 18:00:00;461,241394042969;426;8,27262770961708;"September";"East";18,6;1009,3;63;11,4;45;43,2;0;;18;0;FALSE
2016-09-14 19:00:00;507,467308044434;480,5;5,61234298531396;;;;;;;;;;;;;
2016-09-14 20:00:00;502,318870544434;471,833333333;6,46108171207103;;;;;;;;;;;;;
2016-09-14 21:00:00;525,648681640625;477,166666667;10,1603943360652;"September";"East";13,8;1010,5;89;12;60;10,8;0;;21;1;FALSE
2016-09-14 22:00:00;660,130386352539;607,166666667;8,72309410137415;;;;;;;;;;;;;
2016-09-14 23:00:00;668,581848144531;539,833333333;23,8496785696099;;;;;;;;;;;;;
2016-09-15 00:00:00;535,9921875;445,333333333;20,3575271333236;"September";"North";13,4;1010,4;89;11,6;60;14,4;0;8;0;0;FALSE
2016-09-15 01:00:00;477,135353088379;393,166666667;21,3570207091075;;;;;;;;;;;;;
2016-09-15 02:00:00;410,610961914062;358,5;14,5358331698919;;;;;;;;;;;;;
2016-09-15 03:00:00;378,025695800781;383,833333333;1,51306231842565;"September";"East";12,7;1009,8;94;11,8;60;7,2;0;7;3;0;FALSE
2016-09-15 04:00:00;364,095146179199;396,833333333;8,24985816560141;;;;;;;;;;;;;
2016-09-15 05:00:00;307,86100769043;316;2,57563047771212;;;;;;;;;;;;;
2016-09-15 06:00:00;338,839965820312;294;15,2516890545281;"September";"North";13,8;1010,1;92;12,5;4,6;18;;8;6;0;FALSE
2016-09-15 07:00:00;394,689777374268;357,5;10,4027349298651;;;;;;;;;;;;;
2016-09-15 08:00:00;475,108154296875;459,166666667;3,47183033681236;;;;;;;;;;;;;
2016-09-15 09:00:00;549,829406738281;503;9,31002122033424;"September";"West";14;1010,8;98;13,7;2,9;14,4;9;8;9;0;FALSE
2016-09-15 10:00:00;566,26678276062;525,5;7,75771317994674;;;;;;;;;;;;;
2016-09-15 11:00:00;588,26293182373;593,666666667;0,910230462088679;;;;;;;;;;;;;
2016-09-15 12:00:00;589,310485839844;615,5;4,25499823885561;"September";"West";16,4;1011,4;95;15,6;2;14,4;0;8;12;0;FALSE
2016-09-15 13:00:00;583,005327224731;625,333333333;6,76887091283974;;;;;;;;;;;;;
2016-09-15 14:00:00;544,357669830322;658;17,2708708464556;;;;;;;;;;;;;
2016-09-15 15:00:00;568,9072265625;613;7,19294835848287;"September";"North";16,3;1011,8;91;14,8;19;18;1;8;15;0;FALSE
2016-09-15 16:00:00;505,819454193115;522;3,09972141894344;;;;;;;;;;;;;
2016-09-15 17:00:00;444,112190246582;437;1,62750348892037;;;;;;;;;;;;;
2016-09-15 18:00:00;505,675018310547;485,5;4,15551355521048;"September";"West";16,1;1012,8;94;15,1;18;10,8;;8;18;0;FALSE
2016-09-15 19:00:00;552,377445220947;557;0,829902114731191;;;;;;;;;;;;;
2016-09-15 20:00:00;552,972736358643;533,166666667;3,71479894185;;;;;;;;;;;;;
2016-09-15 21:00:00;501,325439453125;497,666666667;0,735185422529645;"September";"North";16,2;1014;96;15,6;10;25,2;0;8;21;1;FALSE
2016-09-15 22:00:00;625,470626831055;616,5;1,45508951030895;;;;;;;;;;;;;
2016-09-15 23:00:00;549,637649536133;541,833333333;1,44035365176332;;;;;;;;;;;;;
2016-09-16 00:00:00;461,204437255859;442,5;4,22699147025071;"September";"West";15,9;1014,7;95;15,1;16;28,8;0;8;0;0;FALSE
2016-09-16 01:00:00;399,906272888184;412,5;3,05302475437973;;;;;;;;;;;;;
2016-09-16 02:00:00;345,21004486084;371,166666667;6,99325239500769;;;;;;;;;;;;;
2016-09-16 03:00:00;399,731628417969;412;2,97776009272603;"September";"North";15,2;1015,4;92;13,9;40;32,4;0;8;3;0;FALSE
2016-09-16 04:00:00;385,677707672119;407,166666667;5,27768129223003;;;;;;;;;;;;;
2016-09-16 05:00:00;325,878440856934;341,833333333;4,66744782332968;;;;;;;;;;;;;
2016-09-16 06:00:00;336,274963378906;328;2,52285468869093;"September";"North";15,1;1016,8;92;13,8;15;36;;8;6;0;FALSE
2016-09-16 07:00:00;398,627071380615;425,666666667;6,35229333274008;;;;;;;;;;;;;
2016-09-16 08:00:00;471,045776367188;461,833333333;1,99475489733544;;;;;;;;;;;;;
2016-09-16 09:00:00;511,183685302734;499,166666667;2,40741608729075;"September";"North";16,4;1019;76;12,2;13;39,6;;6;9;0;FALSE
2016-09-16 10:00:00;531,387378692627;506;5,01726851632944;;;;;;;;;;;;;
2016-09-16 11:00:00;537,336688995361;536,666666667;0,124848881061047;;;;;;;;;;;;;
2016-09-16 12:00:00;541,658081054688;524,833333333;3,20573154430578;"September";"North";16,6;1020,4;68;10,7;16;46,8;0;7;12;0;FALSE
2016-09-16 13:00:00;499,179183959961;564,5;11,5714465969954;;;;;;;;;;;;;
2016-09-16 14:00:00;463,152099609375;572,666666667;19,1236147364775;;;;;;;;;;;;;
2016-09-16 15:00:00;482,539978027344;520,833333333;7,35232421869071;"September";"North";16,7;1021,1;70;11,2;19;50,4;0;8;15;0;FALSE
2016-09-16 16:00:00;453,566219329834;442,166666667;2,5781121740276;;;;;;;;;;;;;
2016-09-16 17:00:00;478,991278409958;386,666666667;23,8770547610892;;;;;;;;;;;;;
2016-09-16 18:00:00;446,793823242188;447,833333333;0,232119856526965;"September";"North";14,5;1022,6;80;11,1;55;39,6;0;;18;0;FALSE
2016-09-16 19:00:00;481,759616851807;488,166666667;1,31247179553206;;;;;;;;;;;;;
2016-09-16 20:00:00;491,911571502686;493,5;0,321870009587528;;;;;;;;;;;;;
2016-09-16 21:00:00;504,353698730469;511,333333333;1,36498721040465;"September";"North";13,3;1024,3;87;11,2;45;21,6;0;;21;1;FALSE
2016-09-16 22:00:00;632,650527954102;616,5;2,61971256352012;;;;;;;;;;;;;
2016-09-16 23:00:00;646,278991699219;560,5;15,3040127920105;;;;;;;;;;;;;
2016-09-17 00:00:00;552,66064453125;461,333333333;19,7963824851841;"September";"North";12,2;1024,3;94;11,3;19;14,4;;;0;0;TRUE
2016-09-17 01:00:00;459,332511901855;397,666666667;15,5069183323061;;;;;;;;;;;;;
2016-09-17 02:00:00;395,014358520508;363,333333333;8,71954821675327;;;;;;;;;;;;;
2016-09-17 03:00:00;388,977264404297;398,666666667;2,43045207258237;"September";"West";12,6;1024,5;95;11,8;19;18;0;;3;0;TRUE
2016-09-17 04:00:00;377,842704772949;398,666666667;5,22340181288463;;;;;;;;;;;;;
2016-09-17 05:00:00;333,131351470947;332,166666667;0,290421917896522;;;;;;;;;;;;;
2016-09-17 06:00:00;322,952087402344;316;2,20002765896954;"September";"North";12,3;1024,7;96;11,7;18;18;0;8;6;0;TRUE
2016-09-17 07:00:00;357,168430328369;369,166666667;3,25008659285419;;;;;;;;;;;;;
2016-09-17 08:00:00;428,793769836426;452,166666667;5,16908886779735;;;;;;;;;;;;;
2016-09-17 09:00:00;503,884246826172;515,166666667;2,19005237932464;"September";"North";15,9;1025,3;79;12,3;35;28,8;0;7;9;0;TRUE
2016-09-17 10:00:00;555,560565948486;510,833333333;8,75573884806177;;;;;;;;;;;;;
2016-09-17 11:00:00;586,919082641602;534,833333333;9,73868793555014;;;;;;;;;;;;;
2016-09-17 12:00:00;545,554992675781;524,5;4,0142979362786;"September";"North";17,3;1025;67;11,1;25;28,8;0;7;12;0;TRUE
2016-09-17 13:00:00;512,031078338623;567,333333333;9,74775352427899;;;;;;;;;;;;;
2016-09-17 14:00:00;467,694511413574;606,166666667;22,8439079329144;;;;;;;;;;;;;
2016-09-17 15:00:00;475,228393554688;556,666666667;14,6296299004067;"September";"North";16,2;1024,1;71;10,9;40;32,4;0;;15;0;TRUE
2016-09-17 16:00:00;444,504636764526;449;1,00119448451529;;;;;;;;;;;;;
2016-09-17 17:00:00;429,428016662598;401,666666667;6,91153941798538;;;;;;;;;;;;;
2016-09-17 18:00:00;431,156982421875;454;5,03150166919053;"September";"North";14,5;1024,2;82;11,5;55;21,6;0;;18;0;TRUE
2016-09-17 19:00:00;470,326663970947;489,666666667;3,94962614623;;;;;;;;;;;;;
2016-09-17 20:00:00;466,055957794189;499,833333333;6,75772768366117;;;;;;;;;;;;;
2016-09-17 21:00:00;489,138854980469;517,666666667;5,5108457861905;"September";"West";12;1024,4;94;11,1;17;10,8;0;;21;1;TRUE
2016-09-17 22:00:00;627,796035766602;628,666666667;0,138488478324168;;;;;;;;;;;;;
2016-09-17 23:00:00;642,045852661133;571,333333333;12,3767536747096;;;;;;;;;;;;;
2016-09-18 00:00:00;526,165893554688;473,666666667;11,0835806237123;"September";"West";9,8;1024,2;97;9,3;6;7,2;0;;0;0;TRUE
2016-09-18 01:00:00;444,73836517334;430,833333333;3,22747354128061;;;;;;;;;;;;;
2016-09-18 02:00:00;386,535598754883;390,166666667;0,930645342703315;;;;;;;;;;;;;
2016-09-18 03:00:00;377,335815429688;418,5;9,83612534535544;"September";"West";10,1;1023,7;98;9,8;0,6;10,8;0;;3;0;TRUE
2016-09-18 04:00:00;372,088157176971;412,666666667;9,8332413949909;;;;;;;;;;;;;
2016-09-18 05:00:00;300,879737854004;348;13,5403052143667;;;;;;;;;;;;;
2016-09-18 06:00:00;316,042266845703;311,5;1,45819160375702;"September";"North";10,4;1023,4;99;10,2;0,3;10,8;0;;6;0;TRUE
2016-09-18 07:00:00;356,789588928223;359,833333333;0,845876166219587;;;;;;;;;;;;;
2016-09-18 08:00:00;418,860229492188;434,333333333;3,56249512835557;;;;;;;;;;;;;
2016-09-18 09:00:00;508,714752197266;515;1,22043646655036;"September";"North";15,2;1023,5;79;11,6;18;18;0;;9;0;TRUE
2016-09-18 10:00:00;546,130336761475;553;1,24225375018542;;;;;;;;;;;;;
2016-09-18 11:00:00;558,03955078125;582,333333333;4,17180009475053;;;;;;;;;;;;;
2016-09-18 12:00:00;543,202087402344;581,333333333;6,55927395596528;"September";"West";18;1023,2;63;10,8;35;25,2;0;7;12;0;TRUE
2016-09-18 13:00:00;509,654346466064;582;12,4305246621882;;;;;;;;;;;;;
2016-09-18 14:00:00;487,974464416504;572,166666667;14,7146289980391;;;;;;;;;;;;;
2016-09-18 15:00:00;492,308776855469;547,333333333;10,0532076390191;"September";"West";17,7;1023,2;62;10,3;50;25,2;0;8;15;0;TRUE
2016-09-18 16:00:00;464,484985351562;451,333333333;2,91395539554776;;;;;;;;;;;;;
2016-09-18 17:00:00;471,627780914307;378,166666667;24,7142655567803;;;;;;;;;;;;;
2016-09-18 18:00:00;489,080017089844;400,166666667;22,2190796558358;"September";"North";15,7;1023,5;75;11,3;55;14,4;0;8;18;0;TRUE
2016-09-18 19:00:00;534,063411712646;445,166666667;19,9693174943272;;;;;;;;;;;;;
2016-09-18 20:00:00;514,717897415161;453,833333333;13,4156219057376;;;;;;;;;;;;;
2016-09-18 21:00:00;497,344146728516;450,5;10,3982567654863;"September";"North";14,2;1023,5;86;11,9;35;3,6;0;8;21;1;TRUE
2016-09-18 22:00:00;635,564437866211;580,166666667;9,54859601249856;;;;;;;;;;;;;
2016-09-18 23:00:00;638,715744018555;527;21,1984334001053;;;;;;;;;;;;;
2016-09-19 00:00:00;507,597473144531;453,833333333;11,8466705423953;"September";"West";13,3;1023,3;93;12,2;14;7,2;0;8;0;0;FALSE
2016-09-19 01:00:00;443,36003112793;406,166666667;9,15716810690992;;;;;;;;;;;;;
2016-09-19 02:00:00;381,323623657227;370,166666667;3,01403610721742;;;;;;;;;;;;;
2016-09-19 03:00:00;377,512115478516;391,166666667;3,49072463275827;"September";"South";13,6;1023;96;13;22;3,6;0;8;3;0;FALSE
2016-09-19 04:00:00;370,273494243622;402,333333333;7,96847698991004;;;;;;;;;;;;;
2016-09-19 05:00:00;309,718223571777;317,5;2,45095320573942;;;;;;;;;;;;;
2016-09-19 06:00:00;313,968841552734;304,166666667;3,22263283914201;"September";"South";14,4;1022,9;95;13,6;16;10,8;0;8;6;0;FALSE
2016-09-19 07:00:00;382,14608001709;350,333333333;9,08070790222268;;;;;;;;;;;;;
2016-09-19 08:00:00;440,997375488281;407,5;8,22021484375;;;;;;;;;;;;;
2016-09-19 09:00:00;505,6005859375;476,166666667;6,18143211840659;"September";"South";15,7;1023,1;93;14,6;19;14,4;;8;9;0;FALSE
2016-09-19 10:00:00;535,816211700439;529,166666667;1,25660693545234;;;;;;;;;;;;;
2016-09-19 11:00:00;518,541153907776;561,5;7,65072949104615;;;;;;;;;;;;;
2016-09-19 12:00:00;542,614868164062;581,833333333;6,74049816710857;"September";"West";16,2;1022,8;92;14,9;6;14,4;0;8;12;0;FALSE
2016-09-19 13:00:00;537,330502510071;579,166666667;7,22351035802678;;;;;;;;;;;;;
2016-09-19 14:00:00;510,938571929932;567,166666667;9,91385743233064;;;;;;;;;;;;;
2016-09-19 15:00:00;550,131652832031;564,5;2,54532279326284;"September";"North";17;1022;86;14,6;40;21,6;0;8;15;0;FALSE
2016-09-19 16:00:00;486,313358306885;485,833333333;0,0988044543159747;;;;;;;;;;;;;
2016-09-19 17:00:00;409,031433105469;393;4,07924506500477;;;;;;;;;;;;;
2016-09-19 18:00:00;465,817474365234;457,5;1,81802718365779;"September";"North";15,2;1021,9;91;13,7;18;21,6;0;8;18;0;FALSE
2016-09-19 19:00:00;500,542491912842;499,666666667;0,175281903770753;;;;;;;;;;;;;
2016-09-19 20:00:00;506,709533691406;473,666666667;6,97597474124905;;;;;;;;;;;;;
2016-09-19 21:00:00;504,688201904297;470;7,38046849027593;"September";"West";14,3;1021,8;96;13,7;7;21,6;0;8;21;1;FALSE
2016-09-19 22:00:00;625,665420532227;583,166666667;7,28758282912872;;;;;;;;;;;;;
2016-09-19 23:00:00;632,595016479492;527,833333333;19,8474928600995;;;;;;;;;;;;;
2016-09-20 00:00:00;450,95947265625;440,166666667;2,45198167116436;"September";"North";14,2;1021;97;13,7;4,8;7,2;0;8;0;0;FALSE
2016-09-20 01:00:00;389,784671783447;404,333333333;3,59818504935648;;;;;;;;;;;;;
2016-09-20 02:00:00;358,444473266602;379,666666667;5,58969097463911;;;;;;;;;;;;;
2016-09-20 03:00:00;377,208221435547;399,833333333;5,65863573925935;"September";"East";13,3;1020,1;98;13;0,3;3,6;0;7;3;0;FALSE
2016-09-20 04:00:00;374,401696920395;412,166666667;9,16254826039011;;;;;;;;;;;;;
2016-09-20 05:00:00;311,726837158203;330;5,53732207327178;;;;;;;;;;;;;
2016-09-20 06:00:00;305,013610839844;313,833333333;2,81032049702568;"September";"North";13,5;1020;99;13,3;7;10,8;0;8;6;0;FALSE
2016-09-20 07:00:00;364,190464019775;372,833333333;2,31815895750532;;;;;;;;;;;;;
2016-09-20 08:00:00;431,333717346191;469,833333333;8,19431344168199;;;;;;;;;;;;;
2016-09-20 09:00:00;493,506469726562;491,666666667;0,374197232453133;"September";"North";14,5;1020,5;97;14;4,9;14,4;0;8;9;0;FALSE
2016-09-20 10:00:00;504,295788764954;533,5;5,47407895689717;;;;;;;;;;;;;
2016-09-20 11:00:00;523,454347610474;541,833333333;3,39199982575288;;;;;;;;;;;;;
2016-09-20 12:00:00;528,700927734375;589,833333333;10,36435246092;"September";"North";17;1019,9;86;14,6;50;14,4;0;8;12;0;FALSE
2016-09-20 13:00:00;530,5505464077;614,166666667;13,6145650354282;;;;;;;;;;;;;
2016-09-20 14:00:00;505,793590545654;608,666666667;16,9013816190508;;;;;;;;;;;;;
2016-09-20 15:00:00;481,844512939453;568;15,1682195529132;"September";"North";18,1;1018,5;81;14,8;19;25,2;0;7;15;0;FALSE
2016-09-20 16:00:00;402,443641662598;482,5;16,5919913652647;;;;;;;;;;;;;
2016-09-20 17:00:00;347,682174682617;412,333333333;15,6793432458614;;;;;;;;;;;;;
2016-09-20 18:00:00;462,541625976562;445,333333333;3,86413756966513;"September";"North";15,6;1018,6;91;14,1;12;21,6;0;8;18;0;FALSE
2016-09-20 19:00:00;505,469879150391;494,5;2,21837798794553;;;;;;;;;;;;;
2016-09-20 20:00:00;504,001365661621;507,666666667;0,721989692457619;;;;;;;;;;;;;
2016-09-20 21:00:00;524,52978515625;500,666666667;4,76626867294955;"September";"North";14,3;1018,9;98;14;1,6;10,8;;8;21;1;FALSE
2016-09-20 22:00:00;660,316345214844;601;9,86960818882591;;;;;;;;;;;;;
2016-09-20 23:00:00;563,882720947266;536,333333333;5,13661670869162;;;;;;;;;;;;;
