"dt_posix";"puissance";"reality";"mape";"Month";"temp";"pression";"hr";"visi";"p_ros";"vt_moy";"vt_raf";"rr_3h";"Hour";"f_weekend";"vt_north";"vt_east";"vt_south";"vt_west"
2016-09-17 09:00:00;523,405029296875;515,166666667;1,59916453507662;"September";15,9;1025,3;79;35;12,3;18;28,8;0;9;1;0;0;0;0
2016-09-17 10:00:00;600,036636352539;510,833333333;17,4623105421724;;;;;;;;;;;;;;;
2016-09-17 11:00:00;650,027488708496;534,833333333;21,5383275865817;;;;;;;;;;;;;;;
2016-09-17 12:00:00;565,318481445312;524,5;7,78236061874404;"September";17,3;1025;67;25;11,1;18;28,8;0;12;1;0;0;0;0
2016-09-17 13:00:00;520,534896850586;567,333333333;8,24884309326233;;;;;;;;;;;;;;;
2016-09-17 14:00:00;472,119117736816;606,166666667;22,1139756277333;;;;;;;;;;;;;;;
2016-09-17 15:00:00;503,387237548828;556,666666667;9,57115493140238;"September";16,2;1024,1;71;40;10,9;18;32,4;0;15;1;0;0;0;0
2016-09-17 16:00:00;477,063503265381;449;6,25022344440554;;;;;;;;;;;;;;;
2016-09-17 17:00:00;470,865200042725;401,666666667;17,2278506329462;;;;;;;;;;;;;;;
2016-09-17 18:00:00;456,158721923828;454;0,475489410534829;"September";14,5;1024,2;82;55;11,5;7,2;21,6;0;18;1;0;0;0;0
2016-09-17 19:00:00;494,213939666748;489,666666667;0,9286466303087;;;;;;;;;;;;;;;
2016-09-17 20:00:00;516,291980743408;499,833333333;3,29282709111421;;;;;;;;;;;;;;;
2016-09-17 21:00:00;538,274719238281;517,666666667;3,98095027133317;"September";12;1024,4;94;17;11,1;7,2;10,8;0;21;1;0;0;0;0
2016-09-17 22:00:00;691,574615478516;628,666666667;10,0065666190057;;;;;;;;;;;;;;;
2016-09-17 23:00:00;674,139022827148;571,333333333;17,9939946605966;;;;;;;;;;;;;;;
2016-09-18 00:00:00;599,422973632812;473,666666667;26,5495370089495;"September";9,8;1024,2;97;6;9,3;7,2;7,2;0;0;1;0;0;0;0
2016-09-18 01:00:00;521,77808380127;430,833333333;21,1090329907172;;;;;;;;;;;;;;;
2016-09-18 02:00:00;431,180847167969;390,166666667;10,511964246288;;;;;;;;;;;;;;;
2016-09-18 03:00:00;404,845764160156;418,5;3,26266089363053;"September";10,1;1023,7;98;0,6;9,8;3,6;10,8;0;3;1;0;0;0;0
2016-09-18 04:00:00;396,839389801025;412,666666667;3,83536596105699;;;;;;;;;;;;;;;
2016-09-18 05:00:00;311,717880249023;348;10,4258964801657;;;;;;;;;;;;;;;
2016-09-18 06:00:00;324,8076171875;311,5;4,27210824638844;"September";10,4;1023,4;99;0,3;10,2;3,6;10,8;0;6;1;0;0;0;0
2016-09-18 07:00:00;362,926258087158;359,833333333;0,859543701943793;;;;;;;;;;;;;;;
2016-09-18 08:00:00;439,055053710938;434,333333333;1,08711904327118;;;;;;;;;;;;;;;
2016-09-18 09:00:00;533,114562988281;515;3,51739087151092;"September";15,2;1023,5;79;18;11,6;7,2;18;0;9;1;0;0;0;0
2016-09-18 10:00:00;570,933540344238;553;3,24295485429264;;;;;;;;;;;;;;;
2016-09-18 11:00:00;554,370611190796;582,333333333;4,80184123793134;;;;;;;;;;;;;;;
2016-09-18 12:00:00;587,021301269531;581,333333333;0,978434851468085;"September";18;1023,2;63;35;10,8;10,8;25,2;0;12;1;0;0;0;0
2016-09-18 13:00:00;547,584327697754;582;5,91334575639967;;;;;;;;;;;;;;;
2016-09-18 14:00:00;511,083587646484;572,166666667;10,6757493190469;;;;;;;;;;;;;;;
2016-09-18 15:00:00;489,509399414062;547,333333333;10,5646651496296;"September";17,7;1023,2;62;50;10,3;10,8;25,2;0;15;1;0;0;0;0
2016-09-18 16:00:00;459,747890472412;451,333333333;1,86437750504099;;;;;;;;;;;;;;;
2016-09-18 17:00:00;461,364320755005;378,166666667;22,0002611074301;;;;;;;;;;;;;;;
2016-09-18 18:00:00;433,455230712891;400,166666667;8,31867489692534;"September";15,7;1023,5;75;55;11,3;3,6;14,4;0;18;1;0;0;0;0
2016-09-18 19:00:00;485,471740722656;445,166666667;9,05392902784561;;;;;;;;;;;;;;;
2016-09-18 20:00:00;468,419612884521;453,833333333;3,21401679431485;;;;;;;;;;;;;;;
2016-09-18 21:00:00;527,072692871094;450,5;16,9972681178898;"September";14,2;1023,5;86;35;11,9;0;3,6;0;21;1;0;0;0;0
2016-09-18 22:00:00;668,270538330078;580,166666667;15,1859589192234;;;;;;;;;;;;;;;
2016-09-18 23:00:00;656,721099853516;527;24,6150094598701;;;;;;;;;;;;;;;
2016-09-19 00:00:00;552,511169433594;453,833333333;21,7431882704369;"September";13,3;1023,3;93;14;12,2;3,6;7,2;0;0;0;0;0;0;0
2016-09-19 01:00:00;481,673072814941;406,166666667;18,5900056170405;;;;;;;;;;;;;;;
2016-09-19 02:00:00;410,428085327148;370,166666667;10,8765651490623;;;;;;;;;;;;;;;
2016-09-19 03:00:00;397,711944580078;391,166666667;1,67327087679741;"September";13,6;1023;96;22;13;3,6;3,6;0;3;0;0;0;0;0
2016-09-19 04:00:00;382,988710403442;402,333333333;4,80810843319974;;;;;;;;;;;;;;;
2016-09-19 05:00:00;301,181938171387;317,5;5,1395470326341;;;;;;;;;;;;;;;
2016-09-19 06:00:00;315,512145996094;304,166666667;3,7300206013418;"September";14,4;1022,9;95;16;13,6;7,2;10,8;0;6;0;0;0;0;0
2016-09-19 07:00:00;383,920967102051;350,333333333;9,5873359949808;;;;;;;;;;;;;;;
2016-09-19 08:00:00;466,829681396484;407,5;14,5594310175422;;;;;;;;;;;;;;;
2016-09-19 09:00:00;541,238098144531;476,166666667;13,6656838944667;"September";15,7;1023,1;93;19;14,6;10,8;14,4;;9;0;0;0;0;0
2016-09-19 10:00:00;568,613763809204;529,166666667;7,45456953867955;;;;;;;;;;;;;;;
2016-09-19 11:00:00;562,352596282959;561,5;0,151842614952624;;;;;;;;;;;;;;;
2016-09-19 12:00:00;566,222412109375;581,833333333;2,68305721403048;"September";16,2;1022,8;92;6;14,9;7,2;14,4;0;12;0;0;0;0;0
2016-09-19 13:00:00;532,421352386475;579,166666667;8,07113340094937;;;;;;;;;;;;;;;
2016-09-19 14:00:00;496,953369140625;567,166666667;12,3796586881576;;;;;;;;;;;;;;;
2016-09-19 15:00:00;560,265502929688;564,5;0,750132341950841;"September";17;1022;86;40;14,6;14,4;21,6;0;15;0;0;0;0;0
2016-09-19 16:00:00;481,652984619141;485,833333333;0,86044913492876;;;;;;;;;;;;;;;
2016-09-19 17:00:00;407,021392822266;393;3,56778443314647;;;;;;;;;;;;;;;
2016-09-19 18:00:00;481,786743164062;457,5;5,30857774077869;"September";15,2;1021,9;91;18;13,7;14,4;21,6;0;18;0;0;0;0;0
2016-09-19 19:00:00;514,03494644165;499,666666667;2,87557300359722;;;;;;;;;;;;;;;
2016-09-19 20:00:00;526,588073730469;473,666666667;11,17271085083;;;;;;;;;;;;;;;
2016-09-19 21:00:00;527,692016601562;470;12,2748971492686;"September";14,3;1021,8;96;7;13,7;10,8;21,6;0;21;0;0;0;0;0
2016-09-19 22:00:00;657,4912109375;583,166666667;12,7449918726135;;;;;;;;;;;;;;;
2016-09-19 23:00:00;648,816352844238;527,833333333;22,9206857299617;;;;;;;;;;;;;;;
2016-09-20 00:00:00;465,709503173828;440,166666667;5,80299201214891;"September";14,2;1021;97;4,8;13,7;0;7,2;0;0;0;0;0;0;0
2016-09-20 01:00:00;403,03910446167;404,333333333;0,320089580708441;;;;;;;;;;;;;;;
2016-09-20 02:00:00;345,132217407227;379,666666667;9,0959919033564;;;;;;;;;;;;;;;
2016-09-20 03:00:00;388,192169189453;399,833333333;2,91150416262357;"September";13,3;1020,1;98;0,3;13;3,6;3,6;0;3;0;0;0;0;0
2016-09-20 04:00:00;383,599469184875;412,166666667;6,93098200131858;;;;;;;;;;;;;;;
2016-09-20 05:00:00;294,956428527832;330;10,6192640824751;;;;;;;;;;;;;;;
2016-09-20 06:00:00;310,689544677734;313,833333333;1,00173828633105;"September";13,5;1020;99;7;13,3;7,2;10,8;0;6;0;0;0;0;0
2016-09-20 07:00:00;374,229698181152;372,833333333;0,374527898476605;;;;;;;;;;;;;;;
2016-09-20 08:00:00;446,462677001953;469,833333333;4,97424398674639;;;;;;;;;;;;;;;
2016-09-20 09:00:00;515,761291503906;491,666666667;4,90060166174032;"September";14,5;1020,5;97;4,9;14;7,2;14,4;0;9;0;0;0;0;0
2016-09-20 10:00:00;523,152267932892;533,5;1,93959363957041;;;;;;;;;;;;;;;
2016-09-20 11:00:00;543,055313110352;541,833333333;0,225526873703895;;;;;;;;;;;;;;;
2016-09-20 12:00:00;547,348327636719;589,833333333;7,20288313585283;"September";17;1019,9;86;50;14,6;7,2;14,4;0;12;0;0;0;0;0
2016-09-20 13:00:00;521,951921463013;614,166666667;15,0146125162449;;;;;;;;;;;;;;;
2016-09-20 14:00:00;489,505908966064;608,666666667;19,5773424481167;;;;;;;;;;;;;;;
2016-09-20 15:00:00;507,672210693359;568;10,6210896666621;"September";18,1;1018,5;81;19;14,8;14,4;25,2;0;15;0;0;0;0;0
2016-09-20 16:00:00;430,866165161133;482,5;10,7013129199725;;;;;;;;;;;;;;;
2016-09-20 17:00:00;350,499908447266;412,333333333;14,995980166318;;;;;;;;;;;;;;;
2016-09-20 18:00:00;463,477294921875;445,333333333;4,07424287175642;"September";15,6;1018,6;91;12;14,1;14,4;21,6;0;18;0;0;0;0;0
2016-09-20 19:00:00;512,644306182861;494,5;3,66922268611958;;;;;;;;;;;;;;;
2016-09-20 20:00:00;509,093055725098;507,666666667;0,280969610918589;;;;;;;;;;;;;;;
2016-09-20 21:00:00;513,976745605469;500,666666667;2,65847115947934;"September";14,3;1018,9;98;1,6;14;7,2;10,8;;21;0;0;0;0;0
2016-09-20 22:00:00;651,848861694336;601;8,46070910055506;;;;;;;;;;;;;;;
2016-09-20 23:00:00;571,51721572876;536,333333333;6,56007751319731;;;;;;;;;;;;;;;
