"dt_posix";"puissance";"reality";"mape";"Month";"rose_vt";"temp";"pression";"hr";"visi";"p_ros";"vt_moy";"vt_raf";"rr_3h";"Hour";"f_weekend"
2016-09-13 18:00:00;552,140686035156;505,833333333;9,15466610257399;"September";"North";17,2;1005,1;98;3,9;16,9;9,26;24,076;2;18;0
2016-09-13 19:00:00;602,762825012207;561,166666667;7,41244282955433;;;;;;;;;;;;
2016-09-13 20:00:00;598,134590148926;542,333333333;10,2891069728261;;;;;;;;;;;;
2016-09-13 21:00:00;568,58203125;512,833333333;10,8707243257139;"September";"East";17,2;1005,1;98;3;16,9;12,964;25,928;0;21;0
2016-09-13 22:00:00;677,580474853516;624,333333333;8,52863985913679;;;;;;;;;;;;
2016-09-13 23:00:00;596,729215621948;550,666666667;8,36486966493712;;;;;;;;;;;;
2016-09-14 00:00:00;511,307067871094;467,166666667;9,44853397161518;"September";"East";17,5;1005,5;97;9;17;12,964;24,076;3;0;0
2016-09-14 01:00:00;458,088138580322;405,833333333;12,875927371014;;;;;;;;;;;;
2016-09-14 02:00:00;404,570953369141;362,5;11,6057802397629;;;;;;;;;;;;
2016-09-14 03:00:00;428,636413574219;396,666666667;8,0596000606366;"September";"East";16,2;1004;97;2,9;15,7;7,408;12,964;0;3;0
2016-09-14 04:00:00;409,762393951416;407,833333333;0,473002194953234;;;;;;;;;;;;
2016-09-14 05:00:00;333,812599182129;330,833333333;0,900533757924007;;;;;;;;;;;;
2016-09-14 06:00:00;333,109161376953;317,166666667;5,02653537885539;"September";"East";15,5;1004,6;94;45;14,5;18;36;0;6;0
2016-09-14 07:00:00;388,500110626221;384,833333333;0,952822163678795;;;;;;;;;;;;
2016-09-14 08:00:00;479,520126342773;458,833333333;4,50856367812317;;;;;;;;;;;;
2016-09-14 09:00:00;521,603210449219;478,333333333;9,04596734137608;"September";"East";18;1005,9;82;29;14,9;28,8;46,8;0;9;0
2016-09-14 10:00:00;537,417294502258;504;6,6304155758449;;;;;;;;;;;;
2016-09-14 11:00:00;552,724653244019;492,333333333;12,2663479846431;;;;;;;;;;;;
2016-09-14 12:00:00;602,014465332031;519,5;15,8834389474555;"September";"South";20,2;1007,2;65;7;13,4;32,4;54;0;12;0
2016-09-14 13:00:00;593,740254402161;543,333333333;9,27734743604752;;;;;;;;;;;;
2016-09-14 14:00:00;621,695199966431;573;8,49828969745736;;;;;;;;;;;;
2016-09-14 15:00:00;504,039276123047;539;6,4862196432195;"September";"South";20,4;1007,9;62;28;12,9;25,2;46,8;0;15;0
2016-09-14 16:00:00;407,980102539062;438,833333333;7,03074002141153;;;;;;;;;;;;
2016-09-14 17:00:00;372,578125;380,5;2,08196452036794;;;;;;;;;;;;
2016-09-14 18:00:00;475,601654052734;426;11,6435807635527;"September";"East";18,6;1009,3;63;45;11,4;25,2;43,2;0;18;0
2016-09-14 19:00:00;519,338405609131;480,5;8,08291479898665;;;;;;;;;;;;
2016-09-14 20:00:00;535,986129760742;471,833333333;13,5964951807391;;;;;;;;;;;;
2016-09-14 21:00:00;541,653198242188;477,166666667;13,5144669734843;"September";"East";13,8;1010,5;89;60;12;3,6;10,8;0;21;0
2016-09-14 22:00:00;673,088562011719;607,166666667;10,8572981627257;;;;;;;;;;;;
2016-09-14 23:00:00;678,482070922852;539,833333333;25,6836191892443;;;;;;;;;;;;
2016-09-15 00:00:00;537,783935546875;445,333333333;20,7598657666042;"September";"North";13,4;1010,4;89;60;11,6;10,8;14,4;0;0;0
2016-09-15 01:00:00;471,177680969238;393,166666667;19,8417162277674;;;;;;;;;;;;
2016-09-15 02:00:00;412,484352111816;358,5;15,0583966839097;;;;;;;;;;;;
2016-09-15 03:00:00;427,658142089844;383,833333333;11,4176661980587;"September";"East";12,7;1009,8;94;60;11,8;7,2;7,2;0;3;0
2016-09-15 04:00:00;405,908002853394;396,833333333;2,28677098372143;;;;;;;;;;;;
2016-09-15 05:00:00;335,543739318848;316;6,18472763254673;;;;;;;;;;;;
2016-09-15 06:00:00;364,904418945312;294;24,1171493011267;"September";"North";13,8;1010,1;92;4,6;12,5;7,2;18;;6;0
2016-09-15 07:00:00;418,56192779541;357,5;17,0802595231916;;;;;;;;;;;;
2016-09-15 08:00:00;492,997116088867;459,166666667;7,36779297753378;;;;;;;;;;;;
2016-09-15 09:00:00;598,217834472656;503;18,9299869726951;"September";"West";14;1010,8;98;2,9;13,7;7,2;14,4;9;9;0
2016-09-15 10:00:00;611,169038772583;525,5;16,3023860651918;;;;;;;;;;;;
2016-09-15 11:00:00;636,738529205322;593,666666667;7,25522670493511;;;;;;;;;;;;
2016-09-15 12:00:00;604,412109375;615,5;1,80144445572705;"September";"West";16,4;1011,4;95;2;15,6;10,8;14,4;0;12;0
2016-09-15 13:00:00;589,674877166748;625,333333333;5,70231175366807;;;;;;;;;;;;
2016-09-15 14:00:00;562,291702270508;658;14,5453340014426;;;;;;;;;;;;
2016-09-15 15:00:00;584,580993652344;613;4,63605323779058;"September";"North";16,3;1011,8;91;19;14,8;10,8;18;1;15;0
2016-09-15 16:00:00;525,031959533691;522;0,580835159710997;;;;;;;;;;;;
2016-09-15 17:00:00;459,8203125;437;5,22203947368421;;;;;;;;;;;;
2016-09-15 18:00:00;559,833923339844;485,5;15,3107978042933;"September";"West";16,1;1012,8;94;18;15,1;7,2;10,8;;18;0
2016-09-15 19:00:00;582,991481781006;557;4,66633425152708;;;;;;;;;;;;
2016-09-15 20:00:00;604,733875274658;533,166666667;13,4230463159013;;;;;;;;;;;;
2016-09-15 21:00:00;551,069641113281;497,666666667;10,7306713555751;"September";"North";16,2;1014;96;10;15,6;14,4;25,2;0;21;0
2016-09-15 22:00:00;691,500579833984;616,5;12,1655441742067;;;;;;;;;;;;
2016-09-15 23:00:00;594,781448364258;541,833333333;9,77202984274814;;;;;;;;;;;;
2016-09-16 00:00:00;491,297607421875;442,5;11,0277078919492;"September";"West";15,9;1014,7;95;16;15,1;18;28,8;0;0;0
2016-09-16 01:00:00;420,507736206055;412,5;1,94126938328598;;;;;;;;;;;;
2016-09-16 02:00:00;380,873970031738;371,166666667;2,61534890832408;;;;;;;;;;;;
2016-09-16 03:00:00;402,241119384766;412;2,36866034350349;"September";"North";15,2;1015,4;92;40;13,9;21,6;32,4;0;3;0
2016-09-16 04:00:00;386,499096870422;407,166666667;5,07594837410415;;;;;;;;;;;;
2016-09-16 05:00:00;320,100082397461;341,833333333;6,35785010304054;;;;;;;;;;;;
2016-09-16 06:00:00;330,020721435547;328;0,616073608398438;"September";"North";15,1;1016,8;92;15;13,8;18;36;;6;0
2016-09-16 07:00:00;391,231147766113;425,666666667;8,08978517639619;;;;;;;;;;;;
2016-09-16 08:00:00;467,081558227539;461,833333333;1,13638936727742;;;;;;;;;;;;
2016-09-16 09:00:00;526,120178222656;499,166666667;5,39970181415123;"September";"North";16,4;1019;76;13;12,2;28,8;39,6;;9;0
2016-09-16 10:00:00;539,966039657593;506;6,7126560588128;;;;;;;;;;;;
2016-09-16 11:00:00;531,814878463745;536,666666667;0,904059913649409;;;;;;;;;;;;
2016-09-16 12:00:00;578,397521972656;524,833333333;10,2059425798076;"September";"North";16,6;1020,4;68;16;10,7;25,2;46,8;0;12;0
2016-09-16 13:00:00;530,253520965576;564,5;6,06669247731157;;;;;;;;;;;;
2016-09-16 14:00:00;489,501914978027;572,666666667;14,522366418322;;;;;;;;;;;;
2016-09-16 15:00:00;505,986663818359;520,833333333;2,85056054681283;"September";"North";16,7;1021,1;70;19;11,2;28,8;50,4;0;15;0
2016-09-16 16:00:00;482,582130432129;442,166666667;9,14032350511084;;;;;;;;;;;;
2016-09-16 17:00:00;490,513960838318;386,666666667;26,8570588373866;;;;;;;;;;;;
2016-09-16 18:00:00;462,678131103516;447,833333333;3,31480411697656;"September";"North";14,5;1022,6;80;55;11,1;18;39,6;0;18;0
2016-09-16 19:00:00;505,43856048584;488,166666667;3,53811413154552;;;;;;;;;;;;
2016-09-16 20:00:00;488,266443252563;493,5;1,06049782116242;;;;;;;;;;;;
2016-09-16 21:00:00;547,940490722656;511,333333333;7,15915724700394;"September";"North";13,3;1024,3;87;45;11,2;14,4;21,6;0;21;0
2016-09-16 22:00:00;684,649017333984;616,5;11,0541796162181;;;;;;;;;;;;
2016-09-16 23:00:00;697,855972290039;560,5;24,5059718626296;;;;;;;;;;;;
2016-09-17 00:00:00;592,4853515625;461,333333333;28,4289056856058;"September";"North";12,2;1024,3;94;19;11,3;7,2;14,4;;0;1
2016-09-17 01:00:00;515,766273498535;397,666666667;29,6981408628926;;;;;;;;;;;;
2016-09-17 02:00:00;429,543487548828;363,333333333;18,2229782245566;;;;;;;;;;;;
2016-09-17 03:00:00;388,011444091797;398,666666667;2,67271469277447;"September";"West";12,6;1024,5;95;19;11,8;10,8;18;0;3;1
2016-09-17 04:00:00;372,984055519104;398,666666667;6,442126542109;;;;;;;;;;;;
2016-09-17 05:00:00;347,278705596924;332,166666667;4,54953505165338;;;;;;;;;;;;
2016-09-17 06:00:00;326,566986083984;316;3,34398293796974;"September";"North";12,3;1024,7;96;18;11,7;3,6;18;0;6;1
2016-09-17 07:00:00;361,463493347168;369,166666667;2,08663837105872;;;;;;;;;;;;
2016-09-17 08:00:00;452,173980712891;452,166666667;0,00161755530201346;;;;;;;;;;;;
2016-09-17 09:00:00;529,832092285156;515,166666667;2,84673418663477;"September";"North";15,9;1025,3;79;35;12,3;18;28,8;0;9;1
2016-09-17 10:00:00;602,871765136719;510,833333333;18,0173112829583;;;;;;;;;;;;
2016-09-17 11:00:00;569,55041885376;534,833333333;6,49119704346177;;;;;;;;;;;;
2016-09-17 12:00:00;572,023742675781;524,5;9,06077076754647;"September";"North";17,3;1025;67;25;11,1;18;28,8;0;12;1
2016-09-17 13:00:00;531,16157913208;567,333333333;6,37574985915533;;;;;;;;;;;;
2016-09-17 14:00:00;484,41527557373;606,166666667;20,085464574078;;;;;;;;;;;;
2016-09-17 15:00:00;497,22412109375;556,666666667;10,6783015999786;"September";"North";16,2;1024,1;71;40;10,9;18;32,4;0;15;1
2016-09-17 16:00:00;467,836790084839;449;4,1952761881601;;;;;;;;;;;;
2016-09-17 17:00:00;465,925439834595;401,666666667;15,9980348134958;;;;;;;;;;;;
2016-09-17 18:00:00;457,138793945312;454;0,691364305134912;"September";"North";14,5;1024,2;82;55;11,5;7,2;21,6;0;18;1
2016-09-17 19:00:00;491,669319152832;489,666666667;0,408982808542679;;;;;;;;;;;;
2016-09-17 20:00:00;497,383850097656;499,833333333;0,490060000402541;;;;;;;;;;;;
2016-09-17 21:00:00;544,59912109375;517,666666667;5,20266344367019;"September";"West";12;1024,4;94;17;11,1;7,2;10,8;0;21;1
2016-09-17 22:00:00;690,727416992188;628,666666667;9,87180545999278;;;;;;;;;;;;
2016-09-17 23:00:00;679,37353515625;571,333333333;18,9101870169159;;;;;;;;;;;;
2016-09-18 00:00:00;588,309936523438;473,666666667;24,2033645016939;"September";"West";9,8;1024,2;97;6;9,3;7,2;7,2;0;0;1
2016-09-18 01:00:00;500,574340820312;430,833333333;16,1874678887504;;;;;;;;;;;;
2016-09-18 02:00:00;420,610092163086;390,166666667;7,802672062211;;;;;;;;;;;;
2016-09-18 03:00:00;398,969879150391;418,5;4,66669554351478;"September";"West";10,1;1023,7;98;0,6;9,8;3,6;10,8;0;3;1
2016-09-18 04:00:00;395,712107419968;412,666666667;4,10853616648271;;;;;;;;;;;;
2016-09-18 05:00:00;349,79736328125;348;0,516483701508621;;;;;;;;;;;;
2016-09-18 06:00:00;327,312896728516;311,5;5,07637134141754;"September";"North";10,4;1023,4;99;0,3;10,2;3,6;10,8;0;6;1
2016-09-18 07:00:00;367,913021087646;359,833333333;2,24539724538786;;;;;;;;;;;;
2016-09-18 08:00:00;439,059196472168;434,333333333;1,08807286396891;;;;;;;;;;;;
2016-09-18 09:00:00;535,857238769531;515;4,04994927563714;"September";"North";15,2;1023,5;79;18;11,6;7,2;18;0;9;1
2016-09-18 10:00:00;561,748327255249;553;1,58197599552424;;;;;;;;;;;;
2016-09-18 11:00:00;531,37576007843;582,333333333;8,75058498934156;;;;;;;;;;;;
2016-09-18 12:00:00;578,173095703125;581,333333333;0,543618858350376;"September";"West";18;1023,2;63;35;10,8;10,8;25,2;0;12;1
2016-09-18 13:00:00;540,069671630859;582;7,20452377476643;;;;;;;;;;;;
2016-09-18 14:00:00;504,01634979248;572,166666667;11,9109205140367;;;;;;;;;;;;
2016-09-18 15:00:00;487,973815917969;547,333333333;10,8452224266262;"September";"West";17,7;1023,2;62;50;10,3;10,8;25,2;0;15;1
2016-09-18 16:00:00;461,969247817993;451,333333333;2,35655416949801;;;;;;;;;;;;
2016-09-18 17:00:00;455,95601272583;378,166666667;20,5701223601837;;;;;;;;;;;;
2016-09-18 18:00:00;463,695037841797;400,166666667;15,8754780111813;"September";"North";15,7;1023,5;75;55;11,3;3,6;14,4;0;18;1
2016-09-18 19:00:00;512,429618835449;445,166666667;15,10961111982;;;;;;;;;;;;
2016-09-18 20:00:00;484,893211364746;453,833333333;6,84389526957817;;;;;;;;;;;;
2016-09-18 21:00:00;532,572631835938;450,5;18,2181202743479;"September";"North";14,2;1023,5;86;35;11,9;0;3,6;0;21;1
2016-09-18 22:00:00;674,535873413086;580,166666667;16,265878784148;;;;;;;;;;;;
2016-09-18 23:00:00;662,905899047852;527;25,7885956447536;;;;;;;;;;;;
2016-09-19 00:00:00;552,521728515625;453,833333333;21,745514913558;"September";"West";13,3;1023,3;93;14;12,2;3,6;7,2;0;0;0
2016-09-19 01:00:00;483,095085144043;406,166666667;18,9401112376643;;;;;;;;;;;;
2016-09-19 02:00:00;413,496047973633;370,166666667;11,705370906779;;;;;;;;;;;;
2016-09-19 03:00:00;389,237243652344;391,166666667;0,493248320746814;"September";"South";13,6;1023;96;22;13;3,6;3,6;0;3;0
2016-09-19 04:00:00;375,9929895401;402,333333333;6,54689572317855;;;;;;;;;;;;
2016-09-19 05:00:00;292,37174987793;317,5;7,91440948726624;;;;;;;;;;;;
2016-09-19 06:00:00;319,790466308594;304,166666667;5,13659166298409;"September";"South";14,4;1022,9;95;16;13,6;7,2;10,8;0;6;0
2016-09-19 07:00:00;394,434944152832;350,333333333;12,5884712140459;;;;;;;;;;;;
2016-09-19 08:00:00;470,463943481445;407,5;15,4512744739743;;;;;;;;;;;;
2016-09-19 09:00:00;537,829040527344;476,166666667;12,949745997963;"September";"South";15,7;1023,1;93;19;14,6;10,8;14,4;;9;0
2016-09-19 10:00:00;564,654468536377;529,166666667;6,70635625877568;;;;;;;;;;;;
2016-09-19 11:00:00;555,429656982422;561,5;1,0810940369685;;;;;;;;;;;;
2016-09-19 12:00:00;578,103881835938;581,833333333;0,640982783797997;"September";"West";16,2;1022,8;92;6;14,9;7,2;14,4;0;12;0
2016-09-19 13:00:00;545,160778045654;579,166666667;5,87152033749515;;;;;;;;;;;;
2016-09-19 14:00:00;516,041915893555;567,166666667;9,01406125890366;;;;;;;;;;;;
2016-09-19 15:00:00;566,489440917969;564,5;0,352425317620682;"September";"North";17;1022;86;40;14,6;14,4;21,6;0;15;0
2016-09-19 16:00:00;482,845390319824;485,833333333;0,615013999281883;;;;;;;;;;;;
2016-09-19 17:00:00;410,554153442383;393;4,46670571052998;;;;;;;;;;;;
2016-09-19 18:00:00;470,032012939453;457,5;2,73923780097336;"September";"North";15,2;1021,9;91;18;13,7;14,4;21,6;0;18;0
2016-09-19 19:00:00;506,032905578613;499,666666667;1,2740971804421;;;;;;;;;;;;
2016-09-19 20:00:00;511,419105529785;473,666666667;7,97025451008274;;;;;;;;;;;;
2016-09-19 21:00:00;548,55078125;470;16,7129321808511;"September";"West";14,3;1021,8;96;7;13,7;10,8;21,6;0;21;0
2016-09-19 22:00:00;675,259330749512;583,166666667;15,7918257929338;;;;;;;;;;;;
2016-09-19 23:00:00;675,204124450684;527,833333333;27,9199477962318;;;;;;;;;;;;
2016-09-20 00:00:00;467,525268554688;440,166666667;6,21550970564182;"September";"North";14,2;1021;97;4,8;13,7;0;7,2;0;0;0
2016-09-20 01:00:00;395,17163848877;404,333333333;2,26587671333174;;;;;;;;;;;;
2016-09-20 02:00:00;346,905860900879;379,666666667;8,62883382776796;;;;;;;;;;;;
2016-09-20 03:00:00;384,230285644531;399,833333333;3,90238791708589;"September";"East";13,3;1020,1;98;0,3;13;3,6;3,6;0;3;0
2016-09-20 04:00:00;376,207728385925;412,166666667;8,72436836580161;;;;;;;;;;;;
2016-09-20 05:00:00;289,911735534668;330;12,1479589288885;;;;;;;;;;;;
2016-09-20 06:00:00;309,735900878906;313,833333333;1,30560779206524;"September";"North";13,5;1020;99;7;13,3;7,2;10,8;0;6;0
2016-09-20 07:00:00;369,993209838867;372,833333333;0,761767588950023;;;;;;;;;;;;
2016-09-20 08:00:00;448,956329345703;469,833333333;4,4434914481685;;;;;;;;;;;;
2016-09-20 09:00:00;521,413391113281;491,666666667;6,05018124330734;"September";"North";14,5;1020,5;97;4,9;14;7,2;14,4;0;9;0
2016-09-20 10:00:00;529,567639350891;533,5;0,737087281932312;;;;;;;;;;;;
2016-09-20 11:00:00;539,954923629761;541,833333333;0,346676660087442;;;;;;;;;;;;
2016-09-20 12:00:00;532,48046875;589,833333333;9,72357127714594;"September";"North";17;1019,9;86;50;14,6;7,2;14,4;0;12;0
2016-09-20 13:00:00;500,362697601318;614,166666667;18,5298185724211;;;;;;;;;;;;
2016-09-20 14:00:00;480,244060516357;608,666666667;21,09900429637;;;;;;;;;;;;
2016-09-20 15:00:00;505,446563720703;568;11,0129289224114;"September";"North";18,1;1018,5;81;19;14,8;14,4;25,2;0;15;0
2016-09-20 16:00:00;426,967979431152;482,5;11,5092270609011;;;;;;;;;;;;
2016-09-20 17:00:00;349,844589233398;412,333333333;15,1549096442163;;;;;;;;;;;;
2016-09-20 18:00:00;453,457122802734;445,333333333;1,82420422224711;"September";"North";15,6;1018,6;91;12;14,1;14,4;21,6;0;18;0
2016-09-20 19:00:00;510,001724243164;494,5;3,13482795615047;;;;;;;;;;;;
2016-09-20 20:00:00;497,245128631592;507,666666667;2,0528308671178;;;;;;;;;;;;
2016-09-20 21:00:00;495,256927490234;500,666666667;1,08050715914022;"September";"North";14,3;1018,9;98;1,6;14;7,2;10,8;;21;0
2016-09-20 22:00:00;641,943481445312;601;6,81255930870424;;;;;;;;;;;;
2016-09-20 23:00:00;550,053588867188;536,333333333;2,55815827237961;;;;;;;;;;;;
