"dt_posix";"puissance";"reality";"mape";"Month";"rose_vt";"temp";"pression";"hr";"p_ros";"visi";"vt_raf";"rr_3h";"nebul";"Hour";"f_evening";"f_weekend"
2016-09-14 19:00:00;499,163646697998;480,5;3,88421367284038;;;;;;;;;;;;;
2016-09-14 20:00:00;502,461032867432;471,833333333;6,49121148734439;;;;;;;;;;;;;
2016-09-14 21:00:00;510,364807128906;477,166666667;6,9573469357771;"September";"East";13,8;1010,5;89;12;60;10,8;0;;21;1;0
2016-09-14 22:00:00;643,840026855469;607,166666667;6,040081282753;;;;;;;;;;;;;
2016-09-14 23:00:00;650,934494018555;539,833333333;20,5806410655678;;;;;;;;;;;;;
2016-09-15 00:00:00;518,01708984375;445,333333333;16,3212028093124;"September";"North";13,4;1010,4;89;11,6;60;14,4;0;8;0;0;0
2016-09-15 01:00:00;454,161785125732;393,166666667;15,5138071535432;;;;;;;;;;;;;
2016-09-15 02:00:00;414,456985473633;358,5;15,6086430888794;;;;;;;;;;;;;
2016-09-15 03:00:00;370,872833251953;383,833333333;3,3765957657989;"September";"East";12,7;1009,8;94;11,8;60;7,2;0;7;3;0;0
2016-09-15 04:00:00;352,494115829468;396,833333333;11,1732593457126;;;;;;;;;;;;;
2016-09-15 05:00:00;306,440849304199;316;3,02504768854455;;;;;;;;;;;;;
2016-09-15 06:00:00;320,360534667969;294;8,96616825441114;"September";"North";13,8;1010,1;92;12,5;4,6;18;;8;6;0;0
2016-09-15 07:00:00;375,483085632324;357,5;5,03023374330747;;;;;;;;;;;;;
2016-09-15 08:00:00;457,31477355957;459,166666667;0,403316103251185;;;;;;;;;;;;;
2016-09-15 09:00:00;533,345092773438;503;6,03282162493787;"September";"West";14;1010,8;98;13,7;2,9;14,4;9;8;9;0;0
2016-09-15 10:00:00;552,639415740967;525,5;5,16449395641614;;;;;;;;;;;;;
2016-09-15 11:00:00;568,101058959961;593,666666667;4,30639096693285;;;;;;;;;;;;;
2016-09-15 12:00:00;569,054931640625;615,5;7,54590875050772;"September";"West";16,4;1011,4;95;15,6;2;14,4;0;8;12;0;0
2016-09-15 13:00:00;556,812293052673;625,333333333;10,9575224328939;;;;;;;;;;;;;
2016-09-15 14:00:00;554,805458068848;658;15,6830610837618;;;;;;;;;;;;;
2016-09-15 15:00:00;515,705444335938;613;15,8718687869596;"September";"North";16,3;1011,8;91;14,8;19;18;1;8;15;0;0
2016-09-15 16:00:00;453,670211791992;522;13,0899977409977;;;;;;;;;;;;;
2016-09-15 17:00:00;408,511222839355;437;6,51917097497587;;;;;;;;;;;;;
2016-09-15 18:00:00;480,418426513672;485,5;1,04666807133432;"September";"West";16,1;1012,8;94;15,1;18;10,8;;8;18;1;0
2016-09-15 19:00:00;519,128040313721;557;6,79927462949359;;;;;;;;;;;;;
2016-09-15 20:00:00;511,697978973389;533,166666667;4,02663726669544;;;;;;;;;;;;;
2016-09-15 21:00:00;512,607666015625;497,666666667;3,0022101839146;"September";"North";16,2;1014;96;15,6;10;25,2;0;8;21;1;0
2016-09-15 22:00:00;631,62850189209;616,5;2,45393380244766;;;;;;;;;;;;;
2016-09-15 23:00:00;582,325996398926;541,833333333;7,4732690986067;;;;;;;;;;;;;
2016-09-16 00:00:00;465,008026123047;442,5;5,0865595758298;"September";"West";15,9;1014,7;95;15,1;16;28,8;0;8;0;0;0
2016-09-16 01:00:00;397,057487487793;412,5;3,74363939689867;;;;;;;;;;;;;
2016-09-16 02:00:00;363,326545715332;371,166666667;2,11229123080223;;;;;;;;;;;;;
2016-09-16 03:00:00;383,253540039062;412;6,97729610702366;"September";"North";15,2;1015,4;92;13,9;40;32,4;0;8;3;0;0
2016-09-16 04:00:00;365,950410842896;407,166666667;10,1226989334599;;;;;;;;;;;;;
2016-09-16 05:00:00;325,333156585693;341,833333333;4,82696540633527;;;;;;;;;;;;;
2016-09-16 06:00:00;322,205078125;328;1,76674447408537;"September";"North";15,1;1016,8;92;13,8;15;36;;8;6;0;0
2016-09-16 07:00:00;385,189437866211;425,666666667;9,50913754128991;;;;;;;;;;;;;
2016-09-16 08:00:00;449,23770904541;461,833333333;2,72730948125563;;;;;;;;;;;;;
2016-09-16 09:00:00;506,556457519531;499,166666667;1,48042554641595;"September";"North";16,4;1019;76;12,2;13;39,6;;6;9;0;0
2016-09-16 10:00:00;525,933164596558;506;3,93936059220506;;;;;;;;;;;;;
2016-09-16 11:00:00;539,478485107422;536,666666667;0,523941324301895;;;;;;;;;;;;;
2016-09-16 12:00:00;544,2548828125;524,833333333;3,70051752547075;"September";"North";16,6;1020,4;68;10,7;16;46,8;0;7;12;0;0
2016-09-16 13:00:00;499,390300750732;564,5;11,5340476969473;;;;;;;;;;;;;
2016-09-16 14:00:00;474,94416809082;572,666666667;17,0644642449574;;;;;;;;;;;;;
2016-09-16 15:00:00;485,465789794922;520,833333333;6,79056835931535;"September";"North";16,7;1021,1;70;11,2;19;50,4;0;8;15;0;0
2016-09-16 16:00:00;459,487619400024;442,166666667;3,91729047863053;;;;;;;;;;;;;
2016-09-16 17:00:00;479,094419002533;386,666666667;23,9037290522724;;;;;;;;;;;;;
2016-09-16 18:00:00;448,138244628906;447,833333333;0,0680858866929272;"September";"North";14,5;1022,6;80;11,1;55;39,6;0;;18;1;0
2016-09-16 19:00:00;487,105438232422;488,166666667;0,217390597728388;;;;;;;;;;;;;
2016-09-16 20:00:00;494,311477661133;493,5;0,164433163350114;;;;;;;;;;;;;
2016-09-16 21:00:00;508,461273193359;511,333333333;0,561680600973106;"September";"North";13,3;1024,3;87;11,2;45;21,6;0;;21;1;0
2016-09-16 22:00:00;640,725799560547;616,5;3,92957008281377;;;;;;;;;;;;;
2016-09-16 23:00:00;662,027893066406;560,5;18,1138078619815;;;;;;;;;;;;;
2016-09-17 00:00:00;552,667175292969;461,333333333;19,7977981127243;"September";"North";12,2;1024,3;94;11,3;19;14,4;;;0;0;1
2016-09-17 01:00:00;456,06859588623;397,666666667;14,6861515220071;;;;;;;;;;;;;
2016-09-17 02:00:00;395,103958129883;363,333333333;8,74420865970054;;;;;;;;;;;;;
2016-09-17 03:00:00;375,957733154297;398,666666667;5,69622078077362;"September";"West";12,6;1024,5;95;11,8;19;18;0;;3;0;1
2016-09-17 04:00:00;365,398198127747;398,666666667;8,34493358007331;;;;;;;;;;;;;
2016-09-17 05:00:00;328,546615600586;332,166666667;1,08982972395698;;;;;;;;;;;;;
2016-09-17 06:00:00;313,559722900391;316;0,772239588483979;"September";"North";12,3;1024,7;96;11,7;18;18;0;8;6;0;1
2016-09-17 07:00:00;337,667524337769;369,166666667;8,53249905079991;;;;;;;;;;;;;
2016-09-17 08:00:00;423,444900512695;452,166666667;6,35203084871733;;;;;;;;;;;;;
2016-09-17 09:00:00;501,428131103516;515,166666667;2,66681376191694;"September";"North";15,9;1025,3;79;12,3;35;28,8;0;7;9;0;1
2016-09-17 10:00:00;557,288028717041;510,833333333;9,09390447975296;;;;;;;;;;;;;
2016-09-17 11:00:00;561,571060180664;534,833333333;4,99926335575207;;;;;;;;;;;;;
2016-09-17 12:00:00;546,634643554688;524,5;4,22014176447807;"September";"North";17,3;1025;67;11,1;25;28,8;0;7;12;0;1
2016-09-17 13:00:00;503,243019104004;567,333333333;11,2967651402527;;;;;;;;;;;;;
2016-09-17 14:00:00;476,151092529297;606,166666667;21,448816189876;;;;;;;;;;;;;
2016-09-17 15:00:00;459,659515380859;556,666666667;17,4264343627693;"September";"North";16,2;1024,1;71;10,9;40;32,4;0;;15;0;1
2016-09-17 16:00:00;430,379962921143;449;4,14700157658294;;;;;;;;;;;;;
2016-09-17 17:00:00;419,633518218994;401,666666667;4,47307507518155;;;;;;;;;;;;;
2016-09-17 18:00:00;442,512908935547;454;2,53019626970333;"September";"North";14,5;1024,2;82;11,5;55;21,6;0;;18;1;1
2016-09-17 19:00:00;480,796871185303;489,666666667;1,81139458441618;;;;;;;;;;;;;
2016-09-17 20:00:00;487,992164611816;499,833333333;2,3690234187112;;;;;;;;;;;;;
2016-09-17 21:00:00;501,388732910156;517,666666667;3,14448173023179;"September";"West";12;1024,4;94;11,1;17;10,8;0;;21;1;1
2016-09-17 22:00:00;639,027725219727;628,666666667;1,64810051209774;;;;;;;;;;;;;
2016-09-17 23:00:00;640,697280883789;571,333333333;12,1407142737741;;;;;;;;;;;;;
2016-09-18 00:00:00;535,961791992188;473,666666667;13,1516802234645;"September";"West";9,8;1024,2;97;9,3;6;7,2;0;;0;0;1
2016-09-18 01:00:00;456,7939453125;430,833333333;6,0256739604302;;;;;;;;;;;;;
2016-09-18 02:00:00;391,491485595703;390,166666667;0,339552053490468;;;;;;;;;;;;;
2016-09-18 03:00:00;390,963653564453;418,5;6,57977214708408;"September";"West";10,1;1023,7;98;9,8;0,6;10,8;0;;3;0;1
2016-09-18 04:00:00;386,359052658081;412,666666667;6,37502762735809;;;;;;;;;;;;;
2016-09-18 05:00:00;322,78596496582;348;7,24541236614359;;;;;;;;;;;;;
2016-09-18 06:00:00;317,028717041016;311,5;1,77486903403391;"September";"North";10,4;1023,4;99;10,2;0,3;10,8;0;;6;0;1
2016-09-18 07:00:00;356,429187774658;359,833333333;0,946033967117629;;;;;;;;;;;;;
2016-09-18 08:00:00;424,790168762207;434,333333333;2,19719828951656;;;;;;;;;;;;;
2016-09-18 09:00:00;513,473205566406;515;0,296464938561893;"September";"North";15,2;1023,5;79;11,6;18;18;0;;9;0;1
2016-09-18 10:00:00;539,802320480347;553;2,38656049179988;;;;;;;;;;;;;
2016-09-18 11:00:00;549,670642852783;582,333333333;5,60893368292539;;;;;;;;;;;;;
2016-09-18 12:00:00;550,361694335938;581,333333333;5,32769019445189;"September";"West";18;1023,2;63;10,8;35;25,2;0;7;12;0;1
2016-09-18 13:00:00;506,998207092285;582;12,8869059978891;;;;;;;;;;;;;
2016-09-18 14:00:00;480,78296661377;572,166666667;15,9715176323642;;;;;;;;;;;;;
2016-09-18 15:00:00;475,685668945312;547,333333333;13,0903162705964;"September";"West";17,7;1023,2;62;10,3;50;25,2;0;8;15;0;1
2016-09-18 16:00:00;450,428153991699;451,333333333;0,200556722592637;;;;;;;;;;;;;
2016-09-18 17:00:00;448,457481384277;378,166666667;18,5872581887744;;;;;;;;;;;;;
2016-09-18 18:00:00;457,896209716797;400,166666667;14,4263747729485;"September";"North";15,7;1023,5;75;11,3;55;14,4;0;8;18;1;1
2016-09-18 19:00:00;493,979957580566;445,166666667;10,9651720509614;;;;;;;;;;;;;
2016-09-18 20:00:00;487,779718399048;453,833333333;7,47992326097821;;;;;;;;;;;;;
2016-09-18 21:00:00;494,448822021484;450,5;9,75556537657811;"September";"North";14,2;1023,5;86;11,9;35;3,6;0;8;21;1;1
2016-09-18 22:00:00;628,729263305664;580,166666667;8,37045618591833;;;;;;;;;;;;;
2016-09-18 23:00:00;615,989906311035;527;16,8861302297979;;;;;;;;;;;;;
2016-09-19 00:00:00;515,283935546875;453,833333333;13,5403456953184;"September";"West";13,3;1023,3;93;12,2;14;7,2;0;8;0;0;0
2016-09-19 01:00:00;452,43236541748;406,166666667;11,390816270113;;;;;;;;;;;;;
2016-09-19 02:00:00;387,264587402344;370,166666667;4,61897903700901;;;;;;;;;;;;;
2016-09-19 03:00:00;372,708526611328;391,166666667;4,71874053404077;"September";"South";13,6;1023;96;13;22;3,6;0;8;3;0;0
2016-09-19 04:00:00;362,746368408203;402,333333333;9,83934505173894;;;;;;;;;;;;;
2016-09-19 05:00:00;302,946754455566;317,5;4,58369938407357;;;;;;;;;;;;;
2016-09-19 06:00:00;307,134643554688;304,166666667;0,975773223348241;"September";"South";14,4;1022,9;95;13,6;16;10,8;0;8;6;0;0
2016-09-19 07:00:00;374,189872741699;350,333333333;6,80966871799865;;;;;;;;;;;;;
2016-09-19 08:00:00;442,562408447266;407,5;8,60427201159893;;;;;;;;;;;;;
2016-09-19 09:00:00;513,180358886719;476,166666667;7,77326402933696;"September";"South";15,7;1023,1;93;14,6;19;14,4;;8;9;0;0
2016-09-19 10:00:00;550,034832000732;529,166666667;3,94359029928554;;;;;;;;;;;;;
2016-09-19 11:00:00;520,191672801971;561,5;7,35678133535682;;;;;;;;;;;;;
2016-09-19 12:00:00;541,504272460938;581,833333333;6,9313768327847;"September";"West";16,2;1022,8;92;14,9;6;14,4;0;8;12;0;0
2016-09-19 13:00:00;534,056840896606;579,166666667;7,78874689560303;;;;;;;;;;;;;
2016-09-19 14:00:00;539,782866120338;567,166666667;4,82817523596452;;;;;;;;;;;;;
2016-09-19 15:00:00;517,742431640625;564,5;8,28300590954384;"September";"North";17;1022;86;14,6;40;21,6;0;8;15;0;0
2016-09-19 16:00:00;458,22737121582;485,833333333;5,68218774281961;;;;;;;;;;;;;
2016-09-19 17:00:00;399,786338806152;393;1,72680376746879;;;;;;;;;;;;;
2016-09-19 18:00:00;458,871826171875;457,5;0,299852715163934;"September";"North";15,2;1021,9;91;13,7;18;21,6;0;8;18;1;0
2016-09-19 19:00:00;502,524242401123;499,666666667;0,57189641109829;;;;;;;;;;;;;
2016-09-19 20:00:00;498,841464996338;473,666666667;5,3148764945785;;;;;;;;;;;;;
2016-09-19 21:00:00;506,790832519531;470;7,82783670628324;"September";"West";14,3;1021,8;96;13,7;7;21,6;0;8;21;1;0
2016-09-19 22:00:00;624,265098571777;583,166666667;7,04745902910899;;;;;;;;;;;;;
2016-09-19 23:00:00;628,719856262207;527,833333333;19,1133292572032;;;;;;;;;;;;;
2016-09-20 00:00:00;449,408081054688;440,166666667;2,09952617667864;"September";"North";14,2;1021;97;13,7;4,8;7,2;0;8;0;0;0
2016-09-20 01:00:00;387,897079467773;404,333333333;4,06502568802311;;;;;;;;;;;;;
2016-09-20 02:00:00;349,177734375;379,666666667;8,0304474869113;;;;;;;;;;;;;
2016-09-20 03:00:00;371,147735595703;399,833333333;7,17438876298144;"September";"East";13,3;1020,1;98;13;0,3;3,6;0;7;3;0;0
2016-09-20 04:00:00;369,013818979263;412,166666667;10,4697568186903;;;;;;;;;;;;;
2016-09-20 05:00:00;301,694137573242;330;8,57753406871449;;;;;;;;;;;;;
2016-09-20 06:00:00;301,409301757812;313,833333333;3,95879922736081;"September";"North";13,5;1020;99;13,3;7;10,8;0;8;6;0;0
2016-09-20 07:00:00;362,722202301025;372,833333333;2,71197077299516;;;;;;;;;;;;;
2016-09-20 08:00:00;430,272094726562;469,833333333;8,42027072148965;;;;;;;;;;;;;
2016-09-20 09:00:00;495,758453369141;491,666666667;0,832227803824644;"September";"North";14,5;1020,5;97;14;4,9;14,4;0;8;9;0;0
2016-09-20 10:00:00;511,003333091736;533,5;4,21680729302046;;;;;;;;;;;;;
2016-09-20 11:00:00;528,759918212891;541,833333333;2,41281115720408;;;;;;;;;;;;;
2016-09-20 12:00:00;525,020935058594;589,833333333;10,9882562771025;"September";"North";17;1019,9;86;14,6;50;14,4;0;8;12;0;0
2016-09-20 13:00:00;526,716437220573;614,166666667;14,2388433291255;;;;;;;;;;;;;
2016-09-20 14:00:00;524,327850043774;608,666666667;13,8563225558346;;;;;;;;;;;;;
2016-09-20 15:00:00;484,442260742188;568;14,710869587643;"September";"North";18,1;1018,5;81;14,8;19;25,2;0;7;15;0;0
2016-09-20 16:00:00;400,730987548828;482,5;16,9469455857351;;;;;;;;;;;;;
2016-09-20 17:00:00;336,87060546875;412,333333333;18,3013891344327;;;;;;;;;;;;;
2016-09-20 18:00:00;452,591400146484;445,333333333;1,62980542219083;"September";"North";15,6;1018,6;91;14,1;12;21,6;0;8;18;1;0
2016-09-20 19:00:00;500,595638275146;494,5;1,23268721438756;;;;;;;;;;;;;
2016-09-20 20:00:00;489,542915344238;507,666666667;3,57001010953707;;;;;;;;;;;;;
2016-09-20 21:00:00;512,489929199219;500,666666667;2,36150383466262;"September";"North";14,3;1018,9;98;14;1,6;10,8;;8;21;1;0
2016-09-20 22:00:00;644,876876831055;601;7,30064506340344;;;;;;;;;;;;;
2016-09-20 23:00:00;541,125865936279;536,333333333;0,893573512109801;;;;;;;;;;;;;
