"dt_posix";"puissance";"reality";"mape";"Month";"rose_vt";"temp";"pression";"hr";"p_ros";"visi";"vt_moy";"vt_raf";"rr_3h";"Hour";"f_evening";"f_weekend"
2016-09-14 07:00:00;374,395427703857;384,833333333;2,71231848310566;;;;;;;;;;;;;
2016-09-14 08:00:00;441,848052978516;458,833333333;3,7018409780959;;;;;;;;;;;;;
2016-09-14 09:00:00;482,454010009766;478,333333333;0,861465507338365;"September";"East";18;1005,9;82;14,9;29;28,8;46,8;0;9;0;0
2016-09-14 10:00:00;503,861148834229;504;0,0275498344784691;;;;;;;;;;;;;
2016-09-14 11:00:00;508,816919326782;492,333333333;3,34805402717537;;;;;;;;;;;;;
2016-09-14 12:00:00;543,747009277344;519,5;4,66737425935395;"September";"South";20,2;1007,2;65;13,4;7;32,4;54;0;12;0;0
2016-09-14 13:00:00;542,026815533638;543,333333333;0,240463398655738;;;;;;;;;;;;;
2016-09-14 14:00:00;561,594354629517;573;1,99051402626237;;;;;;;;;;;;;
2016-09-14 15:00:00;473,112426757812;539;12,224039562558;"September";"South";20,4;1007,9;62;12,9;28;25,2;46,8;0;15;0;0
2016-09-14 16:00:00;388,119125366211;438,833333333;11,556598853056;;;;;;;;;;;;;
2016-09-14 17:00:00;364,217437744141;380,5;4,27925420653334;;;;;;;;;;;;;
2016-09-14 18:00:00;453,644287109375;426;6,48926927450117;"September";"East";18,6;1009,3;63;11,4;45;25,2;43,2;0;18;1;0
2016-09-14 19:00:00;511,999851226807;480,5;6,55564021369545;;;;;;;;;;;;;
2016-09-14 20:00:00;508,239601135254;471,833333333;7,71591687791162;;;;;;;;;;;;;
2016-09-14 21:00:00;502,699676513672;477,166666667;5,35096259447866;"September";"East";13,8;1010,5;89;12;60;3,6;10,8;0;21;1;0
2016-09-14 22:00:00;632,863372802734;607,166666667;4,23223268773873;;;;;;;;;;;;;
2016-09-14 23:00:00;633,26953125;539,833333333;17,30834169504;;;;;;;;;;;;;
2016-09-15 00:00:00;541,239013671875;445,333333333;21,5357066629372;"September";"North";13,4;1010,4;89;11,6;60;10,8;14,4;0;0;0;0
2016-09-15 01:00:00;479,378227233887;393,166666667;21,9274846715083;;;;;;;;;;;;;
2016-09-15 02:00:00;436,060592651367;358,5;21,6347538776477;;;;;;;;;;;;;
2016-09-15 03:00:00;374,163116455078;383,833333333;2,5193791258177;"September";"East";12,7;1009,8;94;11,8;60;7,2;7,2;0;3;0;0
2016-09-15 04:00:00;351,600835800171;396,833333333;11,3983614110543;;;;;;;;;;;;;
2016-09-15 05:00:00;299,692924499512;316;5,16046693053427;;;;;;;;;;;;;
2016-09-15 06:00:00;320,370513916016;294;8,9695625564679;"September";"North";13,8;1010,1;92;12,5;4,6;7,2;18;;6;0;0
2016-09-15 07:00:00;374,103408813477;357,5;4,64431015761582;;;;;;;;;;;;;
2016-09-15 08:00:00;449,131546020508;459,166666667;2,18550721883519;;;;;;;;;;;;;
2016-09-15 09:00:00;555,119934082031;503;10,361815920881;"September";"West";14;1010,8;98;13,7;2,9;7,2;14,4;9;9;0;0
2016-09-15 10:00:00;559,041846990585;525,5;6,38284433693346;;;;;;;;;;;;;
2016-09-15 11:00:00;597,799644470215;593,666666667;0,696178181338444;;;;;;;;;;;;;
2016-09-15 12:00:00;568,631896972656;615,5;7,6146389971314;"September";"West";16,4;1011,4;95;15,6;2;10,8;14,4;0;12;0;0
2016-09-15 13:00:00;551,421009063721;625,333333333;11,8196680601256;;;;;;;;;;;;;
2016-09-15 14:00:00;564,285761356354;658;14,2422855081529;;;;;;;;;;;;;
2016-09-15 15:00:00;514,016967773438;613;16,147313576927;"September";"North";16,3;1011,8;91;14,8;19;10,8;18;1;15;0;0
2016-09-15 16:00:00;454,497592926025;522;12,9314956080411;;;;;;;;;;;;;
2016-09-15 17:00:00;406,320701599121;437;7,02043441667709;;;;;;;;;;;;;
2016-09-15 18:00:00;482,142364501953;485,5;0,691583006806771;"September";"West";16,1;1012,8;94;15,1;18;7,2;10,8;;18;1;0
2016-09-15 19:00:00;530,795299530029;557;4,70461408796602;;;;;;;;;;;;;
2016-09-15 20:00:00;517,286998748779;533,166666667;2,97836847481289;;;;;;;;;;;;;
2016-09-15 21:00:00;514,768005371094;497,666666667;3,43630382533468;"September";"North";16,2;1014;96;15,6;10;14,4;25,2;0;21;1;0
2016-09-15 22:00:00;637,989906311035;616,5;3,48579177794569;;;;;;;;;;;;;
2016-09-15 23:00:00;570,468360900879;541,833333333;5,284840523143;;;;;;;;;;;;;
2016-09-16 00:00:00;472,903411865234;442,5;6,87082754016596;"September";"West";15,9;1014,7;95;15,1;16;18;28,8;0;0;0;0
2016-09-16 01:00:00;399,46167755127;412,5;3,16080544211648;;;;;;;;;;;;;
2016-09-16 02:00:00;363,548553466797;371,166666667;2,05247773691863;;;;;;;;;;;;;
2016-09-16 03:00:00;381,322174072266;412;7,44607425430446;"September";"North";15,2;1015,4;92;13,9;40;21,6;32,4;0;3;0;0
2016-09-16 04:00:00;362,636222839355;407,166666667;10,936662421844;;;;;;;;;;;;;
2016-09-16 05:00:00;322,789276123047;341,833333333;5,57115276742224;;;;;;;;;;;;;
2016-09-16 06:00:00;316,473419189453;328;3,51420146663015;"September";"North";15,1;1016,8;92;13,8;15;18;36;;6;0;0
2016-09-16 07:00:00;374,207336425781;425,666666667;12,089114387121;;;;;;;;;;;;;
2016-09-16 08:00:00;451,229522705078;461,833333333;2,29602539760293;;;;;;;;;;;;;
2016-09-16 09:00:00;517,899353027344;499,166666667;3,75279192527504;"September";"North";16,4;1019;76;12,2;13;28,8;39,6;;9;0;0
2016-09-16 10:00:00;531,11874961853;506;4,96417976650796;;;;;;;;;;;;;
2016-09-16 11:00:00;518,514022767544;536,666666667;3,38248022971023;;;;;;;;;;;;;
2016-09-16 12:00:00;535,8505859375;524,833333333;2,09919071537128;"September";"North";16,6;1020,4;68;10,7;16;25,2;46,8;0;12;0;0
2016-09-16 13:00:00;488,293075561523;564,5;13,4998980404741;;;;;;;;;;;;;
2016-09-16 14:00:00;450,053649902344;572,666666667;21,4108876771685;;;;;;;;;;;;;
2016-09-16 15:00:00;472,124603271484;520,833333333;9,35207617181699;"September";"North";16,7;1021,1;70;11,2;19;28,8;50,4;0;15;0;0
2016-09-16 16:00:00;448,248275756836;442,166666667;1,37541102672401;;;;;;;;;;;;;
2016-09-16 17:00:00;458,708183288574;386,666666667;18,63142671246;;;;;;;;;;;;;
2016-09-16 18:00:00;444,912902832031;447,833333333;0,652124414061237;"September";"North";14,5;1022,6;80;11,1;55;18;39,6;0;18;1;0
2016-09-16 19:00:00;489,046672821045;488,166666667;0,180267563136423;;;;;;;;;;;;;
2016-09-16 20:00:00;487,46936416626;493,5;1,22201334017026;;;;;;;;;;;;;
2016-09-16 21:00:00;506,113647460938;511,333333333;1,02079906233362;"September";"North";13,3;1024,3;87;11,2;45;14,4;21,6;0;21;1;0
2016-09-16 22:00:00;636,099639892578;616,5;3,17917922020732;;;;;;;;;;;;;
2016-09-16 23:00:00;675,459838867188;560,5;20,5102299495428;;;;;;;;;;;;;
2016-09-17 00:00:00;558,270080566406;461,333333333;21,012300700898;"September";"North";12,2;1024,3;94;11,3;19;7,2;14,4;;0;0;1
2016-09-17 01:00:00;484,32186126709;397,666666667;21,7909123051175;;;;;;;;;;;;;
2016-09-17 02:00:00;404,514999389648;363,333333333;11,3344035018402;;;;;;;;;;;;;
2016-09-17 03:00:00;375,714050292969;398,666666667;5,75734524431741;"September";"West";12,6;1024,5;95;11,8;19;10,8;18;0;3;0;1
2016-09-17 04:00:00;363,755951881409;398,666666667;8,75686825724803;;;;;;;;;;;;;
2016-09-17 05:00:00;319,541549682617;332,166666667;3,80083802841048;;;;;;;;;;;;;
2016-09-17 06:00:00;316,459381103516;316;0,145373766935324;"September";"North";12,3;1024,7;96;11,7;18;3,6;18;0;6;0;1
2016-09-17 07:00:00;349,370536804199;369,166666667;5,36238280707438;;;;;;;;;;;;;
2016-09-17 08:00:00;425,6279296875;452,166666667;5,8692378133757;;;;;;;;;;;;;
2016-09-17 09:00:00;506,241119384766;515,166666667;1,73255527963026;"September";"North";15,9;1025,3;79;12,3;35;18;28,8;0;9;0;1
2016-09-17 10:00:00;557,930362701416;510,833333333;9,21964685842351;;;;;;;;;;;;;
2016-09-17 11:00:00;543,706741333008;534,833333333;1,65909778747522;;;;;;;;;;;;;
2016-09-17 12:00:00;547,2451171875;524,5;4,33653330552908;"September";"North";17,3;1025;67;11,1;25;18;28,8;0;12;0;1
2016-09-17 13:00:00;505,806995391846;567,333333333;10,8448304244167;;;;;;;;;;;;;
2016-09-17 14:00:00;452,002586364746;606,166666667;25,4326225409132;;;;;;;;;;;;;
2016-09-17 15:00:00;486,192657470703;556,666666667;12,6600016520218;"September";"North";16,2;1024,1;71;10,9;40;18;32,4;0;15;0;1
2016-09-17 16:00:00;458,657487869263;449;2,15088816687365;;;;;;;;;;;;;
2016-09-17 17:00:00;458,802448272705;401,666666667;14,224675918421;;;;;;;;;;;;;
2016-09-17 18:00:00;432,922698974609;454;4,64257731836798;"September";"North";14,5;1024,2;82;11,5;55;7,2;21,6;0;18;1;1
2016-09-17 19:00:00;464,440986633301;489,666666667;5,15160245752527;;;;;;;;;;;;;
2016-09-17 20:00:00;480,593936920166;499,833333333;3,84916233668159;;;;;;;;;;;;;
2016-09-17 21:00:00;509,533142089844;517,666666667;1,5711895512848;"September";"West";12;1024,4;94;11,1;17;7,2;10,8;0;21;1;1
2016-09-17 22:00:00;647,133560180664;628,666666667;2,93746980598955;;;;;;;;;;;;;
2016-09-17 23:00:00;655,148193359375;571,333333333;14,6700455122095;;;;;;;;;;;;;
2016-09-18 00:00:00;521,334716796875;473,666666667;10,0636277543648;"September";"West";9,8;1024,2;97;9,3;6;7,2;7,2;0;0;0;1
2016-09-18 01:00:00;435,256271362305;430,833333333;1,02660070312761;;;;;;;;;;;;;
2016-09-18 02:00:00;375,962905883789;390,166666667;3,64043420329743;;;;;;;;;;;;;
2016-09-18 03:00:00;372,263519287109;418,5;11,0481435395199;"September";"West";10,1;1023,7;98;9,8;0,6;3,6;10,8;0;3;0;1
2016-09-18 04:00:00;368,144664764404;412,666666667;10,7888534497318;;;;;;;;;;;;;
2016-09-18 05:00:00;315,157165527344;348;9,43759611283225;;;;;;;;;;;;;
2016-09-18 06:00:00;312,105865478516;311,5;0,194499351048355;"September";"North";10,4;1023,4;99;10,2;0,3;3,6;10,8;0;6;0;1
2016-09-18 07:00:00;354,214553833008;359,833333333;1,56149499768338;;;;;;;;;;;;;
2016-09-18 08:00:00;421,580986022949;434,333333333;2,93607382426567;;;;;;;;;;;;;
2016-09-18 09:00:00;498,448120117188;515;3,21395725879854;"September";"North";15,2;1023,5;79;11,6;18;7,2;18;0;9;0;1
2016-09-18 10:00:00;515,749401092529;553;6,73609383498566;;;;;;;;;;;;;
2016-09-18 11:00:00;493,357858657837;582,333333333;15,2791313122863;;;;;;;;;;;;;
2016-09-18 12:00:00;540,3583984375;581,333333333;7,04844063569786;"September";"West";18;1023,2;63;10,8;35;10,8;25,2;0;12;0;1
2016-09-18 13:00:00;504,013236999512;582;13,3997874571286;;;;;;;;;;;;;
2016-09-18 14:00:00;454,970359802246;572,166666667;20,4828966265107;;;;;;;;;;;;;
2016-09-18 15:00:00;452,291839599609;547,333333333;17,3644629232854;"September";"West";17,7;1023,2;62;10,3;50;10,8;25,2;0;15;0;1
2016-09-18 16:00:00;426,313638687134;451,333333333;5,54350693778833;;;;;;;;;;;;;
2016-09-18 17:00:00;415,38321685791;378,166666667;9,84130899714694;;;;;;;;;;;;;
2016-09-18 18:00:00;430,996704101562;400,166666667;7,70429923395339;"September";"North";15,7;1023,5;75;11,3;55;3,6;14,4;0;18;1;1
2016-09-18 19:00:00;473,152320861816;445,166666667;6,28655653945236;;;;;;;;;;;;;
2016-09-18 20:00:00;463,156547546387;453,833333333;2,05432557034012;;;;;;;;;;;;;
2016-09-18 21:00:00;476,551086425781;450,5;5,78270508896365;"September";"North";14,2;1023,5;86;11,9;35;0;3,6;0;21;1;1
2016-09-18 22:00:00;616,716110229492;580,166666667;6,2998179079238;;;;;;;;;;;;;
2016-09-18 23:00:00;609,260025024414;527;15,6091129078585;;;;;;;;;;;;;
2016-09-19 00:00:00;517,344909667969;453,833333333;13,9944714656663;"September";"West";13,3;1023,3;93;12,2;14;3,6;7,2;0;0;0;0
2016-09-19 01:00:00;450,296989440918;406,166666667;10,8650774166307;;;;;;;;;;;;;
2016-09-19 02:00:00;375,842727661133;370,166666667;1,5333798273195;;;;;;;;;;;;;
2016-09-19 03:00:00;372,611358642578;391,166666667;4,74358108847194;"September";"South";13,6;1023;96;13;22;3,6;3,6;0;3;0;0
2016-09-19 04:00:00;364,105191230774;402,333333333;9,5016094703209;;;;;;;;;;;;;
2016-09-19 05:00:00;295,826545715332;317,5;6,82628481406865;;;;;;;;;;;;;
2016-09-19 06:00:00;316,250701904297;304,166666667;3,97283350266859;"September";"South";14,4;1022,9;95;13,6;16;7,2;10,8;0;6;0;0
2016-09-19 07:00:00;382,558235168457;350,333333333;9,19835447254644;;;;;;;;;;;;;
2016-09-19 08:00:00;448,664962768555;407,5;10,1018313542465;;;;;;;;;;;;;
2016-09-19 09:00:00;529,738952636719;476,166666667;11,2507425907626;"September";"South";15,7;1023,1;93;14,6;19;10,8;14,4;;9;0;0
2016-09-19 10:00:00;548,417778015137;529,166666667;3,63800529413379;;;;;;;;;;;;;
2016-09-19 11:00:00;535,641912460327;561,5;4,60518032763541;;;;;;;;;;;;;
2016-09-19 12:00:00;531,778625488281;581,833333333;8,60292887620982;"September";"West";16,2;1022,8;92;14,9;6;7,2;14,4;0;12;0;0
2016-09-19 13:00:00;506,503664016724;579,166666667;12,5461299539973;;;;;;;;;;;;;
2016-09-19 14:00:00;537,007982730865;567,166666667;5,3174288456274;;;;;;;;;;;;;
2016-09-19 15:00:00;515,410034179688;564,5;8,6961852648915;"September";"North";17;1022;86;14,6;40;14,4;21,6;0;15;0;0
2016-09-19 16:00:00;457,767929077148;485,833333333;5,77675559297512;;;;;;;;;;;;;
2016-09-19 17:00:00;393,323806762695;393;0,0823935782939726;;;;;;;;;;;;;
2016-09-19 18:00:00;458,923889160156;457,5;0,311232603312842;"September";"North";15,2;1021,9;91;13,7;18;14,4;21,6;0;18;1;0
2016-09-19 19:00:00;502,639312744141;499,666666667;0,594925832649492;;;;;;;;;;;;;
2016-09-19 20:00:00;500,63451385498;473,666666667;5,69342305164563;;;;;;;;;;;;;
2016-09-19 21:00:00;509,190887451172;470;8,3384866917387;"September";"West";14,3;1021,8;96;13,7;7;10,8;21,6;0;21;1;0
2016-09-19 22:00:00;628,49543762207;583,166666667;7,77286726865581;;;;;;;;;;;;;
2016-09-19 23:00:00;636,177940368652;527,833333333;20,5262911971684;;;;;;;;;;;;;
2016-09-20 00:00:00;452,701019287109;440,166666667;2,84763785386593;"September";"North";14,2;1021;97;13,7;4,8;0;7,2;0;0;0;0
2016-09-20 01:00:00;375,515853881836;404,333333333;7,12715897391289;;;;;;;;;;;;;
2016-09-20 02:00:00;322,647537231445;379,666666667;15,0182079285789;;;;;;;;;;;;;
2016-09-20 03:00:00;368,174255371094;399,833333333;7,91806868576889;"September";"East";13,3;1020,1;98;13;0,3;3,6;3,6;0;3;0;0
2016-09-20 04:00:00;364,764859199524;412,166666667;11,5006407118733;;;;;;;;;;;;;
2016-09-20 05:00:00;295,838424682617;330;10,351992520419;;;;;;;;;;;;;
2016-09-20 06:00:00;307,921966552734;313,833333333;1,88360067348016;"September";"North";13,5;1020;99;13,3;7;7,2;10,8;0;6;0;0
2016-09-20 07:00:00;363,105018615723;372,833333333;2,60929317405973;;;;;;;;;;;;;
2016-09-20 08:00:00;433,036430358887;469,833333333;7,83190556384662;;;;;;;;;;;;;
2016-09-20 09:00:00;498,812866210938;491,666666667;1,4534643140202;"September";"North";14,5;1020,5;97;14;4,9;7,2;14,4;0;9;0;0
2016-09-20 10:00:00;503,677459716797;533,5;5,5899794345273;;;;;;;;;;;;;
2016-09-20 11:00:00;541,241298675537;541,833333333;0,109265085966773;;;;;;;;;;;;;
2016-09-20 12:00:00;515,554504394531;589,833333333;12,5931894216181;"September";"North";17;1019,9;86;14,6;50;7,2;14,4;0;12;0;0
2016-09-20 13:00:00;488,315225601196;614,166666667;20,4914150988986;;;;;;;;;;;;;
2016-09-20 14:00:00;515,056097835302;608,666666667;15,3796115276527;;;;;;;;;;;;;
2016-09-20 15:00:00;488,00732421875;568;14,0832175671215;"September";"North";18,1;1018,5;81;14,8;19;14,4;25,2;0;15;0;0
2016-09-20 16:00:00;406,563858032227;482,5;15,7380605114556;;;;;;;;;;;;;
2016-09-20 17:00:00;349,717330932617;412,333333333;15,1857726112611;;;;;;;;;;;;;
2016-09-20 18:00:00;467,119415283203;445,333333333;4,89208427025886;"September";"North";15,6;1018,6;91;14,1;12;14,4;21,6;0;18;1;0
2016-09-20 19:00:00;516,403793334961;494,5;4,42948297976965;;;;;;;;;;;;;
2016-09-20 20:00:00;505,266815185547;507,666666667;0,47272189391692;;;;;;;;;;;;;
2016-09-20 21:00:00;499,241912841797;500,666666667;0,28457133659165;"September";"North";14,3;1018,9;98;14;1,6;7,2;10,8;;21;1;0
2016-09-20 22:00:00;634,24870300293;601;5,53223011696001;;;;;;;;;;;;;
2016-09-20 23:00:00;547,408824920654;536,333333333;2,06503882927181;;;;;;;;;;;;;
