"datetime";"puissance";"reality";"mape";"Month";"rose_vt";"Weekday";"f_season";"temp";"pression";"hr";"p_rosee";"visi";"vt_moy";"vt_raf";"rr_3h";"nebul";"Hour";"f_weekend"
2016-09-13 20:00:00;537,242847442627;542,333333333;0,93862677757398;;;;;;;;;;;;;;;
2016-09-13 21:00:00;533,447631835938;512,833333333;4,01968771588252;"September";"East";"Tuesday";"summer";17,2;1005,1;98;16,9;3;12,964;25,928;0;8;21;FALSE
2016-09-13 22:00:00;646,435180664062;624,333333333;3,54007164939791;;;;;;;;;;;;;;;
2016-09-13 23:00:00;587,97257232666;550,666666667;6,77468020453468;;;;;;;;;;;;;;;
2016-09-14 00:00:00;474,477996826172;467,166666667;1,56503678041384;"September";"East";"Wednesday";"summer";17,5;1005,5;97;17;9;12,964;24,076;3;8;0;FALSE
2016-09-14 01:00:00;408,682632446289;405,833333333;0,702086023808974;;;;;;;;;;;;;;;
2016-09-14 02:00:00;377,700042724609;362,5;4,193115234375;;;;;;;;;;;;;;;
2016-09-14 03:00:00;380,755981445312;396,666666667;4,01109711470777;"September";"East";"Wednesday";"summer";16,2;1004;97;15,7;2,9;7,408;12,964;0;;3;FALSE
2016-09-14 04:00:00;367,61669921875;407,833333333;9,86104637048211;;;;;;;;;;;;;;;
2016-09-14 05:00:00;315,0478515625;330,833333333;4,77143025809045;;;;;;;;;;;;;;;
2016-09-14 06:00:00;313,248626708984;317,166666667;1,23532526264157;"September";"East";"Wednesday";"summer";15,5;1004,6;94;14,5;45;18;36;0;7;6;FALSE
2016-09-14 07:00:00;368,710899353027;384,833333333;4,18945880813857;;;;;;;;;;;;;;;
2016-09-14 08:00:00;453,361526489258;458,833333333;1,1925478046668;;;;;;;;;;;;;;;
2016-09-14 09:00:00;487,224334716797;478,333333333;1,85874593389612;"September";"East";"Wednesday";"summer";18;1005,9;82;14,9;29;28,8;46,8;0;;9;FALSE
2016-09-14 10:00:00;501,937972068787;504;0,409132526034401;;;;;;;;;;;;;;;
2016-09-14 11:00:00;481,912400245667;492,333333333;2,11664179160607;;;;;;;;;;;;;;;
2016-09-14 12:00:00;551,164978027344;519,5;6,09527969727502;"September";"South";"Wednesday";"summer";20,2;1007,2;65;13,4;7;32,4;54;0;7;12;FALSE
2016-09-14 13:00:00;549,002363204956;543,333333333;1,04337973103549;;;;;;;;;;;;;;;
2016-09-14 14:00:00;557,899493694305;573;2,63534141460638;;;;;;;;;;;;;;;
2016-09-14 15:00:00;506,093627929688;539;6,10507830618043;"September";"South";"Wednesday";"summer";20,4;1007,9;62;12,9;28;25,2;46,8;0;;15;FALSE
2016-09-14 16:00:00;447,257293701172;438,833333333;1,91962636570717;;;;;;;;;;;;;;;
2016-09-14 17:00:00;431,874389648438;380,5;13,5018106829008;;;;;;;;;;;;;;;
2016-09-14 18:00:00;452,664611816406;426;6,25929854845217;"September";"East";"Wednesday";"summer";18,6;1009,3;63;11,4;45;25,2;43,2;0;;18;FALSE
2016-09-14 19:00:00;499,324478149414;480,5;3,9176853588791;;;;;;;;;;;;;;;
2016-09-14 20:00:00;483,611835479736;471,833333333;2,49632684141533;;;;;;;;;;;;;;;
2016-09-14 21:00:00;506,07470703125;477,166666667;6,05826902498703;"September";"East";"Wednesday";"summer";13,8;1010,5;89;12;60;3,6;10,8;0;;21;FALSE
2016-09-14 22:00:00;642,14501953125;607,166666667;5,76091455353788;;;;;;;;;;;;;;;
2016-09-14 23:00:00;617,127082824707;539,833333333;14,3180764726931;;;;;;;;;;;;;;;
2016-09-15 00:00:00;525,440856933594;445,333333333;17,9882163773923;"September";"North";"Thursday";"summer";13,4;1010,4;89;11,6;60;10,8;14,4;0;8;0;FALSE
2016-09-15 01:00:00;465,434246063232;393,166666667;18,3809019235704;;;;;;;;;;;;;;;
2016-09-15 02:00:00;397,619445800781;358,5;10,9119793028679;;;;;;;;;;;;;;;
2016-09-15 03:00:00;379,993530273438;383,833333333;1,00038290739882;"September";"East";"Thursday";"summer";12,7;1009,8;94;11,8;60;7,2;7,2;0;7;3;FALSE
2016-09-15 04:00:00;368,493340492249;396,833333333;7,14153536516806;;;;;;;;;;;;;;;
2016-09-15 05:00:00;309,195304870605;316;2,15338453461852;;;;;;;;;;;;;;;
2016-09-15 06:00:00;317,318603515625;294;7,93149779443027;"September";"North";"Thursday";"summer";13,8;1010,1;92;12,5;4,6;7,2;18;;8;6;FALSE
2016-09-15 07:00:00;369,321590423584;357,5;3,30673858002349;;;;;;;;;;;;;;;
2016-09-15 08:00:00;458,138580322266;459,166666667;0,223902652210594;;;;;;;;;;;;;;;
2016-09-15 09:00:00;545,084289550781;503;8,36665796238196;"September";"West";"Thursday";"summer";14;1010,8;98;13,7;2,9;7,2;14,4;9;8;9;FALSE
2016-09-15 10:00:00;564,383041381836;525,5;7,39924669492596;;;;;;;;;;;;;;;
2016-09-15 11:00:00;597,360462188721;593,666666667;0,622200256325436;;;;;;;;;;;;;;;
2016-09-15 12:00:00;584,352294921875;615,5;5,06055322146629;"September";"West";"Thursday";"summer";16,4;1011,4;95;15,6;2;10,8;14,4;0;8;12;FALSE
2016-09-15 13:00:00;580,376303911209;625,333333333;7,18929041926677;;;;;;;;;;;;;;;
2016-09-15 14:00:00;548,482028961182;658;16,6440685469329;;;;;;;;;;;;;;;
2016-09-15 15:00:00;537,978210449219;613;12,2384648533085;"September";"North";"Thursday";"summer";16,3;1011,8;91;14,8;19;10,8;18;1;8;15;FALSE
2016-09-15 16:00:00;496,968658447266;522;4,79527615952766;;;;;;;;;;;;;;;
2016-09-15 17:00:00;444,566452026367;437;1,73145355294444;;;;;;;;;;;;;;;
2016-09-15 18:00:00;491,873229980469;485,5;1,31271472306256;"September";"West";"Thursday";"summer";16,1;1012,8;94;15,1;18;7,2;10,8;;8;18;FALSE
2016-09-15 19:00:00;538,632194519043;557;3,29763114559372;;;;;;;;;;;;;;;
2016-09-15 20:00:00;528,593818664551;533,166666667;0,85767702452885;;;;;;;;;;;;;;;
2016-09-15 21:00:00;532,892944335938;497,666666667;7,07828754231357;"September";"North";"Thursday";"summer";16,2;1014;96;15,6;10;14,4;25,2;0;8;21;FALSE
2016-09-15 22:00:00;651,073486328125;616,5;5,60802697942011;;;;;;;;;;;;;;;
2016-09-15 23:00:00;606,45686340332;541,833333333;11,9268280658923;;;;;;;;;;;;;;;
2016-09-16 00:00:00;472,367523193359;442,5;6,74972275556144;"September";"West";"Friday";"summer";15,9;1014,7;95;15,1;16;18;28,8;0;8;0;FALSE
2016-09-16 01:00:00;403,160499572754;412,5;2,26412131569602;;;;;;;;;;;;;;;
2016-09-16 02:00:00;362,554748535156;371,166666667;2,32022940238061;;;;;;;;;;;;;;;
2016-09-16 03:00:00;377,564300537109;412;8,35817948128413;"September";"North";"Friday";"summer";15,2;1015,4;92;13,9;40;21,6;32,4;0;8;3;FALSE
2016-09-16 04:00:00;366,173354148865;407,166666667;10,0679441305203;;;;;;;;;;;;;;;
2016-09-16 05:00:00;299,820960998535;341,833333333;12,2903088253064;;;;;;;;;;;;;;;
2016-09-16 06:00:00;315,672698974609;328;3,7583234833508;"September";"North";"Friday";"summer";15,1;1016,8;92;13,8;15;18;36;;8;6;FALSE
2016-09-16 07:00:00;383,455909729004;425,666666667;9,91638769098584;;;;;;;;;;;;;;;
2016-09-16 08:00:00;440,259628295898;461,833333333;4,67131830468072;;;;;;;;;;;;;;;
2016-09-16 09:00:00;511,65869140625;499,166666667;2,50257590769449;"September";"North";"Friday";"summer";16,4;1019;76;12,2;13;28,8;39,6;;6;9;FALSE
2016-09-16 10:00:00;535,922086715698;506;5,91345587266764;;;;;;;;;;;;;;;
2016-09-16 11:00:00;553,496612548828;536,666666667;3,13601476058715;;;;;;;;;;;;;;;
2016-09-16 12:00:00;541,109619140625;524,833333333;3,10122943302038;"September";"North";"Friday";"summer";16,6;1020,4;68;10,7;16;25,2;46,8;0;7;12;FALSE
2016-09-16 13:00:00;500,858070373535;564,5;11,2740353634127;;;;;;;;;;;;;;;
2016-09-16 14:00:00;469,727813720703;572,666666667;17,9753526681438;;;;;;;;;;;;;;;
2016-09-16 15:00:00;487,402984619141;520,833333333;6,41862695306512;"September";"North";"Friday";"summer";16,7;1021,1;70;11,2;19;28,8;50,4;0;8;15;FALSE
2016-09-16 16:00:00;451,330200195312;442,166666667;2,07241617677473;;;;;;;;;;;;;;;
2016-09-16 17:00:00;476,115096092224;386,666666667;23,1332145065035;;;;;;;;;;;;;;;
2016-09-16 18:00:00;453,316802978516;447,833333333;1,22444428258721;"September";"North";"Friday";"summer";14,5;1022,6;80;11,1;55;18;39,6;0;;18;FALSE
2016-09-16 19:00:00;496,70108795166;488,166666667;1,74825973738224;;;;;;;;;;;;;;;
2016-09-16 20:00:00;494,842750549316;493,5;0,272087244035746;;;;;;;;;;;;;;;
2016-09-16 21:00:00;512,382385253906;511,333333333;0,205160088834475;"September";"North";"Friday";"summer";13,3;1024,3;87;11,2;45;14,4;21,6;0;;21;FALSE
2016-09-16 22:00:00;636,915145874023;616,5;3,31145918475644;;;;;;;;;;;;;;;
2016-09-16 23:00:00;644,668853759766;560,5;15,0167446493783;;;;;;;;;;;;;;;
2016-09-17 00:00:00;549,983825683594;461,333333333;19,2161471858362;"September";"North";"Saturday";"summer";12,2;1024,3;94;11,3;19;7,2;14,4;;;0;TRUE
2016-09-17 01:00:00;450,948593139648;397,666666667;13,3986403535466;;;;;;;;;;;;;;;
2016-09-17 02:00:00;398,637084960938;363,333333333;9,71662888843208;;;;;;;;;;;;;;;
2016-09-17 03:00:00;383,457183837891;398,666666667;3,81508766616137;"September";"West";"Saturday";"summer";12,6;1024,5;95;11,8;19;10,8;18;0;;3;TRUE
2016-09-17 04:00:00;368,853783607483;398,666666667;7,47814792462178;;;;;;;;;;;;;;;
2016-09-17 05:00:00;328,018695831299;332,166666667;1,24876191742008;;;;;;;;;;;;;;;
2016-09-17 06:00:00;315,431274414062;316;0,179976451246044;"September";"North";"Saturday";"summer";12,3;1024,7;96;11,7;18;3,6;18;0;8;6;TRUE
2016-09-17 07:00:00;364,535850524902;369,166666667;1,25439714909982;;;;;;;;;;;;;;;
2016-09-17 08:00:00;430,229484558105;452,166666667;4,85156994667417;;;;;;;;;;;;;;;
2016-09-17 09:00:00;516,329772949219;515,166666667;0,225772814406607;"September";"North";"Saturday";"summer";15,9;1025,3;79;12,3;35;18;28,8;0;7;9;TRUE
2016-09-17 10:00:00;550,675357818604;510,833333333;7,79941751757837;;;;;;;;;;;;;;;
2016-09-17 11:00:00;547,154495239258;534,833333333;2,30373859263299;;;;;;;;;;;;;;;
2016-09-17 12:00:00;548,445495605469;524,5;4,56539477701978;"September";"North";"Saturday";"summer";17,3;1025;67;11,1;25;18;28,8;0;7;12;TRUE
2016-09-17 13:00:00;508,671607971191;567,333333333;10,3399045878689;;;;;;;;;;;;;;;
2016-09-17 14:00:00;500,565048217773;606,166666667;17,4212183309049;;;;;;;;;;;;;;;
2016-09-17 15:00:00;492,939819335938;556,666666667;11,4479366462918;"September";"North";"Saturday";"summer";16,2;1024,1;71;10,9;40;18;32,4;0;;15;TRUE
2016-09-17 16:00:00;452,130893707275;449;0,697303720996746;;;;;;;;;;;;;;;
2016-09-17 17:00:00;455,014575958252;401,666666667;13,2816371679355;;;;;;;;;;;;;;;
2016-09-17 18:00:00;460,47265625;454;1,4256952092511;"September";"North";"Saturday";"summer";14,5;1024,2;82;11,5;55;7,2;21,6;0;;18;TRUE
2016-09-17 19:00:00;498,400119781494;489,666666667;1,78355067007927;;;;;;;;;;;;;;;
2016-09-17 20:00:00;500,790351867676;499,833333333;0,191467529445102;;;;;;;;;;;;;;;
2016-09-17 21:00:00;486,565551757812;517,666666667;6,00794235206068;"September";"West";"Saturday";"summer";12;1024,4;94;11,1;17;7,2;10,8;0;;21;TRUE
2016-09-17 22:00:00;623,929107666016;628,666666667;0,753588388279187;;;;;;;;;;;;;;;
2016-09-17 23:00:00;600,885902404785;571,333333333;5,17256168117894;;;;;;;;;;;;;;;
2016-09-18 00:00:00;547,81494140625;473,666666667;15,6541044488102;"September";"West";"Sunday";"summer";9,8;1024,2;97;9,3;6;7,2;7,2;0;;0;TRUE
2016-09-18 01:00:00;463,212059020996;430,833333333;7,51537153300298;;;;;;;;;;;;;;;
2016-09-18 02:00:00;385,578430175781;390,166666667;1,17596834460867;;;;;;;;;;;;;;;
2016-09-18 03:00:00;384,590484619141;418,5;8,10263211012171;"September";"West";"Sunday";"summer";10,1;1023,7;98;9,8;0,6;3,6;10,8;0;;3;TRUE
2016-09-18 04:00:00;368,149719238281;412,666666667;10,787628617613;;;;;;;;;;;;;;;
2016-09-18 05:00:00;305,774658203125;348;12,133718907148;;;;;;;;;;;;;;;
2016-09-18 06:00:00;314,191070556641;311,5;0,863907080783507;"September";"North";"Sunday";"summer";10,4;1023,4;99;10,2;0,3;3,6;10,8;0;;6;TRUE
2016-09-18 07:00:00;339,690361022949;359,833333333;5,59786168876408;;;;;;;;;;;;;;;
2016-09-18 08:00:00;403,678764343262;434,333333333;7,05784397308407;;;;;;;;;;;;;;;
2016-09-18 09:00:00;510,808959960938;515;0,813794182342233;"September";"North";"Sunday";"summer";15,2;1023,5;79;11,6;18;7,2;18;0;;9;TRUE
2016-09-18 10:00:00;577,176795959473;553;4,37193416988656;;;;;;;;;;;;;;;
2016-09-18 11:00:00;589,893661499023;582,333333333;1,29828188311867;;;;;;;;;;;;;;;
2016-09-18 12:00:00;552,101196289062;581,333333333;5,02846394104719;"September";"West";"Sunday";"summer";18;1023,2;63;10,8;35;10,8;25,2;0;7;12;TRUE
2016-09-18 13:00:00;494,193363189697;582;15,0870509983338;;;;;;;;;;;;;;;
2016-09-18 14:00:00;470,996292114258;572,166666667;17,6819763272968;;;;;;;;;;;;;;;
2016-09-18 15:00:00;471,089324951172;547,333333333;13,9300867932779;"September";"West";"Sunday";"summer";17,7;1023,2;62;10,3;50;10,8;25,2;0;8;15;TRUE
2016-09-18 16:00:00;432,605506896973;451,333333333;4,1494445574685;;;;;;;;;;;;;;;
2016-09-18 17:00:00;428,711601257324;378,166666667;13,365782615323;;;;;;;;;;;;;;;
2016-09-18 18:00:00;423,424926757812;400,166666667;5,81214329632481;"September";"North";"Sunday";"summer";15,7;1023,5;75;11,3;55;3,6;14,4;0;8;18;TRUE
2016-09-18 19:00:00;463,974346160889;445,166666667;4,22486248458433;;;;;;;;;;;;;;;
2016-09-18 20:00:00;451,332683563232;453,833333333;0,551006192384003;;;;;;;;;;;;;;;
2016-09-18 21:00:00;493,237609863281;450,5;9,48670585200472;"September";"North";"Sunday";"summer";14,2;1023,5;86;11,9;35;0;3,6;0;8;21;TRUE
2016-09-18 22:00:00;626,100921630859;580,166666667;7,91742400985344;;;;;;;;;;;;;;;
2016-09-18 23:00:00;612,666809082031;527;16,2555614956416;;;;;;;;;;;;;;;
2016-09-19 00:00:00;508,065185546875;453,833333333;11,9497287287363;"September";"West";"Monday";"summer";13,3;1023,3;93;12,2;14;3,6;7,2;0;8;0;FALSE
2016-09-19 01:00:00;447,696430206299;406,166666667;10,2248084216491;;;;;;;;;;;;;;;
2016-09-19 02:00:00;363,12548828125;370,166666667;1,90216435454579;;;;;;;;;;;;;;;
2016-09-19 03:00:00;372,333740234375;391,166666667;4,81455298660647;"September";"South";"Monday";"summer";13,6;1023;96;13;22;3,6;3,6;0;8;3;FALSE
2016-09-19 04:00:00;362,254686355591;402,333333333;9,96155268701965;;;;;;;;;;;;;;;
2016-09-19 05:00:00;303,825050354004;317,5;4,30707075464444;;;;;;;;;;;;;;;
2016-09-19 06:00:00;303,867614746094;304,166666667;0,0983184397498973;"September";"South";"Monday";"summer";14,4;1022,9;95;13,6;16;7,2;10,8;0;8;6;FALSE
2016-09-19 07:00:00;361,240879058838;350,333333333;3,11347642031825;;;;;;;;;;;;;;;
2016-09-19 08:00:00;432,229339599609;407,5;6,06854959499617;;;;;;;;;;;;;;;
2016-09-19 09:00:00;505,296112060547;476,166666667;6,11748940711091;"September";"South";"Monday";"summer";15,7;1023,1;93;14,6;19;10,8;14,4;;8;9;FALSE
2016-09-19 10:00:00;533,750282287598;529,166666667;0,866195077907681;;;;;;;;;;;;;;;
2016-09-19 11:00:00;532,919683456421;561,5;5,08999404159913;;;;;;;;;;;;;;;
2016-09-19 12:00:00;532,739196777344;581,833333333;8,43783498522219;"September";"West";"Monday";"summer";16,2;1022,8;92;14,9;6;7,2;14,4;0;8;12;FALSE
2016-09-19 13:00:00;524,53576374054;579,166666667;9,43267388657766;;;;;;;;;;;;;;;
2016-09-19 14:00:00;508,234922409058;567,166666667;10,3905514413002;;;;;;;;;;;;;;;
2016-09-19 15:00:00;519,933959960938;564,5;7,89478122924048;"September";"North";"Monday";"summer";17;1022;86;14,6;40;14,4;21,6;0;8;15;FALSE
2016-09-19 16:00:00;459,167617797852;485,833333333;5,4886549986621;;;;;;;;;;;;;;;
2016-09-19 17:00:00;397,928649902344;393;1,25410938990935;;;;;;;;;;;;;;;
2016-09-19 18:00:00;453,499969482422;457,5;0,87432361039959;"September";"North";"Monday";"summer";15,2;1021,9;91;13,7;18;14,4;21,6;0;8;18;FALSE
2016-09-19 19:00:00;490,033180236816;499,666666667;1,92798260777395;;;;;;;;;;;;;;;
2016-09-19 20:00:00;506,773109436035;473,666666667;6,98939678445007;;;;;;;;;;;;;;;
2016-09-19 21:00:00;508,692321777344;470;8,23240888879654;"September";"West";"Monday";"summer";14,3;1021,8;96;13,7;7;10,8;21,6;0;8;21;FALSE
2016-09-19 22:00:00;623,034042358398;583,166666667;6,8363605072379;;;;;;;;;;;;;;;
2016-09-19 23:00:00;618,496963500977;527,833333333;17,1765639724725;;;;;;;;;;;;;;;
2016-09-20 00:00:00;449,24853515625;440,166666667;2,06327947502683;"September";"North";"Tuesday";"summer";14,2;1021;97;13,7;4,8;0;7,2;0;8;0;FALSE
2016-09-20 01:00:00;391,724666595459;404,333333333;3,11838418900694;;;;;;;;;;;;;;;
2016-09-20 02:00:00;307,510498046875;379,666666667;19,0051365987871;;;;;;;;;;;;;;;
2016-09-20 03:00:00;372,743347167969;399,833333333;6,77531959109308;"September";"East";"Tuesday";"summer";13,3;1020,1;98;13;0,3;3,6;3,6;0;7;3;FALSE
2016-09-20 04:00:00;371,728682398796;412,166666667;9,81107584347058;;;;;;;;;;;;;;;
2016-09-20 05:00:00;299,150840759277;330;9,34823007294626;;;;;;;;;;;;;;;
2016-09-20 06:00:00;306,421661376953;313,833333333;2,36165861584325;"September";"North";"Tuesday";"summer";13,5;1020;99;13,3;7;7,2;10,8;0;8;6;FALSE
2016-09-20 07:00:00;367,984016418457;372,833333333;1,30066613711595;;;;;;;;;;;;;;;
2016-09-20 08:00:00;442,549072265625;469,833333333;5,80722122754048;;;;;;;;;;;;;;;
2016-09-20 09:00:00;499,994659423828;491,666666667;1,69382903528592;"September";"North";"Tuesday";"summer";14,5;1020,5;97;14;4,9;7,2;14,4;0;8;9;FALSE
2016-09-20 10:00:00;517,623815536499;533,5;2,97585463233383;;;;;;;;;;;;;;;
2016-09-20 11:00:00;538,018043518066;541,833333333;0,704144536746106;;;;;;;;;;;;;;;
2016-09-20 12:00:00;534,642395019531;589,833333333;9,35703955583498;"September";"North";"Tuesday";"summer";17;1019,9;86;14,6;50;7,2;14,4;0;8;12;FALSE
2016-09-20 13:00:00;528,896618366241;614,166666667;13,8838613244036;;;;;;;;;;;;;;;
2016-09-20 14:00:00;518,268539428711;608,666666667;14,8518281333362;;;;;;;;;;;;;;;
2016-09-20 15:00:00;486,643249511719;568;14,3233715648382;"September";"North";"Tuesday";"summer";18,1;1018,5;81;14,8;19;14,4;25,2;0;7;15;FALSE
2016-09-20 16:00:00;425,288791656494;482,5;11,8572452525401;;;;;;;;;;;;;;;
2016-09-20 17:00:00;418,273254394531;412,333333333;1,44056290902249;;;;;;;;;;;;;;;
2016-09-20 18:00:00;461,176635742188;445,333333333;3,55762778649687;"September";"North";"Tuesday";"summer";15,6;1018,6;91;14,1;12;14,4;21,6;0;8;18;FALSE
2016-09-20 19:00:00;506,135887145996;494,5;2,35306110131367;;;;;;;;;;;;;;;
2016-09-20 20:00:00;513,414855957031;507,666666667;1,13227628825229;;;;;;;;;;;;;;;
2016-09-20 21:00:00;515,720642089844;500,666666667;3,00678603651805;"September";"North";"Tuesday";"summer";14,3;1018,9;98;14;1,6;7,2;10,8;;8;21;FALSE
2016-09-20 22:00:00;647,941345214844;601;7,81053996919197;;;;;;;;;;;;;;;
2016-09-20 23:00:00;616,702217102051;536,333333333;14,9848757804414;;;;;;;;;;;;;;;
