"dt_posix";"puissance";"reality";"mape";"Month";"rose_vt";"Weekday";"temp";"hr";"p_ros";"visi";"vt_raf";"rr_3h";"nebul";"Hour";"f_evening";"f_weekend"
2016-09-15 21:00:00;507,180572509766;497,666666667;1,91170244663615;"September";"North";"Thursday";16,2;96;15,6;10;25,2;0;8;21;1;0
2016-09-15 22:00:00;639,443817138672;616,5;3,72162484001166;;;;;;;;;;;;;
2016-09-15 23:00:00;582,421119689941;541,833333333;7,49082491977232;;;;;;;;;;;;;
2016-09-16 00:00:00;460,954864501953;442,5;4,17059084789901;"September";"West";"Friday";15,9;95;15,1;16;28,8;0;8;0;0;0
2016-09-16 01:00:00;395,679916381836;412,5;4,07759602864583;;;;;;;;;;;;;
2016-09-16 02:00:00;354,544723510742;371,166666667;4,4782963151081;;;;;;;;;;;;;
2016-09-16 03:00:00;380,913330078125;412;7,54530823346481;"September";"North";"Friday";15,2;92;13,9;40;32,4;0;8;3;0;0
2016-09-16 04:00:00;364,611053466797;407,166666667;10,4516446664351;;;;;;;;;;;;;
2016-09-16 05:00:00;329,587409973145;341,833333333;3,58242516622157;;;;;;;;;;;;;
2016-09-16 06:00:00;320,725402832031;328;2,21786499023438;"September";"North";"Friday";15,1;92;13,8;15;36;;8;6;0;0
2016-09-16 07:00:00;384,230838775635;425,666666667;9,73433701440864;;;;;;;;;;;;;
2016-09-16 08:00:00;443,16520690918;461,833333333;4,04217822241078;;;;;;;;;;;;;
2016-09-16 09:00:00;499,690338134766;499,166666667;0,104909142123257;"September";"North";"Friday";16,4;76;12,2;13;39,6;;6;9;0;0
2016-09-16 10:00:00;514,637504577637;506;1,70701671494797;;;;;;;;;;;;;
2016-09-16 11:00:00;536,219520568848;536,666666667;0,0833191487239797;;;;;;;;;;;;;
2016-09-16 12:00:00;548,611267089844;524,833333333;4,53056851512076;"September";"North";"Friday";16,6;68;10,7;16;46,8;0;7;12;0;0
2016-09-16 13:00:00;502,75666809082;564,5;10,9377027297041;;;;;;;;;;;;;
2016-09-16 14:00:00;475,240013122559;572,666666667;17,0128032964583;;;;;;;;;;;;;
2016-09-16 15:00:00;494,391479492188;520,833333333;5,07683593743926;"September";"North";"Friday";16,7;70;11,2;19;50,4;0;8;15;0;0
2016-09-16 16:00:00;478,585978507996;442,166666667;8,2365575215156;;;;;;;;;;;;;
2016-09-16 17:00:00;486,658559799194;386,666666667;25,8599723617521;;;;;;;;;;;;;
2016-09-16 18:00:00;449,641174316406;447,833333333;0,403686114642563;"September";"North";"Friday";14,5;80;11,1;55;39,6;0;;18;1;0
2016-09-16 19:00:00;491,788860321045;488,166666667;0,741999382869737;;;;;;;;;;;;;
2016-09-16 20:00:00;499,352046966553;493,5;1,18582511986884;;;;;;;;;;;;;
2016-09-16 21:00:00;508,064361572266;511,333333333;0,639303473416524;"September";"North";"Friday";13,3;87;11,2;45;21,6;0;;21;1;0
2016-09-16 22:00:00;639,923431396484;616,5;3,79942115109236;;;;;;;;;;;;;
2016-09-16 23:00:00;654,453887939453;560,5;16,7625134593137;;;;;;;;;;;;;
2016-09-17 00:00:00;563,322204589844;461,333333333;22,1074142897942;"September";"North";"Saturday";12,2;94;11,3;19;14,4;;;0;0;1
2016-09-17 01:00:00;474,651878356934;397,666666667;19,3592317744851;;;;;;;;;;;;;
2016-09-17 02:00:00;405,896057128906;363,333333333;11,7145111364987;;;;;;;;;;;;;
2016-09-17 03:00:00;386,770477294922;398,666666667;2,98399398964921;"September";"West";"Saturday";12,6;95;11,8;19;18;0;;3;0;1
2016-09-17 04:00:00;371,128530502319;398,666666667;6,9075592386265;;;;;;;;;;;;;
2016-09-17 05:00:00;325,081077575684;332,166666667;2,13314272693707;;;;;;;;;;;;;
2016-09-17 06:00:00;325,382232666016;316;2,96906097025811;"September";"North";"Saturday";12,3;96;11,7;18;18;0;8;6;0;1
2016-09-17 07:00:00;374,209983825684;369,166666667;1,36613557345707;;;;;;;;;;;;;
2016-09-17 08:00:00;442,685478210449;452,166666667;2,09683489639745;;;;;;;;;;;;;
2016-09-17 09:00:00;519,416748046875;515,166666667;0,82499153281248;"September";"North";"Saturday";15,9;79;12,3;35;28,8;0;7;9;0;1
2016-09-17 10:00:00;557,601470947266;510,833333333;9,15526348077576;;;;;;;;;;;;;
2016-09-17 11:00:00;553,052947998047;534,833333333;3,40659669648953;;;;;;;;;;;;;
2016-09-17 12:00:00;550,733825683594;524,5;5,00168268514657;"September";"North";"Saturday";17,3;67;11,1;25;28,8;0;7;12;0;1
2016-09-17 13:00:00;514,822429656982;567,333333333;9,25574095347505;;;;;;;;;;;;;
2016-09-17 14:00:00;482,662261962891;606,166666667;20,374661210455;;;;;;;;;;;;;
2016-09-17 15:00:00;489,369476318359;556,666666667;12,0893156314851;"September";"North";"Saturday";16,2;71;10,9;40;32,4;0;;15;0;1
2016-09-17 16:00:00;460,03179359436;449;2,4569696201248;;;;;;;;;;;;;
2016-09-17 17:00:00;443,911594390869;401,666666667;10,5174093918259;;;;;;;;;;;;;
2016-09-17 18:00:00;464,832397460938;454;2,38599063016244;"September";"North";"Saturday";14,5;82;11,5;55;21,6;0;;18;1;1
2016-09-17 19:00:00;502,777004241943;489,666666667;2,67740045778102;;;;;;;;;;;;;
2016-09-17 20:00:00;501,324417114258;499,833333333;0,298316194983426;;;;;;;;;;;;;
2016-09-17 21:00:00;525,37158203125;517,666666667;1,48839318047233;"September";"West";"Saturday";12;94;11,1;17;10,8;0;;21;1;1
2016-09-17 22:00:00;654,758087158203;628,666666667;4,15027897526872;;;;;;;;;;;;;
2016-09-17 23:00:00;663,747009277344;571,333333333;16,1750891384593;;;;;;;;;;;;;
2016-09-18 00:00:00;523,326782226562;473,666666667;10,484190477029;"September";"West";"Sunday";9,8;97;9,3;6;7,2;0;;0;0;1
2016-09-18 01:00:00;438,9609375;430,833333333;1,88648452619102;;;;;;;;;;;;;
2016-09-18 02:00:00;364,037582397461;390,166666667;6,69690327283642;;;;;;;;;;;;;
2016-09-18 03:00:00;383,365692138672;418,5;8,39529459052046;"September";"West";"Sunday";10,1;98;9,8;0,6;10,8;0;;3;0;1
2016-09-18 04:00:00;377,429022312164;412,666666667;8,5390091328289;;;;;;;;;;;;;
2016-09-18 05:00:00;316,527641296387;348;9,04378123667048;;;;;;;;;;;;;
2016-09-18 06:00:00;326,02587890625;311,5;4,66320350120385;"September";"North";"Sunday";10,4;99;10,2;0,3;10,8;0;;6;0;1
2016-09-18 07:00:00;355,206972122192;359,833333333;1,28569556576523;;;;;;;;;;;;;
2016-09-18 08:00:00;409,244567871094;434,333333333;5,77638498739651;;;;;;;;;;;;;
2016-09-18 09:00:00;514,461791992188;515;0,104506409283981;"September";"North";"Sunday";15,2;79;11,6;18;18;0;;9;0;1
2016-09-18 10:00:00;576,645610809326;553;4,27587898902824;;;;;;;;;;;;;
2016-09-18 11:00:00;602,30158996582;582,333333333;3,4290080079276;;;;;;;;;;;;;
2016-09-18 12:00:00;555,201721191406;581,333333333;4,49511676747857;"September";"West";"Sunday";18;63;10,8;35;25,2;0;7;12;0;1
2016-09-18 13:00:00;492,462112426758;582;15,3845167651619;;;;;;;;;;;;;
2016-09-18 14:00:00;469,802780151367;572,166666667;17,89057148539;;;;;;;;;;;;;
2016-09-18 15:00:00;477,435607910156;547,333333333;12,7705953878599;"September";"West";"Sunday";17,7;62;10,3;50;25,2;0;8;15;0;1
2016-09-18 16:00:00;448,691320419312;451,333333333;0,585379522974242;;;;;;;;;;;;;
2016-09-18 17:00:00;442,472053527832;378,166666667;17,0045095268688;;;;;;;;;;;;;
2016-09-18 18:00:00;440,025054931641;400,166666667;9,96044687995187;"September";"North";"Sunday";15,7;75;11,3;55;14,4;0;8;18;1;1
2016-09-18 19:00:00;494,562477111816;445,166666667;11,096026307326;;;;;;;;;;;;;
2016-09-18 20:00:00;489,616523742676;453,833333333;7,88465451554214;;;;;;;;;;;;;
2016-09-18 21:00:00;492,188079833984;450,5;9,25373581220519;"September";"North";"Sunday";14,2;86;11,9;35;3,6;0;8;21;1;1
2016-09-18 22:00:00;628,436599731445;580,166666667;8,32001144459942;;;;;;;;;;;;;
2016-09-18 23:00:00;613,962142944336;527;16,5013553974072;;;;;;;;;;;;;
2016-09-19 00:00:00;517,997802734375;453,833333333;14,1383333238536;"September";"West";"Monday";13,3;93;12,2;14;7,2;0;8;0;0;0
2016-09-19 01:00:00;455,247840881348;406,166666667;12,0839985755373;;;;;;;;;;;;;
2016-09-19 02:00:00;385,690536499023;370,166666667;4,19375141792241;;;;;;;;;;;;;
2016-09-19 03:00:00;378,027465820312;391,166666667;3,3589776344294;"September";"South";"Monday";13,6;96;13;22;3,6;0;8;3;0;0
2016-09-19 04:00:00;366,95809173584;402,333333333;8,79252069524179;;;;;;;;;;;;;
2016-09-19 05:00:00;300,080680847168;317,5;5,48639973317544;;;;;;;;;;;;;
2016-09-19 06:00:00;310,221618652344;304,166666667;1,99066914586425;"September";"South";"Monday";14,4;95;13,6;16;10,8;0;8;6;0;0
2016-09-19 07:00:00;364,024848937988;350,333333333;3,90813956374919;;;;;;;;;;;;;
2016-09-19 08:00:00;446,953674316406;407,5;9,68188326782976;;;;;;;;;;;;;
2016-09-19 09:00:00;521,933776855469;476,166666667;9,61157371825762;"September";"South";"Monday";15,7;93;14,6;19;14,4;;8;9;0;0
2016-09-19 10:00:00;550,083389282227;529,166666667;3,95276647846553;;;;;;;;;;;;;
2016-09-19 11:00:00;541,611675262451;561,5;3,54199906278697;;;;;;;;;;;;;
2016-09-19 12:00:00;544,086364746094;581,833333333;6,4875912781887;"September";"West";"Monday";16,2;92;14,9;6;14,4;0;8;12;0;0
2016-09-19 13:00:00;517,018747329712;579,166666667;10,7305760006767;;;;;;;;;;;;;
2016-09-19 14:00:00;515,98907661438;567,166666667;9,02337761726536;;;;;;;;;;;;;
2016-09-19 15:00:00;526,781677246094;564,5;6,6817223656167;"September";"North";"Monday";17;86;14,6;40;21,6;0;8;15;0;0
2016-09-19 16:00:00;467,435665130615;485,833333333;3,78682707424989;;;;;;;;;;;;;
2016-09-19 17:00:00;393,393859863281;393;0,100218794728053;;;;;;;;;;;;;
2016-09-19 18:00:00;489,415161132812;457,5;6,97599150443989;"September";"North";"Monday";15,2;91;13,7;18;21,6;0;8;18;1;0
2016-09-19 19:00:00;541,224674224854;499,666666667;8,31714627574899;;;;;;;;;;;;;
2016-09-19 20:00:00;535,468444824219;473,666666667;13,0475252970813;;;;;;;;;;;;;
2016-09-19 21:00:00;507,236572265625;470;7,92267495013298;"September";"West";"Monday";14,3;96;13,7;7;21,6;0;8;21;1;0
2016-09-19 22:00:00;628,742134094238;583,166666667;7,81517017900182;;;;;;;;;;;;;
2016-09-19 23:00:00;621,546516418457;527,833333333;17,7543131832364;;;;;;;;;;;;;
2016-09-20 00:00:00;454,220123291016;440,166666667;3,19275803650245;"September";"North";"Tuesday";14,2;97;13,7;4,8;7,2;0;8;0;0;0
2016-09-20 01:00:00;390,224822998047;404,333333333;3,48932654615781;;;;;;;;;;;;;
2016-09-20 02:00:00;350,964019775391;379,666666667;7,55995967293701;;;;;;;;;;;;;
2016-09-20 03:00:00;371,157501220703;399,833333333;7,1719463390548;"September";"East";"Tuesday";13,3;98;13;0,3;3,6;0;7;3;0;0
2016-09-20 04:00:00;367,266783475876;412,166666667;10,8936230952902;;;;;;;;;;;;;
2016-09-20 05:00:00;305,206901550293;330;7,51306013627486;;;;;;;;;;;;;
2016-09-20 06:00:00;314,904388427734;313,833333333;0,341281495932723;"September";"North";"Tuesday";13,5;99;13,3;7;10,8;0;8;6;0;0
2016-09-20 07:00:00;376,739253997803;372,833333333;1,04763182784253;;;;;;;;;;;;;
2016-09-20 08:00:00;466,273788452148;469,833333333;0,757618633739781;;;;;;;;;;;;;
2016-09-20 09:00:00;535,683166503906;491,666666667;8,95250844139859;"September";"North";"Tuesday";14,5;97;14;4,9;14,4;0;8;9;0;0
2016-09-20 10:00:00;553,348983764648;533,5;3,72052179281133;;;;;;;;;;;;;
2016-09-20 11:00:00;570,80814743042;541,833333333;5,34755104843514;;;;;;;;;;;;;
2016-09-20 12:00:00;540,155639648438;589,833333333;8,42232727062853;"September";"North";"Tuesday";17;86;14,6;50;14,4;0;8;12;0;0
2016-09-20 13:00:00;529,304607391357;614,166666667;13,8174316323902;;;;;;;;;;;;;
2016-09-20 14:00:00;506,868759155273;608,666666667;16,7247383644585;;;;;;;;;;;;;
2016-09-20 15:00:00;500,508056640625;568;11,8823843942562;"September";"North";"Tuesday";18,1;81;14,8;19;25,2;0;7;15;0;0
2016-09-20 16:00:00;422,158317565918;482,5;12,5060481728667;;;;;;;;;;;;;
2016-09-20 17:00:00;368,349304199219;412,333333333;10,6671048828982;;;;;;;;;;;;;
2016-09-20 18:00:00;493,342590332031;445,333333333;10,7805217812277;"September";"North";"Tuesday";15,6;91;14,1;12;21,6;0;8;18;1;0
2016-09-20 19:00:00;542,012451171875;494,5;9,60818021675935;;;;;;;;;;;;;
2016-09-20 20:00:00;535,64591217041;507,666666667;5,51134185884276;;;;;;;;;;;;;
2016-09-20 21:00:00;497,116760253906;500,666666667;0,709035901416392;"September";"North";"Tuesday";14,3;98;14;1,6;10,8;;8;21;1;0
2016-09-20 22:00:00;631,301452636719;601;5,04183904105137;;;;;;;;;;;;;
2016-09-20 23:00:00;544,453433990479;536,333333333;1,51400260860476;;;;;;;;;;;;;
