"datetime";"puissance";"reality";"mape";"Month";"rose_vt";"Weekday";"f_season";"f_hour";"temp";"pression";"hr";"p_rosee";"visi";"vt_raf";"rr_3h";"nebul";"Hour";"f_weekend"
2016-09-16 22:00:00;643,177536010742;616,5;4,32725644943101;;;;;;;;;;;;;;;
2016-09-16 23:00:00;651,944274902344;560,5;16,3147680468053;;;;;;;;;;;;;;;
2016-09-17 00:00:00;544,195922851562;461,333333333;17,9615439707996;"September";"North";"Saturday";"summer";"H0";12,2;1024,3;94;11,3;19;14,4;;;0;TRUE
2016-09-17 01:00:00;447,162178039551;397,666666667;12,4464823233468;;;;;;;;;;;;;;;
2016-09-17 02:00:00;397,527770996094;363,333333333;9,41131311829132;;;;;;;;;;;;;;;
2016-09-17 03:00:00;382,271301269531;398,666666667;4,11254984885996;"September";"West";"Saturday";"summer";"H3";12,6;1024,5;95;11,8;19;18;0;;3;TRUE
2016-09-17 04:00:00;362,864528656006;398,666666667;8,98046940074353;;;;;;;;;;;;;;;
2016-09-17 05:00:00;343,223903656006;332,166666667;3,32882197360605;;;;;;;;;;;;;;;
2016-09-17 06:00:00;327,572570800781;316;3,66220594961432;"September";"North";"Saturday";"summer";"H6";12,3;1024,7;96;11,7;18;18;0;8;6;TRUE
2016-09-17 07:00:00;377,282897949219;369,166666667;2,19852766109564;;;;;;;;;;;;;;;
2016-09-17 08:00:00;446,895584106445;452,166666667;1,16573886337283;;;;;;;;;;;;;;;
2016-09-17 09:00:00;519,235107421875;515,166666667;0,789732919095259;"September";"North";"Saturday";"summer";"H9";15,9;1025,3;79;12,3;35;28,8;0;7;9;TRUE
2016-09-17 10:00:00;556,435359954834;510,833333333;8,92698726692276;;;;;;;;;;;;;;;
2016-09-17 11:00:00;548,583702087402;534,833333333;2,57096330715068;;;;;;;;;;;;;;;
2016-09-17 12:00:00;547,998291015625;524,5;4,48013174749762;"September";"North";"Saturday";"summer";"H12";17,3;1025;67;11,1;25;28,8;0;7;12;TRUE
2016-09-17 13:00:00;516,439317703247;567,333333333;8,97074306047877;;;;;;;;;;;;;;;
2016-09-17 14:00:00;498,917507171631;606,166666667;17,6930150390943;;;;;;;;;;;;;;;
2016-09-17 15:00:00;491,94921875;556,666666667;11,6258888473583;"September";"North";"Saturday";"summer";"H15";16,2;1024,1;71;10,9;40;32,4;0;;15;TRUE
2016-09-17 16:00:00;458,849662780762;449;2,19368881531441;;;;;;;;;;;;;;;
2016-09-17 17:00:00;441,467956542969;401,666666667;9,90903482388441;;;;;;;;;;;;;;;
2016-09-17 18:00:00;462,213745117188;454;1,80919495973293;"September";"North";"Saturday";"summer";"H18";14,5;1024,2;82;11,5;55;21,6;0;;18;TRUE
2016-09-17 19:00:00;499,981929779053;489,666666667;2,10658879075133;;;;;;;;;;;;;;;
2016-09-17 20:00:00;504,12353515625;499,833333333;0,858326473475067;;;;;;;;;;;;;;;
2016-09-17 21:00:00;511,108093261719;517,666666667;1,26694914461242;"September";"West";"Saturday";"summer";"H21";12;1024,4;94;11,1;17;10,8;0;;21;TRUE
2016-09-17 22:00:00;643,477737426758;628,666666667;2,35594974969512;;;;;;;;;;;;;;;
2016-09-17 23:00:00;634,886512756348;571,333333333;11,1236603424827;;;;;;;;;;;;;;;
2016-09-18 00:00:00;524,928466796875;473,666666667;10,8223364102404;"September";"West";"Sunday";"summer";"H0";9,8;1024,2;97;9,3;6;7,2;0;;0;TRUE
2016-09-18 01:00:00;440,670120239258;430,833333333;2,28320005561287;;;;;;;;;;;;;;;
2016-09-18 02:00:00;365,247894287109;390,166666667;6,38669945660898;;;;;;;;;;;;;;;
2016-09-18 03:00:00;383,060211181641;418,5;8,46828884548611;"September";"West";"Sunday";"summer";"H3";10,1;1023,7;98;9,8;0,6;10,8;0;;3;TRUE
2016-09-18 04:00:00;367,248606681824;412,666666667;11,0059919188545;;;;;;;;;;;;;;;
2016-09-18 05:00:00;332,335540771484;348;4,50128138750449;;;;;;;;;;;;;;;
2016-09-18 06:00:00;313,329376220703;311,5;0,587279685618981;"September";"North";"Sunday";"summer";"H6";10,4;1023,4;99;10,2;0,3;10,8;0;;6;TRUE
2016-09-18 07:00:00;339,008525848389;359,833333333;5,78734807354255;;;;;;;;;;;;;;;
2016-09-18 08:00:00;408,520835876465;434,333333333;5,9430155310564;;;;;;;;;;;;;;;
2016-09-18 09:00:00;512,866577148438;515;0,414256864381068;"September";"North";"Sunday";"summer";"H9";15,2;1023,5;79;11,6;18;18;0;;9;TRUE
2016-09-18 10:00:00;578,57398223877;553;4,62458991659485;;;;;;;;;;;;;;;
2016-09-18 11:00:00;594,879501342773;582,333333333;2,15446502743799;;;;;;;;;;;;;;;
2016-09-18 12:00:00;561,634948730469;581,333333333;3,38848358988691;"September";"West";"Sunday";"summer";"H12";18;1023,2;63;10,8;35;25,2;0;7;12;TRUE
2016-09-18 13:00:00;495,303359985352;582;14,8963298994241;;;;;;;;;;;;;;;
2016-09-18 14:00:00;484,980560302734;572,166666667;15,2378863438767;;;;;;;;;;;;;;;
2016-09-18 15:00:00;487,308258056641;547,333333333;10,9668225230931;"September";"West";"Sunday";"summer";"H15";17,7;1023,2;62;10,3;50;25,2;0;8;15;TRUE
2016-09-18 16:00:00;448,864719390869;451,333333333;0,54696025305746;;;;;;;;;;;;;;;
2016-09-18 17:00:00;447,468700408936;378,166666667;18,3257912054318;;;;;;;;;;;;;;;
2016-09-18 18:00:00;416,616943359375;400,166666667;4,11085631629186;"September";"North";"Sunday";"summer";"H18";15,7;1023,5;75;11,3;55;14,4;0;8;18;TRUE
2016-09-18 19:00:00;466,047088623047;445,166666667;4,69047292160941;;;;;;;;;;;;;;;
2016-09-18 20:00:00;438,529682159424;453,833333333;3,37208619322528;;;;;;;;;;;;;;;
2016-09-18 21:00:00;493,373321533203;450,5;9,5168305290129;"September";"North";"Sunday";"summer";"H21";14,2;1023,5;86;11,9;35;3,6;0;8;21;TRUE
2016-09-18 22:00:00;630,585983276367;580,166666667;8,69048835553087;;;;;;;;;;;;;;;
2016-09-18 23:00:00;616,807838439941;527;17,0413355673513;;;;;;;;;;;;;;;
2016-09-19 00:00:00;488,770599365234;453,833333333;7,69825913307236;"September";"West";"Monday";"summer";"H0";13,3;1023,3;93;12,2;14;7,2;0;8;0;FALSE
2016-09-19 01:00:00;429,056098937988;406,166666667;5,63547778522022;;;;;;;;;;;;;;;
2016-09-19 02:00:00;356,829605102539;370,166666667;3,60298826594749;;;;;;;;;;;;;;;
2016-09-19 03:00:00;376,227935791016;391,166666667;3,81901939735108;"September";"South";"Monday";"summer";"H3";13,6;1023;96;13;22;3,6;0;8;3;FALSE
2016-09-19 04:00:00;364,143790245056;402,333333333;9,49201568052414;;;;;;;;;;;;;;;
2016-09-19 05:00:00;300,11840057373;317,5;5,47451950433686;;;;;;;;;;;;;;;
2016-09-19 06:00:00;304,536926269531;304,166666667;0,121729184393697;"September";"South";"Monday";"summer";"H6";14,4;1022,9;95;13,6;16;10,8;0;8;6;FALSE
2016-09-19 07:00:00;357,650356292725;350,333333333;2,08858885625069;;;;;;;;;;;;;;;
2016-09-19 08:00:00;432,926132202148;407,5;6,239541644699;;;;;;;;;;;;;;;
2016-09-19 09:00:00;482,621551513672;476,166666667;1,35559359748002;"September";"South";"Monday";"summer";"H9";15,7;1023,1;93;14,6;19;14,4;;8;9;FALSE
2016-09-19 10:00:00;512,199773788452;529,166666667;3,20634196129835;;;;;;;;;;;;;;;
2016-09-19 11:00:00;504,328428268433;561,5;10,181936194402;;;;;;;;;;;;;;;
2016-09-19 12:00:00;541,700561523438;581,833333333;6,89764052871708;"September";"West";"Monday";"summer";"H12";16,2;1022,8;92;14,9;6;14,4;0;8;12;FALSE
2016-09-19 13:00:00;530,592150688171;579,166666667;8,38696678770658;;;;;;;;;;;;;;;
2016-09-19 14:00:00;515,661764144897;567,166666667;9,08108772061221;;;;;;;;;;;;;;;
2016-09-19 15:00:00;507,651062011719;564,5;10,0706710342394;"September";"North";"Monday";"summer";"H15";17;1022;86;14,6;40;21,6;0;8;15;FALSE
2016-09-19 16:00:00;454,591751098633;485,833333333;6,43051435356198;;;;;;;;;;;;;;;
2016-09-19 17:00:00;364,052627563477;393;7,36574362252505;;;;;;;;;;;;;;;
2016-09-19 18:00:00;439,408874511719;457,5;3,95434436902322;"September";"North";"Monday";"summer";"H18";15,2;1021,9;91;13,7;18;21,6;0;8;18;FALSE
2016-09-19 19:00:00;485,644035339355;499,666666667;2,8063971969917;;;;;;;;;;;;;;;
2016-09-19 20:00:00;492,918601989746;473,666666667;4,06444799213213;;;;;;;;;;;;;;;
2016-09-19 21:00:00;498,396453857422;470;6,04179869306848;"September";"West";"Monday";"summer";"H21";14,3;1021,8;96;13,7;7;21,6;0;8;21;FALSE
2016-09-19 22:00:00;617,310539245605;583,166666667;5,85490813008048;;;;;;;;;;;;;;;
2016-09-19 23:00:00;607,378913879395;527,833333333;15,0702078711294;;;;;;;;;;;;;;;
2016-09-20 00:00:00;470,825103759766;440,166666667;6,9651882830918;"September";"North";"Tuesday";"summer";"H0";14,2;1021;97;13,7;4,8;7,2;0;8;0;FALSE
2016-09-20 01:00:00;416,151336669922;404,333333333;2,92283676923289;;;;;;;;;;;;;;;
2016-09-20 02:00:00;374,617942810059;379,666666667;1,32977801324065;;;;;;;;;;;;;;;
2016-09-20 03:00:00;373,214721679688;399,833333333;6,65742684118416;"September";"East";"Tuesday";"summer";"H3";13,3;1020,1;98;13;0,3;3,6;0;7;3;FALSE
2016-09-20 04:00:00;371,351475000381;412,166666667;9,90259401534627;;;;;;;;;;;;;;;
2016-09-20 05:00:00;300,566078186035;330;8,91937024665601;;;;;;;;;;;;;;;
2016-09-20 06:00:00;309,920623779297;313,833333333;1,24674760075643;"September";"North";"Tuesday";"summer";"H6";13,5;1020;99;13,3;7;10,8;0;8;6;FALSE
2016-09-20 07:00:00;369,303146362305;372,833333333;0,946853903629447;;;;;;;;;;;;;;;
2016-09-20 08:00:00;438,121353149414;469,833333333;6,74962330974284;;;;;;;;;;;;;;;
2016-09-20 09:00:00;484,697631835938;491,666666667;1,4174308130965;"September";"North";"Tuesday";"summer";"H9";14,5;1020,5;97;14;4,9;14,4;0;8;9;FALSE
2016-09-20 10:00:00;499,94006729126;533,5;6,29052159489039;;;;;;;;;;;;;;;
2016-09-20 11:00:00;521,125282287598;541,833333333;3,82184885489052;;;;;;;;;;;;;;;
2016-09-20 12:00:00;504,374938964844;589,833333333;14,4885664371073;"September";"North";"Tuesday";"summer";"H12";17;1019,9;86;14,6;50;14,4;0;8;12;FALSE
2016-09-20 13:00:00;492,424610137939;614,166666667;19,8223158527535;;;;;;;;;;;;;;;
2016-09-20 14:00:00;483,514295578003;608,666666667;20,5617258086958;;;;;;;;;;;;;;;
2016-09-20 15:00:00;490,419464111328;568;13,6585450508225;"September";"North";"Tuesday";"summer";"H15";18,1;1018,5;81;14,8;19;25,2;0;7;15;FALSE
2016-09-20 16:00:00;433,456882476807;482,5;10,1643766887447;;;;;;;;;;;;;;;
2016-09-20 17:00:00;371,204574584961;412,333333333;9,97463833825521;;;;;;;;;;;;;;;
2016-09-20 18:00:00;449,589904785156;445,333333333;0,955816942850176;"September";"North";"Tuesday";"summer";"H18";15,6;1018,6;91;14,1;12;21,6;0;8;18;FALSE
2016-09-20 19:00:00;500,386692047119;494,5;1,19043317434159;;;;;;;;;;;;;;;
2016-09-20 20:00:00;495,527000427246;507,666666667;2,39126715162428;;;;;;;;;;;;;;;
2016-09-20 21:00:00;470,136932373047;500,666666667;6,09781643687074;"September";"North";"Tuesday";"summer";"H21";14,3;1018,9;98;14;1,6;10,8;;8;21;FALSE
2016-09-20 22:00:00;605,99397277832;601;0,830943889903546;;;;;;;;;;;;;;;
2016-09-20 23:00:00;580,100006103516;536,333333333;8,16034918033737;;;;;;;;;;;;;;;
