"dt_posix";"puissance";"reality";"mape";"Month";"rose_vt";"Weekday";"temp";"pression";"hr";"visi";"p_ros";"vt_moy";"vt_raf";"rr_3h";"Hour";"f_weekend"
2016-09-16 04:00:00;394,022954940796;407,166666667;3,22809129583136;;;;;;;;;;;;;
2016-09-16 05:00:00;331,60466003418;341,833333333;2,99229838093523;;;;;;;;;;;;;
2016-09-16 06:00:00;336,490661621094;328;2,58861634789444;"September";"North";"Friday";15,1;1016,8;92;15;13,8;18;36;;6;0
2016-09-16 07:00:00;403,735847473145;425,666666667;5,15211100873257;;;;;;;;;;;;;
2016-09-16 08:00:00;469,471313476562;461,833333333;1,6538390783619;;;;;;;;;;;;;
2016-09-16 09:00:00;531,629699707031;499,166666667;6,50344568414215;"September";"North";"Friday";16,4;1019;76;13;12,2;28,8;39,6;;9;0
2016-09-16 10:00:00;550,079788208008;506;8,71142059446795;;;;;;;;;;;;;
2016-09-16 11:00:00;554,141452789307;536,666666667;3,25617132713587;;;;;;;;;;;;;
2016-09-16 12:00:00;583,624633789062;524,833333333;11,2018991024642;"September";"North";"Friday";16,6;1020,4;68;16;10,7;25,2;46,8;0;12;0
2016-09-16 13:00:00;535,3720703125;564,5;5,15995211470328;;;;;;;;;;;;;
2016-09-16 14:00:00;512,403312683105;572,666666667;10,523286493107;;;;;;;;;;;;;
2016-09-16 15:00:00;496,021881103516;520,833333333;4,76379882806406;"September";"North";"Friday";16,7;1021,1;70;19;11,2;28,8;50,4;0;15;0
2016-09-16 16:00:00;472,230472564697;442,166666667;6,79920223844883;;;;;;;;;;;;;
2016-09-16 17:00:00;478,419284820557;386,666666667;23,72912538452;;;;;;;;;;;;;
2016-09-16 18:00:00;475,444519042969;447,833333333;6,16550481056702;"September";"North";"Friday";14,5;1022,6;80;55;11,1;18;39,6;0;18;0
2016-09-16 19:00:00;518,486713409424;488,166666667;6,21100308823553;;;;;;;;;;;;;
2016-09-16 20:00:00;516,491943359375;493,5;4,65895508801925;;;;;;;;;;;;;
2016-09-16 21:00:00;555,259155273438;511,333333333;8,59044757636235;"September";"North";"Friday";13,3;1024,3;87;45;11,2;14,4;21,6;0;21;0
2016-09-16 22:00:00;697,143356323242;616,5;13,0808363865762;;;;;;;;;;;;;
2016-09-16 23:00:00;701,481292724609;560,5;25,152773010635;;;;;;;;;;;;;
2016-09-17 00:00:00;590,824462890625;461,333333333;28,0688864648234;"September";"North";"Saturday";12,2;1024,3;94;19;11,3;7,2;14,4;;0;1
2016-09-17 01:00:00;514,424118041992;397,666666667;29,3606332040807;;;;;;;;;;;;;
2016-09-17 02:00:00;439,972671508789;363,333333333;21,0933958282182;;;;;;;;;;;;;
2016-09-17 03:00:00;389,893402099609;398,666666667;2,20065164733695;"September";"West";"Saturday";12,6;1024,5;95;19;11,8;10,8;18;0;3;1
2016-09-17 04:00:00;376,852531433105;398,666666667;5,47177305197566;;;;;;;;;;;;;
2016-09-17 05:00:00;345,917644500732;332,166666667;4,1397825891777;;;;;;;;;;;;;
2016-09-17 06:00:00;322,206207275391;316;1,96398964411096;"September";"North";"Saturday";12,3;1024,7;96;18;11,7;3,6;18;0;6;1
2016-09-17 07:00:00;371,404136657715;369,166666667;0,606086679199858;;;;;;;;;;;;;
2016-09-17 08:00:00;442,35327911377;452,166666667;2,17030318169331;;;;;;;;;;;;;
2016-09-17 09:00:00;539,142944335938;515,166666667;4,65408172156364;"September";"North";"Saturday";15,9;1025,3;79;35;12,3;18;28,8;0;9;1
2016-09-17 10:00:00;571,697723388672;510,833333333;11,9147256226515;;;;;;;;;;;;;
2016-09-17 11:00:00;567,434370040894;534,833333333;6,09555064654045;;;;;;;;;;;;;
2016-09-17 12:00:00;571,625549316406;524,5;8,98485210989633;"September";"North";"Saturday";17,3;1025;67;25;11,1;18;28,8;0;12;1
2016-09-17 13:00:00;531,850654602051;567,333333333;6,25429119817334;;;;;;;;;;;;;
2016-09-17 14:00:00;504,298065185547;606,166666667;16,8053783032275;;;;;;;;;;;;;
2016-09-17 15:00:00;507,089813232422;556,666666667;8,90602157506857;"September";"North";"Saturday";16,2;1024,1;71;40;10,9;18;32,4;0;15;1
2016-09-17 16:00:00;483,79640007019;449;7,74975502676847;;;;;;;;;;;;;
2016-09-17 17:00:00;488,084913253784;401,666666667;21,514916162667;;;;;;;;;;;;;
2016-09-17 18:00:00;475,040771484375;454;4,63453116395925;"September";"North";"Saturday";14,5;1024,2;82;55;11,5;7,2;21,6;0;18;1
2016-09-17 19:00:00;514,340229034424;489,666666667;5,03884867952492;;;;;;;;;;;;;
2016-09-17 20:00:00;526,464420318604;499,833333333;5,32799339492257;;;;;;;;;;;;;
2016-09-17 21:00:00;541,095336914062;517,666666667;4,52582168326738;"September";"West";"Saturday";12;1024,4;94;17;11,1;7,2;10,8;0;21;1
2016-09-17 22:00:00;680,957794189453;628,666666667;8,31778274481847;;;;;;;;;;;;;
2016-09-17 23:00:00;677,783569335938;571,333333333;18,6318966166277;;;;;;;;;;;;;
2016-09-18 00:00:00;595,549072265625;473,666666667;25,7316830961026;"September";"West";"Sunday";9,8;1024,2;97;6;9,3;7,2;7,2;0;0;1
2016-09-18 01:00:00;502,836463928223;430,833333333;16,7125254766604;;;;;;;;;;;;;
2016-09-18 02:00:00;426,652893066406;390,166666667;9,35144632192441;;;;;;;;;;;;;
2016-09-18 03:00:00;396,781311035156;418,5;5,18965088765681;"September";"West";"Sunday";10,1;1023,7;98;0,6;9,8;3,6;10,8;0;3;1
2016-09-18 04:00:00;391,88312959671;412,666666667;5,03639832074467;;;;;;;;;;;;;
2016-09-18 05:00:00;348,060607910156;348;0,0174160661368534;;;;;;;;;;;;;
2016-09-18 06:00:00;337,377105712891;311,5;8,3072570506872;"September";"North";"Sunday";10,4;1023,4;99;0,3;10,2;3,6;10,8;0;6;1
2016-09-18 07:00:00;361,665832519531;359,833333333;0,509263321871134;;;;;;;;;;;;;
2016-09-18 08:00:00;414,643486022949;434,333333333;4,5333493423022;;;;;;;;;;;;;
2016-09-18 09:00:00;523,33349609375;515;1,61815458131068;"September";"North";"Sunday";15,2;1023,5;79;18;11,6;7,2;18;0;9;1
2016-09-18 10:00:00;585,459774017334;553;5,86976022013273;;;;;;;;;;;;;
2016-09-18 11:00:00;587,426460266113;582,333333333;0,874606800191669;;;;;;;;;;;;;
2016-09-18 12:00:00;594,705078125;581,333333333;2,30018545734076;"September";"West";"Sunday";18;1023,2;63;35;10,8;10,8;25,2;0;12;1
2016-09-18 13:00:00;529,032150268555;582;9,10100510849576;;;;;;;;;;;;;
2016-09-18 14:00:00;503,27335357666;572,166666667;12,0407771203553;;;;;;;;;;;;;
2016-09-18 15:00:00;464,380126953125;547,333333333;15,1558842350656;"September";"West";"Sunday";17,7;1023,2;62;50;10,3;10,8;25,2;0;15;1
2016-09-18 16:00:00;436,694597244263;451,333333333;3,24344226486295;;;;;;;;;;;;;
2016-09-18 17:00:00;429,348190307617;378,166666667;13,5341181949507;;;;;;;;;;;;;
2016-09-18 18:00:00;417,825958251953;400,166666667;4,41298415283758;"September";"North";"Sunday";15,7;1023,5;75;55;11,3;3,6;14,4;0;18;1
2016-09-18 19:00:00;452,153987884521;445,166666667;1,56959667933723;;;;;;;;;;;;;
2016-09-18 20:00:00;459,665416717529;453,833333333;1,28507162347417;;;;;;;;;;;;;
2016-09-18 21:00:00;509,642242431641;450,5;13,1281337251145;"September";"North";"Sunday";14,2;1023,5;86;35;11,9;0;3,6;0;21;1
2016-09-18 22:00:00;666,115859985352;580,166666667;14,8145693740251;;;;;;;;;;;;;
2016-09-18 23:00:00;644,502914428711;527;22,2965682027915;;;;;;;;;;;;;
2016-09-19 00:00:00;548,821411132812;453,833333333;20,9301677120563;"September";"West";"Monday";13,3;1023,3;93;14;12,2;3,6;7,2;0;0;0
2016-09-19 01:00:00;470,210960388184;406,166666667;15,7679836818542;;;;;;;;;;;;;
2016-09-19 02:00:00;392,497985839844;370,166666667;6,03277420247374;;;;;;;;;;;;;
2016-09-19 03:00:00;365,405487060547;391,166666667;6,58572976730239;"September";"South";"Monday";13,6;1023;96;22;13;3,6;3,6;0;3;0
2016-09-19 04:00:00;349,033205032349;402,333333333;13,2477535130146;;;;;;;;;;;;;
2016-09-19 05:00:00;271,520820617676;317,5;14,4816313015194;;;;;;;;;;;;;
2016-09-19 06:00:00;314,043548583984;304,166666667;3,24719405489541;"September";"South";"Monday";14,4;1022,9;95;16;13,6;7,2;10,8;0;6;0
2016-09-19 07:00:00;369,984378814697;350,333333333;5,6092422878352;;;;;;;;;;;;;
2016-09-19 08:00:00;448,697509765625;407,5;10,1098183473926;;;;;;;;;;;;;
2016-09-19 09:00:00;535,166320800781;476,166666667;12,3905468954302;"September";"South";"Monday";15,7;1023,1;93;19;14,6;10,8;14,4;;9;0
2016-09-19 10:00:00;571,357727050781;529,166666667;7,97311377330798;;;;;;;;;;;;;
2016-09-19 11:00:00;564,215871810913;561,5;0,483681533555314;;;;;;;;;;;;;
2016-09-19 12:00:00;568,45361328125;581,833333333;2,29957949901307;"September";"West";"Monday";16,2;1022,8;92;6;14,9;7,2;14,4;0;12;0
2016-09-19 13:00:00;529,448665618896;579,166666667;8,58440305866041;;;;;;;;;;;;;
2016-09-19 14:00:00;504,617935180664;567,166666667;11,0282806029326;;;;;;;;;;;;;
2016-09-19 15:00:00;525,35302734375;564,5;6,9348047220992;"September";"North";"Monday";17;1022;86;40;14,6;14,4;21,6;0;15;0
2016-09-19 16:00:00;447,826271057129;485,833333333;7,82306599160833;;;;;;;;;;;;;
2016-09-19 17:00:00;366,884887695312;393;6,64506674419529;;;;;;;;;;;;;
2016-09-19 18:00:00;471,795257568359;457,5;3,12464646302937;"September";"North";"Monday";15,2;1021,9;91;18;13,7;14,4;21,6;0;18;0
2016-09-19 19:00:00;525,696666717529;499,666666667;5,20947299209711;;;;;;;;;;;;;
2016-09-19 20:00:00;520,305206298828;473,666666667;9,84627859925305;;;;;;;;;;;;;
2016-09-19 21:00:00;530,395935058594;470;12,850198948637;"September";"West";"Monday";14,3;1021,8;96;7;13,7;10,8;21,6;0;21;0
2016-09-19 22:00:00;665,619827270508;583,166666667;14,1388672083671;;;;;;;;;;;;;
2016-09-19 23:00:00;654,137062072754;527,833333333;23,928714001863;;;;;;;;;;;;;
2016-09-20 00:00:00;473,479919433594;440,166666667;7,56832702004585;"September";"North";"Tuesday";14,2;1021;97;4,8;13,7;0;7,2;0;0;0
2016-09-20 01:00:00;401,588424682617;404,333333333;0,678872708256816;;;;;;;;;;;;;
2016-09-20 02:00:00;350,277862548828;379,666666667;7,74068589591205;;;;;;;;;;;;;
2016-09-20 03:00:00;379,512908935547;399,833333333;5,08222369257275;"September";"East";"Tuesday";13,3;1020,1;98;0,3;13;3,6;3,6;0;3;0
2016-09-20 04:00:00;378,312439203262;412,166666667;8,21372279750351;;;;;;;;;;;;;
2016-09-20 05:00:00;287,053237915039;330;13,014170328776;;;;;;;;;;;;;
2016-09-20 06:00:00;325,385223388672;313,833333333;3,68089964599602;"September";"North";"Tuesday";13,5;1020;99;7;13,3;7,2;10,8;0;6;0
2016-09-20 07:00:00;383,896663665771;372,833333333;2,96736620459045;;;;;;;;;;;;;
2016-09-20 08:00:00;462,30793762207;469,833333333;1,60171600800319;;;;;;;;;;;;;
2016-09-20 09:00:00;518,707275390625;491,666666667;5,49978482514034;"September";"North";"Tuesday";14,5;1020,5;97;4,9;14;7,2;14,4;0;9;0
2016-09-20 10:00:00;533,818561553955;533,5;0,0597116314817391;;;;;;;;;;;;;
2016-09-20 11:00:00;544,286247253418;541,833333333;0,452706352584331;;;;;;;;;;;;;
2016-09-20 12:00:00;547,474670410156;589,833333333;7,1814630555865;"September";"North";"Tuesday";17;1019,9;86;50;14,6;7,2;14,4;0;12;0
2016-09-20 13:00:00;510,897342681885;614,166666667;16,8145439324384;;;;;;;;;;;;;
2016-09-20 14:00:00;486,512428283691;608,666666667;20,0691519797221;;;;;;;;;;;;;
2016-09-20 15:00:00;497,728179931641;568;12,3717993078097;"September";"North";"Tuesday";18,1;1018,5;81;19;14,8;14,4;25,2;0;15;0
2016-09-20 16:00:00;414,047912597656;482,5;14,1869611196567;;;;;;;;;;;;;
2016-09-20 17:00:00;336,901611328125;412,333333333;18,2938695242367;;;;;;;;;;;;;
2016-09-20 18:00:00;470,193298339844;445,333333333;5,58232747160083;"September";"North";"Tuesday";15,6;1018,6;91;12;14,1;14,4;21,6;0;18;0
2016-09-20 19:00:00;524,134544372559;494,5;5,9928300045619;;;;;;;;;;;;;
2016-09-20 20:00:00;514,798015594482;507,666666667;1,40473058321951;;;;;;;;;;;;;
2016-09-20 21:00:00;521,83544921875;500,666666667;4,22811901832275;"September";"North";"Tuesday";14,3;1018,9;98;1,6;14;7,2;10,8;;21;0
2016-09-20 22:00:00;668,290374755859;601;11,1964017896605;;;;;;;;;;;;;
2016-09-20 23:00:00;572,937747955322;536,333333333;6,82493746842976;;;;;;;;;;;;;
