"dt_posix";"puissance";"reality";"mape";"Month";"Weekday";"rose_vt";"temp";"pression";"hr";"p_ros";"visi";"vt_moy";"vt_raf";"rr_3h";"nebul";"Hour";"f_weekend";"f_evening"
2016-09-17 05:00:00;327,683967590332;332,166666667;1,34953308880988;;;;;;;;;;;;;;;
2016-09-17 06:00:00;319,9501953125;316;1,25006180775316;"September";"Saturday";"North";12,3;1024,7;96;11,7;18;3,6;18;0;8;6;1;0
2016-09-17 07:00:00;365,102722167969;369,166666667;1,10084275368693;;;;;;;;;;;;;;;
2016-09-17 08:00:00;441,475006103516;452,166666667;2,36453974864943;;;;;;;;;;;;;;;
2016-09-17 09:00:00;508,645202636719;515,166666667;1,26589402075904;"September";"Saturday";"North";15,9;1025,3;79;12,3;35;18;28,8;0;7;9;1;0
2016-09-17 10:00:00;533,149593353271;510,833333333;4,36859902517835;;;;;;;;;;;;;;;
2016-09-17 11:00:00;555,744171142578;534,833333333;3,9097858166889;;;;;;;;;;;;;;;
2016-09-17 12:00:00;543,807861328125;524,5;3,68119377085319;"September";"Saturday";"North";17,3;1025;67;11,1;25;18;28,8;0;7;12;1;0
2016-09-17 13:00:00;504,285820007324;567,333333333;11,1129576954841;;;;;;;;;;;;;;;
2016-09-17 14:00:00;478,106956481934;606,166666667;21,1261551033812;;;;;;;;;;;;;;;
2016-09-17 15:00:00;494,390747070312;556,666666667;11,187290945506;"September";"Saturday";"North";16,2;1024,1;71;10,9;40;18;32,4;0;;15;1;0
2016-09-17 16:00:00;465,842321395874;449;3,75107380754433;;;;;;;;;;;;;;;
2016-09-17 17:00:00;452,333641052246;401,666666667;12,6141844942417;;;;;;;;;;;;;;;
2016-09-17 18:00:00;475,917358398438;454;4,82761198203469;"September";"Saturday";"North";14,5;1024,2;82;11,5;55;7,2;21,6;0;;18;1;1
2016-09-17 19:00:00;510,452777862549;489,666666667;4,24495123121879;;;;;;;;;;;;;;;
2016-09-17 20:00:00;520,654041290283;499,833333333;4,16553010149325;;;;;;;;;;;;;;;
2016-09-17 21:00:00;523,282104492188;517,666666667;1,08475939958479;"September";"Saturday";"West";12;1024,4;94;11,1;17;7,2;10,8;0;;21;1;1
2016-09-17 22:00:00;661,057601928711;628,666666667;5,15232268213581;;;;;;;;;;;;;;;
2016-09-17 23:00:00;666,552185058594;571,333333333;16,6660767314439;;;;;;;;;;;;;;;
2016-09-18 00:00:00;524,023681640625;473,666666667;10,6313191358739;"September";"Sunday";"West";9,8;1024,2;97;9,3;6;7,2;7,2;0;;0;1;0
2016-09-18 01:00:00;434,285995483398;430,833333333;0,801391601640493;;;;;;;;;;;;;;;
2016-09-18 02:00:00;368,162811279297;390,166666667;5,63960411474182;;;;;;;;;;;;;;;
2016-09-18 03:00:00;383,885009765625;418,5;8,27120435707885;"September";"Sunday";"West";10,1;1023,7;98;9,8;0,6;3,6;10,8;0;;3;1;0
2016-09-18 04:00:00;380,114679336548;412,666666667;7,88820371496588;;;;;;;;;;;;;;;
2016-09-18 05:00:00;311,734352111816;348;10,4211631862597;;;;;;;;;;;;;;;
2016-09-18 06:00:00;318,895599365234;311,5;2,37418920232243;"September";"Sunday";"North";10,4;1023,4;99;10,2;0,3;3,6;10,8;0;;6;1;0
2016-09-18 07:00:00;344,372528076172;359,833333333;4,29665732010443;;;;;;;;;;;;;;;
2016-09-18 08:00:00;410,522811889648;434,333333333;5,48208475288637;;;;;;;;;;;;;;;
2016-09-18 09:00:00;509,287872314453;515;1,10915100690231;"September";"Sunday";"North";15,2;1023,5;79;11,6;18;7,2;18;0;;9;1;0
2016-09-18 10:00:00;574,023040771484;553;3,8016348592196;;;;;;;;;;;;;;;
2016-09-18 11:00:00;599,400001525879;582,333333333;2,93073867078797;;;;;;;;;;;;;;;
2016-09-18 12:00:00;551,120056152344;581,333333333;5,19723804713422;"September";"Sunday";"West";18;1023,2;63;10,8;35;10,8;25,2;0;7;12;1;0
2016-09-18 13:00:00;495,979930877686;582;14,7800806052087;;;;;;;;;;;;;;;
2016-09-18 14:00:00;460,308616638184;572,166666667;19,5499067920917;;;;;;;;;;;;;;;
2016-09-18 15:00:00;482,757781982422;547,333333333;11,7982127924392;"September";"Sunday";"West";17,7;1023,2;62;10,3;50;10,8;25,2;0;8;15;1;0
2016-09-18 16:00:00;455,767402648926;451,333333333;0,982437810028598;;;;;;;;;;;;;;;
2016-09-18 17:00:00;448,750553131104;378,166666667;18,6647562267187;;;;;;;;;;;;;;;
2016-09-18 18:00:00;431,296997070312;400,166666667;7,77934120865137;"September";"Sunday";"North";15,7;1023,5;75;11,3;55;3,6;14,4;0;8;18;1;1
2016-09-18 19:00:00;480,497623443604;445,166666667;7,9365683511592;;;;;;;;;;;;;;;
2016-09-18 20:00:00;477,944732666016;453,833333333;5,31283128895336;;;;;;;;;;;;;;;
2016-09-18 21:00:00;472,627777099609;450,5;4,91182621522961;"September";"Sunday";"North";14,2;1023,5;86;11,9;35;0;3,6;0;8;21;1;1
2016-09-18 22:00:00;618,367767333984;580,166666667;6,58450456770396;;;;;;;;;;;;;;;
2016-09-18 23:00:00;604,935043334961;527;14,7884332703911;;;;;;;;;;;;;;;
2016-09-19 00:00:00;494,911956787109;453,833333333;9,05147780847732;"September";"Monday";"West";13,3;1023,3;93;12,2;14;3,6;7,2;0;8;0;0;0
2016-09-19 01:00:00;431,552341461182;406,166666667;6,25006355211181;;;;;;;;;;;;;;;
2016-09-19 02:00:00;347,521560668945;370,166666667;6,11754326826681;;;;;;;;;;;;;;;
2016-09-19 03:00:00;379,870880126953;391,166666667;2,88771705326901;"September";"Monday";"South";13,6;1023;96;13;22;3,6;3,6;0;8;3;0;0
2016-09-19 04:00:00;373,623872756958;402,333333333;7,13573999405114;;;;;;;;;;;;;;;
2016-09-19 05:00:00;300,986419677734;317,5;5,2011276605561;;;;;;;;;;;;;;;
2016-09-19 06:00:00;314,944580078125;304,166666667;3,54342358721529;"September";"Monday";"South";14,4;1022,9;95;13,6;16;7,2;10,8;0;8;6;0;0
2016-09-19 07:00:00;370,245864868164;350,333333333;5,68388150385814;;;;;;;;;;;;;;;
2016-09-19 08:00:00;448,221405029297;407,5;9,99298282927531;;;;;;;;;;;;;;;
2016-09-19 09:00:00;504,750610351562;476,166666667;6,00292832016993;"September";"Monday";"South";15,7;1023,1;93;14,6;19;10,8;14,4;;8;9;0;0
2016-09-19 10:00:00;537,24303817749;529,166666667;1,52624343505232;;;;;;;;;;;;;;;
2016-09-19 11:00:00;513,297969818115;561,5;8,58451116329203;;;;;;;;;;;;;;;
2016-09-19 12:00:00;535,657348632812;581,833333333;7,9362906961124;"September";"Monday";"West";16,2;1022,8;92;14,9;6;7,2;14,4;0;8;12;0;0
2016-09-19 13:00:00;517,226461410522;579,166666667;10,694711698954;;;;;;;;;;;;;;;
2016-09-19 14:00:00;519,311388015747;567,166666667;8,43760422883775;;;;;;;;;;;;;;;
2016-09-19 15:00:00;508,527374267578;564,5;9,91543414214737;"September";"Monday";"North";17;1022;86;14,6;40;14,4;21,6;0;8;15;0;0
2016-09-19 16:00:00;456,434329986572;485,833333333;6,05125283288807;;;;;;;;;;;;;;;
2016-09-19 17:00:00;385,937934875488;393;1,79696313600807;;;;;;;;;;;;;;;
2016-09-19 18:00:00;470,901275634766;457,5;2,92924057590505;"September";"Monday";"North";15,2;1021,9;91;13,7;18;14,4;21,6;0;8;18;0;1
2016-09-19 19:00:00;526,102714538574;499,666666667;5,29073673213273;;;;;;;;;;;;;;;
2016-09-19 20:00:00;515,508491516113;473,666666667;8,8336013052253;;;;;;;;;;;;;;;
2016-09-19 21:00:00;503,049560546875;470;7,03182139295213;"September";"Monday";"West";14,3;1021,8;96;13,7;7;10,8;21,6;0;8;21;0;1
2016-09-19 22:00:00;621,529441833496;583,166666667;6,57835527290212;;;;;;;;;;;;;;;
2016-09-19 23:00:00;629,053062438965;527,833333333;19,1764564141513;;;;;;;;;;;;;;;
2016-09-20 00:00:00;443,261596679688;440,166666667;0,703126848773603;"September";"Tuesday";"North";14,2;1021;97;13,7;4,8;0;7,2;0;8;0;0;0
2016-09-20 01:00:00;375,180801391602;404,333333333;7,21002438782089;;;;;;;;;;;;;;;
2016-09-20 02:00:00;292,408950805664;379,666666667;22,9827170837382;;;;;;;;;;;;;;;
2016-09-20 03:00:00;374,276214599609;399,833333333;6,39194299293337;"September";"Tuesday";"East";13,3;1020,1;98;13;0,3;3,6;3,6;0;7;3;0;0
2016-09-20 04:00:00;370,123416900635;412,166666667;10,2005458389805;;;;;;;;;;;;;;;
2016-09-20 05:00:00;302,878982543945;330;8,21849013819839;;;;;;;;;;;;;;;
2016-09-20 06:00:00;319,027465820312;313,833333333;1,65506080318153;"September";"Tuesday";"North";13,5;1020;99;13,3;7;7,2;10,8;0;8;6;0;0
2016-09-20 07:00:00;381,028713226318;372,833333333;2,19813497362334;;;;;;;;;;;;;;;
2016-09-20 08:00:00;454,316482543945;469,833333333;3,30262875964505;;;;;;;;;;;;;;;
2016-09-20 09:00:00;494,201293945312;491,666666667;0,515517412537783;"September";"Tuesday";"North";14,5;1020,5;97;14;4,9;7,2;14,4;0;8;9;0;0
2016-09-20 10:00:00;511,853538513184;533,5;4,05744357766006;;;;;;;;;;;;;;;
2016-09-20 11:00:00;537,29956817627;541,833333333;0,836745338062128;;;;;;;;;;;;;;;
2016-09-20 12:00:00;516,366638183594;589,833333333;12,4555007317515;"September";"Tuesday";"North";17;1019,9;86;14,6;50;7,2;14,4;0;8;12;0;0
2016-09-20 13:00:00;506,650595664978;614,166666667;17,5060088469954;;;;;;;;;;;;;;;
2016-09-20 14:00:00;506,031093597412;608,666666667;16,8623614024422;;;;;;;;;;;;;;;
2016-09-20 15:00:00;486,228851318359;568;14,3963289932466;"September";"Tuesday";"North";18,1;1018,5;81;14,8;19;14,4;25,2;0;7;15;0;0
2016-09-20 16:00:00;402,919235229492;482,5;16,4934227503643;;;;;;;;;;;;;;;
2016-09-20 17:00:00;350,056381225586;412,333333333;15,1035453777197;;;;;;;;;;;;;;;
2016-09-20 18:00:00;475,587677001953;445,333333333;6,7936400454287;"September";"Tuesday";"North";15,6;1018,6;91;14,1;12;14,4;21,6;0;8;18;0;1
2016-09-20 19:00:00;528,514251708984;494,5;6,87851399575013;;;;;;;;;;;;;;;
2016-09-20 20:00:00;516,749710083008;507,666666667;1,78917467156963;;;;;;;;;;;;;;;
2016-09-20 21:00:00;504,240936279297;500,666666667;0,713902053054823;"September";"Tuesday";"North";14,3;1018,9;98;14;1,6;7,2;10,8;;8;21;0;1
2016-09-20 22:00:00;636,644805908203;601;5,93091612449303;;;;;;;;;;;;;;;
2016-09-20 23:00:00;526,766551971436;536,333333333;1,78373797916167;;;;;;;;;;;;;;;
