"dt_posix";"puissance";"reality";"mape";"Month";"rose_vt";"f_weekend";"temp";"pression";"hr";"p_ros";"visi";"vt_raf";"rr_3h";"nebul";"Hour"
2016-09-15 05:00:00;304,219131469727;316;3,72812295261818;;;;;;;;;;;;
2016-09-15 06:00:00;315,091583251953;294;7,17400790882759;"September";"North";0;13,8;1010,1;92;12,5;4,6;18;;8;6
2016-09-15 07:00:00;370,60710144043;357,5;3,66632208123907;;;;;;;;;;;;
2016-09-15 08:00:00;431,594139099121;459,166666667;6,00490618537762;;;;;;;;;;;;
2016-09-15 09:00:00;546,354248046875;503;8,61913480057157;"September";"West";0;14;1010,8;98;13,7;2,9;14,4;9;8;9
2016-09-15 10:00:00;583,505908966064;525,5;11,038231963095;;;;;;;;;;;;
2016-09-15 11:00:00;596,868980407715;593,666666667;0,539412758121239;;;;;;;;;;;;
2016-09-15 12:00:00;581,525451660156;615,5;5,51982913726137;"September";"West";0;16,4;1011,4;95;15,6;2;14,4;0;8;12
2016-09-15 13:00:00;567,324380874634;625,333333333;9,2764849347117;;;;;;;;;;;;
2016-09-15 14:00:00;548,249454498291;658;16,6794142099862;;;;;;;;;;;;
2016-09-15 15:00:00;530,728271484375;613;13,4211628899878;"September";"North";0;16,3;1011,8;91;14,8;19;18;1;8;15
2016-09-15 16:00:00;469,790725708008;522;10,0017766842897;;;;;;;;;;;;
2016-09-15 17:00:00;415,183158874512;437;4,99241215686231;;;;;;;;;;;;
2016-09-15 18:00:00;497,754974365234;485,5;2,5241965736837;"September";"West";0;16,1;1012,8;94;15,1;18;10,8;;8;18
2016-09-15 19:00:00;538,307323455811;557;3,35595629159595;;;;;;;;;;;;
2016-09-15 20:00:00;530,482089996338;533,166666667;0,503515474334553;;;;;;;;;;;;
2016-09-15 21:00:00;507,403625488281;497,666666667;1,95652220119385;"September";"North";0;16,2;1014;96;15,6;10;25,2;0;8;21
2016-09-15 22:00:00;627,286987304688;616,5;1,74971408024128;;;;;;;;;;;;
2016-09-15 23:00:00;594,024230957031;541,833333333;9,63227886017779;;;;;;;;;;;;
2016-09-16 00:00:00;465,651123046875;442,5;5,23189221398305;"September";"West";0;15,9;1014,7;95;15,1;16;28,8;0;8;0
2016-09-16 01:00:00;400,772666931152;412,5;2,84298983487216;;;;;;;;;;;;
2016-09-16 02:00:00;344,731094360352;371,166666667;7,12229159585758;;;;;;;;;;;;
2016-09-16 03:00:00;387,057495117188;412;6,0540060395176;"September";"North";0;15,2;1015,4;92;13,9;40;32,4;0;8;3
2016-09-16 04:00:00;362,138849258423;407,166666667;11,0588172104479;;;;;;;;;;;;
2016-09-16 05:00:00;329,207740783691;341,833333333;3,69349367605682;;;;;;;;;;;;
2016-09-16 06:00:00;323,716552734375;328;1,30592904439787;"September";"North";0;15,1;1016,8;92;13,8;15;36;;8;6
2016-09-16 07:00:00;366,142887115479;425,666666667;13,9836600355853;;;;;;;;;;;;
2016-09-16 08:00:00;445,213577270508;461,833333333;3,59864801064688;;;;;;;;;;;;
2016-09-16 09:00:00;501,347045898438;499,166666667;0,436803852708386;"September";"North";0;16,4;1019;76;12,2;13;39,6;;6;9
2016-09-16 10:00:00;516,333645820618;506;2,04222249419322;;;;;;;;;;;;
2016-09-16 11:00:00;508,924444198608;536,666666667;5,16935822392068;;;;;;;;;;;;
2016-09-16 12:00:00;548,894897460938;524,833333333;4,584610503897;"September";"North";0;16,6;1020,4;68;10,7;16;46,8;0;7;12
2016-09-16 13:00:00;517,547855377197;564,5;8,3174746896019;;;;;;;;;;;;
2016-09-16 14:00:00;476,421699523926;572,666666667;16,8064552636237;;;;;;;;;;;;
2016-09-16 15:00:00;487,473724365234;520,833333333;6,40504492181511;"September";"North";0;16,7;1021,1;70;11,2;19;50,4;0;8;15
2016-09-16 16:00:00;463,467609405518;442,166666667;4,81740129781414;;;;;;;;;;;;
2016-09-16 17:00:00;479,664945602417;386,666666667;24,0512790350009;;;;;;;;;;;;
2016-09-16 18:00:00;450,894409179688;447,833333333;0,683530148125745;"September";"North";0;14,5;1022,6;80;11,1;55;39,6;0;;18
2016-09-16 19:00:00;489,850131988525;488,166666667;0,344854623733197;;;;;;;;;;;;
2016-09-16 20:00:00;495,6572265625;493,5;0,437127976190476;;;;;;;;;;;;
2016-09-16 21:00:00;512,812133789062;511,333333333;0,289204782802506;"September";"North";0;13,3;1024,3;87;11,2;45;21,6;0;;21
2016-09-16 22:00:00;645,466873168945;616,5;4,69860067622795;;;;;;;;;;;;
2016-09-16 23:00:00;673,385192871094;560,5;20,1400879341826;;;;;;;;;;;;
2016-09-17 00:00:00;530,8017578125;461,333333333;15,0581844970123;"September";"North";1;12,2;1024,3;94;11,3;19;14,4;;;0
2016-09-17 01:00:00;440,756896972656;397,666666667;10,8357662126455;;;;;;;;;;;;
2016-09-17 02:00:00;392,118927001953;363,333333333;7,92264045935217;;;;;;;;;;;;
2016-09-17 03:00:00;377,578125;398,666666667;5,28976797666782;"September";"West";1;12,6;1024,5;95;11,8;19;18;0;;3
2016-09-17 04:00:00;370,933612823486;398,666666667;6,95645163298257;;;;;;;;;;;;
2016-09-17 05:00:00;328,723670959473;332,166666667;1,03652655520037;;;;;;;;;;;;
2016-09-17 06:00:00;315,869598388672;316;0,0412663326987737;"September";"North";1;12,3;1024,7;96;11,7;18;18;0;8;6
2016-09-17 07:00:00;371,41760635376;369,166666667;0,609735355329404;;;;;;;;;;;;
2016-09-17 08:00:00;428,499473571777;452,166666667;5,23417466167458;;;;;;;;;;;;
2016-09-17 09:00:00;503,237548828125;515,166666667;2,31558418095126;"September";"North";1;15,9;1025,3;79;12,3;35;28,8;0;7;9
2016-09-17 10:00:00;525,472242355347;510,833333333;2,86569181514315;;;;;;;;;;;;
2016-09-17 11:00:00;564,995197296143;534,833333333;5,63948843187809;;;;;;;;;;;;
2016-09-17 12:00:00;546,412292480469;524,5;4,17774880466516;"September";"North";1;17,3;1025;67;11,1;25;28,8;0;7;12
2016-09-17 13:00:00;513,133480072021;567,333333333;9,55344064530148;;;;;;;;;;;;
2016-09-17 14:00:00;481,172302246094;606,166666667;20,6204615486672;;;;;;;;;;;;
2016-09-17 15:00:00;464,359252929688;556,666666667;16,5821701324414;"September";"North";1;16,2;1024,1;71;10,9;40;32,4;0;;15
2016-09-17 16:00:00;434,376750946045;449;3,2568483416381;;;;;;;;;;;;
2016-09-17 17:00:00;425,525951385498;401,666666667;5,94007088426844;;;;;;;;;;;;
2016-09-17 18:00:00;452,10595703125;454;0,417190081222467;"September";"North";1;14,5;1024,2;82;11,5;55;21,6;0;;18
2016-09-17 19:00:00;486,259643554688;489,666666667;0,695784161806031;;;;;;;;;;;;
2016-09-17 20:00:00;498,039920806885;499,833333333;0,358802105925258;;;;;;;;;;;;
2016-09-17 21:00:00;499,240631103516;517,666666667;3,55944022475321;"September";"West";1;12;1024,4;94;11,1;17;10,8;0;;21
2016-09-17 22:00:00;636,263107299805;628,666666667;1,20834156407222;;;;;;;;;;;;
2016-09-17 23:00:00;646,008880615234;571,333333333;13,070399174261;;;;;;;;;;;;
2016-09-18 00:00:00;518,708740234375;473,666666667;9,5092343914166;"September";"West";1;9,8;1024,2;97;9,3;6;7,2;0;;0
2016-09-18 01:00:00;440,0390625;430,833333333;2,13672630568831;;;;;;;;;;;;
2016-09-18 02:00:00;385,802749633789;390,166666667;1,11847510462381;;;;;;;;;;;;
2016-09-18 03:00:00;384,007629394531;418,5;8,24190456522551;"September";"West";1;10,1;1023,7;98;9,8;0,6;10,8;0;;3
2016-09-18 04:00:00;378,449332237244;412,666666667;8,29176117037045;;;;;;;;;;;;
2016-09-18 05:00:00;314,683616638184;348;9,5736733798323;;;;;;;;;;;;
2016-09-18 06:00:00;315,111358642578;311,5;1,15934466856441;"September";"North";1;10,4;1023,4;99;10,2;0,3;10,8;0;;6
2016-09-18 07:00:00;364,289028167725;359,833333333;1,2382662810733;;;;;;;;;;;;
2016-09-18 08:00:00;436,909973144531;434,333333333;0,593240171496526;;;;;;;;;;;;
2016-09-18 09:00:00;510,01953125;515;0,967081310679612;"September";"North";1;15,2;1023,5;79;11,6;18;18;0;;9
2016-09-18 10:00:00;505,316220283508;553;8,62274497585745;;;;;;;;;;;;
2016-09-18 11:00:00;520,64944934845;582,333333333;10,5925387494995;;;;;;;;;;;;
2016-09-18 12:00:00;537,222290039062;581,333333333;7,58790882350278;"September";"West";1;18;1023,2;63;10,8;35;25,2;0;7;12
2016-09-18 13:00:00;500,695964813232;582;13,9697654960082;;;;;;;;;;;;
2016-09-18 14:00:00;492,205520629883;572,166666667;13,9751493219465;;;;;;;;;;;;
2016-09-18 15:00:00;477,374389648438;547,333333333;12,781780210342;"September";"West";1;17,7;1023,2;62;10,3;50;25,2;0;8;15
2016-09-18 16:00:00;452,941476821899;451,333333333;0,356309487939575;;;;;;;;;;;;
2016-09-18 17:00:00;450,943670272827;378,166666667;19,2446902439215;;;;;;;;;;;;
2016-09-18 18:00:00;464,212463378906;400,166666667;16,0047805194135;"September";"North";1;15,7;1023,5;75;11,3;55;14,4;0;8;18
2016-09-18 19:00:00;505,901874542236;445,166666667;13,6432514882495;;;;;;;;;;;;
2016-09-18 20:00:00;491,426145553589;453,833333333;8,28339600894965;;;;;;;;;;;;
2016-09-18 21:00:00;498,350128173828;450,5;10,6215600829807;"September";"North";1;14,2;1023,5;86;11,9;35;3,6;0;8;21
2016-09-18 22:00:00;630,079483032227;580,166666667;8,60318581416798;;;;;;;;;;;;
2016-09-18 23:00:00;618,416534423828;527;17,3465909722634;;;;;;;;;;;;
2016-09-19 00:00:00;520,519165039062;453,833333333;14,6939034240422;"September";"West";0;13,3;1023,3;93;12,2;14;7,2;0;8;0
2016-09-19 01:00:00;456,869445800781;406,166666667;12,4832447600508;;;;;;;;;;;;
2016-09-19 02:00:00;381,077850341797;370,166666667;2,94764079462955;;;;;;;;;;;;
2016-09-19 03:00:00;371,141448974609;391,166666667;5,1193568876967;"September";"South";0;13,6;1023;96;13;22;3,6;0;8;3
2016-09-19 04:00:00;363,643524646759;402,333333333;9,61635675715153;;;;;;;;;;;;
2016-09-19 05:00:00;298,863624572754;317,5;5,86972454401452;;;;;;;;;;;;
2016-09-19 06:00:00;310,472473144531;304,166666667;2,07314185562443;"September";"South";0;14,4;1022,9;95;13,6;16;10,8;0;8;6
2016-09-19 07:00:00;374,952590942383;350,333333333;7,02738085901225;;;;;;;;;;;;
2016-09-19 08:00:00;444,685470581055;407,5;9,12526885424655;;;;;;;;;;;;
2016-09-19 09:00:00;506,545593261719;476,166666667;6,37989357956545;"September";"South";0;15,7;1023,1;93;14,6;19;14,4;;8;9
2016-09-19 10:00:00;543,566265106201;529,166666667;2,72118395701269;;;;;;;;;;;;
2016-09-19 11:00:00;526,560228347778;561,5;6,2225773200751;;;;;;;;;;;;
2016-09-19 12:00:00;551,910217285156;581,833333333;5,14290164099586;"September";"West";0;16,2;1022,8;92;14,9;6;14,4;0;8;12
2016-09-19 13:00:00;540,907175064087;579,166666667;6,60595538467183;;;;;;;;;;;;
2016-09-19 14:00:00;527,63991355896;567,166666667;6,96916011307965;;;;;;;;;;;;
2016-09-19 15:00:00;523,268249511719;564,5;7,30411877560341;"September";"North";0;17;1022;86;14,6;40;21,6;0;8;15
2016-09-19 16:00:00;461,66760635376;485,833333333;4,97407759435817;;;;;;;;;;;;
2016-09-19 17:00:00;406,837745666504;393;3,521054876973;;;;;;;;;;;;
2016-09-19 18:00:00;462,856231689453;457,5;1,17076102501708;"September";"North";0;15,2;1021,9;91;13,7;18;21,6;0;8;18
2016-09-19 19:00:00;503,511203765869;499,666666667;0,769420366684435;;;;;;;;;;;;
2016-09-19 20:00:00;501,765930175781;473,666666667;5,93228645505168;;;;;;;;;;;;
2016-09-19 21:00:00;503,895782470703;470;7,2118686107879;"September";"West";0;14,3;1021,8;96;13,7;7;21,6;0;8;21
2016-09-19 22:00:00;622,205673217773;583,166666667;6,69431378406708;;;;;;;;;;;;
2016-09-19 23:00:00;635,838638305664;527,833333333;20,4620091517649;;;;;;;;;;;;
2016-09-20 00:00:00;449,954711914062;440,166666667;2,22371342227681;"September";"North";0;14,2;1021;97;13,7;4,8;7,2;0;8;0
2016-09-20 01:00:00;392,763088226318;404,333333333;2,86156103215775;;;;;;;;;;;;
2016-09-20 02:00:00;348,754264831543;379,666666667;8,14198468009567;;;;;;;;;;;;
2016-09-20 03:00:00;371,529418945312;399,833333333;7,07892815032374;"September";"East";0;13,3;1020,1;98;13;0,3;3,6;0;7;3
2016-09-20 04:00:00;364,713608264923;412,166666667;11,513075228962;;;;;;;;;;;;
2016-09-20 05:00:00;299,861167907715;330;9,13297942190459;;;;;;;;;;;;
2016-09-20 06:00:00;301,341857910156;313,833333333;3,98028956649719;"September";"North";0;13,5;1020;99;13,3;7;10,8;0;8;6
2016-09-20 07:00:00;352,313545227051;372,833333333;5,5037428983373;;;;;;;;;;;;
2016-09-20 08:00:00;426,97444152832;469,833333333;9,12214795417739;;;;;;;;;;;;
2016-09-20 09:00:00;497,676208496094;491,666666667;1,22227969405213;"September";"North";0;14,5;1020,5;97;14;4,9;14,4;0;8;9
2016-09-20 10:00:00;528,514234542847;533,5;0,934538979785065;;;;;;;;;;;;
2016-09-20 11:00:00;534,54517364502;541,833333333;1,34509252931129;;;;;;;;;;;;
2016-09-20 12:00:00;523,521545410156;589,833333333;11,242461925326;"September";"North";0;17;1019,9;86;14,6;50;14,4;0;8;12
2016-09-20 13:00:00;525,834633111954;614,166666667;14,382420660244;;;;;;;;;;;;
2016-09-20 14:00:00;504,32506942749;608,666666667;17,1426501488695;;;;;;;;;;;;
2016-09-20 15:00:00;487,406188964844;568;14,1890512385838;"September";"North";0;18,1;1018,5;81;14,8;19;25,2;0;7;15
2016-09-20 16:00:00;405,919212341309;482,5;15,8716658359982;;;;;;;;;;;;
2016-09-20 17:00:00;339,227737426758;412,333333333;17,7297322327327;;;;;;;;;;;;
2016-09-20 18:00:00;452,422821044922;445,333333333;1,59195083351659;"September";"North";0;15,6;1018,6;91;14,1;12;21,6;0;8;18
2016-09-20 19:00:00;496,988555908203;494,5;0,503246897513271;;;;;;;;;;;;
2016-09-20 20:00:00;490,510028839111;507,666666667;3,37950843622011;;;;;;;;;;;;
2016-09-20 21:00:00;508,242462158203;500,666666667;1,5131415761381;"September";"North";0;14,3;1018,9;98;14;1,6;10,8;;8;21
2016-09-20 22:00:00;641,239410400391;601;6,6954093844244;;;;;;;;;;;;
2016-09-20 23:00:00;540,894706726074;536,333333333;0,850473597217591;;;;;;;;;;;;
