"datetime";"puissance";"reality";"mape";"Month";"rose_vt";"Weekday";"temp";"pression";"hr";"visi";"vt_raf";"rr_3h";"nebul";"Hour";"f_evening";"f_weekend"
2016-09-14 03:00:00;377,485290527344;396,666666667;4,83564104360676;"September";"East";"Wednesday";16,2;1004;97;2,9;12,964;0;;3;0;FALSE
2016-09-14 04:00:00;361,476757049561;407,833333333;11,3665491500149;;;;;;;;;;;;;
2016-09-14 05:00:00;301,317604064941;330,833333333;8,92163101302418;;;;;;;;;;;;;
2016-09-14 06:00:00;316,339569091797;317,166666667;0,260776954871972;"September";"East";"Wednesday";15,5;1004,6;94;45;36;0;7;6;0;FALSE
2016-09-14 07:00:00;373,73681640625;384,833333333;2,88346044004147;;;;;;;;;;;;;
2016-09-14 08:00:00;457,559188842773;458,833333333;0,277692224531959;;;;;;;;;;;;;
2016-09-14 09:00:00;513,870300292969;478,333333333;7,42933107177565;"September";"East";"Wednesday";18;1005,9;82;29;46,8;0;;9;0;FALSE
2016-09-14 10:00:00;527,974183082581;504;4,75678235765487;;;;;;;;;;;;;
2016-09-14 11:00:00;510,626852273941;492,333333333;3,71567751001085;;;;;;;;;;;;;
2016-09-14 12:00:00;548,539672851562;519,5;5,58992740164822;"September";"South";"Wednesday";20,2;1007,2;65;7;54;0;7;12;0;FALSE
2016-09-14 13:00:00;545,757561922073;543,333333333;0,446177040934014;;;;;;;;;;;;;
2016-09-14 14:00:00;573,005796432495;573;0,00101159380368537;;;;;;;;;;;;;
2016-09-14 15:00:00;460,447296142578;539;14,5737855023046;"September";"South";"Wednesday";20,4;1007,9;62;28;46,8;0;;15;0;FALSE
2016-09-14 16:00:00;397,885921478271;438,833333333;9,33097117844883;;;;;;;;;;;;;
2016-09-14 17:00:00;361,367973327637;380,5;5,02812790338063;;;;;;;;;;;;;
2016-09-14 18:00:00;467,541809082031;426;9,75159837606367;"September";"East";"Wednesday";18,6;1009,3;63;45;43,2;0;;18;0;FALSE
2016-09-14 19:00:00;518,619678497314;480,5;7,93333579548688;;;;;;;;;;;;;
2016-09-14 20:00:00;502,749134063721;471,833333333;6,55227143710545;;;;;;;;;;;;;
2016-09-14 21:00:00;522,256042480469;477,166666667;9,44939765562778;"September";"East";"Wednesday";13,8;1010,5;89;60;10,8;0;;21;1;FALSE
2016-09-14 22:00:00;651,321578979492;607,166666667;7,27228860485336;;;;;;;;;;;;;
2016-09-14 23:00:00;620,390068054199;539,833333333;14,9225195531798;;;;;;;;;;;;;
2016-09-15 00:00:00;530,80224609375;445,333333333;19,1921211289253;"September";"North";"Thursday";13,4;1010,4;89;60;14,4;0;8;0;0;FALSE
2016-09-15 01:00:00;471,631034851074;393,166666667;19,957024548709;;;;;;;;;;;;;
2016-09-15 02:00:00;407,988586425781;358,5;13,8043476780422;;;;;;;;;;;;;
2016-09-15 03:00:00;386,376892089844;383,833333333;0,662672711292916;"September";"East";"Thursday";12,7;1009,8;94;60;7,2;0;7;3;0;FALSE
2016-09-15 04:00:00;377,016108512878;396,833333333;4,99384077785927;;;;;;;;;;;;;
2016-09-15 05:00:00;321,113670349121;316;1,61825011048136;;;;;;;;;;;;;
2016-09-15 06:00:00;333,722900390625;294;13,5111906090561;"September";"North";"Thursday";13,8;1010,1;92;4,6;18;;8;6;0;FALSE
2016-09-15 07:00:00;390,126056671143;357,5;9,1261696982217;;;;;;;;;;;;;
2016-09-15 08:00:00;470,101440429688;459,166666667;2,38143893198103;;;;;;;;;;;;;
2016-09-15 09:00:00;547,481750488281;503;8,84329035552311;"September";"West";"Thursday";14;1010,8;98;2,9;14,4;9;8;9;0;FALSE
2016-09-15 10:00:00;564,930700302124;525,5;7,50346342571342;;;;;;;;;;;;;
2016-09-15 11:00:00;589,73360824585;593,666666667;0,662502822203505;;;;;;;;;;;;;
2016-09-15 12:00:00;584,023742675781;615,5;5,1139329527569;"September";"West";"Thursday";16,4;1011,4;95;2;14,4;0;8;12;0;FALSE
2016-09-15 13:00:00;570,024691581726;625,333333333;8,84466552526175;;;;;;;;;;;;;
2016-09-15 14:00:00;524,480121612549;658;20,2917748309196;;;;;;;;;;;;;
2016-09-15 15:00:00;554,885986328125;613;9,48026324174143;"September";"North";"Thursday";16,3;1011,8;91;19;18;1;8;15;0;FALSE
2016-09-15 16:00:00;510,935970306396;522;2,11954591831485;;;;;;;;;;;;;
2016-09-15 17:00:00;496,278793334961;437;13,5649412665815;;;;;;;;;;;;;
2016-09-15 18:00:00;514,020446777344;485,5;5,87444835784629;"September";"West";"Thursday";16,1;1012,8;94;18;10,8;;8;18;0;FALSE
2016-09-15 19:00:00;569,977893829346;557;2,32996298551987;;;;;;;;;;;;;
2016-09-15 20:00:00;553,575843811035;533,166666667;3,8279169385475;;;;;;;;;;;;;
2016-09-15 21:00:00;501,066680908203;497,666666667;0,68319107324866;"September";"North";"Thursday";16,2;1014;96;10;25,2;0;8;21;1;FALSE
2016-09-15 22:00:00;625,422218322754;616,5;1,44723735973299;;;;;;;;;;;;;
2016-09-15 23:00:00;558,351886749268;541,833333333;3,04864104883624;;;;;;;;;;;;;
2016-09-16 00:00:00;463,482513427734;442,5;4,74181094412076;"September";"West";"Friday";15,9;1014,7;95;16;28,8;0;8;0;0;FALSE
2016-09-16 01:00:00;402,653213500977;412,5;2,38709975733902;;;;;;;;;;;;;
2016-09-16 02:00:00;350,343055725098;371,166666667;5,61031278182766;;;;;;;;;;;;;
2016-09-16 03:00:00;387,110229492188;412;6,04120643393507;"September";"North";"Friday";15,2;1015,4;92;40;32,4;0;8;3;0;FALSE
2016-09-16 04:00:00;374,156202316284;407,166666667;8,10735923471686;;;;;;;;;;;;;
2016-09-16 05:00:00;315,807594299316;341,833333333;7,6135755339958;;;;;;;;;;;;;
2016-09-16 06:00:00;329,094390869141;328;0,333655752786776;"September";"North";"Friday";15,1;1016,8;92;15;36;;8;6;0;FALSE
2016-09-16 07:00:00;393,384773254395;425,666666667;7,58384340154586;;;;;;;;;;;;;
2016-09-16 08:00:00;451,8056640625;461,833333333;2,17127447214159;;;;;;;;;;;;;
2016-09-16 09:00:00;512,524108886719;499,166666667;2,67594835787175;"September";"North";"Friday";16,4;1019;76;13;39,6;;6;9;0;FALSE
2016-09-16 10:00:00;532,118717193604;506;5,16180181691769;;;;;;;;;;;;;
2016-09-16 11:00:00;553,279754638672;536,666666667;3,09560645434688;;;;;;;;;;;;;
2016-09-16 12:00:00;539,100891113281;524,833333333;2,71849306706071;"September";"North";"Friday";16,6;1020,4;68;16;46,8;0;7;12;0;FALSE
2016-09-16 13:00:00;501,919944763184;564,5;11,0859265255654;;;;;;;;;;;;;
2016-09-16 14:00:00;468,475700378418;572,666666667;18,1939987698233;;;;;;;;;;;;;
2016-09-16 15:00:00;474,986877441406;520,833333333;8,80251953119164;"September";"North";"Friday";16,7;1021,1;70;19;50,4;0;8;15;0;FALSE
2016-09-16 16:00:00;457,114164352417;442,166666667;3,38051210374799;;;;;;;;;;;;;
2016-09-16 17:00:00;463,710033416748;386,666666667;19,925008642159;;;;;;;;;;;;;
2016-09-16 18:00:00;445,089965820312;447,833333333;0,612586716640758;"September";"North";"Friday";14,5;1022,6;80;55;39,6;0;;18;0;FALSE
2016-09-16 19:00:00;483,391223907471;488,166666667;0,978240237526675;;;;;;;;;;;;;
2016-09-16 20:00:00;494,819980621338;493,5;0,267473276866847;;;;;;;;;;;;;
2016-09-16 21:00:00;510,985412597656;511,333333333;0,0680418647999924;"September";"North";"Friday";13,3;1024,3;87;45;21,6;0;;21;1;FALSE
2016-09-16 22:00:00;643,657852172852;616,5;4,40516661360123;;;;;;;;;;;;;
2016-09-16 23:00:00;649,247802734375;560,5;15,833684698372;;;;;;;;;;;;;
2016-09-17 00:00:00;553,834045410156;461,333333333;20,0507323866813;"September";"North";"Saturday";12,2;1024,3;94;19;14,4;;;0;0;TRUE
2016-09-17 01:00:00;462,391006469727;397,666666667;16,2760284499595;;;;;;;;;;;;;
2016-09-17 02:00:00;400,306167602539;363,333333333;10,1760094319926;;;;;;;;;;;;;
2016-09-17 03:00:00;390,963500976562;398,666666667;1,93223219659642;"September";"West";"Saturday";12,6;1024,5;95;19;18;0;;3;0;TRUE
2016-09-17 04:00:00;381,145599365234;398,666666667;4,39491654726195;;;;;;;;;;;;;
2016-09-17 05:00:00;337,974769592285;332,166666667;1,7485508054027;;;;;;;;;;;;;
2016-09-17 06:00:00;324,441070556641;316;2,6712248596964;"September";"North";"Saturday";12,3;1024,7;96;18;18;0;8;6;0;TRUE
2016-09-17 07:00:00;374,274280548096;369,166666667;1,38355229284634;;;;;;;;;;;;;
2016-09-17 08:00:00;444,664741516113;452,166666667;1,65910618891586;;;;;;;;;;;;;
2016-09-17 09:00:00;508,389373779297;515,166666667;1,31555345603986;"September";"North";"Saturday";15,9;1025,3;79;35;28,8;0;7;9;0;TRUE
2016-09-17 10:00:00;539,680986404419;510,833333333;5,64717515264688;;;;;;;;;;;;;
2016-09-17 11:00:00;546,748306274414;534,833333333;2,22779176218537;;;;;;;;;;;;;
2016-09-17 12:00:00;544,036376953125;524,5;3,72476205016683;"September";"North";"Saturday";17,3;1025;67;25;28,8;0;7;12;0;TRUE
2016-09-17 13:00:00;508,497978210449;567,333333333;10,3705091285403;;;;;;;;;;;;;
2016-09-17 14:00:00;477,118682861328;606,166666667;21,2891917193733;;;;;;;;;;;;;
2016-09-17 15:00:00;475,328765869141;556,666666667;14,6115989457145;"September";"North";"Saturday";16,2;1024,1;71;40;32,4;0;;15;0;TRUE
2016-09-17 16:00:00;447,86848449707;449;0,252007907111289;;;;;;;;;;;;;
2016-09-17 17:00:00;442,267616271973;401,666666667;10,1081202335948;;;;;;;;;;;;;
2016-09-17 18:00:00;451,523162841797;454;0,545558845419191;"September";"North";"Saturday";14,5;1024,2;82;55;21,6;0;;18;0;TRUE
2016-09-17 19:00:00;499,428684234619;489,666666667;1,99360467684394;;;;;;;;;;;;;
2016-09-17 20:00:00;491,672500610352;499,833333333;1,63271078145793;;;;;;;;;;;;;
2016-09-17 21:00:00;511,506164550781;517,666666667;1,19005192199898;"September";"West";"Saturday";12;1024,4;94;17;10,8;0;;21;1;TRUE
2016-09-17 22:00:00;650,841735839844;628,666666667;3,52731747181846;;;;;;;;;;;;;
2016-09-17 23:00:00;661,6884765625;571,333333333;15,8147858628155;;;;;;;;;;;;;
2016-09-18 00:00:00;513,355163574219;473,666666667;8,37899301348152;"September";"West";"Sunday";9,8;1024,2;97;6;7,2;0;;0;0;TRUE
2016-09-18 01:00:00;427,127471923828;430,833333333;0,860161255514443;;;;;;;;;;;;;
2016-09-18 02:00:00;364,344223022461;390,166666667;6,61831105797104;;;;;;;;;;;;;
2016-09-18 03:00:00;378,762847900391;418,5;9,49513789715875;"September";"West";"Sunday";10,1;1023,7;98;0,6;10,8;0;;3;0;TRUE
2016-09-18 04:00:00;373,038336753845;412,666666667;9,60298786263072;;;;;;;;;;;;;
2016-09-18 05:00:00;300,144203186035;348;13,7516657511393;;;;;;;;;;;;;
2016-09-18 06:00:00;316,554504394531;311,5;1,62263383452047;"September";"North";"Sunday";10,4;1023,4;99;0,3;10,8;0;;6;0;TRUE
2016-09-18 07:00:00;342,639919281006;359,833333333;4,77816045910423;;;;;;;;;;;;;
2016-09-18 08:00:00;399,556968688965;434,333333333;8,00683760032122;;;;;;;;;;;;;
2016-09-18 09:00:00;507,891021728516;515;1,38038413038532;"September";"North";"Sunday";15,2;1023,5;79;18;18;0;;9;0;TRUE
2016-09-18 10:00:00;581,10334777832;553;5,0819797067487;;;;;;;;;;;;;
2016-09-18 11:00:00;582,286468505859;582,333333333;0,0080477665381843;;;;;;;;;;;;;
2016-09-18 12:00:00;559,191589355469;581,333333333;3,80878623466926;"September";"West";"Sunday";18;1023,2;63;35;25,2;0;7;12;0;TRUE
2016-09-18 13:00:00;501,69458770752;582;13,7981808062681;;;;;;;;;;;;;
2016-09-18 14:00:00;484,206367492676;572,166666667;15,3731953115537;;;;;;;;;;;;;
2016-09-18 15:00:00;508,405822753906;547,333333333;7,1122126514831;"September";"West";"Sunday";17,7;1023,2;62;50;25,2;0;8;15;0;TRUE
2016-09-18 16:00:00;458,319557189941;451,333333333;1,5479077969601;;;;;;;;;;;;;
2016-09-18 17:00:00;436,494598388672;378,166666667;15,4238691198644;;;;;;;;;;;;;
2016-09-18 18:00:00;450,124328613281;400,166666667;12,4842137308387;"September";"North";"Sunday";15,7;1023,5;75;55;14,4;0;8;18;0;TRUE
2016-09-18 19:00:00;490,146514892578;445,166666667;10,1040467747385;;;;;;;;;;;;;
2016-09-18 20:00:00;482,615821838379;453,833333333;6,34208340185091;;;;;;;;;;;;;
2016-09-18 21:00:00;469,808013916016;450,5;4,28590763951512;"September";"North";"Sunday";14,2;1023,5;86;35;3,6;0;8;21;1;TRUE
2016-09-18 22:00:00;606,833724975586;580,166666667;4,5964478555422;;;;;;;;;;;;;
2016-09-18 23:00:00;602,900573730469;527;14,4023859071098;;;;;;;;;;;;;
2016-09-19 00:00:00;503,246307373047;453,833333333;10,8879120176459;"September";"West";"Monday";13,3;1023,3;93;14;7,2;0;8;0;0;FALSE
2016-09-19 01:00:00;431,046913146973;406,166666667;6,12562490273752;;;;;;;;;;;;;
2016-09-19 02:00:00;363,659057617188;370,166666667;1,75802135519315;;;;;;;;;;;;;
2016-09-19 03:00:00;378,556701660156;391,166666667;3,22368087094155;"September";"South";"Monday";13,6;1023;96;22;3,6;0;8;3;0;FALSE
2016-09-19 04:00:00;369,842778205872;402,333333333;8,07553151462021;;;;;;;;;;;;;
2016-09-19 05:00:00;318,268466949463;317,5;0,242036834476501;;;;;;;;;;;;;
2016-09-19 06:00:00;306,416656494141;304,166666667;0,739722682894732;"September";"South";"Monday";14,4;1022,9;95;16;10,8;0;8;6;0;FALSE
2016-09-19 07:00:00;363,693454742432;350,333333333;3,81354559736756;;;;;;;;;;;;;
2016-09-19 08:00:00;437,376678466797;407,5;7,33170023725077;;;;;;;;;;;;;
2016-09-19 09:00:00;503,081909179688;476,166666667;5,65248355183801;"September";"South";"Monday";15,7;1023,1;93;19;14,4;;8;9;0;FALSE
2016-09-19 10:00:00;533,156244277954;529,166666667;0,753935926479048;;;;;;;;;;;;;
2016-09-19 11:00:00;526,81184387207;561,5;6,17776600675506;;;;;;;;;;;;;
2016-09-19 12:00:00;541,5400390625;581,833333333;6,92522960822511;"September";"West";"Monday";16,2;1022,8;92;6;14,4;0;8;12;0;FALSE
2016-09-19 13:00:00;527,55309009552;579,166666667;8,91169667420723;;;;;;;;;;;;;
2016-09-19 14:00:00;481,035823822021;567,166666667;15,1861609482682;;;;;;;;;;;;;
2016-09-19 15:00:00;502,886077880859;564,5;10,9147780547636;"September";"North";"Monday";17;1022;86;40;21,6;0;8;15;0;FALSE
2016-09-19 16:00:00;458,565967559814;485,833333333;5,6124938126664;;;;;;;;;;;;;
2016-09-19 17:00:00;424,370391845703;393;7,98228800145118;;;;;;;;;;;;;
2016-09-19 18:00:00;455,721893310547;457,5;0,388657199880464;"September";"North";"Monday";15,2;1021,9;91;18;21,6;0;8;18;0;FALSE
2016-09-19 19:00:00;488,902675628662;499,666666667;2,15423436390875;;;;;;;;;;;;;
2016-09-19 20:00:00;497,113376617432;473,666666667;4,95004432450706;;;;;;;;;;;;;
2016-09-19 21:00:00;511,331481933594;470;8,79393232629654;"September";"West";"Monday";14,3;1021,8;96;7;21,6;0;8;21;1;FALSE
2016-09-19 22:00:00;633,137687683105;583,166666667;8,568909005329;;;;;;;;;;;;;
2016-09-19 23:00:00;633,448211669922;527,833333333;20,0091338813366;;;;;;;;;;;;;
2016-09-20 00:00:00;458,987640380859;440,166666667;4,27587437648885;"September";"North";"Tuesday";14,2;1021;97;4,8;7,2;0;8;0;0;FALSE
2016-09-20 01:00:00;392,579948425293;404,333333333;2,90685529457132;;;;;;;;;;;;;
2016-09-20 02:00:00;343,180389404297;379,666666667;9,61008180755165;;;;;;;;;;;;;
2016-09-20 03:00:00;378,242950439453;399,833333333;5,3998456590825;"September";"East";"Tuesday";13,3;1020,1;98;0,3;3,6;0;7;3;0;FALSE
2016-09-20 04:00:00;377,786813795567;412,166666667;8,34125019120234;;;;;;;;;;;;;
2016-09-20 05:00:00;316,922691345215;330;3,96282080448035;;;;;;;;;;;;;
2016-09-20 06:00:00;315,338317871094;313,833333333;0,479548976557206;"September";"North";"Tuesday";13,5;1020;99;7;10,8;0;8;6;0;FALSE
2016-09-20 07:00:00;375,339416503906;372,833333333;0,672172508960708;;;;;;;;;;;;;
2016-09-20 08:00:00;452,189697265625;469,833333333;3,75529678624778;;;;;;;;;;;;;
2016-09-20 09:00:00;508,184783935547;491,666666667;3,35961707156657;"September";"North";"Tuesday";14,5;1020,5;97;4,9;14,4;0;8;9;0;FALSE
2016-09-20 10:00:00;522,589915275574;533,5;2,04500182276031;;;;;;;;;;;;;
2016-09-20 11:00:00;542,07201385498;541,833333333;0,0440505423526129;;;;;;;;;;;;;
2016-09-20 12:00:00;528,806701660156;589,833333333;10,3464196111125;"September";"North";"Tuesday";17;1019,9;86;50;14,4;0;8;12;0;FALSE
2016-09-20 13:00:00;517,287446975708;614,166666667;15,7740927584108;;;;;;;;;;;;;
2016-09-20 14:00:00;475,787338256836;608,666666667;21,8312149633228;;;;;;;;;;;;;
2016-09-20 15:00:00;479,913696289062;568;15,5081520617848;"September";"North";"Tuesday";18,1;1018,5;81;19;25,2;0;7;15;0;FALSE
2016-09-20 16:00:00;405,871612548828;482,5;15,8815310779631;;;;;;;;;;;;;
2016-09-20 17:00:00;359,197463989258;412,333333333;12,886629590247;;;;;;;;;;;;;
2016-09-20 18:00:00;470,803558349609;445,333333333;5,71936190493154;"September";"North";"Tuesday";15,6;1018,6;91;12;21,6;0;8;18;0;FALSE
2016-09-20 19:00:00;514,07381439209;494,5;3,95830422489178;;;;;;;;;;;;;
2016-09-20 20:00:00;515,635929107666;507,666666667;1,56978248995288;;;;;;;;;;;;;
2016-09-20 21:00:00;525,320678710938;500,666666667;4,92423675977119;"September";"North";"Tuesday";14,3;1018,9;98;1,6;10,8;;8;21;1;FALSE
2016-09-20 22:00:00;662,206878662109;601;10,1841728223144;;;;;;;;;;;;;
2016-09-20 23:00:00;571,731307983398;536,333333333;6,59999527354016;;;;;;;;;;;;;
